api,doi,title,url,search_term,dataset,valid,pdf,
openaire,10.22004/ag.econ.56450,Net Effect of Education on Technology Adoption by U.S. Farmers,http://dx.doi.org/10.22004/ag.econ.56450,Agricultural Resource Management Survey,dataset-870,Y,,
pubmed,10.1111/gcb.13896,"Networking our science to characterize the state, vulnerabilities, and management opportunities of soil organic matter.",https://www.ncbi.nlm.nih.gov/pubmed/28981192,Agricultural Resource Management Survey,dataset-870,N,,
dimensions,10.1007/s10708-010-9370-x,"New technologies, old divides: linking internet access to social and locational characteristics of US farms",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=New%20technologies%2C%20old%20divides%3A%20linking%20internet%20access%20to%20social%20and%20locational%20characteristics%20of%20US%20farms,Agricultural Resource Management Survey,dataset-870,N,,
dimensions,10.3382/japr/pfw047,New versus old broiler housing technology: Which leads to greater profit?,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=New%20versus%20old%20broiler%20housing%20technology%3A%20Which%20leads%20to%20greater%20profit%3F,Agricultural Resource Management Survey,dataset-870,Y,,
openaire,10.22004/ag.econ.116965,New Zealand freshwater management and agricultural impacts,http://dx.doi.org/10.22004/ag.econ.116965,Agricultural Resource Management Survey,dataset-870,N,,
pubmed,10.1111/gcb.14798,"Newer and select maize, wheat, and rice varieties can help mitigate N footprint while producing more grain.",https://www.ncbi.nlm.nih.gov/pubmed/31418955,Agricultural Resource Management Survey,dataset-870,N,,
dimensions,10.1016/j.agsy.2016.10.009,Next generation data systems and knowledge products to support agricultural producers and science-based policy decision making,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Next%20generation%20data%20systems%20and%20knowledge%20products%20to%20support%20agricultural%20producers%20and%20science-based%20policy%20decision%20making,Agricultural Resource Management Survey,dataset-870,N,,
dimensions,10.1080/2330443x.2015.1129919,NISS: From Vision to National Institute,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=NISS%3A%20From%20Vision%20to%20National%20Institute,Agricultural Resource Management Survey,dataset-870,N,,
dimensions,10.1016/j.agee.2013.10.013,Nitrogen balance in Iowa and the implications of corn-stover harvesting,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Nitrogen%20balance%20in%20Iowa%20and%20the%20implications%20of%20corn-stover%20harvesting,Agricultural Resource Management Survey,"dataset-870, dataset-907, dataset-902, dataset-680",Y,,
pubmed,10.1038/s41467-018-03540-1,Nitrogen-rich organic soils under warm well-drained conditions are global nitrous oxide emission hotspots.,https://www.ncbi.nlm.nih.gov/pubmed/29555906,Agricultural Resource Management Survey,dataset-870,N,,
openaire,10.22004/ag.econ.234376,Nonresponse in Phase III of the Agricultural Resource Management Survey in Louisiana,http://dx.doi.org/10.22004/ag.econ.234376,Agricultural Resource Management Survey,dataset-870,Y,,
pubmed,10.5713/ajas.16.0441,Nutrient production from dairy cattle manure and loading on arable land.,https://www.ncbi.nlm.nih.gov/pubmed/27492346,Agricultural Resource Management Survey,dataset-870,N,,
pubmed,10.1111/mcn.12204,Nutrient supplementation may adversely affect maternal oral health--a randomised controlled trial in rural Malawi.,https://www.ncbi.nlm.nih.gov/pubmed/26194850,Agricultural Resource Management Survey,dataset-870,N,,
dimensions,10.1111/1746-692x.12140,Obsolescence and Innovation in Economic Statistics on Agriculture,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Obsolescence%20and%20Innovation%20in%20Economic%20Statistics%20on%20Agriculture,Agricultural Resource Management Survey,dataset-870,N,,
pubmed,10.3389/fpubh.2016.00147,Occupational Health and Safety of Finnish Dairy Farmers Using Automatic Milking Systems.,https://www.ncbi.nlm.nih.gov/pubmed/27458580,Agricultural Resource Management Survey,dataset-870,N,,
openaire,10.1111/j.1467-9353.2008.00406.x,Off-Farm Labor Participation Decisions of Married Farm Couples and the Role of Government Payments,http://hdl.handle.net/10.1111/j.1467-9353.2008.00406.x,Agricultural Resource Management Survey,"dataset-870, dataset-657, dataset-750",Y,,
dimensions,10.1111/j.1467-8489.2011.00542.x,Off‐farm employment and reasons for entering farming as determinants of production enterprise selection in US agriculture,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Off%E2%80%90farm%20employment%20and%20reasons%20for%20entering%20farming%20as%20determinants%20of%20production%20enterprise%20selection%20in%20US%20agriculture,Agricultural Resource Management Survey,dataset-870,Y,,
