title,journal,doi,authors,search_term,dataset,notes,pdf
Rising Sea Levels: Helping Decision-Makers Confront the Inevitable,Coastal Management,10.1080/08920753.2019.1551012,"Hall, John A., Weaver, Christopher P., Obeysekera, Jayantha, Crowell, Mark, Horton, Radley M., Kopp, Robert E., Marburger, John, Marcy, Douglas C., Parris, Adam, Sweet, William V., Veatch, William C., White, Kathleen D.",Tidal Datum,dataset-698,different dataset than predicted,
Modeling Tidal Datums and Spatially Varying Uncertainty in the Texas and Western Louisiana Coastal Waters,Journal of Marine Science and Engineering,10.3390/jmse7020044,"Wu, Wei, Myers, Edward, Shi, Lei, Hess, Kurt, Michalski, Michael, White, Stephen",Tidal Datum,"dataset-614,dataset-714",,https://www.mdpi.com/2077-1312/7/2/44/pdf
A Coherent Statistical Model for Coastal Flood Frequency Analysis Under Nonstationary Sea Level Conditions,Earth's Future,10.1029/2018ef001089,"Ghanbari, Mahshid, Arabi, Mazdak, Obeysekera, Jayantha, Sweet, William",Tidal Datum,dataset-614,,https://agupubs.onlinelibrary.wiley.com/products/pericles/releasedAssets/images/pdf-icon.png
Salt marsh ecosystem restructuring enhances elevation resilience and carbon storage during accelerating relative sea-level rise,Estuarine Coastal and Shelf Science,10.1016/j.ecss.2018.11.003,"Gonneea, Meagan Eagle, Maio, Christopher V., Kroeger, Kevin D., Hawkes, Andrea, Mora, Jordan, Sullivan, Richard, Madsen, Stephanie, Buzard, Richard M., Cahill, Niamh, Donnelly, Jeffrey P.",Tidal Datum,dataset-614,,https://www.sciencedirect.com/science/article/pii/S0272771418306851/pdfft?md5=79a2adfceb2ebf1367e5c5d6bc96aeaf&pid=1-s2.0-S0272771418306851-main.pdf
The Spatial Variability of Organic Matter and Decomposition Processes at the Marsh Scale,Journal of Geophysical Research Biogeosciences,10.1029/2017jg004211,"Lalimi, F. Yousefi, Silvestri, S., D'Alpaos, A., Roner, M., Marani, M.",Tidal Datum,dataset-614,,https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/2017JG004211
Time‐integrated habitat availability is a resource attribute that informs patterns of use in intertidal areas,Ecological Monographs,10.1002/ecm.1305,"Calle, Leonardo, Green, Lauri, Strong, Allan, Gawlik, Dale E.",Tidal Datum,dataset-614,,https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1002/ecm.1305
Tidal Datums with Spatially Varying Uncertainty in North-East Gulf of Mexico for VDatum Application,Journal of Marine Science and Engineering,10.3390/jmse6040114,"Tang, Liujuan, Myers, Edward, Shi, Lei, Hess, Kurt, Carisio, Alison, Michalski, Michael, White, Stephen, Hoang, Cuong",Tidal Datum,"dataset-614,dataset-714",,https://www.mdpi.com/2077-1312/6/4/114/pdf
Adding to the toolbox for tidal-inundation mapping in estuarine areas,Journal of Coastal Conservation,10.1007/s11852-018-0605-1,"Flitcroft, Rebecca, Clinton, Patrick, Christiansen, Kelly",Tidal Datum,"dataset-614,dataset-756",,https://link.springer.com/content/pdf/10.1007%2Fs11852-018-0605-1.pdf
An Automated Model to Classify Barrier Island Geomorphology Using Lidar Data and Change Analysis (1998–2014),Remote Sensing,10.3390/rs10071109,"Halls, Joanne N., Frishman, Maria A., Hawkes, Andrea D.",Tidal Datum,"dataset-614,dataset-618",,
Top-down and bottom-up controls on southern New England salt marsh crab populations,PeerJ,10.7717/peerj.4876,"Raposa, Kenneth B., McKinney, Richard A., Wigand, Cathleen, Hollister, Jeffrey W., Lovall, Cassie, Szura, Katelyn, Gurak, John A., McNamee, Jason, Raithel, Christopher, Watson, Elizabeth B.",Tidal Datum,"dataset-614,dataset-726",,
The Impact of Lidar Elevation Uncertainty on Mapping Intertidal Habitats on Barrier Islands,Remote Sensing,10.3390/rs10010005,"Enwright, Nicholas M., Wang, Lei, Borchert, Sinéad M., Day, Richard H., Feher, Laura C., Osland, Michael J.",Tidal Datum,dataset-614,,https://www.mdpi.com/2072-4292/10/1/5/pdf
The intertidal zones of the South Atlantic Bight and their local and regional influence on astronomical tides,Ocean Modelling,10.1016/j.ocemod.2017.09.002,"Bacopoulos, Peter, Hagen, Scott C.",Tidal Datum,dataset-614,,https://www.sciencedirect.com/science/article/pii/S1463500317301294/pdfft?md5=985c3c44609d131cb4b3c9c65bf5aa0b&pid=1-s2.0-S1463500317301294-main.pdf
Sea Level Change and Coastal Climate Services: The Way Forward,Journal of Marine Science and Engineering,10.3390/jmse5040049,"Le Cozannet, Gonéri, Nicholls, Robert J., Hinkel, Jochen, Sweet, William V., McInnes, Kathleen L., Van de Wal, Roderik S. W., Slangen, Aimée B. A., Lowe, Jason A., White, Kathleen D.",Tidal Datum,dataset-610,,https://www.mdpi.com/2077-1312/5/4/49/pdf
South Florida’s Encroachment of the Sea and Environmental Transformation over the 21st Century,Journal of Marine Science and Engineering,10.3390/jmse5030031,"Park, Joseph, Stabenau, Erik, Redwine, Jed, Kotun, Kevin",Tidal Datum,dataset-728,,
Effective inundation of continental United States communities with 21<sup>st</sup> century sea level rise,Elementa: Science of the Anthropocene,10.1525/elementa.234,"Dahl, Kristina A., Spanger-Siegfried, Erika, Caldas, Astrid, Udvardy, Shana",Tidal Datum,"dataset-703,dataset-696",,https://www.elementascience.org/articles/10.1525/elementa.234/galley/898/download/
Applying a Bayesian network based on Gaussian copulas to model the hydraulic boundary conditions for hurricane flood risk analysis in a coastal watershed,Coastal Engineering,10.1016/j.coastaleng.2017.03.008,"Sebastian, A., Dupuits, E.J.C., Morales-Nápoles, O.",Tidal Datum,dataset-703,different dataset than predicted,
"Winter storm intensity, hazards, and property losses in the New York tristate area",Annals of the New York Academy of Sciences,10.1111/nyas.13396,"Shimkus, Cari E., Ting, Mingfang, Booth, James F., Adamo, Susana B., Madajewicz, Malgosia, Kushnir, Yochanan, Rieder, Harald E.",Tidal Datum,"dataset-614,dataset-621",,https://nyaspubs.onlinelibrary.wiley.com/doi/epdf/10.1111/nyas.13396
Rapid escalation of coastal flood exposure in US municipalities from sea level rise,Climatic Change,10.1007/s10584-017-1963-7,"Kulp, Scott, Strauss, Benjamin H.",Tidal Datum,dataset-618,different dataset than predicted,https://link.springer.com/content/pdf/10.1007%2Fs10584-017-1963-7.pdf
"Sea-level rise and coastal groundwater inundation and shoaling at select sites in California, USA",Journal of Hydrology Regional Studies,10.1016/j.ejrh.2015.12.055,"Hoover, Daniel J., Odigie, Kingsley O., Swarzenski, Peter W., Barnard, Patrick",Tidal Datum,"dataset-614,dataset-631",,https://www.sciencedirect.com/science/article/pii/S2214581815002050/pdfft?md5=cc6b2ad5c366df4a9d80dc1dbc7636ae&pid=1-s2.0-S2214581815002050-main.pdf
Sea level rise drives increased tidal flooding frequency at tide gauges along the U.S. East and Gulf Coasts: Projections for 2030 and 2045,PLoS ONE,10.1371/journal.pone.0170949,"Dahl, Kristina A., Fitzpatrick, Melanie F., Spanger-Siegfried, Erika",Tidal Datum,"dataset-614,dataset-696",,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0170949&type=printable
Tidal Datum Changes Induced by Morphological Changes of North Carolina Coastal Inlets,Journal of Marine Science and Engineering,10.3390/jmse4040079,"Wang, Jindong, Myers, Edward",Tidal Datum,"dataset-614,dataset-714",,https://www.mdpi.com/2077-1312/4/4/79/pdf
"Improvements for the Western North Atlantic, Caribbean and Gulf of Mexico ADCIRC Tidal Database (EC2015)",Journal of Marine Science and Engineering,10.3390/jmse4040072,"Szpilka, Christine, Dresback, Kendra, Kolar, Randall, Feyen, Jesse, Wang, Jindong",Tidal Datum,dataset-614,,
Contributions of recent barometric pressure trends to rates of sea level rise in southeastern Massachusetts (USA),Regional Studies in Marine Science,10.1016/j.rsma.2016.09.005,"Smith, Stephen M.",Tidal Datum,"dataset-614,dataset-668,dataset-779",,https://www.sciencedirect.com/science/article/pii/S2352485516301888/pdfft?md5=f150c493dcb34d4d94cc1285348db7ac&pid=1-s2.0-S2352485516301888-main.pdf
Statistical Interpolation of Tidal Datums and Computation of Its Associated Spatially Varying Uncertainty,Journal of Marine Science and Engineering,10.3390/jmse4040064,"Shi, Lei, Myers, Edward",Tidal Datum,dataset-614,,https://www.mdpi.com/2077-1312/4/4/64/pdf
"The Impacts of Sea-Level Rise on Tidal Flooding in Boston, Massachusetts",Journal of Coastal Research,10.2112/jcoastres-d-15-00100.1,"Kruel, Stephanie",Tidal Datum,dataset-614,,https://bioone.org/journalArticle/Download?fullDOI=10.2112%2FJCOASTRES-D-15-00100.1
