title,url,dataset_id
The Family Transition Program: Final Report on Florida’s Initial Time-Limited Welfare Program.,https://www.acf.hhs.gov/sites/default/files/opre/fl_final_transition.pdf,"dataset-084, dataset-133, dataset-089, dataset-134, dataset-135"
Use of Unemployment Insurance and Employment Services by Newly Unemployed Leavers from Temporary Assistance for Needy Families,https://wdr.doleta.gov/research/FullText_Documents/Use%20of%20Unemployment%20Insurance%20and%20Employment%20Services%20by%20Newly%20Unemployed%20Leavers%20from%20Temporary%20Assistance%20for%20Needy%20Families%20Final%20Report.pdf,"dataset-084, dataset-089, dataset-090, dataset-085, dataset-086, dataset-075, dataset-088, dataset-087"
Factors Influencing Child Maltreatment Among Families Leaving Temporary Assistance to Needy Families,https://search.proquest.com/socialsciences/docview/304857852,"dataset-087, dataset-137, dataset-118"
Job Separation Outcomes of Welfare Hires: Insight from Linked Personnel and State Administrative Data,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1465-7287.2008.00122.x,"dataset-138, dataset-139"
Welfare Leavers in Colorado,http://www.lewin.com/content/dam/Lewin/Resources/Site_Sections/Publications/COWelfareLeaverReport.pdf,"dataset-140, dataset-146"
The Dynamics of Food Stamp Receipt after Welfare Reform,https://research.upjohn.org/cgi/viewcontent.cgi?article=1015&context=up_press,"dataset-147, "
UI as a Safety Net for Former TANF Recipients: Final Report,https://research.upjohn.org/cgi/viewcontent.cgi?article=1033&context=reports,"dataset-089, dataset-084, dataset-087, dataset-088, dataset-086, dataset-075, dataset-099, dataset-148"
Standing still or moving up? Evidence from Wisconsin on the long-term employment and earnings of TANF participants,https://watermark.silverchair.com/32-2-89.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAnkwggJ1BgkqhkiG9w0BBwagggJmMIICYgIBADCCAlsGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMLu2aWfPC-li0xw3rAgEQgIICLJ9QXpCQM5L3e3Fy8DQfzunG3vbjlt9Dwrdr8akP7pxatuGDWxXay96zpHrRpXgOrpOEOzectRTsgZwDTQz7Xy3XtpqDmRILx4AYm9X83ts4uiDUKrw9kJNnrhic3UhLqTAxqtiXmBcO984_HtnBj3phY4uE18gJuQ9V5WuJYU_rZNyAUprcfyJVDiYsBGVYacJ2v10HwEeGOh33hXvdn4e2ofA7RVxiwYVd2jGVM9qd6NeuG4Jw52jad-2YMIL6iOdTnWD7VwsACzX5dVlD1cH2OR-X7J7yFAw8Cg0-l1srNqHI2jtYcvLxA60XqBUp0zDMGg12G2h9WKq_9CjFWAHgU1aBJIAGMqPfyb2lHl87r24ySXARpZhpFt9cdLHcmfAfSZWcIaN1ataZgEuHZ_lyFPGKuwo7nY6Z_c1t_408ydypKEDrbCbsQ9k_JydVf-J-tdKF4XiD51xiSfbjJawfgdwANZHwCD6EI2wG0Y144wHRSJovyNWBx5s8xPlfemyEg9B-z4dNDQtcotebpdUUcdW2UDjfID_QAQASu-VxVy-3j0QeiqaxfdgP7RdQr9G5GLtrUG9dQ5VdCCp5C6c-e4yvavcEKF4vDxf7ec4U8DQqd9tINH9IHJ9jw--Mbb-OpW2n2IAHeWT3j-Cl3x53lbhUojYOYr2Un8rc5u4R0PfXTUyXLQkLyaVstRbLRGJSOdES_n-u8nnqWsT70yXbaBCIjaeQHsT-HzQ,"dataset-065, dataset-063"
"Severity, timing, and duration of welfare sanctions and the economic wellbeing of TANF families with children",https://www.sciencedirect.com/science/article/pii/S019074090700148X#!,"dataset-120, dataset-063"
The Earnings and Income of Wisconsin Works (W-2) Applicants.,https://www.researchgate.net/publication/267808435_The_Earnings_and_Income_of_Wisconsin_Works_W-2_Applicants_The_Earnings_and_Income_of_Wisconsin_Works_W-2_Applicants,"dataset-101, dataset-063, dataset-120, dataset-149"
"Welfare and Child Support: Complements, Not Substitutes",https://onlinelibrary.wiley.com/doi/epdf/10.1002/pam.20328,"dataset-101, dataset-149"
Paying for the relocation of welfare recipients: Evidence from the Kentucky Relocation Assistance Program.,http://ukcpr.org/sites/ukcpr/files/research-pdfs/DP2008-01.pdf,"dataset-150, dataset-155, dataset-156"
Welfare recipient work choice and in-kind benefits in Washington state,https://www.tandfonline.com/doi/full/10.1080/00036840500461865,"dataset-077, dataset-157, dataset-158, dataset-159, dataset-160"
Barriers to employment among TANF applicants and their consequences for self-sufficiency,https://pdfs.semanticscholar.org/53bd/a61381108bb196ada4e6be37dc186c424e60.pdf,"dataset-065, dataset-063"
"The Impact of Welfare Reform on Leaver Characteristics, Employment and Recidivism: An Analysis of Maryland and Missouri",https://economics.missouri.edu/working-papers/2007/wp0720_mueser.pdf,"dataset-166, dataset-167, dataset-168, dataset-169"
Diverting dependency: The effects of diversion on the short-term outcomes of TANF applicants,https://www.tandfonline.com/doi/pdf/10.1300/J134v11n01_04?needAccess=true,dataset-091
The Impact of Local Labor Market Conditions on Work and Welfare Decisions: Revisiting an Old Question Using New Data,http://www.ubalt.edu/jfi/jfi/reports/Herbst_StevensFINAL111307.pdf,"dataset-168, dataset-166, dataset-170"
"Between Welfare Reform and Reauthorization: Income Support Systems in Cuyahoga and Philadelphia, 2000 to 2005",https://www.mdrc.org/sites/default/files/full_26.pdf,"dataset-087, dataset-088, dataset-103, dataset-118, dataset-171, dataset-172, dataset-173"
Welfare Program Performance: an Analysis of South Carolina’s Family Independence Program,https://journals.sagepub.com/doi/pdf/10.1177/0275074006288307,"dataset-175, dataset-174"
Earned Income Credit Utilization by Welfare Recipients: A Case Study of Minnesota’s Earned Income Credit Program,https://onlinelibrary.wiley.com/doi/epdf/10.1002/pam.20230,"dataset-107, dataset-176"
Child Welfare Services Involvement: Findings from the Milwaukee TANF Applicant Study,http://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=C9BE16F7D4047AF50017266DEE2504A3?doi=10.1.1.706.8989&rep=rep1&type=pdf,"dataset-177, dataset-120, dataset-063"
SCHIP expansion and parental coverage: an evaluation of Wisconsin’s BadgerCare,https://www.sciencedirect.com/science/article/abs/pii/S0167629606000063,"dataset-120, dataset-063"
How do welfare sanctions work?,https://watermark.silverchair.com/30-1-33.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAnkwggJ1BgkqhkiG9w0BBwagggJmMIICYgIBADCCAlsGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQM8f4sc-MpOdKQgHJhAgEQgIICLB1d2mj82oc2Dy6BgdeFknCfqRWwR9U6_owXMTXwfqZ1xuxjiiN7N_kx9mvlRlijnJUEkUUhKY36W2ZAgMb4dts_wv2Q7c8pvREuKwlb642N9UE0vyRFUPczGIhE0iM6qL3tJuwoEl5WOMMunz4oZ6YlnYCfcrOEu423wAk1_0q1CwsEvNiMwe86WM6VEVAwJMmKW7Mx4dYMd7EKwkU_MdE0WgYvSQcpMOwMlWViEOsJMeoZ1prtTKKIIp3ziEG5KHZHgVn_EDtgVnbnjhxe6kmi7dZDSpgSTkmNko5lAeqDr8aYJq72WKs8q-QEZ3Dk3uQz5MkCLsqp7z2mGS8Ao4B0ouQIL9glnAiry2_AK0GpSQwU9N78Ng7huwoOvyEAetkQLdUD2q9zyKjMg9TinLmk_ej6ysfwZgIylQQ8uZfleXLsd5q0imTe8_iEPuUc8eCh2CxMVJ_mSjzGsZ_AwZ2YZZURwAuziuyMsYsrVRu5yFpyU6QBSMFfK4gQzvBypFGL4b5qDz5-DRPyGKQG40e_0fghNkgA_JiEBQF7kl0_YPucoYcWWv8Uu3mnzyU2UDv1gs9NBtMnOd-uH_N71hTWmMroHcvQkZ-OjPhogUBaxJYBOaU4k61EvBgs5MgzTphNOh9lLUfJnPMk2AsX5OqF9Ti9qu5afowi_Hc17Dph80sf1ES1UIZznMSIrJH4xQB4bxbT1QK9-dj6_p4_ScEyppH-L-8qVM1Utp4,"dataset-063, dataset-120"
Disconnected Leavers: The Circumstances of Those Without Welfare and Without Work,https://www.familywelfare.umaryland.edu/reports/lostleavers.pdf,"dataset-126, dataset-132, dataset-127, dataset-178"
Profile of the Active Caseload: Separate State Programs & Short-Term Disabilities,https://www.familywelfare.umaryland.edu/reports/ssp.pdf,"dataset-126, dataset-132 "
"Earnings, Assets, and Program Dependence",https://nanopdf.com/download/earningsassetsandprogramdependence_pdf,"dataset-179, dataset-148, dataset-180, dataset-181, dataset-182"
Income and Poverty: Findings from the Milwaukee TANF Applicant Study,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.708.3481&rep=rep1&type=pdf,"dataset-065, dataset-063, dataset-120"
Maryland’s Child-Only Caseload: A Comparison of Parental and Non-parental Cases,https://pdfs.semanticscholar.org/4845/43743fc3b33377b7d6e96381aff5005a0bf3.pdf?_ga=2.69621712.1716898277.1569937795-1346455534.1569937795,"dataset-126, dataset-132 "
Examining the Impact of the Family Violence Option on Women’s Efforts to Leave Welfare,http://journals.sagepub.com/doi/pdf/10.1177/1049731504272908,dataset-208
Involvement of TANF Applicant Families with Child Welfare Services,https://www.journals.uchicago.edu/doi/full/10.1086/426720?mobileUi=0,"dataset-177, dataset-120, dataset-063"
Potential employment liabilities among TANF recipients: a synthesis of data from six state TANF caseload studies,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.564.5572&rep=rep1&type=pdf,"dataset-209, dataset-102, dataset-182, dataset-166, dataset-167, dataset-174"
Estimating Welfare Work Exits: Case Closing Reasons vs. UI Data,https://www.familywelfare.umaryland.edu/reports/exitforworkbrief.pdf,"dataset-168, dataset-166, dataset-210, dataset-211, dataset-171, dataset-212, dataset-213"
Addressing Barriers to Employment: Detecting and Treating Health and Behavioral Problems Among New Jersey’s TANF Clients,http://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=B12EB269EBB6405A4E2AFB90E47E6FEF?doi=10.1.1.369.984&rep=rep1&type=pdf,"dataset-109, dataset-215, dataset-216, dataset-217, dataset-218"
"Welfare Reform in Miami: Implementation, Effects, and Experiences of Poor Families and Neighborhoods",https://www.mdrc.org/sites/default/files/full_605.pdf,"dataset-084, dataset-118, dataset-089"
"Alternative Measures of Economic Success among TANF Participants: Avoiding Poverty, Hardship, and Dependence on Public Assistance.",http://web.a.ebscohost.com/ehost/pdfviewer/pdfviewer?vid=1&sid=af96e302-2701-4ce2-a6c5-e8794b65e718%40sessionmgr4006,dataset-101
"Are Welfare Sanctions Working as Intended? Welfare Receipt, Work Activity, and Material Hardship among TANF-Recipient Families",https://www.jstor.org/stable/pdf/10.1086/421918.pdf?refreqid=excelsior%3A42f4c6546ca0a1f47e6c7e4eabf8cb1c,"dataset-219, dataset-182, dataset-220"
Child Care Subsidy Use and Employment Outcomes of TANF Mothers During the Early Years of Welfare Reform: A Three-State Study,https://www.ubalt.edu/jfi/jfi/reports/chapin_2004.pdf,"dataset-182, dataset-166, dataset-221, dataset-220, dataset-168, dataset-222, dataset-227, dataset-124, dataset-223"
"Race, Bureaucratic Discretion, and the Implementation of Welfare Reform",https://www.jstor.org/stable/pdf/1519885.pdf,"dataset-167, dataset-169, dataset-224"
Early and Later WFNJ Clients: Are Their Experiences Different?,https://www.mathematica-mpr.com/-/media/publications/pdfs/earlywfnj.pdf,"dataset-225, dataset-109"
Life on Welfare: The Active TANF Caseload In Maryland ,https://aspe.hhs.gov/system/files/pdf/73461/Life-on-Welfare.pdf,"dataset-214, dataset-126, dataset-227, dataset-228, dataset-132"
Life After Welfare: Regional Analysis of Recent Leavers,https://www.familywelfare.umaryland.edu/reports1/pgleavers.pdf,dataset-166
Unemployment Insurance As a Potential Safety Net for TANF Leavers: Evidence from Five States: Final Report,https://www.mathematica.org/our-publications-and-findings/publications/unemployment-insurance-as-a-potential-safety-net-for-tanf-leavers-evidence-from-five-states,"dataset-229, dataset-230, dataset-182, dataset-220, dataset-168, dataset-166, dataset-171, dataset-103, dataset-148, dataset-099"
Former TANF Recipients’ Monetary Eligibility for Unemployment Insurance Benefits: An Empirical Study,https://wdr.doleta.gov/conference/pdf/book1.pdf#page=188,"dataset-101, dataset-063"
Cass County and Williams County TANF Pilot Projects Outcome Evaluation,http://www.library.nd.gov/statedocs/HumanServices/TANF%20Pilots%20Report%20-%208-1-03.pdf,"dataset-231, dataset-232, dataset-233, dataset-234"
Life After Welfare: Child Abuse & Neglect Reports among Early & Later Leavers,https://www.familywelfare.umaryland.edu/reports/cwmva.pdf,"dataset-126, dataset-132"
Monitoring Outcomes for Los Angeles County’s Pre- and Post-CalWORKs Leavers,https://aspe.hhs.gov/system/files/pdf/177656/LA-post-core.pdf,"dataset-235, dataset-097"
"The Employment, Earnings, and Income of Single Mothers in Wisconsin Who Left Cash Assistance: Comparison Among Three Cohorts",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.208.7159&rep=rep1&type=pdf,"dataset-120, dataset-063"
Families on Colorado Works: Employment Assets and Liabilities,https://aspe.hhs.gov/system/files/pdf/176541/Welfare-Barriers.pdf,"dataset-209, dataset-236, dataset-237, dataset-238"
Families on TANF in Illinois: Employment Assets and Liabilities,https://aspe.hhs.gov/system/files/pdf/72616/report.pdf,"dataset-182, dataset-220, dataset-239"
Monitoring Outcomes for Cuyahoga County’s Welfare Leavers: How Are They Faring?,https://www.mdrc.org/sites/default/files/full_448.pdf,"dataset-087, dataset-088"
Assessing the effects of substance abuse among applicants for TANF benefits: the outcome of a demonstration project in Florida,https://www.tandfonline.com/doi/pdf/10.1300/J045v17n01_03?needAccess=true,"dataset-089, dataset-133, dataset-084, dataset-240"
"Welfare Restructuring, Work & Poverty: Policy Implications from Oregon",https://pages.uoregon.edu/cswspub/pm2/pmpart1.pdf,"dataset-241, dataset-093"
Illinois TANF Applicant Study,https://aspe.hhs.gov/system/files/pdf/180596/TANF_Applicant_Study_2001.pdf,dataset-182
Current and Former WFNJ Clients: How Are They and Their Children Faring 40 Months Later?,https://ideas.repec.org/p/mpr/mprres/8c1e11723d504a1f9f9186b11fc07c06.html,dataset-109
Foster Care Experiences of Long-Term Welfare Recipients in California,https://www.jstor.org/stable/pdf/10.1086/342995.pdf?refreqid=excelsior%3Ac99dc658cbf65de9fa663a4a881446ae,"dataset-097, dataset-242, dataset-243"
 Before and After TANF: The Economic Well-Being of Women Leaving Welfare,https://www.jstor.org/stable/pdf/10.1086/342997.pdf?refreqid=excelsior%3Ac697a235acffa7dc1691e39eb92bb080,"dataset-120, dataset-063"
Leaving Welfare: Post-TANF Experiences of New York State Families,https://aspe.hhs.gov/system/files/pdf/177666/leaving02.pdf,"dataset-104, dataset-244"
Study to Examine UI Eligibility Among Former TANF Recipients: Evidence from New Jersey: Final Report,https://aspe.hhs.gov/system/files/pdf/72641/report.pdf,"dataset-109, dataset-245"
An Analysis of Vermont’s Community Service Program,https://www.mdrc.org/sites/default/files/full_20.pdf,"dataset-246, dataset-247, dataset-248"
WRP: Final Report on Vermont’s Welfare Restructuring Project,https://www.mdrc.org/sites/default/files/full_624.pdf,"dataset-248, dataset-249, dataset-246, dataset-247, dataset-251, dataset-250"
The Take-Up of Medicaid and Food Stamps by Welfare Leavers: The Case of Wisconsin.,https://www.researchgate.net/publication/237258125_The_Take-Up_of_Medicaid_and_Food_Stamps_by_Welfare_Leavers_The_Case_of_Wisconsin,"dataset-120, dataset-063"
Iowa Families That Left TANF: Why Did They Leave and How Are They Faring?,https://aspe.hhs.gov/system/files/pdf/177386/IA-Report01.pdf,"dataset-252, dataset-253, dataset-254, dataset-261, dataset-262, dataset-263"
Arizona Cash Assistance Exit Study: First Quarter 1998 Final Report.,https://aspe.hhs.gov/system/files/pdf/177096/AZ-CAExitStudy00.pdf,dataset-272
The Status of TANF Leavers in the District of Columbia: Final Report,https://aspe.hhs.gov/system/files/pdf/177266/dc_tanf_leavers01.pdf,"dataset-273, dataset-274"
Tracking the Outcomes of Welfare Reform in Florida for Three Groups of People,https://aspe.hhs.gov/system/files/pdf/177256/CrewTrackingFinalDHHS.pdf,"dataset-135, dataset-136, dataset-089"
"Employment, Earnings, and Recidivism among Georgia's TANF Leavers: Findings from the TANF Follow-up System",http://dhr.georgia.gov/sites/dfcs.georgia.gov/files/imported/DHR-DFCS/DHR-DFCS_CommonFiles/Leavers%202004.pdf,"dataset-085, dataset-090"
Illinois Study of Former TANF Clients,https://aspe.hhs.gov/system/files/pdf/180591/tanf_finalrpt.pdf,"dataset-275, dataset-276, dataset-277, dataset-278, dataset-279, dataset-280, dataset-281, dataset-220"
After Time Limits: A Study of Households Leaving Welfare Between December 1998 and April 1999,https://aspe.hhs.gov/system/files/pdf/177111/ATL-CSR00.pdf,"dataset-222, dataset-221"
Final Report on the 1996 Cohort of Welfare Leavers (Administrative Outcomes).,https://aspe.hhs.gov/system/files/pdf/177696/leavers99.pdf,"dataset-169, dataset-224, dataset-167"
After Welfare: A Study of Work and Benefit Use After Case Closing,https://aspe.hhs.gov/system/files/pdf/177041/after-welfare99.pdf,"dataset-282, dataset-283, dataset-244"
Welfare Leavers and Diverters Research Study. One Year Follow-Up of Welfare Leavers- Final Report,https://aspe.hhs.gov/system/files/pdf/176976/1-Year_Follow-Up_Leavers.pdf,dataset-174
A Study of Washington State TANF Departures and Welfare Reform. Welfare Reform and Findings from Administrative Data. Final Report.,https://aspe.hhs.gov/system/files/pdf/177036/AdminData.pdf,"dataset-158, dataset-284, dataset-078, dataset-291, dataset-292"
A Study of Washington State TANF Leavers and TANF Recipients. Findings from the AprilJune 1999 Telephone Survey. Final Report.,https://aspe.hhs.gov/system/files/pdf/177321/Exit3Report.pdf,"dataset-077, dataset-293"
W-2 Leavers in 1998: Final Report,https://aspe.hhs.gov/system/files/pdf/177686/leaversreport98.pdf,dataset-120
Monitoring Outcomes for Cuyahoga County's Welfare Leavers: How are they Faring?,https://aspe.hhs.gov/system/files/pdf/180686/UC-Cuyahoga-WelfareLeavers.pdf,"dataset-088, dataset-087"
Monitoring Outcomes for Los Angeles County’s Pre- and Post-CalWORKs Leavers: How Are They Faring,https://aspe.hhs.gov/system/files/pdf/177656/LA-post-core.pdf,"dataset-097, dataset-235"
Examining Circumstances of Individuals and Families Who Leave TANF: Assessing the Validity of Administrative Data.,https://aspe.hhs.gov/system/files/pdf/177076/ASPE3County12Month.pdf,"dataset-235, dataset-265"
Life After Welfare: Fourth Interim Report,https://pdfs.semanticscholar.org/e538/7f3da868137f4db83b82f14f3018a6aa82ee.pdf,"dataset-126, dataset-132"
Work First New Jersey (WFNJ) Evaluation: How WFNJ Clients Are Faring Under Welfare Reform: An Early Look,http://www.mathematica-mpr.com/~/media/publications/PDFs/wfnj.pdf,"dataset-225, dataset-245"
Transitions from AFDC to child welfare in California,https://reader.elsevier.com/reader/sd/pii/S0190740999000559?token=67B2E1950AE7406A219FD2CFB3EA71D1066F8490628F3396DD8C38DD506193FE86A0CC9089DEAC8B777AF05E4176130A,"dataset-310, dataset-311, dataset-290"
