title,url,authors,doi,journal,search_term,dataset_id
"The marine flooding hazard along the western coast of Cherbourg Peninsula (Manche, France): a dynamic approach using both numerical modeling with LIDAR data",https://hal.archives-ouvertes.fr/hal-02153446,"Rott, Manuel, Guillou, Sylvain, Hadri, Ferhat, De Saint-Leger, Emmanuel, Levoy, Franck, Bretel, Patrice, Thiebot, Jérôme",10.1051/lhb/2014061,,Coastal Topographic Lidar,dataset-618
Strength in Numbers: Combining Multi-Source Remotely Sensed Data to Model Plant Invasions in Coastal Dune Ecosystems,http://dx.doi.org/10.3390/rs11030275,"Malavasi, Marco, Barták, Vojtech, Jucker, Tommaso, Acosta, Alicia Teresa Rosario, Carranza, Maria Laura, Bazzichetto, Manuele",10.3390/rs11030275,Remote Sensing,Coastal Topographic Lidar,dataset-618
A GIS OF SARDINIA'S COASTAL DEFENSE SYSTEM (XVI &ndash; XVIII CENTURY),http://www.int-arch-photogramm-remote-sens-spatial-inf-sci.net/XL-4-W7/17/2015/isprsarchives-XL-4-W7-17-2015.pdf,"M. Deidda, C. Musa, G. Vacca",10.5194/isprsarchives-XL-4-W7-17-2015,The International Archives of the Photogrammetry,Coastal Topographic Lidar,dataset-618
"Integrated River and Coastal Hydrodynamic Flood Risk Mapping of the LaHave River Estuary and Town of Bridgewater, Nova Scotia, Canada",http://dx.doi.org/10.3390/w6030517,"Webster, Tim, McGuigan, Kevin, Collins, Kate, MacDonald, Candace",10.3390/w6030517,Water,Coastal Topographic Lidar,dataset-618
Best Practices for Elevation-Based Assessments of Sea-Level Rise and Coastal Flooding Exposure,https://www.frontiersin.org/article/10.3389/feart.2018.00230/full,Dean B. Gesch,10.3389/feart.2018.00230/full,Frontiers in Earth Science,Coastal Topographic Lidar,dataset-618
Effects of DEM scale on the spatial distribution of the TOPMODEL topographic wetness index and its correlations to watershed characteristics,https://www.hydrol-earth-syst-sci-discuss.net/hess-2015-275/,"Drover, D. R., Jackson, C. R., Bitew, M., Du, E.",10.5194/hessd-12-11817-2015,,Coastal Topographic Lidar,dataset-618
3D Modelling of Dune Ecosystems Using Photogrammetry From Remotely Piloted Air Systems Surveys,http://hdl.handle.net/10045/99856,"Pagán, José Ignacio, López Úbeda, Isabel, Bañón, Luis, Aragonés, Luis",10.2495/CMEM190161,,Coastal Topographic Lidar,dataset-618
Variations in the response of the dune coast of northern France to major storms as a function of available beach sediment volume,https://hal.archives-ouvertes.fr/hal-01689597,"Crapoulet , Adrien, Hequette , Arnaud, Marin , Denis, Levoy , Franck, Bretel , Patrice",10.1002/esp.4098,,Coastal Topographic Lidar,dataset-618
Structure-from-Motion photogrammetry for high-resolution coastal and fluvial geomorphic surveys,https://hal.archives-ouvertes.fr/hal-01483281,"Brunier, Guillaume, FLEURY, Jules, Anthony, Edward J., Pothin, Virginie, Vella, Claude, DUSSOUILLEZ, Philippe, Gardel, Antoine, Michaud, Emma",10.4000/geomorphologie.11358,,Coastal Topographic Lidar,dataset-618
Validation of ICESat-2 ATLAS Bathymetry and Analysis of ATLAS’s Bathymetric Mapping Performance,http://dx.doi.org/10.3390/rs11141634,"Christopher E. Parrish, Lori A. Magruder, Amy L. Neuenschwander, Nicholas Forfinski-Sarkozi, Michael Alonzo, Michael Jasinski",10.3390/rs11141634,Remote Sensing,Coastal Topographic Lidar,dataset-618
"Origin and development of true karst valleys in response to late Holocene sea‐level change, the Transverse Glades of southeast Florida, USA",https://doi.org/10.1002/dep2.84,"John F. Meeder, Peter W. Harlem",10.1002/dep2.84,The Depositional Record,Coastal Topographic Lidar,dataset-618
Évaluation de l’évolution du trait de côte et du bilan sédimentaire littoral en baie de Wissant (nord de la France) par LiDAR aéroporté,http://geomorphologie.revues.org/11146,"Crapoulet, Adrien, Héquette, Arnaud, Levoy, Franck, Bretel, Patrice",10.4000/geomorphologie.11146,,Coastal Topographic Lidar,dataset-618
Mapping Arctic Plant Functional Type Distributions in the Barrow Environmental Observatory Using WorldView-2 and LiDAR Datasets,http://www.mdpi.com/2072-4292/8/9/733,"Zachary Langford, Jitendra Kumar, Forrest M. Hoffman, Richard J. Norby, Stan D. Wullschleger, Victoria L. Sloan, Colleen M. Iversen",10.3390/rs8090733,Remote Sensing,Coastal Topographic Lidar,dataset-618
"Aplicación de los SIG en la clasificación morfológica de los tipos de costa: el ejemplo de las Illas Cíes (Galicia, NO de la Península Ibérica)",http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2182-12672016000100009&lng=en&tlng=en,"Gómez-Pazo, Alejandro, Pérez-Alberti, Augusto",,,Coastal Topographic Lidar,dataset-618
Inland and Near Shore Water Profiles Derived from the High Altitude Multiple Altimeter Beam Experimental Lidar (MABEL),https://europepmc.org/articles/PMC6839786/,"Jasinski, Michael F., Stoll, Jeremy D., Cook, William B., Ondrusek, Michael, Stengel, Eric, Brunt, Kelly",10.2112/si76-005,,Coastal Topographic Lidar,dataset-618
Coastal dune dynamics in response to excavated foredune notches,http://dspace.library.uu.nl/handle/1874/363245,"Ruessink, B. G., Arens, S. M., Kuipers, M., Donker, J. J.A.",10.1016/j.aeolia.2015.07.001,,Coastal Topographic Lidar,dataset-618
"Coincident beach surveys using UAS, vehicle mounted and airborne laser scanner: point cloud inter-comparison and effects of surface type heterogeneity on elevation accuracies",http://eprints.bbk.ac.uk/21238/1/Elsner_etal_RSE_UAS_Paper_revision2_clean.pdf,"Elsner, Paul, Dornbusch, U., Thomas, I., Amos, D., Bovington, J., Horn, Diane",10.1016/j.rse.2018.02.008,,Coastal Topographic Lidar,dataset-618
"Edaphic and geomorphic evidences of water level fluctuations in Gallocanta Lake, NE Spain",http://hdl.handle.net/10261/109572,"Castañeda del Álamo, Carmen, Gracia, Francisco Javier, Luna Jordán, Estela, Rodríguez-Ochoa, Rafael",10.1016/j.geoderma.2014.11.005,,Coastal Topographic Lidar,dataset-618
"Stages of sedimentary infilling in a hypertidal bay using a combination of sedimentological, morphological and dynamic criteria (Bay of Somme, France)",https://doaj.org/toc/1744-5647,"MICHEL , Charlotte, Le Bot , S., Druine , Flavie, Costa , Stéphane, Levoy , Franck, Dubrulle-Brunaud , Carole, Lafite , Robert",10.1080/17445647.2017.1389663,Journal of Maps,Coastal Topographic Lidar,dataset-618
