rank,publication_id,doi,url,pmid,pmcid,title,source_title,anthology_title,publisher,mesh_terms,pubyear,volume,issue,pagination,open_access,publication_type,authors,authors_affiliations,research_organizations_-_standardized,grid_ids,city_of_research_organization,state_of_research_organization,country_of_research_organization,funder,funder_group,funder_country,uids_of_supporting_grants,supporting_grants,times_cited,recent_citations,rcr,fcr,source_linkout,dimensions_url,for_(anzsrc)_categories,for_1,for_2,for_3,for_4,for_5,rcdc_categories,rcdc_1,rcdc_2,rcdc_3,rcdc_4,rcdc_5,hrcs_hc_categories,hrcs_hc_1,hrcs_hc_2,hrcs_hc_3,hrcs_hc_4,hrcs_hc_5,hrcs_rac_categories,hrcs_rac_1,hrcs_rac_2,hrcs_rac_3,hrcs_rac_4,hrcs_rac_5,health_research_areas,broad_research_areas,icrp_cancer_types,icrp_cancer_types_1,icrp_cancer_types_2,icrp_cancer_types_3,icrp_cancer_types_4,icrp_cancer_types_5,icrp_cso_categories,icrp_cso_1,icrp_cso_2,icrp_cso_3,icrp_cso_4,icrp_cso_5,domain,search_note,norm_rank,dataset
186,pub.1004465539,10.1007/s10995-012-1067-y,www.doi.org/10.1007/s10995-012-1067-y,22729661,,Measuring the Impact and Outcomes of Maternal Child Health Federal Programs,Maternal and Child Health Journal,,Springer Nature,Breast Feeding; Child; Child Health Services; Child Welfare; Evaluation Studies as Topic; Female; Government Programs; Humans; Male; Maternal Health Services; Maternal Welfare; Program Evaluation; Public Assistance; United States,2013,17,5,886-896,Closed,article,"Taylor, Yhenneko J.; Nies, Mary A.","Taylor, Yhenneko J. (University of North Carolina at Charlotte); Nies, Mary A. (University of North Carolina at Charlotte)",University of North Carolina at Charlotte,grid.266859.6,Charlotte,North Carolina,United States,,,,,,10,0,0.54,1.61,,https://app.dimensions.ai/details/publication/pub.1004465539,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Clinical Research; Pediatric; Prevention; Health Services,Clinical Research,Pediatric,Prevention,Health Services,,Reproductive Health and Childbirth,Reproductive Health and Childbirth,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.297906602,dataset-346
185,pub.1040674665,10.1016/j.pmedr.2016.12.007,www.doi.org/10.1016/j.pmedr.2016.12.007,27990340,PMC5157787,"Implementation of a food insecurity screening and referral program in student-run free clinics in San Diego, California",Preventive Medicine Reports,,Elsevier,,2017,5,,134-139,All OA; Pure Gold,article,"Smith, Sunny; Malinak, David; Chang, Jinnie; Perez, Maria; Perez, Sandra; Settlecowski, Erica; Rodriggs, Timothy; Hsu, Ming; Abrew, Alexandra; Aedo, Sofia","Smith, Sunny (University of California, San Diego); Malinak, David (University of California, San Diego); Chang, Jinnie (University of California, San Diego); Perez, Maria (University of California, San Diego); Perez, Sandra (University of California, San Diego); Settlecowski, Erica (University of California, San Diego); Rodriggs, Timothy (University of California, San Diego); Hsu, Ming (University of California, San Diego); Abrew, Alexandra (University of California, San Diego); Aedo, Sofia (University of California, San Diego)","University of California, San Diego",grid.266100.3,San Diego,California,United States,,,,,,6,6,2.17,3.5,https://doi.org/10.1016/j.pmedr.2016.12.007,https://app.dimensions.ai/details/publication/pub.1040674665,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Clinical Research; Health Services; Nutrition,Clinical Research,Health Services,Nutrition,,,,,,,,,,,,,,,,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.296296296,dataset-346
185,pub.1101221795,10.1016/j.jneb.2018.01.003,www.doi.org/10.1016/j.jneb.2018.01.003,29478951,,An Evaluation of Washington State SNAP-Ed Farmers' Market Initiatives and SNAP Participant Behaviors,Journal of Nutrition Education and Behavior,,Elsevier,,2018,50,MMWR Morb Mortal Wkly Rep 66 2017,536-546,Closed,article,"Walkinshaw, Lina Pinero; Quinn, Emilee L.; Rocha, Anita; Johnson, Donna B.","Walkinshaw, Lina Pinero (University of Washington); Quinn, Emilee L. (University of Washington); Rocha, Anita (University of Washington); Johnson, Donna B. (University of Washington)",University of Washington,grid.34477.33,Seattle,Washington,United States,National Center for Advancing Translational Sciences; United States Department of Agriculture,USDA; NIH,United States; United States,grant.2705230,UL1TR000423,2,2,0,0,,https://app.dimensions.ai/details/publication/pub.1101221795,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.296296296,dataset-346
185,pub.1112135798,10.3390/ijerph16040529,www.doi.org/10.3390/ijerph16040529,30781764,PMC6406909,"Identifying Barriers and Supports to Breastfeeding in the Workplace Experienced by Mothers in the New Hampshire Special Supplemental Nutrition Program for Women, Infants, and Children Utilizing the Total Worker Health Framework",International Journal of Environmental Research and Public Health,,MDPI,,2019,16,4,529,All OA; Bronze,article,"Lauer, Eric A.; Armenti, Karla; Henning, Margaret; Sirois, Lissa","Lauer, Eric A. (University of New Hampshire); Armenti, Karla (University of New Hampshire); Henning, Margaret (Keene State College); Sirois, Lissa (New Hampshire Department of Health and Human Services)",University of New Hampshire; New Hampshire Department of Health and Human Services; Keene State College,grid.167436.1; grid.422654.3; grid.422868.2,Durham; Concord; Keene,New Hampshire; New Hampshire; New Hampshire,United States; United States; United States,Centers for Disease Control and Prevention; National Institute for Occupational Safety and Health,CDC,United States; United States,grant.4241660,U60OH010910,0,0,0,0,http://dx.doi.org/10.3390/ijerph16040529,https://app.dimensions.ai/details/publication/pub.1112135798,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Nutrition; Pediatric,Nutrition,Pediatric,,,,Reproductive Health and Childbirth,Reproductive Health and Childbirth,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.296296296,dataset-346
185,pub.1067825334,10.1542/peds.2006-1117,www.doi.org/10.1542/peds.2006-1117,17079580,,Fruit Juice Intake Predicts Increased Adiposity Gain in Children From Low-Income Families: Weight Status-by-Environment Interaction,Pediatrics,,American Academy of Pediatrics (AAP),"Adipose Tissue; Beverages; Child, Preschool; Environment; Female; Fruit; Humans; Infant; Male; Poverty; Prospective Studies; Weight Gain",2006,118,5,2066-2075,Closed,article,"Faith, Myles S.; Dennison, Barbara A.; Edmunds, Lynn S.; Stratton, Howard H.","Faith, Myles S. (University of Pennsylvania; Children's Hospital of Philadelphia); Dennison, Barbara A. (New York State Department of Health; Bassett Healthcare Network); Edmunds, Lynn S. (New York State Department of Health); Stratton, Howard H. (University at Albany, State University of New York)","University of Pennsylvania; Bassett Healthcare Network; New York State Department of Health; University at Albany, State University of New York; Children's Hospital of Philadelphia",grid.25879.31; grid.427850.c; grid.238491.5; grid.265850.c; grid.239552.a,Philadelphia; Cooperstown; Albany; Albany; Philadelphia,Pennsylvania; New York; New York; New York; Pennsylvania,United States; United States; United States; United States; United States,United States Department of Agriculture,USDA,United States,,,133,18,4.51,9.77,,https://app.dimensions.ai/details/publication/pub.1067825334,1117 Public Health and Health Services; 1111 Nutrition and Dietetics,1117 Public Health and Health Services,1111 Nutrition and Dietetics,,,,Nutrition; Pediatric; Obesity; Clinical Research; Prevention,Nutrition,Pediatric,Obesity,Clinical Research,Prevention,Cardiovascular; Cancer; Oral and Gastrointestinal; Metabolic and Endocrine; Stroke,Cardiovascular,Cancer,Oral and Gastrointestinal,Metabolic and Endocrine,Stroke,3.1 Primary prevention interventions to modify behaviours or promote well-being; 3.3 Nutrition and chemoprevention,3.1 Primary prevention interventions to modify behaviours or promote well-being,3.3 Nutrition and chemoprevention,,,,Population & Society,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.296296296,dataset-346
184,pub.1104156175,10.1002/oby.22184,www.doi.org/10.1002/oby.22184,29797558,PMC5975976,Differences in the Neighborhood Retail Food Environment and Obesity Among US Children and Adolescents by SNAP Participation,Obesity,,Wiley,,2018,26,6,1063-1071,All OA; Bronze,article,"Findling, Mary T. Gorski; Wolfson, Julia A.; Rimm, Eric B.; Bleich, Sara N.","Findling, Mary T. Gorski (Harvard University); Wolfson, Julia A. (University of Michigan); Rimm, Eric B. (Harvard University; Brigham and Women's Hospital); Bleich, Sara N. (Harvard University)",University of Michigan; Harvard University; Brigham and Women's Hospital,grid.214458.e; grid.38142.3c; grid.62560.37,Ann Arbor; Cambridge; Boston,Michigan; Massachusetts; Massachusetts,United States; United States; United States,National Institute of Child Health and Human Development; Agency for Healthcare Research and Quality,NIH,United States; United States,grant.2621398; grant.2685043,R24HD042854; T32HS000055,1,1,0,0,https://onlinelibrary.wiley.com/doi/pdf/10.1002/oby.22184,https://app.dimensions.ai/details/publication/pub.1104156175,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Nutrition; Pediatric; Clinical Research; Obesity,Nutrition,Pediatric,Clinical Research,Obesity,,Cancer; Stroke; Oral and Gastrointestinal; Metabolic and Endocrine,Cancer,Stroke,Oral and Gastrointestinal,Metabolic and Endocrine,,,,,,,,Population & Society,,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.29468599,dataset-346
184,pub.1063560395,10.1177/000992280204100808,www.doi.org/10.1177/000992280204100808,12403378,,Prolonged Bottle Use and Its Association With Iron Deficiency Anemia and Overweight: A Preliminary Study,Clinical Pediatrics,,SAGE Publications,"African Americans; Anemia, Iron-Deficiency; Body Mass Index; Bottle Feeding; Child, Preschool; Cross-Sectional Studies; Female; Hispanic Americans; Humans; Infant; Infant Nutritional Physiological Phenomena; Male; New York; Obesity; Poverty; Risk Factors; Social Welfare; United States",2002,41,8,603-607,Closed,article,"Bonuck, Karen A.; Kahn, Richard","Bonuck, Karen A. (Montefiore Medical Center); Kahn, Richard (Montefiore Medical Center)",Montefiore Medical Center,grid.240283.f,The Bronx,New York,United States,,,,,,39,3,1.3,3.17,,https://app.dimensions.ai/details/publication/pub.1063560395,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Clinical Research; Pediatric; Brain Disorders; Obesity; Hematology; Prevention; Nutrition,Clinical Research,Pediatric,Brain Disorders,Obesity,Hematology,Metabolic and Endocrine,Metabolic and Endocrine,,,,,,,,,,,,,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.29468599,dataset-346
188,pub.1109778305,10.1016/j.evalprogplan.2018.11.004,www.doi.org/10.1016/j.evalprogplan.2018.11.004,30471539,,Evaluating the impact of a healthy corner store initiative on food access domains,Evaluation and Program Planning,,Elsevier,,2019,73,Pediatrics 108 2001,24-32,Closed,article,"Paluta, Lauren; Kaiser, Michelle L.; Huber, Sarah; Wheeler, Jack","Paluta, Lauren (The Ohio State University); Kaiser, Michelle L. (The Ohio State University); Huber, Sarah (Harvard University); Wheeler, Jack (The Ohio State University)",The Ohio State University; Harvard University,grid.261331.4; grid.38142.3c,Columbus; Cambridge,Ohio; Massachusetts,United States; United States,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1109778305,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Prevention; Cancer; Behavioral and Social Science,Prevention,Cancer,Behavioral and Social Science,,,,,,,,,,,,,,,,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND (WIC OR ""women, infants and Children"") AND ""Program Data""'",0.2921875,dataset-346
188,pub.1109778305,10.1016/j.evalprogplan.2018.11.004,www.doi.org/10.1016/j.evalprogplan.2018.11.004,30471539,,Evaluating the impact of a healthy corner store initiative on food access domains,Evaluation and Program Planning,,Elsevier,,2019,73,Pediatrics 108 2001,24-32,Closed,article,"Paluta, Lauren; Kaiser, Michelle L.; Huber, Sarah; Wheeler, Jack","Paluta, Lauren (The Ohio State University); Kaiser, Michelle L. (The Ohio State University); Huber, Sarah (Harvard University); Wheeler, Jack (The Ohio State University)",The Ohio State University; Harvard University,grid.261331.4; grid.38142.3c,Columbus; Cambridge,Ohio; Massachusetts,United States; United States,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1109778305,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Prevention; Cancer; Behavioral and Social Science,Prevention,Cancer,Behavioral and Social Science,,,,,,,,,,,,,,,,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND (WIC OR ""women, infants and Children"") AND ""Program Data""'",0.291731669,dataset-346
142,pub.1106490370,10.1016/j.ehb.2018.08.006,www.doi.org/10.1016/j.ehb.2018.08.006,30248598,,Measuring effects of SNAP on obesity at the intensive margin,Economics & Human Biology,,Elsevier,,2018,31,Am. Econ. J. Appl. Econ. 5 2 2013,150-163,Closed,article,"Almada, Lorenzo N.; Tchernis, Rusty","Almada, Lorenzo N. (Georgia State University); Tchernis, Rusty (Georgia State University)",Georgia State University,grid.256304.6,Atlanta,Georgia,United States,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1106490370,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Obesity; Nutrition; Pediatric,Obesity,Nutrition,Pediatric,,,Stroke; Metabolic and Endocrine; Oral and Gastrointestinal; Cancer,Stroke,Metabolic and Endocrine,Oral and Gastrointestinal,Cancer,,3.1 Primary prevention interventions to modify behaviours or promote well-being,3.1 Primary prevention interventions to modify behaviours or promote well-being,,,,,Population & Society,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies)) AND (yr=2014 OR yr=2015)'",0.290721649,dataset-346
180,pub.1020238238,10.1016/j.jada.2006.07.027,www.doi.org/10.1016/j.jada.2006.07.027,16986233,,Position of the American Dietetic Association: Child and Adolescent Food and Nutrition Programs,Journal of the Academy of Nutrition and Dietetics,,Elsevier,"Adolescent; Adolescent Nutritional Physiological Phenomena; Child; Child Nutrition Disorders; Child Nutritional Physiological Phenomena; Child, Preschool; Dietary Services; Dietetics; Female; Food Services; Food Supply; Health Promotion; Humans; Male; Nutrition Policy; Nutritional Sciences; Poverty; Societies; United States",2006,106,9,1467-1475,Closed,article,"Stang, Jamie; Taft Bayerl, Cynthia; Flatt, Michelle M","Stang, Jamie (University of Minnesota); Taft Bayerl, Cynthia (); Flatt, Michelle M ()",University of Minnesota,grid.17635.36,Minneapolis,Minnesota,United States,,,,,,17,0,0.5,1.25,,https://app.dimensions.ai/details/publication/pub.1020238238,1117 Public Health and Health Services; 1111 Nutrition and Dietetics,1117 Public Health and Health Services,1111 Nutrition and Dietetics,,,,Clinical Research; Prevention; Obesity; Behavioral and Social Science; Health Services; Nutrition; Pediatric,Clinical Research,Prevention,Obesity,Behavioral and Social Science,Health Services,Metabolic and Endocrine; Oral and Gastrointestinal,Metabolic and Endocrine,Oral and Gastrointestinal,,,,3.1 Primary prevention interventions to modify behaviours or promote well-being; 3.3 Nutrition and chemoprevention,3.1 Primary prevention interventions to modify behaviours or promote well-being,3.3 Nutrition and chemoprevention,,,,Population & Society,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.288244767,dataset-346
179,pub.1027791569,10.1016/0891-5849(87)90008-6,www.doi.org/10.1016/0891-5849(87)90008-6,3666523,,Dietary standards and future developments,Free Radical Biology and Medicine,,Elsevier,Diet; Female; Free Radicals; Humans; Nutritional Physiological Phenomena; Pregnancy; Quality Control,1987,3,3,209-213,Closed,article,"Jacobson, Howard N.","Jacobson, Howard N. (University of North Carolina System)",University of North Carolina System,grid.410711.2,Chapel Hill,North Carolina,United States,,,,,,17,1,0.38,0,,https://app.dimensions.ai/details/publication/pub.1027791569,1111 Nutrition and Dietetics,1111 Nutrition and Dietetics,,,,,Prevention; Nutrition,Prevention,Nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.286634461,dataset-346
178,pub.1067171604,10.1377/hlthaff.2015.0632,www.doi.org/10.1377/hlthaff.2015.0632,26526242,,Baltimore City Stores Increased The Availability Of Healthy Food After WIC Policy Change,Health Affairs,,Health Affairs,Baltimore; Commerce; Food Assistance; Food Supply; Health Policy; Healthy Diet; Humans; Surveys and Questionnaires,2015,34,11,1849-1857,All OA; Bronze,article,"Cobb, Laura K; Anderson, Cheryl A M; Appel, Lawrence; Jones-Smith, Jessica; Bilal, Usama; Gittelsohn, Joel; Franco, Manuel","Cobb, Laura K (); Anderson, Cheryl A M (University of California, San Diego); Appel, Lawrence (Johns Hopkins University); Jones-Smith, Jessica (); Bilal, Usama (); Gittelsohn, Joel (); Franco, Manuel (University of Alcalá)","Johns Hopkins University; University of Alcalá; University of California, San Diego",grid.21107.35; grid.7159.a; grid.266100.3,Baltimore; Alcalá de Henares; San Diego,Maryland; ; California,United States; Spain; United States,National Institute of Child Health and Human Development; National Institute of Diabetes and Digestive and Kidney Diseases; National Heart Lung and Blood Institute,NIH,United States; United States; United States,grant.2684550; grant.2441983; grant.2683357,T32HL007024; R00HD073327; T32DK062707,7,5,0.67,1.66,https://www.healthaffairs.org/doi/pdf/10.1377/hlthaff.2015.0632,https://app.dimensions.ai/details/publication/pub.1067171604,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Nutrition; Pediatric; Prevention,Nutrition,Pediatric,Prevention,,,Metabolic and Endocrine; Cardiovascular,Metabolic and Endocrine,Cardiovascular,,,,3.1 Primary prevention interventions to modify behaviours or promote well-being,3.1 Primary prevention interventions to modify behaviours or promote well-being,,,,,Population & Society,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.285024155,dataset-346
177,pub.1051979996,10.1016/j.amjmed.2014.01.002,www.doi.org/10.1016/j.amjmed.2014.01.002,24440543,,"Treat or Eat: Food Insecurity, Cost-related Medication Underuse, and Unmet Needs",The American Journal of Medicine,,Elsevier,Chronic Disease; Costs and Cost Analysis; Cross-Sectional Studies; Female; Food Supply; Health Services Needs and Demand; Humans; Male; Medication Adherence; Middle Aged; Risk Factors; Socioeconomic Factors,2014,127,4,303-310.e3,"All OA; Green, Submitted",article,"Berkowitz, Seth A.; Seligman, Hilary K.; Choudhry, Niteesh K.","Berkowitz, Seth A. (Massachusetts General Hospital; Harvard University); Seligman, Hilary K. (University of California, San Francisco); Choudhry, Niteesh K. (Harvard University; Brigham and Women's Hospital)","Brigham and Women's Hospital; University of California, San Francisco; Harvard University; Massachusetts General Hospital",grid.62560.37; grid.266102.1; grid.38142.3c; grid.32224.35,Boston; San Francisco; Cambridge; Boston,Massachusetts; California; Massachusetts; Massachusetts,United States; United States; United States; United States,United States Public Health Service,,United States,,,88,56,6.04,16.52,https://dash.harvard.edu/bitstream/handle/1/36878927/2014_food_insecurity_and_crmu_ajm_final_author_version.pdf?sequence=3,https://app.dimensions.ai/details/publication/pub.1051979996,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Clinical Research; Clinical Trials and Supportive Activities; Nutrition,Clinical Research,Clinical Trials and Supportive Activities,Nutrition,,,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.283413849,dataset-346
182,pub.1024075170,10.1007/s10995-011-0937-z,www.doi.org/10.1007/s10995-011-0937-z,22205423,,"Social and Institutional Factors that Affect Breastfeeding Duration Among WIC Participants in Los Angeles County, California",Maternal and Child Health Journal,,Springer Nature,"Adult; Bottle Feeding; Breast Feeding; California; Female; Health Surveys; Hospitals; Humans; Infant Formula; Infant, Newborn; Interviews as Topic; Mothers; Multivariate Analysis; Organizational Policy; Postnatal Care; Public Assistance; Regression Analysis; Return to Work; Social Support; Surveys and Questionnaires",2012,16,9,1887-1895,Closed,article,"Langellier, Brent A.; Pia Chaparro, M.; Whaley, Shannon E.","Langellier, Brent A. (University of California Los Angeles); Pia Chaparro, M. (University of California Los Angeles); Whaley, Shannon E. ()",University of California Los Angeles,grid.19006.3e,Los Angeles,California,United States,,,,,,18,10,1.45,2.51,,https://app.dimensions.ai/details/publication/pub.1024075170,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Pediatric,Pediatric,,,,,Reproductive Health and Childbirth,Reproductive Health and Childbirth,,,,,,,,,,,,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND (WIC OR ""women, infants and Children"") AND ""Program Data""'",0.2828125,dataset-346
182,pub.1024075170,10.1007/s10995-011-0937-z,www.doi.org/10.1007/s10995-011-0937-z,22205423,,"Social and Institutional Factors that Affect Breastfeeding Duration Among WIC Participants in Los Angeles County, California",Maternal and Child Health Journal,,Springer Nature,"Adult; Bottle Feeding; Breast Feeding; California; Female; Health Surveys; Hospitals; Humans; Infant Formula; Infant, Newborn; Interviews as Topic; Mothers; Multivariate Analysis; Organizational Policy; Postnatal Care; Public Assistance; Regression Analysis; Return to Work; Social Support; Surveys and Questionnaires",2012,16,9,1887-1895,Closed,article,"Langellier, Brent A.; Pia Chaparro, M.; Whaley, Shannon E.","Langellier, Brent A. (University of California Los Angeles); Pia Chaparro, M. (University of California Los Angeles); Whaley, Shannon E. ()",University of California Los Angeles,grid.19006.3e,Los Angeles,California,United States,,,,,,18,10,1.45,2.51,,https://app.dimensions.ai/details/publication/pub.1024075170,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Pediatric,Pediatric,,,,,Reproductive Health and Childbirth,Reproductive Health and Childbirth,,,,,,,,,,,,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND (WIC OR ""women, infants and Children"") AND ""Program Data""'",0.282371295,dataset-346
174,pub.1111429787,10.3390/nu11010178,www.doi.org/10.3390/nu11010178,30650616,PMC6356900,Dry Bean Preferences and Attitudes among Midwest Hispanic and Non-Hispanic White Women,Nutrients,,MDPI,,2019,11,1,178,All OA; Pure Gold,article,"Winham, Donna M.; Tisue, Megan E.; Palmer, Shelly M.; Cichy, Karen A.; Shelley, Mack C.","Winham, Donna M. (Iowa State University); Tisue, Megan E. (Iowa State University); Palmer, Shelly M. (Iowa State University); Cichy, Karen A. (Michigan State University); Shelley, Mack C. (Iowa State University)",Michigan State University; Iowa State University,grid.17088.36; grid.34421.30,East Lansing; Ames,Michigan; Iowa,United States; United States,,,,,,0,0,0,0,https://doi.org/10.3390/nu11010178,https://app.dimensions.ai/details/publication/pub.1111429787,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Behavioral and Social Science; Diabetes; Nutrition; Clinical Research; Aging,Behavioral and Social Science,Diabetes,Nutrition,Clinical Research,Aging,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.278582931,dataset-346
174,pub.1044369309,10.1017/s1368980016000033,www.doi.org/10.1017/s1368980016000033,26878904,,Accessibility of summer meals and the food insecurity of low-income households with children,Public Health Nutrition,,Cambridge University Press (CUP),California; Child; Family Characteristics; Food Supply; Humans; Meals; Poverty; Seasons; United States,2016,19,11,2079-2089,All OA; Bronze,article,"Miller, Daniel P","Miller, Daniel P (Boston University)",Boston University,grid.189504.1,Boston,Massachusetts,United States,United States Department of Agriculture,USDA,United States,,,3,3,0.28,1.01,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/0D371AD6B660E965FBAFA6BFF328F824/S1368980016000033a.pdf/div-class-title-accessibility-of-summer-meals-and-the-food-insecurity-of-low-income-households-with-children-div.pdf,https://app.dimensions.ai/details/publication/pub.1044369309,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Pediatric,Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.278582931,dataset-346
170,pub.1019883987,10.1016/s1499-4046(06)60309-6,www.doi.org/10.1016/s1499-4046(06)60309-6,12047827,,Overview of the Diets of Lower- and Higher-Income Elderly and Their Food Assistance Options,Journal of Nutrition Education and Behavior,,Elsevier,"Aged; Aged, 80 and over; Aging; Diet; Energy Intake; Female; Food Services; Food Supply; Health Planning; Health Status; Humans; Income; Male; Nutrition Surveys; Poverty; Socioeconomic Factors; United States",2002,34,,s31-s41,Closed,article,"Guthrie, Joanne F.; Lin, Biing-Hwan","Guthrie, Joanne F. (Economic Research Service); Lin, Biing-Hwan (Economic Research Service)",Economic Research Service,grid.482913.5,Washington D.C.,District of Columbia,United States,,,,,,37,2,1.09,2.54,,https://app.dimensions.ai/details/publication/pub.1019883987,1111 Nutrition and Dietetics,1111 Nutrition and Dietetics,,,,,Behavioral and Social Science; Nutrition; Basic Behavioral and Social Science; Aging; Prevention,Behavioral and Social Science,Nutrition,Basic Behavioral and Social Science,Aging,Prevention,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.272141707,dataset-346
168,pub.1086123992,10.1016/j.jand.2017.05.002,www.doi.org/10.1016/j.jand.2017.05.002,28648263,,"USDA’s Food, Nutrition and Consumer Services Helps Bring Regional and Local Foods to Consumers",Journal of the Academy of Nutrition and Dietetics,,Elsevier,Consumer Behavior; Farmers; Food Assistance; Food Supply; Government Agencies; Health Education; Humans; Marketing; Socioeconomic Factors; United States; United States Department of Agriculture,2017,117,7,1016-1018,Closed,article,"Psota, Tricia L; Higgins, Jacqueline; Watson, Kurtria","Psota, Tricia L (); Higgins, Jacqueline (); Watson, Kurtria ()",,,,,,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1086123992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.268921095,dataset-346
