api,doi,title,url,search_term,dataset,valid,pdf,notes,
dimensions,10.1002/ir.37019916908,National data bases and statistical resources on higher education: An annotated guide,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=National%20data%20bases%20and%20statistical%20resources%20on%20higher%20education%3A%20An%20annotated%20guide,NSF Survey of Earned Doctorates,"dataset-370, dataset-371",0,,,doi.org/10.1002/ir.37019916908
dimensions,10.1007/s10109-019-00301-6,Naturalization and the productivity of foreign-born doctorates,https://link.springer.com/article/10.1007%2Fs10109-019-00301-6#Sec5,NSF Survey of Doctorate Recipients,"dataset-370, dataset-371",1,https://link.springer.com/content/pdf/10.1007/s10109-019-00301-6.pdf,,doi.org/10.1007/s10109-019-00301-6
dimensions,10.1016/j.neuron.2016.05.030,Neuroscience Training for the 21st Century,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Neuroscience%20Training%20for%20the%2021st%20Century,NSF Survey of Doctorate Recipients,"dataset-370, dataset-371",0,,,doi.org/10.1016/j.neuron.2016.05.030
dimensions,10.1007/s11837-004-0263-7,News & update,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=News%20%26%20update,NSF Survey of Earned Doctorates,"dataset-370, dataset-371",??,,,doi.org/10.1007/s11837-004-0263-7
dimensions,10.1037/amp0000222,NIH Behavioral and Social Sciences Research Support: 1980–2016,https://psycnet.apa.org/fulltext/2017-51706-008.html,NSF Survey of Earned Doctorates,"dataset-370, dataset-957",1,https://psycnet.apa.org/fulltext/2017-51706-008.pdf,,doi.org/10.1037/amp0000222
dimensions,10.1038/s41561-018-0116-6,No progress on diversity in 40 years,https://www.nature.com/articles/s41561-018-0116-6,NSF Survey of Doctorate Recipients,dataset-370,1,https://www.nature.com/articles/s41561-018-0116-6.pdf,,doi.org/10.1038/s41561-018-0116-6
dimensions,10.1007/s11162-015-9369-8,Not Equal for All: Gender and Race Differences in Salary for Doctoral Degree Recipients,https://link.springer.com/article/10.1007%2Fs11162-015-9369-8#Sec6,NSF Survey of Doctorate Recipients,dataset-371,1,https://link.springer.com/content/pdf/10.1007/s11162-015-9369-8.pdf,,doi.org/10.1007/s11162-015-9369-8
dimensions,10.1007/s12108-997-1027-y,"Occupational feminization, occupational decline? Sociology’s changing sex composition",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Occupational%20feminization%2C%20occupational%20decline%3F%20Sociology%E2%80%99s%20changing%20sex%20composition,NSF Survey of Earned Doctorates,"dataset-370, dataset-371",0,,,doi.org/10.1007/s12108-997-1027-y
dimensions,10.1177/1463499613492089,"On the future of anthropology: Fundraising, the job market and the corporate turn",https://journals.sagepub.com/doi/full/10.1177/1463499613492089#_i16,NSF Survey of Earned Doctorates,dataset-370,1,https://journals.sagepub.com/doi/pdf/10.1177/1463499613492089,,doi.org/10.1177/1463499613492089
dimensions,10.1353/rhe.2011.0017,"Onto, Up, Off the Academic Faculty Ladder: The Gendered Effects of Family on Career Transitions for a Cohort of Social Science Ph.D.s",https://muse.jhu.edu/article/439956,NSF Survey of Earned Doctorates,dataset-370,1,https://muse.jhu.edu/article/439956/pdf,,doi.org/10.1353/rhe.2011.0017
dimensions,10.1615/jwomenminorscieneng.v4.i1.40,ORGANIZATIONAL VARIATIONS IN WOMEN SCIENTISTS' REPRESENTATION IN ACADEMIA,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=ORGANIZATIONAL%20VARIATIONS%20IN%20WOMEN%20SCIENTISTS%27%20REPRESENTATION%20IN%20ACADEMIA,NSF Survey of Earned Doctorates,"dataset-370, dataset-371, dataset-493, dataset-960",1,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.496.1856&rep=rep1&type=pdf,,doi.org/10.1615/jwomenminorscieneng.v4.i1.40
dimensions,10.1007/s13187-012-0444-y,Outcome Evaluation of the National Cancer Institute Career Development Awards Program,https://link.springer.com/article/10.1007%2Fs13187-012-0444-y#rightslink,NSF Survey of Earned Doctorates,"dataset-963, dataset-370, dataset-935, dataset-965, dataset-966",1,https://link.springer.com/content/pdf/10.1007/s13187-012-0444-y.pdf,,doi.org/10.1007/s13187-012-0444-y
dimensions,10.2139/ssrn.3049275,Patent Jobs and the Myth of the Employment Hypothesis,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Patent%20Jobs%20and%20the%20Myth%20of%20the%20Employment%20Hypothesis,NSF Survey of Doctorate Recipients,"dataset-370, dataset-371",0,,,doi.org/10.2139/ssrn.3049275
dimensions,10.1002/pam.21639,Permanent Visas and Temporary Jobs: Evidence from Postdoctoral Participation of Foreign PhDs in the United States,https://onlinelibrary.wiley.com/doi/full/10.1002/pam.21639,NSF Survey of Earned Doctorates,dataset-370,1,https://onlinelibrary.wiley.com/doi/pdf/10.1002/pam.21639,,doi.org/10.1002/pam.21639
dimensions,10.21236/ada619787,"Phalanx. Volume 47, Number 4",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Phalanx.%20Volume%2047%2C%20Number%204,NSF Survey of Doctorate Recipients,"dataset-370, dataset-371",0,,,doi.org/10.21236/ada619787
dimensions,10.1017/s1049096500007307,Political Science Faculty and Student Data*,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Political%20Science%20Faculty%20and%20Student%20Data%2A,NSF Survey of Earned Doctorates,"dataset-370, dataset-371",0,,,doi.org/10.1017/s1049096500007307
dimensions,10.1017/s1049096500004546,Political Science Faculty and Student Data*,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Political%20Science%20Faculty%20and%20Student%20Data%2A,NSF Survey of Earned Doctorates,"dataset-370, dataset-371",0,,,doi.org/10.1017/s1049096500004546
dimensions,10.1017/s1049096500007307,Political Science Faculty and Student Data*,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Political%20Science%20Faculty%20and%20Student%20Data%2A,Survey of Earned Doctorates NSF,"dataset-370, dataset-371",0,,,doi.org/10.1017/s1049096500007307
dimensions,10.1017/s1049096500004546,Political Science Faculty and Student Data*,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Political%20Science%20Faculty%20and%20Student%20Data%2A,Survey of Earned Doctorates NSF,"dataset-370, dataset-371",0,,,doi.org/10.1017/s1049096500004546
