datasets,doi,journal,search_term,title,url
dataset-622,10.1055/a-1030-4223,"{'id': 'jour.1007820', 'title': 'Das Gesundheitswesen'}",datums,Leistungs- und Abrechnungsdatum in GKV-Routinedaten: Umgang mit zeitlichen Abweichungen,
dataset-622,10.1007/s41324-019-00306-9,"{'id': 'jour.1153043', 'title': 'Spatial Information Research'}",datums,Visualisation of urban flood inundation using SWMM and 4D GIS,
dataset-622,10.1007/s40328-019-00279-z,"{'id': 'jour.1136254', 'title': 'Acta Geodaetica et Geophysica'}",datums,Reciprocal comparison of geodetically sensed and modeled vertical hydrological loading products,
dataset-622,10.1029/2019pa003686,"{'id': 'jour.1300470', 'title': 'Paleoceanography and Paleoclimatology'}",datums,The Early to Middle Eocene Transition: An Integrated Calcareous Nannofossil and Stable Isotope Record From the Northwest Atlantic Ocean (Integrated Ocean Drilling Program Site U1410),
dataset-622,10.1080/01490419.2019.1701153,"{'id': 'jour.1138511', 'title': 'Marine Geodesy'}",datums,Validation of marine geoid models by utilizing hydrodynamic model and shipborne GNSS profiles,
dataset-622,10.1115/1.4045174,"{'id': 'jour.1137193', 'title': 'Journal of Manufacturing Science and Engineering'}",datums,Scale and Pose-Invariant Feature Quality Inspection for Freeform Geometries in Additive Manufacturing,
dataset-622,10.1111/jfr3.12579,"{'id': 'jour.1045084', 'title': 'Journal of Flood Risk Management'}",datums,A rapid flood risk assessment method for response operations and nonsubject‐matter‐expert community planning,
dataset-622,10.1186/s40645-019-0283-0,Progress in Earth and Planetary Science,datums,Millennial-scale variability of East Asian summer monsoon inferred from sea surface salinity in the northern East China Sea (ECS) and its impact on the Japan Sea during Marine Isotope Stage (MIS) 3,https://progearthplanetsci.springeropen.com/track/pdf/10.1186/s40645-019-0283-0
dataset-622,10.1038/s41598-018-37884-x,Scientific Reports,datums,Remotely constraining the temporal evolution of offshore oil systems,https://www.nature.com/articles/s41598-018-37884-x.pdf
dataset-622,10.1186/s40965-019-0069-8,"{'id': 'jour.1136731', 'title': 'Open Geospatial Data, Software and Standards'}",datums,The indicative meaning calculator – quantification of paleo sea-level relationships by using global wave and tide datasets,
dataset-622,10.1016/j.ecss.2019.106450,"{'id': 'jour.1120689', 'title': 'Estuarine Coastal and Shelf Science'}",datums,Corrigendum to Evolution of a salt marsh in the southeastern North Sea region – Anthropogenic and natural forcing’ [Estuar. Coast. Shelf Sci. 218 (2019) 268–277],
dataset-622,10.1016/j.earscirev.2019.102968,"{'id': 'jour.1052623', 'title': 'Earth-Science Reviews'}",datums,A review of the importance of the Caribbean region in Oligo-Miocene low latitude planktonic foraminiferal biostratigraphy and the implications for modern biogeochronological schemes,
dataset-622,10.1216/rmj-2019-49-6-2063,"{'id': 'jour.1137277', 'title': 'Rocky Mountain Journal of Mathematics'}",datums,Smash coproducts of monoidal comonads and Hom-entwining structures,
dataset-622,10.1186/s40645-018-0250-1,Progress in Earth and Planetary Science,datums,Cyclostratigraphy of the Late Miocene to Pliocene sediments at IODP sites U1425 and U1430 in the Japan Sea and paleoceanographic implications,https://doi.org/10.1186/s40645-018-0250-1
dataset-622,10.1007/s12518-019-00271-w,"{'id': 'jour.1136638', 'title': 'Applied Geomatics'}",datums,Dimension reduction of multi-temporal elevation data,
dataset-622,10.1016/j.rse.2019.111432,"{'id': 'jour.1045931', 'title': 'Remote Sensing of Environment'}",datums,Lidar provides novel insights into the effect of pixel size and grazing intensity on measures of spatial heterogeneity in a native bunchgrass ecosystem,
dataset-622,10.1016/j.jsames.2019.102377,"{'id': 'jour.1052487', 'title': 'Journal of South American Earth Sciences'}",datums,"A new tonstein occurrence in the eastern Paraná Basin associated with the Figueira coalfield (Paraná, Brazil): Palynostratigraphy and U-Pb radiometric dating integration",
dataset-622,10.1016/j.chemgeo.2019.119333,"{'id': 'jour.1026405', 'title': 'Chemical Geology'}",datums,"Age of the N7/N8 (M4/M5) planktonic foraminifera zone boundary: constraints from the zircon geochronology and magnetostratigraphy of early Miocene sediments in Ichishi, Japan",
dataset-622,10.1017/s0016756819000414,"{'id': 'jour.1026120', 'title': 'Geological Magazine'}",datums,"Mixed local and ultra-distal volcanic ash deposition within the Upper Cretaceous Kanguk Formation, Sverdrup Basin, Canadian Arctic Islands",
dataset-622,10.1088/1742-6596/1402/3/033067,Journal of Physics Conference Series,datums,Biostratigraphic analysis based on planktic Foraminifera from well X in North Sumatra Basin,http://dx.doi.org/10.1088/1742-6596/1402/3/033067
dataset-622,10.1007/s12220-018-0059-6,The Journal of Geometric Analysis,datums,Characterizations of Some Domains via Carathéodory Extremals,https://link.springer.com/content/pdf/10.1007%2Fs12220-018-0059-6.pdf
dataset-622,10.1038/s41598-019-50387-7,Scientific Reports,datums,World’s largest dam removal reverses coastal erosion,http://dx.doi.org/10.1038/s41598-019-50387-7
dataset-622,10.1038/s41598-018-38212-z,Scientific Reports,datums,Depth-dependent hysteresis in adhesive elastic contacts at large surface roughness,https://www.nature.com/articles/s41598-018-38212-z.pdf
dataset-622,10.1007/s00190-019-01310-5,"{'id': 'jour.1052480', 'title': 'Journal of Geodesy'}",datums,GPS satellite inter-frequency clock bias estimation using triple-frequency raw observations,
dataset-622,10.13044/j.sdewes.d7.0276,Journal of Sustainable Development of Energy Water and Environment Systems,datums,Identification and Evaluation of Cost Optimal Technology Options for Improvement of Electricity Access in Rural Kenya,http://www.sdewes.org/jsdewes/dp4b06ebeffedcc9b05a729ac72f50c1b1bd82fede
dataset-622,10.1007/s12303-019-0012-0,"{'id': 'jour.1136627', 'title': 'Geosciences Journal'}",datums,Contrasting developments of Pleistocene calcareous clay units in the middle Bengal Fan and their implications for paleoenvironmental changes,
dataset-622,10.1016/j.cretres.2019.07.015,"{'id': 'jour.1052618', 'title': 'Cretaceous Research'}",datums,"Palynological and palynofacies analyses of Upper Cretaceous deposits in the Haţeg Basin, southern Carpathians, Romania",
dataset-622,10.1016/j.ocecoaman.2019.104921,"{'id': 'jour.1042461', 'title': 'Ocean & Coastal Management'}",datums,"A multidisciplinary coastal vulnerability assessment for local government focused on ecosystems, Santa Barbara area, California",
dataset-622,10.1038/s41598-019-54581-5,Scientific Reports,datums,Insight into the preparation of the 2016 MS6.4 Menyuan earthquake from terrestrial gravimetry-derived crustal density changes,http://dx.doi.org/10.1038/s41598-019-54581-5
dataset-622,10.1016/j.foreco.2019.117581,"{'id': 'jour.1030151', 'title': 'Forest Ecology and Management'}",datums,Shifting baselines in coastal forests: Rising seas transform plant communities from the ‘ground’ up,
dataset-622,10.1029/2019pa003597,"{'id': 'jour.1300470', 'title': 'Paleoceanography and Paleoclimatology'}",datums,"Low‐Latitude Calcareous Nannofossil Response in the Indo‐Pacific Warm Pool Across the Eocene‐Oligocene Transition of Java, Indonesia",
dataset-622,10.1007/s12601-019-0036-4,"{'id': 'jour.1036343', 'title': 'Ocean Science Journal'}",datums,On Robust Multi-Year Tidal Prediction Using T_TIDE,
dataset-622,10.3389/feart.2019.00302,"{'id': 'jour.1144570', 'title': 'Frontiers in Earth Science'}",datums,Selective Recording of Tectonic Forcings in an Oligocene/Miocene Submarine Channel System: Insights From New Age Constraints and Sediment Volumes From the Austrian Northern Alpine Foreland Basin,
dataset-622,10.1080/00288306.2019.1691611,"{'id': 'jour.1137347', 'title': 'New Zealand Journal of Geology and Geophysics'}",datums,"Tephrostratigraphic constraints on sedimentation and tectonism in the Whanganui Basin, New Zealand",
dataset-622,10.3390/rs11232739,Remote Sensing,datums,Mapping Water Surface Elevation and Slope in the Mississippi River Delta Using the AirSWOT Ka-Band Interferometric Synthetic Aperture Radar,http://dx.doi.org/10.3390/rs11232739
dataset-622,10.1080/1755876x.2018.1523301,Journal of Operational Oceanography,datums,NOAA’s national water level observation network (NWLON),https://www.tandfonline.com/doi/pdf/10.1080/1755876X.2018.1523301?needAccess=true
dataset-622,10.1111/sed.12667,"{'id': 'jour.1026167', 'title': 'Sedimentology'}",datums,"Depositional facies and the sequence stratigraphic control of a mixed‐process influenced clastic wedge in the Cretaceous Western Interior Seaway: The Gallup System, New Mexico, USA",
dataset-622,10.1007/s11431-019-9655-1,"{'id': 'jour.1134340', 'title': 'Science China Technological Sciences'}",datums,An overview on GNSS carrier-phase time transfer research,
dataset-622,10.1088/1757-899x/631/4/042020,IOP Conference Series Materials Science and Engineering,datums,Design and research of UT inspection tool in flaw inspection of large-size forging shaft parts,http://dx.doi.org/10.1088/1757-899x/631/4/042020
dataset-622,10.2110/palo.2019.019,"{'id': 'jour.1026142', 'title': 'Palaios'}",datums,"TESTING THE DAPTOCEPHALUS AND LYSTROSAURUS ASSEMBLAGE ZONES IN A LITHOSTRATOGRAPHIC, MAGNETOSTRATIGRAPHIC, AND PALYNOLOGICAL FRAMEWORK IN THE FREE STATE, SOUTH AFRICA",
dataset-622,10.1007/s13369-019-04206-w,"{'id': 'jour.1136851', 'title': 'Arabian Journal for Science and Engineering'}",datums,Analytical Study of 3D Transformation Parameters Between WGS84 and Adindan Datum Systems in Sudan,
dataset-622,10.1080/00396265.2019.1684006,"{'id': 'jour.1137680', 'title': 'Survey Review'}",datums,Global gravity models and the Ghanaian Vertical Datum: challenges of a proper definition,
dataset-622,10.1080/0951192x.2019.1686168,"{'id': 'jour.1137916', 'title': 'International Journal of Computer Integrated Manufacturing'}",datums,An automated approach for machining allowance evaluation of casting parts,
dataset-622,10.1093/gji/ggz356,"{'id': 'jour.1037680', 'title': 'Geophysical Journal International'}",datums,Balancing Unevenly Distributed Data in Seismic Tomography: A Global Adjoint Tomography Example,
dataset-622,10.1016/j.jembe.2019.151209,"{'id': 'jour.1123513', 'title': 'Journal of Experimental Marine Biology and Ecology'}",datums,Wasting disease and static environmental variables drive sea star assemblages in the Northern Gulf of Alaska,
dataset-622,10.1016/j.is.2019.101469,"{'id': 'jour.1120509', 'title': 'Information Systems'}",datums,Design principles for the General Data Protection Regulation (GDPR): A formal concept analysis and its evaluation,
dataset-622,10.1007/s10712-019-09525-z,Surveys in Geophysics,datums,"Concepts and Terminology for Sea Level: Mean, Variability and Change, Both Local and Global",https://link.springer.com/content/pdf/10.1007%2Fs10712-019-09525-z.pdf
dataset-622,10.1016/j.rse.2019.111348,"{'id': 'jour.1045931', 'title': 'Remote Sensing of Environment'}",datums,"High-resolution DEM generation from spaceborne and terrestrial remote sensing data for improved volcano hazard assessment — A case study at Nevado del Ruiz, Colombia",
dataset-622,10.1111/pala.12434,Palaeontology,datums,Nature and timing of biotic recovery in Antarctic benthic marine ecosystems following the Cretaceous–Palaeogene mass extinction,https://onlinelibrary.wiley.com/doi/pdf/10.1111/pala.12434
dataset-622,10.1016/j.precisioneng.2019.09.011,"{'id': 'jour.1053442', 'title': 'Precision Engineering'}",datums,"Kinematic mirror mount design for ultra-precision manufacturing, metrology, and system level integration for high performance visible spectrum imaging systems",
dataset-622,10.1016/j.precisioneng.2019.04.011,"{'id': 'jour.1053442', 'title': 'Precision Engineering'}",datums,Precision assembly of additively manufactured components using integral kinematic couplings,
dataset-622,10.1007/s10712-019-09513-3,"{'id': 'jour.1051934', 'title': 'Surveys in Geophysics'}",datums,Coastal Sea Level and Related Fields from Existing Observing Systems,
dataset-622,10.1016/j.quaint.2019.10.016,"{'id': 'jour.1038546', 'title': 'Quaternary International'}",datums,Geoarchaeological investigation of the Quriyat coastal plain (Oman),
dataset-622,10.1016/j.palaeo.2019.109483,"{'id': 'jour.1312078', 'title': 'Palaeogeography Palaeoclimatology Palaeoecology'}",datums,Revised sequence stratigraphy of the upper Katian Stage (Cincinnatian) strata in the Cincinnati Arch reference area: Geological and paleontological implications,
dataset-622,10.1016/j.earscirev.2019.102929,"{'id': 'jour.1052623', 'title': 'Earth-Science Reviews'}",datums,Airborne lidar change detection: An overview of Earth sciences applications,
dataset-622,10.1016/j.gloplacha.2019.103008,"{'id': 'jour.1297393', 'title': 'Global and Planetary Change'}",datums,Challenges in relative sea-level change assessment highlighted through a case study: The central coast of Atlantic Patagonia,
dataset-622,10.1088/1742-6596/1345/3/032035,Journal of Physics Conference Series,datums,Research on locating method without clearance of one plane and two pins,http://dx.doi.org/10.1088/1742-6596/1345/3/032035
dataset-622,10.1016/j.asr.2019.07.029,"{'id': 'jour.1122988', 'title': 'Advances in Space Research'}",datums,"Quality assessment of GPS, Galileo and BeiDou-2/3 satellite broadcast group delays",
dataset-622,10.1177/0959683619862028,"{'id': 'jour.1053116', 'title': 'The Holocene'}",datums,"Holocene sea-level variability from Chesapeake Bay Tidal Marshes, USA",
dataset-622,10.1007/s10712-019-09549-5,Surveys in Geophysics,datums,"Interactions Between Mean Sea Level, Tide, Surge, Waves and Flooding: Mechanisms and Contributions to Sea Level Variations at the Coast",https://link.springer.com/content/pdf/10.1007%2Fs10712-019-09549-5.pdf
dataset-622,10.1016/j.jde.2019.11.041,"{'id': 'jour.1039073', 'title': 'Journal of Differential Equations'}",datums,Directional homogenization of elliptic equations in non-divergence form,
dataset-622,10.1016/j.quascirev.2019.105945,"{'id': 'jour.1040733', 'title': 'Quaternary Science Reviews'}",datums,Evolution of Antarctic Intermediate Water during the Plio-Pleistocene and implications for global climate: Evidence from the South Atlantic,
dataset-622,10.1007/s00190-018-1191-6,"{'id': 'jour.1052480', 'title': 'Journal of Geodesy'}",datums,NASA’s satellite laser ranging systems for the twenty-first century,
dataset-622,10.1002/eco.2152,Ecohydrology,datums,"Short‐term geomorphological and riparian vegetation responses to a 40‐year flood on a braided, dryland river",http://dx.doi.org/10.1002/eco.2152
dataset-622,10.1002/mma.5971,"{'id': 'jour.1132113', 'title': 'Mathematical Methods in the Applied Sciences'}",datums,Blowup at space infinity for solutions of a system of nonautonomous semilinear heat equations,
dataset-622,10.1101/821827,"{'id': 'jour.1293558', 'title': 'bioRxiv'}",datums,"Sediment accumulation, elevation change, and the vulnerability of tidal marshes in the Delaware Estuary and Barnegat Bay to accelerated sea level rise",
dataset-622,10.1515/jag-2019-0022,"{'id': 'jour.1143297', 'title': 'Journal of Applied Geodesy'}",datums,Evaluation of alternative conformal mapping for geospatial data in Jordan,
dataset-622,10.1080/19479832.2019.1664647,"{'id': 'jour.1145894', 'title': 'International Journal of Image and Data Fusion'}",datums,DEM fusion concept based on the LS-SVM cokriging method,
dataset-622,10.5194/isprs-archives-xlii-4-w16-685-2019,"ISPRS - International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",datums,THE IMPLEMENTATION OF MODERN GEOCENTRIC DATUM: A REVIEW,http://dx.doi.org/10.5194/isprs-archives-xlii-4-w16-685-2019
dataset-622,10.5194/isprs-archives-xlii-4-w16-123-2019,"ISPRS - International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",datums,HOTINE OBLIQUE MERCATOR MAP PROJECTION IN PROJ4JS LIBRARY,http://dx.doi.org/10.5194/isprs-archives-xlii-4-w16-123-2019
dataset-622,10.1007/s10009-019-00516-4,International Journal on Software Tools for Technology Transfer,datums,Symmetry reduction in CSP model checking,https://link.springer.com/content/pdf/10.1007%2Fs10009-019-00516-4.pdf
dataset-622,10.1007/s00170-019-04090-6,The International Journal of Advanced Manufacturing Technology,datums,Tool wear classification using time series imaging and deep learning,https://link.springer.com/content/pdf/10.1007%2Fs00170-019-04090-6.pdf
dataset-622,10.1016/j.cpc.2019.05.010,"{'id': 'jour.1026105', 'title': 'Computer Physics Communications'}",datums,Aspherical particle models for molecular dynamics simulation,
dataset-622,10.1016/j.earscirev.2019.102908,"{'id': 'jour.1052623', 'title': 'Earth-Science Reviews'}",datums,Western Tethys Early and Middle Jurassic calcareous nannofossil biostratigraphy,
dataset-622,10.1177/0954406219866866,"{'id': 'jour.1137174', 'title': 'Proceedings of the Institution of Mechanical Engineers Part C Journal of Mechanical Engineering Science'}",datums,Concurrent design and process tolerances determination in consideration of geometrical tolerances,
dataset-622,10.1016/j.jseaes.2019.103963,"{'id': 'jour.1137495', 'title': 'Journal of Asian Earth Sciences'}",datums,Calcareous nannofossil changes in response to the spreading of the South China Sea Basin during Eocene-Oligocene,
dataset-622,10.1016/j.marpetgeo.2019.03.032,"{'id': 'jour.1020185', 'title': 'Marine and Petroleum Geology'}",datums,"Lithofacies characterization of gas hydrate prospects discovered during the National Gas Hydrate Program expedition 02, offshore Krishna-Godavari Basin, India",
dataset-622,10.1016/j.seares.2019.05.003,Journal of Sea Research,datums,An ecotope map of the trilateral Wadden Sea,https://doi.org/10.1016/j.seares.2019.05.003
dataset-622,10.1016/j.earscirev.2019.102961,"{'id': 'jour.1052623', 'title': 'Earth-Science Reviews'}",datums,"Climatic and environmental changes across the Early Eocene Climatic Optimum at mid-Waipara River, Canterbury Basin, New Zealand",
dataset-622,10.1016/j.jhevol.2019.102665,"{'id': 'jour.1015853', 'title': 'Journal of Human Evolution'}",datums,"New Sivapithecus specimen from Ramnagar (Jammu and Kashmir), India and a taxonomic revision of Ramnagar hominoids",
dataset-622,10.1017/s0016756818000997,"{'id': 'jour.1026120', 'title': 'Geological Magazine'}",datums,"Late Eocene – Early Miocene facies and stratigraphic development, Taranaki Basin, New Zealand: the transition to plate boundary tectonics during regional transgression",
dataset-622,10.1016/j.jafrearsci.2019.103543,"{'id': 'jour.1284251', 'title': 'Journal of African Earth Sciences'}",datums,Tectonic significance of the sedimentary and palaeocurrent record at the eastern edge of the Karoo Basin,
dataset-622,10.1111/bor.12398,"{'id': 'jour.1041908', 'title': 'Boreas'}",datums,Cyclicity in ridge patterns on the prograding coasts of Estonia,
dataset-622,10.1016/j.ecss.2019.106341,"{'id': 'jour.1120689', 'title': 'Estuarine Coastal and Shelf Science'}",datums,Ecogeomorphology of coastal deltaic floodplains and estuaries in an active delta: Insights from the Atchafalaya Coastal Basin,
dataset-622,10.1007/s12652-018-1098-3,Journal of Ambient Intelligence and Humanized Computing,datums,Pulse coupled neural network based MRI image enhancement using classical visual receptive field for smarter mobile healthcare,https://link.springer.com/content/pdf/10.1007%2Fs12652-018-1098-3.pdf
dataset-622,10.1002/esp.4691,"{'id': 'jour.1137132', 'title': 'Earth Surface Processes and Landforms'}",datums,Downstream geomorphic impact of the Three Gorges Dam: With special reference to the channel bars in the Middle Yangtze River,
dataset-622,10.1016/j.revpalbo.2019.06.006,"{'id': 'jour.1023553', 'title': 'Review of Palaeobotany and Palynology'}",datums,"Palynology of the Muarádzi sub-basin, Moatize-Minjova Coal Basin, Karoo Supergroup, Mozambique",
dataset-622,10.1016/j.geomphys.2019.05.015,"{'id': 'jour.1137361', 'title': 'Journal of Geometry and Physics'}",datums,On unified Hom-Yetter-Drinfeld categories,
dataset-622,10.1016/j.quascirev.2019.105909,"{'id': 'jour.1040733', 'title': 'Quaternary Science Reviews'}",datums,"Relative sea-level change and climate change in the Northeastern Adriatic during the last 1.5 ka (Istria, Croatia)",
dataset-622,10.1007/s11431-019-9535-3,"{'id': 'jour.1134340', 'title': 'Science China Technological Sciences'}",datums,Validation and application of water levels derived from Sentinel-3A for the Brahmaputra River,
dataset-622,10.1175/jtech-d-18-0235.1,"{'id': 'jour.1137215', 'title': 'Journal of Atmospheric and Oceanic Technology'}",datums,Assessment of tide gauges biases and precisions by the combination of multiple co-located time series Assessment of tide gauges biases and precisions by the combination of multiple co-located time series,
dataset-622,10.1016/j.palwor.2019.09.001,"{'id': 'jour.1141670', 'title': 'Palaeoworld'}",datums,Late Paleozoic–early Mesozoic continental biostratigraphy — links to the Standard Global Chronostratigraphic Scale,
dataset-622,10.1080/00288306.2019.1665075,"{'id': 'jour.1137347', 'title': 'New Zealand Journal of Geology and Geophysics'}",datums,Diagenesis of magnetic minerals at the Southwest Pacific DSDP Site 277,
dataset-622,10.1111/bor.12412,"{'id': 'jour.1041908', 'title': 'Boreas'}",datums,"High‐resolution stratigraphy of a Quaternary fluvial deposit based on magnetic susceptibility variations (Jászság Basin, Hungary)",
dataset-622,10.3390/rs11192257,Remote Sensing,datums,A New Algorithm to Estimate Chlorophyll-A Concentrations in Turbid Yellow Sea Water Using a Multispectral Sensor in a Low-Altitude Remote Sensing System,http://dx.doi.org/10.3390/rs11192257
dataset-622,10.3390/s19194150,Sensors,datums,An Onsite Calibration Method for MEMS-IMU in Building Mapping Fields,http://dx.doi.org/10.3390/s19194150
dataset-622,10.1080/16161262.2019.1659581,"{'id': 'jour.1149524', 'title': 'Journal of Intelligence History'}",datums,"British signals intelligence in the trenches, 1915–1918: part 2, interpreter operators",
dataset-622,10.1080/00396265.2019.1665614,"{'id': 'jour.1137680', 'title': 'Survey Review'}",datums,Derivation of rigorously-conformal 7-parameter 3D geodetic datum transformations,
dataset-622,10.1080/01431161.2019.1601285,"{'id': 'jour.1122771', 'title': 'International Journal of Remote Sensing'}",datums,"A random forest-based framework for crop mapping using temporal, spectral, textural and polarimetric observations",
dataset-622,10.3390/app9183867,Applied Sciences,datums,Determining the Variability of the Territorial Sea Baseline on the Example of Waterbody Adjacent to the Municipal Beach in Gdynia,http://dx.doi.org/10.3390/app9183867
dataset-622,10.3390/app9183815,Applied Sciences,datums,The PLC as a Smart Service in Industry 4.0 Production Systems,http://dx.doi.org/10.3390/app9183815
dataset-622,10.1080/01916122.2019.1637954,"{'id': 'jour.1139538', 'title': 'Palynology'}",datums,"Middle Jurassic palynology of the southwest Tabas Block, Central-East Iran",
dataset-622,10.1080/00396265.2018.1468537,"{'id': 'jour.1137680', 'title': 'Survey Review'}",datums,Evaluation of global geopotential models: a case study for India,
dataset-622,10.1111/sed.12647,"{'id': 'jour.1026167', 'title': 'Sedimentology'}",datums,"Sediment‐supply‐dominated stratal architectures in a regressively stacked succession of shoreline sand bodies, Campanian Desert Member to Lower Castlegate Sandstone interval, Book Cliffs, Utah–Colorado, USA",
dataset-622,10.1080/14498596.2018.1559774,"{'id': 'jour.1357583', 'title': 'Journal of Spatial Science'}",datums,Using AUSGeoid2020 and its error grids in surveying computations,
dataset-622,10.1115/1.4043226,"{'id': 'jour.1049902', 'title': 'Journal of Computing and Information Science in Engineering'}",datums,On Algorithms and Heuristics for Constrained Least-Squares Fitting of Circles and Spheres to Support Standards,
dataset-622,10.1130/b32057.1,"{'id': 'jour.1026121', 'title': 'Geological Society of America Bulletin'}",datums,"Astronomical pacing of relative sea level during Oceanic Anoxic Event 2: Preliminary studies of the expanded SH#1 Core, Utah, USA",
dataset-622,10.1007/s12237-019-00590-6,"{'id': 'jour.1295073', 'title': 'Chesapeake Science'}",datums,Salt Marsh Migration into Lawns Revealed by a Novel Sediment-Based Approach,
dataset-622,10.1016/j.jog.2018.01.001,"{'id': 'jour.1052481', 'title': 'Journal of Geodynamics'}",datums,"Controls on accommodation during the early-middle Campanian in southern Alberta, western Canada foreland system",
dataset-622,10.1016/j.palwor.2019.01.001,"{'id': 'jour.1141670', 'title': 'Palaeoworld'}",datums,Stratigraphy of the Lungmachi black shales from the Huaying drill core in southwestern China and its palaeogeographic implications,
dataset-622,10.1016/j.margeo.2019.105963,Marine Geology,datums,"The application of δ13C, TOC and C/N geochemistry of mangrove sediments to reconstruct Holocene paleoenvironments and relative sea levels, Puerto Rico",https://doi.org/10.1016/j.margeo.2019.105963
dataset-622,10.1016/j.pss.2019.02.010,"{'id': 'jour.1026157', 'title': 'Planetary and Space Science'}",datums,A new south polar Digital Terrain Model of mars from the High Resolution Stereo Camera (HRSC) onboard the ESA Mars Express,
dataset-622,10.1029/2018rg000629,Reviews of Geophysics,datums,The Role of Geomagnetic Field Intensity in Late Quaternary Evolution of Humans and Large Mammals,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2018RG000629
dataset-622,10.1002/dep2.57,The Depositional Record,datums,"A Late Quaternary record of highstand shedding from an isolated carbonate platform (Juan de Nova, southern Indian Ocean)",https://www.onlinelibrary.wiley.com/doi/pdf/10.1002/dep2.57
dataset-622,10.1016/j.quascirev.2019.07.007,Quaternary Science Reviews,datums,"Holocene sea levels in Southeast Asia, Maldives, India and Sri Lanka: The SEAMIS database",https://doi.org/10.1016/j.quascirev.2019.07.007
dataset-622,10.1007/s00190-019-01267-5,"{'id': 'jour.1052480', 'title': 'Journal of Geodesy'}",datums,The ongoing modernization of the Taiwan semi-dynamic datum based on the surface horizontal deformation model using GNSS data from 2000 to 2016,
dataset-622,10.1016/j.marmicro.2019.03.012,"{'id': 'jour.1023049', 'title': 'Marine Micropaleontology'}",datums,Size patterns of the coccolith Watznaueria barnesiae in the lower Cretaceous: Biotic versus abiotic forcing,
