title,url,related_datasets
The Criminal and Labor Market Effects of Incarceration,https://sites.lsa.umich.edu/mgms/wp-content/uploads/sites/283/2015/09/incar.pdf,"dataset-099, dataset-148, dataset-180, dataset-185, dataset-186, dataset-187"
Predicting Recidivism for Released State Prison Offenders: Examining the Influence of Individual and Neighborhood Characteristics and Spatial Contagion on the Likelihood of Reincarceration.,https://www.researchgate.net/publication/258129289_Predicting_Recidivism_for_Released_State_Prison_Offenders,"dataset-188, dataset-189"
Recidivism of Prisoners Released in 30 States in 2005: Patterns from 2005 to 2010,https://www.bjs.gov/content/pub/pdf/rprts05p0510.pdf,dataset-190
Transitional Jobs for Ex-Prisoners: Early Impacts from a Random Assignment Evaluation of the Center for Employment Opportunities (CEO) Prisoner Reentry Program,https://www.acf.hhs.gov/sites/default/files/opre/transitional_jobs.pdf,"dataset-191, dataset-192, dataset-193"
Examining the Predictors of Recidivism Among Men and Women Released From Prison in Ohio,https://journals.sagepub.com/doi/abs/10.1177/0093854810382876?journalCode=cjbb,dataset-184
Incarceration Among Male Veterans Relative Risk of Imprisonment and Differences Between Veteran and Nonveteran Inmates,https://www.researchgate.net/publication/51059966_Incarceration_Among_Male_Veterans_Relative_Risk_of_Imprisonment_and_Differences_Between_Veteran_and_Nonveteran_Inmates,"dataset-194, dataset-195, dataset-196"
Administrative Privatization and Employment Outcomes in the Implementation of Temporary Assistance to Needy Families,https://journals.sagepub.com/doi/abs/10.1177/0193841X15589257?rfr_dat=cr_pub%3Dpubmed&url_ver=Z39.88-2003&rfr_id=ori%3Arid%3Acrossref.org&journalCode=erxb,dataset-084
"Home is Hard to Find: Neighborhoods, Institutions, and the Residential Trajectories of Returning Prisoners",https://journals.sagepub.com/doi/abs/10.1177/0002716213477070?journalCode=anna,"dataset-118, dataset-197"
Racial Variation in the Effect of Incarceration on Neighborhood Attainment,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3870004/,"dataset-118,  dataset-143, dataset-198"
Homelessness and Housing Insecurity Among Former Prisoners,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4762459/,"dataset-075, dataset-197, "
Does Prison-Based Adult Basic Education Improve Postrelease Outcomes for Male Prisoners in Florida?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4288462/,"dataset-089, dataset-095, dataset-121, dataset-122"
Longitudinal Outcomes of Subsidized Housing Recipients in Matched Survey and Administrative Data ,https://pdfs.semanticscholar.org/e30b/52f42ffbe62162d243072cba4b4e11fcc762.pdf,"dataset-027, datset-200"
Community In‐Reach Through Jail Reentry: Findings from a Quasi‐Experimental Design,https://www.researchgate.net/publication/248967528_Community_In-Reach_Through_Jail_Reentry_Findings_from_a_Quasi-Experimental_Design,dataset-199
Predicting Who Reoffends: The Neglected Role Of Neighborhood Context In Recidivism Studies,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1745-9125.2006.00046.x,"dataset-118, dataset-145, dataset-151, dataset-152, dataset- 154"
Neighborhoods and Violent Crime: A Multilevel Study of Collective Efficacy,http://illinois-online.org/krassa/ps410/Readings/Sampson%20Miltilevel%20Study%20of%20Collective%20Efficacy.pdf,"dataset118, dataset-201 "
Do Returning Parolees Affect Neighborhood Crime? A Case Study of Sacramento,https://escholarship.org/uc/item/73j1w50j,"dataset-118, dataset-161, dataset-202, dataset-203"
Making Ends Meet After Prison,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4288962/,dataset-197
Evaluating the Effectiveness of a Victim Impact Intervention Through the Examination of Changes in Dynamic Risk Scores,https://journals.sagepub.com/doi/abs/10.1177/0887403413489706?journalCode=cjpa,
"The Impact of Residential Placement on Aggregate Delinquency: A State-Level Panel Study, 1997-2011",https://journals-sagepub-com.ezproxy.gc.cuny.edu/doi/full/10.1177/0887403414534854,"dataset-118, dataset-161, dataset-204, dataset-205,  dataset-206, dataset-207"
An Outcome Evaluation of a Midwestern Prisoner Reentry Initiative,https://journals.sagepub.com/doi/10.1177/0887403413514438,dataset-197
Is Employment Associated With Reduced Recidivism? The Complex Relationship Between Employment and Crime,https://pdfs.semanticscholar.org/7faa/128a89b2c3c4c3ad60f566a4042d709ecfa8.pdf,dataset-186
Where Do Ex-Offenders Find Jobs? An Industrial Profile of the Employers of Ex-Offenders in Virginia,https://www.jstor.org/stable/23282804?seq=1#metadata_info_tab_contents, dataset-255
Indiana Industry Sectors That Hire Ex-Offenders: Implications to Correctional Education Programs,https://www.jstor.org/stable/pdf/26507741.pdf,"dataset-165, dataset-183"
Ex-Offenders and the Conformist Alternative: A Job Quality Model of Work and Crime,https://www.jstor.org/stable/3097165?seq=1#metadata_info_tab_contents,dataset-256
"Work as a Turning Point in the Life Course of Criminals: A Duration Model of Age, Employment, and Recidivism",https://www.jstor.org/stable/pdf/2657381.pdf,dataset-256
The Edge Of Stigma: An Experimental Audit Of The Effects Of Low-Level Criminal Records On Employment,http://users.soc.umn.edu/~uggen/Uggen_Vuolo_Lageson_Whitham_Ruhland_Crim_14.pdf,
Does Imprisonment Alter the Life Course? Evidence on Crime and Employment from A Natural Experiement,https://onlinelibrary.wiley.com/doi/full/10.1111/1745-9125.12000,
"Minnesota’s Affordable Homes Program Evaluating the Effects of a Prison Work Program on Recidivism, Employment and Cost Avoidance",https://journals.sagepub.com/doi/10.1177/0887403411411911,"dataset-257, dataset-258, dataset-259"
Cumulative Disadvantage and the Role of Transportation in Community Supervision,https://journals.sagepub.com/doi/full/10.1177/0011128716686344,"dataset-161,  dataset-260, "
Reintegration Success and Failure: Factors Impacting Reintegration Among Incarcerated and Formerly Incarcerated Women,https://www.researchgate.net/publication/233248870_Reintegration_Success_and_Failure_Factors_Impacting_Reintegration_Among_Incarcerated_and_Formerly_Incarcerated_Women,
"Driving to Opportunity: Understanding the Links among Transportation Access, Residential Outcomes, and Economic Opportunity for Housing Voucher Recipients",https://www.urban.org/research/publication/driving-opportunity-understanding-links-among-transportation-access-residential-outcomes-and-economic-opportunity-housing-voucher-recipients,"dataset-118, dataset-153, dataset-305, dataset-306, dataset-307"
Paternal Incarceration and the Housing Security of Urban Mothers,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4553700/,
For Whom Does a Transitional Jobs Program Work?,,
More Than a Job Final Results from the Evaluation of the Center for Employment Opportunities (CEO) Transitional Jobs Program,https://www.acf.hhs.gov/sites/default/files/opre/more_than_job.pdf,"dataset-192, dataset-193, dateset-191, dataset-274"
Returning Home: Understanding the Challenges of Prisoner Reentry Maryland Pilot Study: Findings from Baltimore,https://www.urban.org/sites/default/files/publication/42841/410974-Returning-Home-Understanding-the-Challenges-of-Prisoner-Reentry.PDF,
Transitional jobs after release from prison: effects on employment and recidivism,https://link.springer.com/article/10.1186/s40173-015-0043-8,"dataset-066, dataset-191, dataset-239, dataset-258, dataset-260, dataset-308, dataset-323, dataset-324, dataset-325, dataset-326, dataset-220, dataset-075, dataset-176, dataset-063"
An Experimental Evaluation of a Comprehensive Employment-Oriented Prisoner Re-entry Program,https://link.springer.com/article/10.1007/s10940-014-9242-5,dataset-309
Alternative Employment Strategies for Hard-to-Employ TANF Recipients: Final Results from a Test of Transitional Jobs and Preemployment Services in Philadelphia,https://www.mdrc.org/publication/alternative-employment-strategies-hard-employ-tanf-recipients,"dataset-274, dataset-316, dataset-320"
Returning to Work after Prison - Final Results from the Transitional Jobs Reentry Demonstration,https://www.mdrc.org/publication/returning-work-after-prison,"dataset-063, dataset-075,  dataset-176, dataset-220, dataset-260, dataset-258, dataset-259, dataset-323, dataset-326, dataset-239, dataset-066, dataset-324"
An experimental evaluation of a nationally recognized employment-focused offender reentry program,https://link.springer.com/article/10.1007/s11292-014-9201-z,dataset-317
"Transitional jobs: background, program models, and evaluation evidence",https://www.acf.hhs.gov/opre/resource/transitional-jobs-background-program-models-and-evaluation-evidence,
Race-specific Employment Contexts and Recidivism,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1745-9125.2010.00215.x,"dataset-095, dataset-118, dataset-121"
Incarceration and the Legitimate Labor Market: Examining Age-Graded Effects on Employment and Wages,https://www.jstor.org/stable/40538733?seq=1#metadata_info_tab_contents,"dataset-158, dataset-327"
The Building Wealth and Health Network: methods and baseline characteristics from a randomized controlled trial for families with young children participating in temporary assistance for needy families (TANF),https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-016-3233-4,
Recidivism among Participants of a Reentry Program for Prisoners Released without Supervision,https://www.researchgate.net/publication/270814082_Recidivism_among_Participants_of_a_Reentry_Program_for_Prisoners_Released_without_Supervision,
Long-term effects of the Moving to Opportunity residential mobility experiment on crime and delinquency,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3858819/,dataset-153
Neighborhood Effects on Barriers to Employment: Results From a Randomized Housing Mobility Experiment in Baltimore,https://www.jstor.org/stable/25067430?seq=1#metadata_info_tab_contents,dataset-153
"Job Flows, Worker Flows and Churning",https://www.jstor.org/stable/10.1086/209967?seq=1#metadata_info_tab_contents,
Welfare-to-Work Outcvomes: The Role of the Employer,https://www.jstor.org/stable/1061584?seq=1#metadata_info_tab_contents,
Escaping Low Earnings: The Role of Employer Characteristics and Changes,https://www.jstor.org/stable/4126683?seq=1#metadata_info_tab_contents,dataset-170
The LEHD infrastructure files and the creation of the Quarterly Workforce Indicators,https://lehd.ces.census.gov/doc/technical_paper/tp-2006-01.pdf,"dataset-027, dataset-062, dataset-328"
National Estimates of Gross Employment and Job Flows from the Quarterly Workforce Indicators with Demographic and Industry Detail,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3079891/,"dataset-170, dataset-328, dataset-341"
Does Federally-Funded Job Training Work? Nonexperimental Estimates of WIA Training Impacts Using Longitudinal Data on Workers and Firms,https://www.nber.org/papers/w19446,"dataset-343, dataset-170"
Temporary Help Agencies and the Advancement Prospects of Low Earners,https://www.nber.org/papers/w13434,dataset-170
"Job Creation, Worker Churning, and Wages at Young Businesses",https://www.kauffman.org/-/media/kauffman_org/research-reports-and-covers/2012/11/bds_report_7.pdf,"dataset-170, dataset-344"
Exploring Differences in Employment between Household and Establishment Data,https://www.jstor.org/stable/10.1086/669062?seq=1#metadata_info_tab_contents,"dataset-062, dataset-345"
Job-to-Job Flows in the Great Recession,https://www.aeaweb.org/articles?id=10.1257/aer.102.3.580,dataset-170
Estimation of Job-to-Job Flow Rates under Partially Missing Geography,https://ideas.repec.org/p/cen/wpaper/12-29.html,dataset-170
Employer-to-Employer Flows in the United States: Estimates Using Linked Employer-Employee Data,https://www.jstor.org/stable/23243750?seq=1#metadata_info_tab_contents,dataset-170
The Dynamics of Worker Reallocation Within and Across Industries,https://www.jstor.org/stable/4541509?seq=1#metadata_info_tab_contents,dataset-170
Estimating the 'True' Cost of Job Loss: Evidence Using Matched Data from California 1991-2000,https://ideas.repec.org/p/cen/wpaper/09-14.html,dataset-097
Long-Term Neighborhood Effects on Low-Income Families:Evidence from Moving to Opportunity,https://www.nber.org/papers/w18772,dataset-153
"Neighborhoods, Obesity, and Diabetes: A Randomized Social Experiment",https://dash.harvard.edu/bitstream/handle/1/8642951/57317788.pdf,dataset-153
Neighborhood Effects on the Long-Term Well-Being of Low-Income Adults,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3491569/,dataset-153
Associations of Housing Mobility Interventions for Children in High-Poverty Neighborhoods With Subsequent Mental Disorders During Adolescence,https://harris.uchicago.edu/files/inline-files/JAMA%20Kessler%20MTO%20mental%20health%20youth%202014.pdf,
Public and Private Spheres of Neighborhood Disorder: Assessing Pathways to Violence Using Large-scale Digital Records,https://journals.sagepub.com/doi/full/10.1177/0022427815577835,"dataset-046, dataset-164 "
Juvenile Arrest and Collateral Educational Damage in the Transition to Adulthood,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4192649/,"dataset-321, dataset-352"
Parental Incarceration: Recent Trends and Implications for Child Welfare,https://www.jstor.org/stable/10.1086/341184?seq=1#metadata_info_tab_contents,"dataset-195, dataset-353"
Too early is too soon: Lessons from the Montana Department of Corrections Early Release Program,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1745-9133.2011.00765.x,
Children of Incarcerated Parents,https://www.alleghenycountyanalytics.us/wp-content/uploads/2016/06/Children-of-Incarcerated-Parents.pdf,"dataset-354, dataset-355"
Classifying Adult Probationers by Forecasting Future Offending,https://www.ncjrs.gov/pdffiles1/nij/grants/238082.pdf,dataset118
A Sort of Homecoming: Incarceration and the housing security of urban men,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3173782/,
Evaluation of the Allegheny County Jail Collaborative Reentry Programs,https://www.urban.org/sites/default/files/publication/33641/413252-Evaluation-of-the-Allegheny-County-Jail-Collaborative-Reentry-Programs.PDF,
Ex Offenders and the Labor Market,http://cepr.net/documents/publications/ex-offenders-2010-11.pdf,
Using Incentives to Promote Employment Retention for Formerly Incarcerated Individuals,https://www.researchgate.net/publication/254341463_Using_Incentives_to_Promote_Employment_Retention_for_Formerly_Incarcerated_Individuals,
Prison-To-Work: Benefits of Intensive Job-Search Assistance for Former Inmates,,
From Prison to Work: The Employment Dimensions of Prisoner Reentry,https://www.researchgate.net/publication/241281873_From_Prison_to_Work_The_Employment_Dimensions_of_Prisoner_Reentry,
Employer Demand for Ex Offenders,https://www.urban.org/sites/default/files/publication/59286/410779-Employer-Demand-for-Ex-Offenders.PDF,
Case-Managed Reentry and Employment,https://journals.sagepub.com/doi/10.3818/JRP.5.2.2003.75,
Validation of the Employment Retention Inventory,http://www.urban.org/sites/default/files/publication/85331/validation-of-the-employment-retention-inventory.pdf,"dataset-356, dataset-357"
Can We Close the Revolving Door?: Recidivism vs Employment of Ex-Offenders in the US,http://webarchive.urban.org/publications/410857.html,
"Employment after Prison, A Longitudinal Study of Releases in Three States",https://www.urban.org/research/publication/employment-after-prison-longitudinal-study-releasees-three-states,
Can Escaping from Poor Neighborhoods Increase Employment and earnings,https://www.urban.org/research/publication/can-escaping-poor-neighborhoods-increase-employment-and-earnings,"dataset-153, dataset-170"
EMPLOY Program Evaluation,,
Preventing Parolee Crime Program,https://www.crimesolutions.gov/ProgramDetails.aspx?ID=72,
Project Rio,https://www.ncjrs.gov/pdffiles/168637.pdf,
Center for Employment Opportunities Program Evaluations,,
Vocational Education and Training Provision (VET),,
