title,doi,isbn,repec,url,pdf,dataset,rcc_pub_id
Great moderation at the firm level? Unconditional versus conditional output volatility,,,RePEc:ces:ceswps:_2324,http://hdl.handle.net/10419/19724,https://www.econstor.eu/bitstream/10419/19724/1/200813dkp.pdf,dataset-869,2849
Determinants of German FDI: New Evidence from Micro-Data,10.2139/ssrn.392681,,,http://hdl.handle.net/10419/19597,https://www.econstor.eu/bitstream/10419/19597/1/200309dkp.pdf,dataset-008,2861
Quantifying the components of the banks' net interest margin,,978-3-95729-041-0,,http://hdl.handle.net/10419/100036,https://www.econstor.eu/bitstream/10419/100036/1/791674517.pdf,"dataset-006, dataset-013, dataset-010",2866
Analyzing the interest rate risk of banks using time series of accounting-based data: evidence from Germany,,978-3-86558-388-8,,http://hdl.handle.net/10419/19778,https://www.econstor.eu/bitstream/10419/19778/1/200801dkp_b_.pdf,dataset-013,2879
The credit quality channel: Modeling contagion in the interbank market,,978-3-95729-202-5,,http://hdl.handle.net/10419/122192,https://www.econstor.eu/bitstream/10419/122192/1/83979701X.pdf,dataset-005,2882
Does capital regulation matter for bank behaviour? Evidence for German savings banks,10.2139/ssrn.493723,,,http://hdl.handle.net/10419/19730,https://www.econstor.eu/bitstream/10419/19730/1/200403dkp_b.pdf,dataset-013,2898
Trade balances of the central and east European EU member states and the role of foreign direct investment,,,RePEc:zbw:bubdp1:4235,http://hdl.handle.net/10419/19626,https://www.econstor.eu/bitstream/10419/19626/1/200541dkp.pdf,dataset-008,2900
Why do savings banks transform sight deposits into illiquid assets less intensively than the regulation allows?,,978-3-86558-503-5,,http://hdl.handle.net/10419/27688,https://www.econstor.eu/bitstream/10419/27688/1/593866134.PDF,dataset-013,2901
Do all new brooms sweep clean? Evidence for outside bank appointments,,978-3-95729-393-0,,http://hdl.handle.net/10419/168589,https://www.econstor.eu/bitstream/10419/168589/1/898458471.pdf,dataset-006,2910
Measurement matters: Input price proxies and bank efficiency in Germany,10.2139/ssrn.700751,,,http://hdl.handle.net/10419/19734,https://www.econstor.eu/bitstream/10419/19734/1/200501dkp_b.pdf,"dataset-013, dataset-010",2915
Real estate markets and bank distress,,,RePEc:zbw:bubdp2:7449,http://hdl.handle.net/10419/27670,https://www.econstor.eu/bitstream/10419/27670/1/200818dkp_b_.pdf,dataset-005,2916
"Efficient, profitable and safe banking: an oxymoron? Evidence from a panel VAR approach",10.2139/ssrn.958509,,,http://hdl.handle.net/10419/19761,https://www.econstor.eu/bitstream/10419/19761/1/200702dkp_b_.pdf,"dataset-013, dataset-010",2917
How will Basel II affect bank lending to emerging markets? An analysis based on German bank level data,10.2139/ssrn.627842,,,http://hdl.handle.net/10419/19732,https://www.econstor.eu/bitstream/10419/19732/1/200405dkp_b.pdf,dataset-005,2923
Stress testing of real credit portfolios,,,RePEc:zbw:bubdp2:7448,"http://hdl.handle.net/10419/27669""",https://www.econstor.eu/bitstream/10419/27669/1/200817dkp_b_.pdf,dataset-005,2924
Relationship lending: empirical evidence for Germany,,,RePEc:ris:eibefr:2008_001,http://hdl.handle.net/10419/45281,https://www.econstor.eu/bitstream/10419/45281/1/65664401X.pdf,"dataset-006, dataset-005, dataset-869",2930
German bank lending to industrial and non-industrial countries: driven by fundamentals or different treatment?,10.2139/ssrn.791444,,,http://hdl.handle.net/10419/19741,https://www.econstor.eu/bitstream/10419/19741/1/200508dkp_b.pdf,dataset-005,2937
Enterprises' financing structure and their response to monetary policy stimuli: An analysis based on the Deutsche Bundesbank's corporate balance sheet statistics,,,RePEc:zbw:bubdp1:199609e,http://hdl.handle.net/10419/107169,https://www.econstor.eu/bitstream/10419/107169/1/816593701.pdf,dataset-869,2948
"Does co-financing by multilateral development banks increase ""risky"" direct investment in emerging markets",,,RePEc:zbw:bubdp1:1543,http://hdl.handle.net/10419/19469,https://www.econstor.eu/bitstream/10419/19469/1/200402dkp.pdf,dataset-008,2959
Foreign Bank Entry into Emerging Economies: An Empirical Assessment of the Determinants and Risks Predicated on German FDI Data,,,RePEc:zbw:bubdp1:1542,http://hdl.handle.net/10419/19468,https://www.econstor.eu/bitstream/10419/19468/1/200401dkp.pdf,dataset-008,2960
Determinants of German Foreign Direct Investment in Latin American and Asian Emerging Markets in the 1990s,,,RePEc:zbw:bubdp1:4208,http://hdl.handle.net/10419/19599,https://www.econstor.eu/bitstream/10419/19599/1/200311dkp.pdf,dataset-008,2961
An assessment of the trends in international price competitiveness among EMU countries,,,,http://hdl.handle.net/10419/19685,https://www.econstor.eu/bitstream/10419/19685/1/200708dkp.pdf,,3173
