title,publisher,doi,url,pdf,dataset,rcc_dsets,rcc_pub_id,pub_not_inc_in_rccout,
Tax incentives and the location of FDI: evidence from a panel of German multinationals,International Tax and Public Finance,10.1007/s10797-006-8721-5,https://doi.org/10.1007/s10797-006-8721-5,https://www.econstor.eu/bitstream/10419/24083/1/dp0476.pdf,dataset-008,339,2869,,
The organization of knowledge in multinational firms,Journal of the European Economic Association,10.1093/jeea/jvx054,https://academic.oup.com/jeea/article-abstract/16/6/1929/4904295,https://www.econstor.eu/bitstream/10419/121462/1/837897491.pdf,dataset-008,339,2890,,
At Your Service! The Role of Tax Havens in International Trade with Services,Center for Economic Studies and Ifo Institute,,http://hdl.handle.net/10419/113740,https://www.econstor.eu/bitstream/10419/113740/1/cesifo_wp5414.pdf,dataset-008,339,2894,,
Who is afraid of political risk? Multinational firms and their choice of capital structure,Sonderforschungsbereich/Transregio 15 Governance and the Efficiency of Economic Systems,10.5282/ubm/epub.13339,http://hdl.handle.net/10419/94181,https://www.econstor.eu/bitstream/10419/94181/1/sfb-tr15-dp213.pdf,dataset-008,339,2908,,
Export-Supporting FDI,European University Institute,10.1111/caje.12061,http://hdl.handle.net/1814/7164,https://www.econstor.eu/bitstream/10419/27746/1/607703962.PDF,dataset-008,339,2920,,
,,,,,dataset-008,339,2935,**,
Location Choice and Employment Decisions: A Comparison of German and Swedish Multinationals,Review of World Economics,10.1007/s10290-005-0052-6,http://hdl.handle.net/10419/19516,https://www.econstor.eu/bitstream/10419/19516/1/200508dkp.pdf,dataset-008,339,2936,,
Taxes and the financial structure of German inward FDI,Review of World Economics,10.1007/s10290-005-0051-7,http://hdl.handle.net/10419/17807,https://www.econstor.eu/bitstream/10419/17807/1/kap1252.pdf,dataset-008,339,2944,,
Foreign (in)direct investment and corporate taxation,Canadian Journal of Economics/Revue Canadienne d`Economique,10.1111/j.1540-5982.2011.01682.x,https://ideas.repec.org/p/zbw/bubdp1/7555.html,https://www.econstor.eu/bitstream/10419/27640/1/200815dkp.pdf,dataset-008,339,2955,,
Profit shifting in the EU: Evidence from Germany,International Tax and Public Finance,10.1007/s10797-008-9068-x,http://hdl.handle.net/10419/26088,https://www.econstor.eu/bitstream/10419/26088/1/53834122X.PDF,dataset-008,339,2956,,*339 search complete
,,,,,,,122,**,
,,,,,,,123,**,
,,,,,,,124,**,
,,,,,,,127,**,
,,,,,,,133,**,
,,,,,,,137,**,
,,,,,,,2865,**,
Does diversification improve the performance of German banks? Evidence from individual bank loan portfolios,Journal of Financial Services Research,10.1007/s10693-007-0017-0,http://hdl.handle.net/10419/19752,https://www.econstor.eu/bitstream/10419/19752/1/200605dkp_b.pdf,"dataset-006, dataset-005","305, 320",2893,,
How do banks adjust their capital ratios? Evidence from Germany,Journal of Financial Intermediation,10.1016/j.jfi.2009.10.002,http://hdl.handle.net/10419/19765,https://www.econstor.eu/bitstream/10419/19765/1/200706dkp_b_.pdf,dataset-006,305,2928,,
"Banks' regulatory buffers, liquidity networks and monetary policy transmission",Applied Economics,10.1080/00036840802360245,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2793911,https://www.econstor.eu/bitstream/10419/3871/1/200606dkp_b.pdf,dataset-006,305,2932,,*305 search complete
,,,,,,,110,**,
,,,,,,,134,**,
Sector concentration in loan portfolios and economic capital,National Bank of Belgium,10.2139/ssrn.1687615,http://hdl.handle.net/10419/144318,https://www.econstor.eu/bitstream/10419/144318/1/wp105.pdf,dataset-005,320,2876,,
