datasets,doi,journal,search_term,title,url
dataset-612,10.1111/1365-2656.13075,"{'id': 'jour.1017948', 'title': 'Journal of Animal Ecology'}",NEXRAD,Urban areas affect flight altitudes of nocturnally migrating birds,
dataset-612,10.1016/j.scitotenv.2019.133769,"{'id': 'jour.1015499', 'title': 'The Science of The Total Environment'}",NEXRAD,"Evaluating environmental change and behavioral decision-making for sustainability policy using an agent-based model: A case study for the Smoky Hill River Watershed, Kansas",
dataset-612,10.1016/j.pss.2019.104715,"{'id': 'jour.1026157', 'title': 'Planetary and Space Science'}",NEXRAD,Combination of infrasound signals and complementary data for the analysis of bright fireballs,
dataset-612,10.1175/jhm-d-19-0129.1,"{'id': 'jour.1137981', 'title': 'Journal of Hydrometeorology'}",NEXRAD,Improving Multisensor Precipitation Estimation via Adaptive Conditional Bias–Penalized Merging of Rain Gauge Data and Remotely Sensed Quantitative Precipitation Estimates Improving Multisensor Precipitation Estimation via Adaptive Conditional Bias–Penalized Merging of Rain Gauge Data and Remotely Sensed Quantitative Precipitation Estimates,
dataset-612,10.1038/s41598-019-46549-2,Scientific Reports,NEXRAD,"Using weather radar to monitor the number, timing and directions of flying-foxes emerging from their roosts",https://www.nature.com/articles/s41598-019-46549-2.pdf
dataset-612,10.1016/j.envsoft.2017.11.001,"{'id': 'jour.1134509', 'title': 'Environmental Modelling & Software'}",NEXRAD,Improving the catchment scale wetland modeling using remotely sensed data,
dataset-612,10.1109/tgrs.2019.2933912,"{'id': 'jour.1033615', 'title': 'IEEE Transactions on Geoscience and Remote Sensing'}",NEXRAD,UAV-Aided Weather Radar Calibration,
dataset-612,10.1002/ecs2.2939,Ecosphere,NEXRAD,Local‐regional similarity in drylands increases during multiyear wet and dry periods and in response to extreme events,http://dx.doi.org/10.1002/ecs2.2939
dataset-612,10.1175/jhm-d-19-0136.1,"{'id': 'jour.1137981', 'title': 'Journal of Hydrometeorology'}",NEXRAD,A Flexible Bayesian Approach to Bias Correction of Radar-derived Precipitation Estimates over Complex Terrain: Model Design and Initial Verification A Flexible Bayesian Approach to Bias Correction of Radar-derived Precipitation Estimates over Complex Terrain: Model Design and Initial Verification,
dataset-612,10.1038/s41598-018-36282-7,Scientific Reports,NEXRAD,Windshield wipers on connected vehicles produce high-accuracy rainfall maps,https://www.nature.com/articles/s41598-018-36282-7.pdf
dataset-612,10.1186/s13638-019-1465-6,EURASIP Journal on Wireless Communications and Networking,NEXRAD,Study on reflectivity data interpolation and mosaics for multiple Doppler weather radars,https://jwcn-eurasipjournals.springeropen.com/track/pdf/10.1186/s13638-019-1465-6
dataset-612,10.1016/j.jhydrol.2019.124138,"{'id': 'jour.1126746', 'title': 'Journal of Hydrology'}",NEXRAD,"Possible hydrologic forecasting improvements resulting from advancements in precipitation estimation and forecasting for a real-time flood forecast system in the Ohio River Valley, USA",
dataset-612,10.1038/s41598-019-38716-2,Scientific Reports,NEXRAD,Unexpected rip currents induced by a meteotsunami,https://www.nature.com/articles/s41598-019-38716-2.pdf
dataset-612,10.1016/j.envsoft.2017.05.008,Environmental Modelling & Software,NEXRAD,A simulation-optimization methodology to model urban catchments under non-stationary extreme rainfall events,https://repositorio.unican.es/xmlui/bitstream/10902/11548/3/ASimulation-Optimization.pdf
dataset-612,10.1186/s13638-019-1456-7,EURASIP Journal on Wireless Communications and Networking,NEXRAD,A big data placement method using NSGA-III in meteorological cloud platform,https://jwcn-eurasipjournals.springeropen.com/track/pdf/10.1186/s13638-019-1456-7
dataset-612,10.1175/waf-d-19-0014.1,"{'id': 'jour.1137684', 'title': 'Weather and Forecasting'}",NEXRAD,A Climatology of Quasi-Linear Convective Systems and Their Hazards in the United States A Climatology of Quasi-Linear Convective Systems and Their Hazards in the United States,
dataset-612,10.1002/wer.1165,"{'id': 'jour.1312339', 'title': 'Water Environment Research'}",NEXRAD,Monitoring infiltration rates with time domain reflectometers,
dataset-612,10.1175/waf-d-18-0191.1,"{'id': 'jour.1137684', 'title': 'Weather and Forecasting'}",NEXRAD,Lake-effect Snowbands in Baroclinic Environments Lake-effect Snowbands in Baroclinic Environments,
dataset-612,10.1175/waf-d-19-0071.1,"{'id': 'jour.1137684', 'title': 'Weather and Forecasting'}",NEXRAD,Test of a Weather-Adaptive Dual-Resolution Hybrid Warn-on-Forecast Analysis and Forecast System for Several Severe Weather Events Test of a Weather-Adaptive Dual-Resolution Hybrid Warn-on-Forecast Analysis and Forecast System for Several Severe Weather Events,
dataset-612,10.1175/jtech-d-19-0088.1,"{'id': 'jour.1137215', 'title': 'Journal of Atmospheric and Oceanic Technology'}",NEXRAD,"Fuzzy Logic Algorithms to Identify Birds, Precipitation and Ground Clutter in S-Band Radar Data Using Polarimetric and Non-polarimetric Variables Fuzzy Logic Algorithms to Identify Birds, Precipitation and Ground Clutter in S-Band Radar Data Using Polarimetric and Non-polarimetric Variables",
dataset-612,10.1007/s12145-019-00398-9,"{'id': 'jour.1049211', 'title': 'Earth Science Informatics'}",NEXRAD,Towards an information centric flood ontology for information management and communication,
dataset-612,10.1175/jamc-d-18-0241.1,"{'id': 'jour.1137885', 'title': 'Journal of Applied Meteorology and Climatology'}",NEXRAD,Evaluating the Ability of Remote Sensing Observations to Identify Significantly Severe and Potentially Tornadic Storms Evaluating the Ability of Remote Sensing Observations to Identify Significantly Severe and Potentially Tornadic Storms,
dataset-612,10.1175/mwr-d-18-0445.1,"{'id': 'jour.1136879', 'title': 'Monthly Weather Review'}",NEXRAD,The Role of Gravity Wave Breaking in a Case of Upper-Level Near-Cloud Turbulence The Role of Gravity Wave Breaking in a Case of Upper-Level Near-Cloud Turbulence,
dataset-612,10.1016/j.jhydrol.2019.124210,"{'id': 'jour.1126746', 'title': 'Journal of Hydrology'}",NEXRAD,"Investigating the role of antecedent SMAP satellite soil moisture, radar rainfall and MODIS vegetation on runoff production in an agricultural region",
dataset-612,10.1016/j.ejrh.2019.100629,"{'id': 'jour.1143319', 'title': 'Journal of Hydrology Regional Studies'}",NEXRAD,"Assessment of antecedent moisture condition on flood frequency: An experimental study in Napa River Basin, CA",
dataset-612,10.24812/nictkenkyuhoukoku.42.3_305,,NEXRAD,TRMM降雨レーダデータ処理解析アルゴリズムの概要,
dataset-612,10.3390/rs11232804,Remote Sensing,NEXRAD,River Discharge Simulation in the High Andes of Southern Ecuador Using High-Resolution Radar Observations and Meteorological Station Data,http://dx.doi.org/10.3390/rs11232804
dataset-612,10.1155/2019/3768746,International Journal of Aerospace Engineering,NEXRAD,Sensitivity Study on Optimizing Thickness Distribution for a Membrane Reflector,http://dx.doi.org/10.1155/2019/3768746
dataset-612,10.1175/mwr-d-19-0068.1,"{'id': 'jour.1136879', 'title': 'Monthly Weather Review'}",NEXRAD,Observational study of the thermodynamics and morphological characteristics of a midlatitude continental cold pool event Observational study of the thermodynamics and morphological characteristics of a midlatitude continental cold pool event,
dataset-612,10.1111/1752-1688.12812,"{'id': 'jour.1081849', 'title': 'JAWRA Journal of the American Water Resources Association'}",NEXRAD,Flood Risk Reduction from Agricultural Best Management Practices,
dataset-612,10.5194/nhess-19-2597-2019,Natural Hazards and Earth System Science,NEXRAD,"Hydro-meteorological reconstruction and geomorphological impact assessment of the October 2018 catastrophic flash flood at Sant Llorenç, Mallorca (Spain)",http://dx.doi.org/10.5194/nhess-19-2597-2019
dataset-612,10.1007/s13369-019-04251-5,"{'id': 'jour.1136851', 'title': 'Arabian Journal for Science and Engineering'}",NEXRAD,"WRF-Hydro Model Application in a Data-Scarce, Small and Topographically Steep Catchment in Samsun, Turkey",
dataset-612,10.1029/2019wr025517,"{'id': 'jour.1081604', 'title': 'Water Resources Research'}",NEXRAD,Adjustment of Radar‐Gauge Rainfall Discrepancy Due to Raindrop Drift and Evaporation Using the Weather Research and Forecasting Model and Dual‐Polarization Radar,
dataset-612,10.3390/atmos10110714,"{'id': 'jour.1045241', 'title': 'Atmosphere'}",NEXRAD,Polarization Weather Radar Development from 1970–1995: Personal Reflections,
dataset-612,10.1080/15715124.2019.1672701,"{'id': 'jour.1141190', 'title': 'International Journal of River Basin Management'}",NEXRAD,Selection of appropriate loss methods in HEC-HMS model and determination of the derived values of the sensitive parameters for un-gauged catchments in Northern Ethiopia,
dataset-612,10.3390/rs11222650,Remote Sensing,NEXRAD,Validation of the Hurricane Imaging Radiometer Forward Radiative Transfer Model for a Convective Rain Event,http://dx.doi.org/10.3390/rs11222650
dataset-612,10.1175/mwr-d-19-0218.1,"{'id': 'jour.1136879', 'title': 'Monthly Weather Review'}",NEXRAD,Observations and Simulation of Elevated Nocturnal Convection Initiation on 24 June 2015 during PECAN Observations and Simulation of Elevated Nocturnal Convection Initiation on 24 June 2015 during PECAN,
dataset-612,10.1080/24694452.2019.1670042,"{'id': 'jour.1120577', 'title': 'Annals of the American Association of Geographers'}",NEXRAD,Forecaster Perceptions and Climatological Analysis of the Influence of Convective Mode on Tornado Climatology and Warning Success,
dataset-612,10.1155/2019/8235037,Advances in Meteorology,NEXRAD,Advances in Remote Sensing to Understand Extreme Hydrological Events,http://dx.doi.org/10.1155/2019/8235037
dataset-612,10.3390/atmos10110681,"{'id': 'jour.1045241', 'title': 'Atmosphere'}",NEXRAD,The Role of Continental Mesoscale Convective Systems in Forecast Busts within Global Weather Prediction Systems,
dataset-612,10.1029/2019ms001730,"{'id': 'jour.1141598', 'title': 'Journal of Advances in Modeling Earth Systems'}",NEXRAD,Sensitivity of Simulated Deep Convection to a Stochastic Ice Microphysics Framework,
dataset-612,10.1175/jamc-d-19-0099.1,"{'id': 'jour.1137885', 'title': 'Journal of Applied Meteorology and Climatology'}",NEXRAD,"A composite analysis of snowfall modes from four winter seasons in Marquette, Michigan A composite analysis of snowfall modes from four winter seasons in Marquette, Michigan",
dataset-612,10.3390/ijgi8110494,ISPRS International Journal of Geo-Information,NEXRAD,Advanced Cyberinfrastructure to Enable Search of Big Climate Datasets in THREDDS,http://dx.doi.org/10.3390/ijgi8110494
dataset-612,10.1029/2019ea000733,"{'id': 'jour.1148455', 'title': 'Earth and Space Science'}",NEXRAD,A Thunderstorm Identification Method Combining the Area of Graupel Distribution Region and Weather Radar Reflectivity,
dataset-612,10.1088/1755-1315/344/1/012048,IOP Conference Series Earth and Environmental Science,NEXRAD,"Application of Mike11 and remote sensing in simulating flood – a case study in Tra Khuc River, Quang Ngai Province, Vietnam",http://dx.doi.org/10.1088/1755-1315/344/1/012048
dataset-612,10.2166/hydro.2019.012,"{'id': 'jour.1140313', 'title': 'Journal of Hydroinformatics'}",NEXRAD,Cellular time series: a data structure for spatio-temporal analysis and management of geoscience information,
dataset-612,10.1007/s11069-019-03786-y,"{'id': 'jour.1050117', 'title': 'Natural Hazards'}",NEXRAD,An examination of traffic volume during snow events in northeast Ohio,
dataset-612,10.1016/j.biocon.2019.108327,"{'id': 'jour.1081615', 'title': 'Biological Conservation'}",NEXRAD,Is the insect apocalypse upon us? How to find out,
dataset-612,10.1007/s11214-019-0615-9,"{'id': 'jour.1026170', 'title': 'Space Science Reviews'}",NEXRAD,Advanced Curation of Astromaterials for Planetary Science,
dataset-612,10.1016/j.advwatres.2019.103423,"{'id': 'jour.1039900', 'title': 'Advances in Water Resources'}",NEXRAD,Simulating multi-dimensional anomalous diffusion in nonstationary media using variable-order vector fractional-derivative models with Kansa solver,
dataset-612,10.1016/j.atmosenv.2019.116907,"{'id': 'jour.1132096', 'title': 'Atmospheric Environment'}",NEXRAD,African dust deposition in Puerto Rico: Analysis of a 20-year rainfall chemistry record and comparison with models,
dataset-612,10.1177/1071181319631435,"{'id': 'jour.1313722', 'title': 'Proceedings of the Human Factors and Ergonomics Society Annual Meeting'}",NEXRAD,Preflight Weather Decision Support Tool (PWDST): User-Centered Design Process and Usability Validation,
dataset-612,10.1175/jcli-d-19-0137.1,"{'id': 'jour.1312082', 'title': 'Journal of Climate'}",NEXRAD,Spatiotemporal Characteristics and Large-scale Environments of Mesoscale Convective Systems East of the Rocky Mountains Spatiotemporal Characteristics and Large-scale Environments of Mesoscale Convective Systems East of the Rocky Mountains,
dataset-612,10.1111/jfr3.12519,"{'id': 'jour.1045084', 'title': 'Journal of Flood Risk Management'}",NEXRAD,Flood hazard assessment and the role of citizen science,
dataset-612,10.5194/nhess-2019-342,Natural Hazards and Earth System Science,NEXRAD,Brief Communication: An Electrifying Atmospheric River: Understanding the Thunderstorm Event in Santa Barbara County during March 2019,http://dx.doi.org/10.5194/nhess-2019-342
dataset-612,10.1175/bams-d-18-0195.1,"{'id': 'jour.1053654', 'title': 'Bulletin of the American Meteorological Society'}",NEXRAD,Making the black box more transparent: Understanding the physical implications of machine learning Making the black box more transparent: Understanding the physical implications of machine learning,
dataset-612,10.1111/2041-210x.13280,"{'id': 'jour.1044080', 'title': 'Methods in Ecology and Evolution'}",NEXRAD,MistNet: Measuring historical bird migration in the US using archived weather radar data and convolutional neural networks,
dataset-612,10.1175/jas-d-19-0004.1,"{'id': 'jour.1136924', 'title': 'Journal of the Atmospheric Sciences'}",NEXRAD,Sensitivity of Lake-Effect Cloud Microphysical Processes to Ice Crystal Habit and Nucleation during OWLeS IOP4 Sensitivity of Lake-Effect Cloud Microphysical Processes to Ice Crystal Habit and Nucleation during OWLeS IOP4,
dataset-612,10.5194/gmd-12-4551-2019,Geoscientific Model Development Discussions,NEXRAD,tobac 1.2: towards a flexible framework for tracking and analysis of clouds in diverse datasets,http://dx.doi.org/10.5194/gmd-12-4551-2019
dataset-612,10.3390/geosciences9100452,"{'id': 'jour.1320082', 'title': 'Geosciences'}",NEXRAD,"The College Park, Maryland, Tornado of 24 September 2001",
dataset-612,10.3390/rs11202457,Remote Sensing,NEXRAD,A Radar Radial Velocity Dealiasing Algorithm for Radar Data Assimilation and its Evaluation with Observations from Multiple Radar Networks,http://dx.doi.org/10.3390/rs11202457
dataset-612,10.1175/mwr-d-19-0187.1,"{'id': 'jour.1136879', 'title': 'Monthly Weather Review'}",NEXRAD,Effects of under-resolved convective dynamics on the evolution of a squall line Effects of under-resolved convective dynamics on the evolution of a squall line,
dataset-612,10.1080/01431161.2019.1602791,"{'id': 'jour.1122771', 'title': 'International Journal of Remote Sensing'}",NEXRAD,Performance evaluation of CMORPH satellite precipitation product in the Zambezi Basin,
dataset-612,10.1175/jtech-d-18-0212.1,"{'id': 'jour.1137215', 'title': 'Journal of Atmospheric and Oceanic Technology'}",NEXRAD,Variational Retrieval of Rain Microphysics and Related Parameters from Polarimetric Radar Data with a Parameterized Operator Variational Retrieval of Rain Microphysics and Related Parameters from Polarimetric Radar Data with a Parameterized Operator,
dataset-612,10.1175/bams-d-19-0033.1,"{'id': 'jour.1053654', 'title': 'Bulletin of the American Meteorological Society'}",NEXRAD,Megaflashes: Just How Long Can a Lightning Discharge Get? Megaflashes: Just How Long Can a Lightning Discharge Get?,
dataset-612,10.5194/nhess-19-2241-2019,Natural Hazards and Earth System Science,NEXRAD,Effects of high-resolution geostationary satellite imagery on the predictability of tropical thunderstorms over Southeast Asia,http://dx.doi.org/10.5194/nhess-19-2241-2019
dataset-612,10.1029/2019wr025472,"{'id': 'jour.1081604', 'title': 'Water Resources Research'}",NEXRAD,Ensemble Streamflow Forecasting using an Energy Balance Snowmelt Model Coupled to a Distributed Hydrologic Model with Assimilation of Snow and Streamflow Observations,
dataset-612,10.1175/mwr-d-19-0206.1,"{'id': 'jour.1136879', 'title': 'Monthly Weather Review'}",NEXRAD,Dynamical Mechanisms Supporting Extreme Rainfall Accumulations in the Houston “Tax Day” 2016 Flood Dynamical Mechanisms Supporting Extreme Rainfall Accumulations in the Houston “Tax Day” 2016 Flood,
dataset-612,10.5194/hess-23-4153-2019,Hydrology and Earth System Sciences,NEXRAD,Statistical characteristics of raindrop size distribution during rainy seasons in the Beijing urban area and implications for radar rainfall estimation,http://dx.doi.org/10.5194/hess-23-4153-2019
dataset-612,10.1155/2019/6542410,Advances in Meteorology,NEXRAD,"Assessing the Applicability of Random Forest, Stochastic Gradient Boosted Model, and Extreme Learning Machine Methods to the Quantitative Precipitation Estimation of the Radar Data: A Case Study to Gwangdeoksan Radar, South Korea, in 2018",http://dx.doi.org/10.1155/2019/6542410
dataset-612,10.1175/mwr-d-19-0146.1,"{'id': 'jour.1136879', 'title': 'Monthly Weather Review'}",NEXRAD,Observations of Extreme Short-term Precipitation Associated with Supercells and Mesovortices Observations of Extreme Short-term Precipitation Associated with Supercells and Mesovortices,
dataset-612,10.1080/24721840.2019.1657018,"{'id': 'jour.1371265', 'title': 'The International Journal of Aerospace Psychology'}",NEXRAD,Timestamp Representative of Weather Radar Images in the Cockpit,
dataset-612,10.1007/s00376-019-8225-8,"{'id': 'jour.1135901', 'title': 'Advances in Atmospheric Sciences'}",NEXRAD,"Microphysical Characteristics of Precipitation during Pre-monsoon, Monsoon, and Post-monsoon Periods over the South China Sea",
dataset-612,10.1007/s00704-019-02798-9,"{'id': 'jour.1086664', 'title': 'Theoretical and Applied Climatology'}",NEXRAD,"An overview of the atmospheric moisture transport effect on stable isotopes (δ18O, δ 2H) and D excess contents of precipitation in Iran",
dataset-612,10.1175/waf-d-18-0141.1,"{'id': 'jour.1137684', 'title': 'Weather and Forecasting'}",NEXRAD,Quasi-Operational Testing of Real-time Storm-longevity Prediction via Machine Learning Quasi-Operational Testing of Real-time Storm-longevity Prediction via Machine Learning,
dataset-612,10.1002/qj.3611,"{'id': 'jour.1052095', 'title': 'Quarterly Journal of the Royal Meteorological Society'}",NEXRAD,Investigating the GPM Dual‐frequency Precipitation Radar signatures of low‐level precipitation enhancement,
dataset-612,10.1029/2018wr024447,"{'id': 'jour.1081604', 'title': 'Water Resources Research'}",NEXRAD,Reward‐Based Participant Management for Crowdsourcing Rainfall Monitoring: An Agent‐Based Model Simulation,
dataset-612,10.1175/waf-d-19-0049.1,"{'id': 'jour.1137684', 'title': 'Weather and Forecasting'}",NEXRAD,Introducing Lightning Threat Messaging Using the GOES-16 Day Cloud Phase Distinction RGB Composite Introducing Lightning Threat Messaging Using the GOES-16 Day Cloud Phase Distinction RGB Composite,
dataset-612,10.1175/waf-d-18-0210.1,"{'id': 'jour.1137684', 'title': 'Weather and Forecasting'}",NEXRAD,Influences of Horizontal Grid Spacing and Microphysics on WRF Forecasts of Convective Morphology Evolution for Nocturnal MCSs in Weakly Forced Environments Influences of Horizontal Grid Spacing and Microphysics on WRF Forecasts of Convective Morphology Evolution for Nocturnal MCSs in Weakly Forced Environments,
dataset-612,10.1175/jamc-d-19-0098.1,"{'id': 'jour.1137885', 'title': 'Journal of Applied Meteorology and Climatology'}",NEXRAD,An Updated Severe Hail and Tornado Climatology for Eastern Colorado An Updated Severe Hail and Tornado Climatology for Eastern Colorado,
dataset-612,10.1175/bams-d-18-0243.1,Bulletin of the American Meteorological Society,NEXRAD,Enabling immediate access to Earth science models through cloud computing: application to the GEOS-Chem model Enabling immediate access to Earth science models through cloud computing: application to the GEOS-Chem model,http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-18-0243.1
dataset-612,10.1175/waf-d-19-0015.1,"{'id': 'jour.1137684', 'title': 'Weather and Forecasting'}",NEXRAD,LAMP Upgraded Convection and Total Lightning Probability and “Potential” Guidance for the Conterminous US LAMP Upgraded Convection and Total Lightning Probability and “Potential” Guidance for the Conterminous US,
dataset-612,10.5194/hess-2019-484,Hydrology and Earth System Sciences,NEXRAD,Linking economic and social factors to peak flows in an agricultural watershed using socio-hydrologic modeling,http://dx.doi.org/10.5194/hess-2019-484
dataset-612,10.1002/met.1789,"{'id': 'jour.1138529', 'title': 'Meteorological Applications'}",NEXRAD,Windshear detection by Terminal Doppler Weather Radar during Tropical Cyclone Mujigae in 2015,
dataset-612,10.1175/jcli-d-18-0839.1,"{'id': 'jour.1312082', 'title': 'Journal of Climate'}",NEXRAD,Contrasting spring and summer large-scale environments associated with mesoscale convective systems over the U.S. Great Plains Contrasting spring and summer large-scale environments associated with mesoscale convective systems over the U.S. Great Plains,
dataset-612,10.1007/s12665-019-8604-6,"{'id': 'jour.1313768', 'title': 'Environmental Earth Sciences'}",NEXRAD,"Coupling HEC-RAS and HEC-HMS in rainfall–runoff modeling and evaluating floodplain inundation maps in arid environments: case study of Ain Sefra city, Ksour Mountain. SW of Algeria",
dataset-612,10.1175/mwr-d-18-0439.1,"{'id': 'jour.1136879', 'title': 'Monthly Weather Review'}",NEXRAD,Using the Translation Speed and Vertical Structure of Gust Fronts to Infer Buoyancy Deficits within Thunderstorm Outflow Using the Translation Speed and Vertical Structure of Gust Fronts to Infer Buoyancy Deficits within Thunderstorm Outflow,
dataset-612,10.1016/j.jastp.2019.105080,"{'id': 'jour.1137251', 'title': 'Journal of Atmospheric and Solar-Terrestrial Physics'}",NEXRAD,A rapid identification and warning method for severe weather via Doppler radar based on an improved TITAN algorithm,
dataset-612,10.1175/waf-d-19-0089.1,"{'id': 'jour.1137684', 'title': 'Weather and Forecasting'}",NEXRAD,An Evaluation of Snowband Predictability in the High-Resolution Rapid Refresh An Evaluation of Snowband Predictability in the High-Resolution Rapid Refresh,
dataset-612,10.1016/j.rse.2019.111326,"{'id': 'jour.1045931', 'title': 'Remote Sensing of Environment'}",NEXRAD,Tropospheric corrections for InSAR: Statistical assessments and applications to the Central United States and Mexico,
dataset-612,10.1007/s00703-018-0650-1,"{'id': 'jour.1271293', 'title': 'Meteorology and Atmospheric Physics'}",NEXRAD,Evaluation of detection ability of regional radar network in complex terrain based on digital elevation model: a sample study of Fujian province in China,
dataset-612,10.1111/aec.12823,"{'id': 'jour.1294777', 'title': 'Austral Ecology'}",NEXRAD,Opportunities and challenges in using weather radar for detecting and monitoring flying animals in the Southern Hemisphere,
dataset-612,10.1007/s41324-019-00290-0,"{'id': 'jour.1153043', 'title': 'Spatial Information Research'}",NEXRAD,"Determining process of occasional flooding from channel hydrological characteristics of Chel Basin, North Bengal (India)",
dataset-612,10.3390/atmos10100566,"{'id': 'jour.1045241', 'title': 'Atmosphere'}",NEXRAD,Fusion of High-Resolution Reflectivity for a New Array Weather Radar,
dataset-612,10.22146/jcef.49395,"{'id': 'jour.1298812', 'title': 'Journal of the Civil Engineering Forum'}",NEXRAD,Correcting Radar Rainfall Estimates Based on Ground Elevation Function,
dataset-612,10.1007/s00703-019-00696-3,"{'id': 'jour.1271293', 'title': 'Meteorology and Atmospheric Physics'}",NEXRAD,Discernment of near-oceanic precipitating clouds into convective or stratiform based on Z–R model over an Asian monsoon tropical site,
dataset-612,10.3390/hydrology6030082,"{'id': 'jour.1151471', 'title': 'Hydrology'}",NEXRAD,"Relative Effect of Location Alternatives on Urban Hydrology. The Case of Greater Port-Harcourt Watershed, Niger Delta",
dataset-612,10.3390/atmos10090547,"{'id': 'jour.1045241', 'title': 'Atmosphere'}",NEXRAD,Frontal Wind Field Retrieval Based on UHF Wind Profiler Radars and an S-band Radar Network,
dataset-612,10.5194/gmd-12-4031-2019,Geoscientific Model Development Discussions,NEXRAD,A radar reflectivity operator with ice-phase hydrometeors for variational data assimilation (version 1.0) and its evaluation with real radar data,http://dx.doi.org/10.5194/gmd-12-4031-2019
dataset-612,10.5194/nhess-19-2027-2019,Natural Hazards and Earth System Science,NEXRAD,Multicriteria assessment framework of flood events simulated with vertically mixed runoff model in semiarid catchments in the middle Yellow River,http://dx.doi.org/10.5194/nhess-19-2027-2019
dataset-612,10.3390/atmos10090541,"{'id': 'jour.1045241', 'title': 'Atmosphere'}",NEXRAD,Developing Spatially Accurate Rainfall Predictions for the San Francisco Bay Area through Case Studies of Atmospheric River and other Synoptic Events,
