dataset_name,doi,journal ,title
dataset-026,10.1097/mlr.0000000000001024,Medical Care,Identification of Cross-sector Service Utilization Patterns Among Urban Medicaid Expansion Enrollees
dataset-026,10.1016/j.ssmph.2019.100393,SSM - Population Health,Food and financial coping strategies during the monthly Supplemental Nutrition Assistance Program cycle
dataset-026,10.1016/j.jand.2017.01.008,Journal of the Academy of Nutrition and Dietetics,Low-Income Urban Mothers' Experiences with the Supplemental Nutrition Assistance Program
dataset-026,10.3945/an.112.003244,Advances in Nutrition,Food Insecurity Is an Ongoing National Concern
dataset-026,10.1080/19320248.2014.962780,Journal of Hunger & Environmental Nutrition,The Relationship Between Obesity and Participation in the Supplemental Nutrition Assistance Program (SNAP): Is Mental Health a Mediator?
dataset-026,10.1002/nur.21943,Research in Nursing & Health,Predictors of psychological distress in low-income mothers over the first postpartum year
dataset-026,10.1089/heq.2016.0023,Health Equity,Examining Material Hardship in Mothers: Associations of Diaper Need and Food Insufficiency with Maternal Depressive Symptoms
dataset-026,10.1037/ort0000318,American Journal of Orthopsychiatry,Paid sick leave status in relation to government sponsored welfare utilization.
dataset-026,10.1016/j.acap.2015.02.010,Academic Pediatrics,Spotlight on Express Lane Eligibility (ELE): A Tool to Improve Enrollment and Renewal
dataset-026,10.1017/s1368980010002090,Public Health Nutrition,Is participation in food and income assistance programmes associated with obesity in California adults? Results from a state-wide survey
dataset-026,10.1146/annurev-publhealth-040218-044132,Annual Review of Public Health,Aligning Programs and Policies to Support Food Security and Public Health Goals in the United States
dataset-026,10.1016/j.acap.2014.10.002,Academic Pediatrics,Influence of Maternal Depression on Household Food Insecurity for Low-Income Families
dataset-026,10.1007/s13524-017-0642-7,Demography,The Changing Safety Net for Low-Income Parents and Their Children: Structural or Cyclical Changes in Income Support Policy?
dataset-026,10.1177/1524839917715438,Health Promotion Practice,Understanding the Experiences of Low-Income Individuals Receiving Farmers' Market Incentives in the United States: A Qualitative Study
dataset-026,10.1017/s1368980016000033,Public Health Nutrition,Accessibility of summer meals and the food insecurity of low-income households with children
dataset-026,10.1007/s10567-017-0228-3,Clinical Child and Family Psychology Review,A Framework for Valuing Investments in a Nurturing Society: Opportunities for Prevention Research
dataset-026,10.1016/j.jand.2012.03.033,Journal of the Academy of Nutrition and Dietetics,Effect of the Supplemental Nutrition Assistance Program (SNAP) on Frequency of Beverage Consumption among Youth in the United States
dataset-026,10.1089/big.2015.0014,Big Data,"Diets and Health: How Food Decisions Are Shaped by Biology, Economics, Geography, and Social Interactions"
dataset-026,10.1017/s1368980011002709,Public Health Nutrition,How much does the Supplemental Nutrition Assistance Program alleviate food insecurity? Evidence from recent programme leavers
dataset-026,10.1007/s10995-013-1348-0,Maternal and Child Health Journal,The Influence of Maternal Health Literacy and Child's Age on Participation in Social Welfare Programs
dataset-026,10.1080/03630242.2015.1022814,Women & Health,"The Effects of Collateral Consequences of Criminal Involvement on Employment, Use of Temporary Assistance for Needy Families, and Health"
dataset-026,10.3945/an.113.004630,Advances in Nutrition,SNAP Benefits: Can an Adequate Benefit Be Defined?
dataset-026,10.3945/jn.114.198697,Journal of Nutrition,Supplemental Nutrition Assistance Program Participation Is Associated with an Increase in Household Food Security in a National Evaluation
dataset-026,10.1007/s10567-017-0225-6,Clinical Child and Family Psychology Review,Family Economic Security Policies and Child and Family Health
dataset-026,10.1016/j.jneb.2017.03.010,Journal of Nutrition Education and Behavior,Examining Internet Access and Social Media Application Use for Online Nutrition Education in¬†SNAP-Ed Participants in Rural Illinois
dataset-026,10.1186/s12889-016-3233-4,BMC Public Health,The Building Wealth and Health Network: methods and baseline characteristics from a randomized controlled trial for families with young children participating in temporary assistance for needy families (TANF)
dataset-026,10.1371/journal.pone.0215327,PLoS ONE,Restrictive state laws aimed at immigrants: Effects on enrollment in the food stamp program by U.S. citizen children in immigrant families
dataset-026,10.1377/hlthaff.2015.0645,Health Affairs,Food Insecurity And Health Outcomes
dataset-026,10.1080/19320248.2016.1157550,Journal of Hunger & Environmental Nutrition,"Perceived Barriers and Facilitators of Farm-to-Consumer Retail Outlet Use Among Participants of the Special Supplemental Nutrition Program for Women, Infants, and Children (WIC) in Alabama"
dataset-026,10.1016/j.jand.2018.02.011,Journal of the Academy of Nutrition and Dietetics,Understanding Customers: The Jobs to Be Done Theory Applied in the Context of a Rural Food Pantry
dataset-026,10.1007/s10903-016-0516-x,Journal of Immigrant and Minority Health,Longitudinal Trajectories of Food Insecurity Among Children of Immigrants
dataset-026,10.1016/j.childyouth.2011.12.016,Children and Youth Services Review,Low income families' utilization of the Federal Safety Net: Individual and state-level predictors of TANF and Food Stamp receipt
dataset-026,10.1016/j.jneb.2012.06.006,Journal of Nutrition Education and Behavior,Facebook Is an Effective Strategy to Recruit Low-income Women to Online Nutrition Education
dataset-026,10.1080/19371918.2017.1415181,Social Work in Public Health,Understanding High Incidence of Severe Obesity and Very Low Food Security in Food Pantry Clients: Implications For Social Work
dataset-026,10.1080/03670244.2017.1406853,Ecology of Food and Nutrition,Factors Associated with Home Meal Preparation and Fast-Food Sources Use among Low-Income Urban African American Adults
dataset-026,10.1002/soej.12081,Southern Economic Journal,Rasch Analyses of Very Low Food Security among Households and Children in the Three City Study
dataset-026,10.1186/s12937-018-0360-z,Nutrition Journal,Nutrient intake disparities in the US: modeling the effect of food substitutions
dataset-026,10.1017/s1368980017000088,Public Health Nutrition,Low-income adults' perceptions of farmers' markets and community-supported agriculture programmes
dataset-026,10.1097/phh.0000000000000813,Journal of Public Health Management and Practice,Pay to Play? State Laws Related to High School Sports Participation Fees
dataset-026,10.1080/19320248.2014.962770,Journal of Hunger & Environmental Nutrition,"Cross-Sectional Relationships Between Household Food Insecurity and Child BMI, Feeding Behaviors, and Public Assistance Utilization Among Head Start Children From Predominantly Hispanic and American Indian Communities in the CHILE Study"
dataset-026,10.1542/peds.2014-2832,Pediatrics,Home Foreclosure and Child Protective Services Involvement
dataset-026,10.1377/hlthaff.2017.0991,Health Affairs,Cross-Sector Service Use Among High Health Care Utilizers In Minnesota After Medicaid Expansion
dataset-026,10.3389/fped.2018.00207,Frontiers in Pediatrics,Disparities in Utilization of Social Determinants of Health Referrals Among Children in Immigrant Families
dataset-026,10.5888/pcd11.130324,Preventing Chronic Disease,Objective and Self-Reported Factors Associated With Food-Environment Perceptions and Fruit-And-Vegetable Consumption: A Multilevel Analysis
dataset-026,10.1017/s1368980014003036,Public Health Nutrition,The relationship between childhood adversity and food insecurity: like a bird nesting in your head
dataset-026,10.5888/pcd10.120206,Preventing Chronic Disease,"A Qualitative Study of Perceived Barriers to Fruit and Vegetable Consumption Among Low-Income Populations, North Carolina, 2011"
dataset-026,10.1016/j.jand.2018.06.009,Journal of the Academy of Nutrition and Dietetics,Position of the Academy of Nutrition and Dietetics: Child and Adolescent Federally Funded Nutrition Assistance Programs
dataset-026,10.1186/s12966-017-0637-1,International Journal of Behavioral Nutrition and Physical Activity,Cluster randomized controlled trial of a mobile market intervention to increase fruit and vegetable intake among adults in lower-income communities in North Carolina
dataset-026,10.1542/peds.2017-2199,Pediatrics,Unstable Housing and Caregiver and Child Health in Renter Families
dataset-026,10.1002/pam.22073,Journal of Policy Analysis and Management,ECONOMISM IS NOT ENOUGH
dataset-026,10.1016/j.jneb.2018.10.004,Journal of Nutrition Education and Behavior,Development and Testing of the Healthy Food Pantry Assessment Tool
dataset-026,10.1542/peds.2013-0597,Pediatrics,Diaper Need and Its Impact on Child Health
dataset-026,10.3390/children6020031,Children,Tobacco Use as a Health Disparity: What Can Pediatric Clinicians Do?
dataset-026,10.3945/ajcn.112.037622,American Journal of Clinical Nutrition,"Food-package assignments and breastfeeding initiation before and after a change in the Special Supplemental Nutrition Program for Women, Infants, and Children"
dataset-026,10.1093/aje/kwv249,American Journal of Epidemiology,"Health Behaviors, Mental Health, and Health Care Utilization Among Single Mothers After Welfare Reforms in the 1990s"
dataset-026,10.1080/03670244.2019.1598979,Ecology of Food and Nutrition,National Trends in Food Insecurity and Congregation-Based Food Provision between 1998 and 2012
dataset-026,10.1007/s10995-013-1281-2,Maternal and Child Health Journal,Securing the Safety Net: Concurrent Participation in Income Eligible Assistance Programs
dataset-026,10.1111/1475-6773.12157,Health Services Research,The Effects of Express Lane Eligibility on Medicaid and CHIP Enrollment among Children
dataset-026,10.1111/1475-6773.12241,Health Services Research,Health Care Utilization among Children Enrolled in Medicaid and CHIP via Express Lane Eligibility
dataset-026,10.1016/j.jneb.2016.03.003,Journal of Nutrition Education and Behavior,"Food Shopping Venues, Neighborhood Food Environment, and Body Mass Index Among Guyanese, Black, and White Adults in an Urban Community in the US"
dataset-026,10.1542/peds.2015-3673,Pediatrics,Determinants of Health and Pediatric Primary Care Practices
dataset-026,10.1016/j.jand.2018.04.010,Journal of the Academy of Nutrition and Dietetics,"A Cluster-Randomized Trial of a Mobile Produce Market Program in 12 Communities in North Carolina: Program Development, Methods, and Baseline Characteristics"
dataset-026,10.1016/j.amepre.2017.07.015,American Journal of Preventive Medicine,Mothers' Adverse Childhood Experiences and Their Young Children's Development
dataset-026,10.1007/s13524-018-0719-y,Demography,Beyond the Nuclear Family: Trends in Children Living in Shared Households
dataset-026,10.1016/j.ypmed.2017.09.007,Preventive Medicine,Trends in food insecurity among California residents from 2001 to 2011: Inequities at the intersection of immigration status and ethnicity
dataset-026,10.1037/ser0000314,Psychological Services,Community-based service requests and utilization among pregnant women incarcerated in jail.
dataset-026,10.1353/hpu.2018.0099,Journal of Health Care for the Poor and Underserved,"""Feastworthy is Something That Gives Us Our Dignity Back:"" Feasibility of A Delivered Prepared Meal Program for Families in Motel-Shelters"
dataset-026,10.1007/s11121-017-0767-3,Prevention Science,Exploring Multilevel Factors for Family Engagement in Home Visiting Across Two National Models
dataset-026,10.1016/j.amepre.2016.07.016,American Journal of Preventive Medicine,A Proposal for Improvements in the Supplemental Nutrition Assistance Program
dataset-026,10.1016/j.ajog.2017.06.010,American Journal of Obstetrics and Gynecology,A randomized trial of motivational interviewing and facilitated contraceptive access to prevent rapid repeat pregnancy among adolescent mothers
dataset-026,10.1080/03670244.2018.1455673,Ecology of Food and Nutrition,Food insecurity and healthcare decision making among mobile food pantry clients in Tampa Bay
dataset-026,10.4278/ajhp.130104-quan-13,American Journal of Health Promotion,Household Food Insecurity and Dietary Intake among Mexican-American Women Participating in Federal Food Assistance Programs
dataset-026,10.2105/ajph.2017.304247,American Journal of Public Health,Socioeconomic Outcomes of Women Who Receive and Women Who Are Denied Wanted Abortions in the United States
dataset-026,10.1016/j.dhjo.2015.10.003,Disability and Health Journal,Food security among young adults with disabilities in the United States: Findings from the National Health Interview Survey
dataset-026,10.1017/s1368980013000281,Public Health Nutrition,Very low food security in the USA is linked with exposure to violence
dataset-026,10.1016/j.ssmph.2018.06.006,SSM - Population Health,Overlapping geographic clusters of food security and health: Where do social determinants and health outcomes converge in the U.S?
dataset-026,10.1016/j.childyouth.2017.01.022,Children and Youth Services Review,Young child poverty in the United States: Analyzing trends in poverty and the role of anti-poverty programs using the Supplemental Poverty Measure
dataset-026,10.1111/nure.12046,Nutrition Reviews,Aligning nutrition assistance programs with the Dietary Guidelines for Americans
dataset-026,10.1016/j.ssresearch.2018.08.009,Social Science Research,Exploring the relationship between welfare participation in childhood and depression in adulthood in the United States
dataset-026,10.1037/dev0000101,Developmental Psychology,The Selection of Children From Low-Income Families into Preschool.
dataset-026,10.1080/19320248.2016.1175399,Journal of Hunger & Environmental Nutrition,Veggie Van Pilot Study: Impact of a Mobile Produce Market for Underserved Communities on Fruit and Vegetable Access and Intake
dataset-026,10.1007/s13524-016-0485-7,Demography,Progress on Poverty? New Estimates of Historical Trends Using an Anchored Supplemental Poverty Measure
dataset-026,10.1007/s10995-017-2317-9,Maternal and Child Health Journal,"Health, Social, and Economic Outcomes Experienced by Families as a Result of Receiving Assistance from a Community-Based Diaper Bank"
dataset-026,10.3945/jn.115.214486,Journal of Nutrition,Children Receiving Free or Reduced-Price School Lunch Have Higher Food Insufficiency Rates in Summer
dataset-026,10.1016/j.amepre.2015.09.024,American Journal of Preventive Medicine,Childhood Adversity and Adult Reports of Food Insecurity Among Households With Children
dataset-026,10.1016/j.acap.2016.01.004,Academic Pediatrics,Redesigning Health Care Practices to Address Childhood Poverty
dataset-026,10.3945/an.112.003228,Advances in Nutrition,Are Food Insecurity Health Impacts Underestimated in the U.S. Population? Marginal Food Security Also Predicts Adverse Health Outcomes in Young U.S. Children and Mothers
dataset-026,10.1007/s10964-016-0624-x,Journal of Youth and Adolescence,Means-Tested Public Assistance Programs and Adolescent Political Socialization
dataset-026,10.1002/9781119362517.index,A Practical Guide to Analytics for Governments,
dataset-026,10.4278/ajhp.140725-quan-366,American Journal of Health Promotion,Early Childhood Disadvantage for Sons of Mexican Immigrants
dataset-026,10.1016/j.acap.2011.05.004,Academic Pediatrics,Reporting on Continuity of Coverage for Children in Medicaid and CHIP: What States Can Learn from Monitoring Continuity and Duration of Coverage
dataset-026,10.1542/peds.2016-0339,Pediatrics,Poverty and Child Health in the United States
dataset-026,10.1017/s1368980017000258,Public Health Nutrition,Lunch at the library: examination of a community-based approach to addressing summer food insecurity
dataset-026,10.1515/bejeap-2013-0083,The B E Journal of Economic Analysis & Policy,Food Insecurity and SNAP Participation in Mexican Immigrant Families: The Impact of the Outreach Initiative
dataset-026,10.1007/s13524-012-0115-y,Demography,The Effects of Childhood SNAP Use and Neighborhood Conditions on Adult Body Mass Index
dataset-026,10.1001/archpediatrics.2009.199,JAMA Pediatrics,Children of the Recession
dataset-026,10.1371/journal.pone.0111894,PLoS ONE,Nowcasting and Forecasting the Monthly Food Stamps Data in the US Using Online Search Data
dataset-026,10.1002/pam.21880,Journal of Policy Analysis and Management,FROM WELFARE TO A WORK-BASED SAFETY NET: AN INCOMPLETE TRANSITION
dataset-026,10.1111/joca.12163,Journal of Consumer Affairs,The Relationship between the School Breakfast Program and Food Insecurity
dataset-026,10.1177/0094306117734857,Contemporary Sociology A Journal of Reviews,Why Sociologists Matter in the Welfare Reform Debate*
dataset-026,10.1016/j.acap.2016.01.008,Academic Pediatrics,Boosting Low-Income Children's Opportunities to Succeed Through Direct Income Support
dataset-026,10.1007/s40471-014-0013-5,Current Epidemiology Reports,Do Social and Economic Policies Influence Health? A Review
dataset-026,10.1080/01634372.2018.1454566,Journal of Gerontological Social Work,"Housing needs of grandparent caregivers: grandparent, youth, and professional perspectives"
dataset-026,10.1007/s10508-014-0320-4,Archives of Sexual Behavior,Female Economic Dependence and the Morality of Promiscuity
dataset-026,10.1370/afm.2134,The Annals of Family Medicine,Using State Administrative Data to Identify Social Complexity Risk Factors for Children
dataset-026,10.1080/13557858.2016.1263286,Ethnicity and Health,Severity of household food insecurity and lifetime racial discrimination among African-American households in South Carolina
dataset-026,10.1017/s1368980015001603,Public Health Nutrition,Unemployment and household food hardship in the economic recession
dataset-026,10.1080/19320248.2012.651386,Journal of Hunger & Environmental Nutrition,Attitudes Toward Fruit and Vegetable Consumption and Farmers' Market Usage Among Low-Income North Carolinians
dataset-026,10.1007/s10900-015-0111-4,Journal of Community Health,Social and Environmental Determinants of Child Physical Activity in a Rural Mexican-Origin Community
dataset-026,10.1542/peds.2013-1021h,Pediatrics,Components Associated With Home Visiting Program Outcomes: A Meta-analysis
dataset-026,10.1002/hec.1714,Health Economics,The impact of long-term participation in the supplemental nutrition assistance program on child obesity
dataset-026,10.3389/fpsyg.2018.00759,Frontiers in Psychology,Parent Involvement in the Getting Ready for School Intervention Is Associated With Changes in School Readiness Skills
dataset-026,10.1007/s10995-012-1094-8,Maternal and Child Health Journal,Is Maternal Food Security a Predictor of Food and Drink Intake Among Toddlers in Oregon?
dataset-026,10.1353/ken.2018.0019,Kennedy Institute of Ethics Journal,An Argument Against Drug Testing Welfare Recipients
dataset-026,10.1111/jftr.12302,Journal of Family Theory & Review,Moving Beyond Program to Population Impact: Toward a Universal Early Childhood System of Care
dataset-026,10.1177/0269215518758483,Clinical Rehabilitation,"The interrelationships among pain interference, depressive symptoms, loneliness, and employment status: a moderated mediation study"
dataset-026,10.1016/j.appet.2019.01.008,Appetite,"The relationship between food parenting practices, parental diet and their adolescents' diet"
dataset-026,10.1016/j.amepre.2015.04.023,American Journal of Preventive Medicine,Improving Social Determinants of Health Effectiveness of a Web-Based Intervention
dataset-026,10.3390/brainsci9020029,Brain Sciences,"Race, Depression, and Financial Distress in a Nationally Representative Sample of American Adults"
dataset-026,10.1016/j.whi.2017.09.003,Women's Health Issues,Policy Impact of Research Findings on the Association of Diaper Need and Mental Health
dataset-026,10.1001/jamapediatrics.2018.1785,JAMA Pediatrics,"Comparison of Health, Development, Maternal Bonding, and Poverty Among Children Born After Denial of Abortion vs After Pregnancies Subsequent to an Abortion"
dataset-026,10.1007/s13524-015-0395-0,Demography,"The Deserving Poor, the Family, and the U.S. Welfare System"
dataset-026,10.1215/03616878-3702770,Journal of Health Politics Policy and Law,Can Payment Reform Be Social Reform? The Lure and Liabilities of the Triple-Aim
dataset-026,10.1111/phn.12378,Public Health Nursing,A diaper bank and home visiting partnership: Initial exploration of research and policy questions
dataset-026,10.1016/j.ssresearch.2012.06.001,Social Science Research,Filling holes in the safety net? Material hardship and subjective well-being among disability benefit applicants and recipients after the 1996 welfare reform
dataset-026,10.5888/pcd12.150269,Preventing Chronic Disease,"Health Promotion Interventions for Low-Income Californians Through Medi-Cal Managed Care Plans, 2012"
dataset-026,10.1093/sw/swu013,Social Work,Economic Insecurity and Access to the Social Safety Net among Latino Farmworker Families
dataset-026,10.5888/pcd15.170517,Preventing Chronic Disease,HUD Housing Assistance and Levels of Physical Activity Among Low-Income Adults
dataset-026,10.1097/qad.0000000000000978,AIDS,State variation in HIV/AIDS health outcomes
dataset-026,10.1353/hpu.2014.0040,Journal of Health Care for the Poor and Underserved,Incorporation of Socioeconomic Status Indicators into Policies for the Meaningful Use of Electronic Health Records
dataset-026,10.1016/j.pcl.2011.09.013,Pediatric Clinics of North America,Practical Approaches to the Treatment of Severe Pediatric Obesity
dataset-026,10.1007/s10995-015-1871-2,Maternal and Child Health Journal,Influence of Maternal Depression on WIC Participation in Low-Income Families
dataset-026,10.1002/pam.21842,Journal of Policy Analysis and Management,INTENDED AND UNINTENDED EFFECTS OF THE WAR ON POVERTY: WHAT RESEARCH TELLS US AND IMPLICATIONS FOR POLICY
dataset-026,10.1542/peds.2009-1100m,Pediatrics,Policy Interventions to Address Child Health Disparities: Moving Beyond Health Insurance
dataset-026,10.5993/ajhb.40.4.6,American Journal of Health Behavior,"Farm-to-Consumer Retail Outlet Use, Fruit and Vegetable Intake, and Obesity Status among WIC Program Participants in Alabama"
dataset-026,10.1007/s12134-015-0441-1,Journal of International Migration and Integration,Seeing the Life: Redefining Self-Worth and Family Roles Among Iraqi Refugee Families Resettled in the United States
dataset-026,10.1016/j.ecresq.2012.07.007,Early Childhood Research Quarterly,The Child and Adult Care Food Program and the nutrition of preschoolers
dataset-026,10.1542/peds.2005-2943,Pediatrics,Heat or Eat: The Low Income Home Energy Assistance Program and Nutritional and Health Risks Among Children Less Than 3 Years of Age
dataset-026,10.3945/jn.114.199919,Journal of Nutrition,Food Insecurity Is Associated with Poor Sleep Outcomes among US Adults
dataset-026,10.3233/jvr-191017,Journal of Vocational Rehabilitation,Meeting the need: The hospitality training program of the palm beaches
dataset-026,10.1080/1059924x.2015.1074973,Journal of Agromedicine,"Participation in the Women, Infants, and Children (WIC) Program as Reported by Documented and Undocumented Farm Worker Adults in the Households"
dataset-026,10.1007/s11121-019-0977-y,Prevention Science,Financial Incentives for Promoting Participation in a School-Based Parenting Program in Low-Income Communities
dataset-026,10.5034/inquiryjrnl_49.03.08,INQUIRY The Journal of Health Care Organization Provision and Financing,Variation in Medicaid Eligibility and Participation among Adults: Implications for the Affordable Care Act
dataset-026,10.1177/1077558717740444,Medical Care Research and Review,Lifetime Consequences of Early-Life and Midlife Access to Health Insurance: A Review
dataset-026,10.1002/14651858.cd009820.pub2,Cochrane Database of Systematic Reviews,Welfare-work interventions and their effects on the mental and physical health of lone parents and their children
dataset-026,10.1542/pir.2017-0123,Pediatrics in Review,Screening for Poverty and Poverty-Related Social Determinants of Health
dataset-026,10.1353/foc.2010.0009,The Future of Children,Mothers' Economic Conditions and Sources of Support in Fragile Families
dataset-026,10.1016/j.acap.2017.12.007,Academic Pediatrics,Randomized Controlled Trial to Prevent Infant Overweight in a High-Risk Population
dataset-026,10.1016/j.ypmed.2018.07.006,Preventive Medicine,Multi-level prevention of human trafficking: The role of health care professionals
dataset-026,10.1097/phh.0b013e3181b61069,Journal of Public Health Management and Practice,Building Capacity to Evaluate Health and Nutrition Programs
dataset-026,10.1007/s10995-011-0779-8,Maternal and Child Health Journal,"Generational Status, Health Insurance, and Public Benefit Participation Among Low-Income Latino Children"
dataset-026,10.1016/j.evalprogplan.2015.03.009,Evaluation and Program Planning,Home for now: A mixed-methods evaluation of a short-term housing support program for homeless families
dataset-026,10.1002/hec.3378,Health Economics,The Influence of School Nutrition Programs on the Weight of Low-Income Children: A Treatment Effect Analysis
dataset-026,10.1002/pam.22075,Journal of Policy Analysis and Management,CAN BENEFITS AND INCENTIVES PROMOTE WORK?
dataset-026,10.1177/0002716213499532,The Annals of the American Academy of Political and Social Science,The Great Recession and the Social Safety Net
dataset-026,10.1542/peds.2014-2888,Pediatrics,Addressing Social Determinants of Health at Well Child Care Visits: A Cluster RCT
dataset-026,10.1017/s1368980014002365,Public Health Nutrition,The relative contribution of layers of the Social Ecological Model to childhood obesity
dataset-026,10.2337/dc17-1812,Diabetes Care,Unstable Housing and Diabetes-Related Emergency Department Visits and Hospitalization: A Nationally Representative Study of Safety-Net Clinic Patients
dataset-026,10.1016/j.jneb.2018.07.008,Journal of Nutrition Education and Behavior,Communicating and Assessing Physical Activity: Outcomes From Cognitive Interviews With Low-Income Adults
dataset-026,10.1002/pam.21885,Journal of Policy Analysis and Management,SUPPLEMENTING TANF'S WORK REQUIREMENT: A COMPROMISE
dataset-026,10.1001/archpedi.159.6.551,JAMA Pediatrics,Subsidized Housing and Children's Nutritional Status: Data From a Multisite Surveillance Study
dataset-026,10.1016/j.appet.2016.03.006,Appetite,Food-related behavior and intake of adult main meal preparers of 9‚ 10 year-old children participating in iCook 4-H: A five-state childhood obesity prevention pilot study
dataset-026,10.1215/03616878-3940468,Journal of Health Politics Policy and Law,"People, Places, Power: Medicaid Concentration and Local Political Participation"
dataset-026,10.1353/hpu.2017.0134,Journal of Health Care for the Poor and Underserved,The Cost-effectiveness Analysis of Nurse-Family Partnership in the United States
dataset-026,10.1097/htr.0000000000000458,Journal of Head Trauma Rehabilitation,Healthcare Utilization and Missed Workdays for Parents of Children With Traumatic Brain Injury
dataset-026,10.1016/j.cedpsych.2016.01.004,Contemporary Educational Psychology,Executive functioning deficits increase kindergarten children's risk for reading and mathematics difficulties in first grade
dataset-026,10.1542/peds.2008-0286,Pediatrics,"A Brief Indicator of Household Energy Security: Associations With Food Security, Child Health, and Child Development in US Infants and Toddlers"
dataset-026,10.1016/j.dhjo.2013.03.002,Disability and Health Journal,Health care expenditures among working-age adults with physical disabilities: Variations by disability spans
dataset-026,10.1111/cdev.12753,Child Development,The Development of Spatial Skills in Elementary School Students
dataset-026,10.1016/j.chiabu.2015.07.006,Child Abuse & Neglect,Childhood adversity and behavioral health outcomes for youth: An investigation using state administrative data
dataset-026,10.1016/j.chiabu.2016.06.004,Child Abuse & Neglect,"Intersections of family homelessness, CPS involvement, and race in Alameda County, California"
dataset-026,10.1007/s13524-018-0744-x,Demography,"Prevalence and Risk Factors for Early Motherhood Among Low-Income, Maltreated, and Foster Youth"
dataset-026,10.1002/pam.21646,Journal of Policy Analysis and Management,Natalist Policies in the United States
dataset-026,10.1177/0886260517691519,Journal of Interpersonal Violence,Depression and Intimate Partner Violence Among African American Women Living in Impoverished Inner-City Neighborhoods
dataset-026,10.1353/foc.2015.0012,The Future of Children,Cohabitation and Child Wellbeing
dataset-026,10.1017/s1049096516002067,Political Science and Politics,President Obama and the American Welfare State: Transformation or Punctuation?
dataset-026,10.1002/pam.21971,Journal of Policy Analysis and Management,Are Parental Welfare Work Requirements Good for Disadvantaged Children? Evidence From Age of Youngest Child Exemptions
dataset-026,10.1002/pam.21850,Journal of Policy Analysis and Management,Introduction to the Research Articles
dataset-026,10.1016/j.socscimed.2014.10.041,Social Science & Medicine,Effects of infant health on family food insecurity: Evidence from two U.S. birth cohort studies
dataset-026,10.1002/pam.21833,Journal of Policy Analysis and Management,Waging War on Poverty: Poverty Trends Using a Historical Supplemental Poverty Measure
dataset-026,10.1016/j.childyouth.2012.07.012,Children and Youth Services Review,Examining racial disproportionality in child protective services case decisions
dataset-026,10.1007/s11133-011-9213-1,Qualitative Sociology,Figure a Way: Teenage Mothers' Experiences in Shifting Social and Economic Contexts
