rank,publication_id,doi,pmid,pmcid,title,source_title,anthology_title,publisher,mesh_terms,pubyear,volume,issue,pagination,open_access,publication_type,authors,authors_affiliations,research_organizations_-_standardized,grid_ids,city_of_research_organization,state_of_research_organization,country_of_research_organization,funder,funder_group,funder_country,uids_of_supporting_grants,supporting_grants,times_cited,recent_citations,rcr,fcr,source_linkout,dimensions_url,for_(anzsrc)_categories,for_1,for_2,for_3,for_4,for_5,rcdc_categories,rcdc_1,rcdc_2,rcdc_3,rcdc_4,rcdc_5,hrcs_hc_categories,hrcs_hc_1,hrcs_hc_2,hrcs_hc_3,hrcs_hc_4,hrcs_hc_5,hrcs_rac_categories,hrcs_rac_1,hrcs_rac_2,hrcs_rac_3,hrcs_rac_4,hrcs_rac_5,health_research_areas,broad_research_areas,icrp_cancer_types,icrp_cancer_types_1,icrp_cancer_types_2,icrp_cancer_types_3,icrp_cancer_types_4,icrp_cancer_types_5,icrp_cso_categories,icrp_cso_1,icrp_cso_2,icrp_cso_3,icrp_cso_4,icrp_cso_5,domain,search_note,norm_rank
245,pub.1039471476,10.1016/j.childyouth.2011.12.016,22711951,PMC3375851,Low income families' utilization of the Federal “Safety Net”: Individual and state-level predictors of TANF and Food Stamp receipt,Children and Youth Services Review,,Elsevier,,2012,34,4,713-724,"All OA; Green, Accepted",article,"Purtell, Kelly M.; Gershoff, Elizabeth T.; Aber, J. Lawrence","Purtell, Kelly M. (The University of Texas at Austin); Gershoff, Elizabeth T. (The University of Texas at Austin); Aber, J. Lawrence (New York University)",New York University; The University of Texas at Austin,grid.137628.9; grid.89336.37,New York; Austin,New York; Texas,United States; United States,National Institute of Child Health and Human Development; United States Department of Health and Human Services,NIH,United States; United States,grant.2526605,R01HD042144,9,4,0.29,1.81,http://europepmc.org/articles/pmc3375851?pdf=render,https://app.dimensions.ai/details/publication/pub.1039471476,1117 Public Health and Health Services; 1605 Policy and Administration,1117 Public Health and Health Services,1605 Policy and Administration,,,,Clinical Research,Clinical Research,,,,,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.432098765
244,pub.1050494753,10.1016/j.jneb.2012.06.006,23305805,,Facebook Is an Effective Strategy to Recruit Low-income Women to Online Nutrition Education,Journal of Nutrition Education and Behavior,,Elsevier,Adolescent; Adult; Community Participation; Diet; Feeding Behavior; Female; Food Preferences; Health Behavior; Humans; Internet; Nutritional Sciences; Pennsylvania; Poverty; Public Assistance; Social Media; Young Adult,2013,45,1,69-76,Closed,article,"Lohse, Barbara","Lohse, Barbara (Pennsylvania State University)",Pennsylvania State University,grid.29857.31,State College,Pennsylvania,United States,,,,,,70,29,4.11,11,,https://app.dimensions.ai/details/publication/pub.1050494753,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Clinical Research; Prevention; Obesity; Behavioral and Social Science; Nutrition,Clinical Research,Prevention,Obesity,Behavioral and Social Science,Nutrition,,,,,,,,,,,,,Population & Society,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.430335097
244,pub.1100165699,10.1080/19371918.2017.1415181,29297775,,Understanding High Incidence of Severe Obesity and Very Low Food Security in Food Pantry Clients: Implications For Social Work,Social Work in Public Health,,Taylor & Francis,,2018,33,2,15-Jan,Closed,article,"Kaiser, Michelle L.; Cafer, Anne","Kaiser, Michelle L. (The Ohio State University); Cafer, Anne (University of Mississippi)",University of Mississippi; The Ohio State University,grid.251313.7; grid.261331.4,Oxford; Columbus,Mississippi; Ohio,United States; United States,National Institute of Food and Agriculture,USDA,United States,grant.3816027,2010-85216-20645,2,2,0,0,,https://app.dimensions.ai/details/publication/pub.1100165699,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Obesity; Nutrition; Basic Behavioral and Social Science; Behavioral and Social Science,Obesity,Nutrition,Basic Behavioral and Social Science,Behavioral and Social Science,,Stroke; Cardiovascular; Oral and Gastrointestinal,Stroke,Cardiovascular,Oral and Gastrointestinal,,,1.2 Psychological and socioeconomic processes,1.2 Psychological and socioeconomic processes,,,,,Population & Society,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.430335097
244,pub.1099649560,10.1080/03670244.2017.1406853,29227695,PMC5884711,Factors Associated with Home Meal Preparation and Fast-Food Sources Use among Low-Income Urban African American Adults,Ecology of Food and Nutrition,,Taylor & Francis,Adult; African Americans; Baltimore; Body Mass Index; Commerce; Cross-Sectional Studies; Diet; Fast Foods; Feeding Behavior; Female; Food Handling; Food Supply; Healthy Diet; Humans; Income; Male; Meals; Middle Aged; Obesity; Poverty; Restaurants; Self Efficacy; Urban Population,2018,57,1,19-Jan,"All OA; Green, Accepted",article,"Garcia, Mariana T.; Sato, Priscila M.; Trude, Angela C. B.; Eckmann, Thomas; Steeves, Elizabeth T. Anderson; Hurley, Kristen M.; Bógus, Cláudia M.; Gittelsohn, Joel","Garcia, Mariana T. (University of Sao Paulo); Sato, Priscila M. (University of Sao Paulo); Trude, Angela C. B. (Johns Hopkins University); Eckmann, Thomas (Johns Hopkins University); Steeves, Elizabeth T. Anderson (University of Tennessee at Knoxville); Hurley, Kristen M. (Johns Hopkins University); Bógus, Cláudia M. (University of Sao Paulo); Gittelsohn, Joel (Johns Hopkins University)",Johns Hopkins University; University of Tennessee at Knoxville; University of Sao Paulo,grid.21107.35; grid.411461.7; grid.11899.38,Baltimore; Knoxville; São Paulo,Maryland; Tennessee; ,United States; United States; Brazil,National Institute of Child Health and Human Development; São Paulo Research Foundation,NIH,United States; Brazil,grant.2699299,U54HD070725,0,0,0,0,http://europepmc.org/articles/pmc5884711?pdf=render,https://app.dimensions.ai/details/publication/pub.1099649560,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Obesity; Nutrition; Clinical Research,Obesity,Nutrition,Clinical Research,,,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.430335097
240,pub.1027657425,10.1002/soej.12081,29187764,PMC5703601,Rasch Analyses of Very Low Food Security among Households and Children in the Three City Study,Southern Economic Journal,,Wiley,,2016,82,4,1123-1146,"All OA; Green, Accepted",article,"Moffitt, Robert A.; Ribar, David C.","Moffitt, Robert A. (Johns Hopkins University; University of Melbourne); Ribar, David C. (Johns Hopkins University; University of Melbourne)",University of Melbourne; Johns Hopkins University,grid.1008.9; grid.21107.35,Melbourne; Baltimore,Victoria; Maryland,Australia; United States,United States Department of Agriculture; National Institute of Child Health and Human Development,USDA; NIH,United States; United States,grant.2621398,R24HD042854,5,4,0,2.34,http://europepmc.org/articles/pmc5703601?pdf=render,https://app.dimensions.ai/details/publication/pub.1027657425,1603 Demography; 1117 Public Health and Health Services,1603 Demography,1117 Public Health and Health Services,,,,Behavioral and Social Science; Nutrition; Basic Behavioral and Social Science,Behavioral and Social Science,Nutrition,Basic Behavioral and Social Science,,,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.423280423
239,pub.1104049085,10.1186/s12937-018-0360-z,29776365,PMC5960152,Nutrient intake disparities in the US: modeling the effect of food substitutions,Nutrition Journal,,Springer Nature,,2018,17,1,53,All OA; Pure Gold,article,"Conrad, Zach; Johnson, LuAnn K.; Roemmich, James N.; Juan, WenYen; Jahns, Lisa","Conrad, Zach (Human Nutrition Research Center); Johnson, LuAnn K. (Human Nutrition Research Center); Roemmich, James N. (Human Nutrition Research Center); Juan, WenYen (Center for Food Safety and Applied Nutrition); Jahns, Lisa (Human Nutrition Research Center)",Human Nutrition Research Center; Center for Food Safety and Applied Nutrition,grid.417711.5; grid.483501.b,Grand Forks; College Park,North Dakota; Maryland,United States; United States,United States Department of Agriculture; American Egg Board,USDA,United States; United States,,,0,0,0,0,https://doi.org/10.1186/s12937-018-0360-z,https://app.dimensions.ai/details/publication/pub.1104049085,1111 Nutrition and Dietetics,1111 Nutrition and Dietetics,,,,,Cancer; Prevention; Nutrition,Cancer,Prevention,Nutrition,,,Cancer; Oral and Gastrointestinal; Cardiovascular; Metabolic and Endocrine; Stroke,Cancer,Oral and Gastrointestinal,Cardiovascular,Metabolic and Endocrine,Stroke,3.3 Nutrition and chemoprevention,3.3 Nutrition and chemoprevention,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.421516755
238,pub.1083841477,10.1017/s1368980017000088,28202100,,Low-income adults’ perceptions of farmers’ markets and community-supported agriculture programmes,Public Health Nutrition,,Cambridge University Press (CUP),"Adult; Aged; Agriculture; District of Columbia; Female; Focus Groups; Food Assistance; Food Supply; Health Behavior; Health Education; Health Knowledge, Attitudes, Practice; Healthy Diet; Humans; Income; Male; Middle Aged; Poverty; Public Housing; Urban Population",2017,20,8,9-Jan,All OA; Bronze,article,"Cotter, Elizabeth W; Teixeira, Carla; Bontrager, Annessa; Horton, Kasharena; Soriano, Deyanira","Cotter, Elizabeth W (American University); Teixeira, Carla (); Bontrager, Annessa (); Horton, Kasharena (National Association of State Alcohol and Drug Abuse Directors); Soriano, Deyanira (American University)",National Association of State Alcohol and Drug Abuse Directors; American University,grid.422155.5; grid.63124.32,Washington D.C.; Washington D.C.,District of Columbia; District of Columbia,United States; United States,,,,,,7,7,0.56,4.08,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/8C76275B33C1F499AE388535DB8D78FA/S1368980017000088a.pdf/div-class-title-low-income-adults-perceptions-of-farmers-markets-and-community-supported-agriculture-programmes-div.pdf,https://app.dimensions.ai/details/publication/pub.1083841477,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Cancer; Nutrition,Cancer,Nutrition,,,,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.419753086
235,pub.1104479859,10.1097/phh.0000000000000813,29889175,PMC6416066,Pay to Play? State Laws Related to High School Sports Participation Fees,Journal of Public Health Management and Practice,,Wolters Kluwer,,2019,Publish Ahead of Print,&NA;,&na;,Closed,article,"Eyler, Amy A.; Piekarz-Porter, Elizabeth; Serrano, Natalicio H.","Eyler, Amy A. (Washington University in St. Louis); Piekarz-Porter, Elizabeth (Washington University in St. Louis); Serrano, Natalicio H. (Washington University in St. Louis)",Washington University in St. Louis,grid.4367.6,St Louis,Missouri,United States,National Heart Lung and Blood Institute,NIH,United States,grant.5475642,T32HL130357,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1104479859,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Pediatric,Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.414462081
234,pub.1006904830,10.1080/19320248.2014.962770,27547288,PMC4991882,"Cross-Sectional Relationships Between Household Food Insecurity and Child BMI, Feeding Behaviors, and Public Assistance Utilization Among Head Start Children From Predominantly Hispanic and American Indian Communities in the CHILE Study",Journal of Hunger & Environmental Nutrition,,Taylor & Francis,,2015,10,4,439-455,"All OA; Green, Accepted",article,"Trappmann, Jessica L; Jimenez, Elizabeth Yakes; Keane, Patricia C; Cohen, Deborah A; Davis, Sally M","Trappmann, Jessica L (University of New Mexico); Jimenez, Elizabeth Yakes (); Keane, Patricia C (University of New Mexico); Cohen, Deborah A (); Davis, Sally M (University of New Mexico)",University of New Mexico,grid.266832.b,Albuquerque,New Mexico,United States,National Institute of Diabetes and Digestive and Kidney Diseases; United States Public Health Service,NIH,United States; United States,grant.2498824,R01DK072958,2,2,0,0.45,http://europepmc.org/articles/pmc4991882?pdf=render,https://app.dimensions.ai/details/publication/pub.1006904830,1117 Public Health and Health Services; 1111 Nutrition and Dietetics,1117 Public Health and Health Services,1111 Nutrition and Dietetics,,,,Prevention; Rural Health; Clinical Research; Pediatric; Nutrition; Obesity; Behavioral and Social Science,Prevention,Rural Health,Clinical Research,Pediatric,Nutrition,Oral and Gastrointestinal; Cardiovascular; Stroke; Metabolic and Endocrine,Oral and Gastrointestinal,Cardiovascular,Stroke,Metabolic and Endocrine,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.412698413
225,pub.1031409690,10.1542/peds.2014-2832,26195543,,Home Foreclosure and Child Protective Services Involvement,Pediatrics,,American Academy of Pediatrics (AAP),Bankruptcy; Child; Child Welfare; Family Characteristics; Female; Humans; Male; Risk Assessment; Time Factors,2015,136,2,299-307,All OA; Bronze,article,"Berger, Lawrence M.; Collins, J. Michael; Font, Sarah A.; Gjertson, Leah; Slack, Kristen S.; Smeeding, Timothy","Berger, Lawrence M. (University of Wisconsin–Madison); Collins, J. Michael (University of Wisconsin–Madison); Font, Sarah A. (The University of Texas at Austin); Gjertson, Leah (University of Wisconsin–Madison); Slack, Kristen S. (University of Wisconsin–Madison); Smeeding, Timothy (University of Wisconsin–Madison)",University of Wisconsin–Madison; The University of Texas at Austin,grid.14003.36; grid.89336.37,Madison; Austin,Wisconsin; Texas,United States; United States,,,,,,7,6,0.64,3.16,http://pediatrics.aappublications.org/content/136/2/299.full.pdf,https://app.dimensions.ai/details/publication/pub.1031409690,1402 Applied Economics,1402 Applied Economics,,,,,Aging; Behavioral and Social Science,Aging,Behavioral and Social Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.396825397
223,pub.1100259214,10.1377/hlthaff.2017.0991,29309230,,Cross-Sector Service Use Among High Health Care Utilizers In Minnesota After Medicaid Expansion,Health Affairs,,Health Affairs,,2018,37,1,62-69,Closed,article,"Vickery, Katherine Diaz; Bodurtha, Peter; Winkelman, Tyler N A; Hougham, Courtney; Owen, Ross; Legler, Mark S; Erickson, Erik; Davis, Matthew M","Vickery, Katherine Diaz (); Bodurtha, Peter (); Winkelman, Tyler N A (); Hougham, Courtney (); Owen, Ross (); Legler, Mark S (); Erickson, Erik (); Davis, Matthew M ()",,,,,,,,,,,4,4,0,0,,https://app.dimensions.ai/details/publication/pub.1100259214,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Behavioral and Social Science; Mental Health; Brain Disorders; Clinical Research; Health Services,Behavioral and Social Science,Mental Health,Brain Disorders,Clinical Research,Health Services,,,,,,,,,,,,,Health services & systems,Health Services Research,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.39329806
222,pub.1105775631,10.3389/fped.2018.00207,30087887,PMC6066553,Disparities in Utilization of Social Determinants of Health Referrals Among Children in Immigrant Families,Frontiers in Pediatrics,,Frontiers,,2018,6,,207,All OA; Pure Gold,article,"Uwemedimo, Omolara T.; May, Hanna","Uwemedimo, Omolara T. (Hofstra University; Cohen Children's Medical Center); May, Hanna (Wellesley College)",Wellesley College; Cohen Children's Medical Center; Hofstra University,grid.268091.4; grid.415338.8; grid.257060.6,Wellesley; New Hyde Park; Hempstead,Massachusetts; New York; New York,United States; United States; United States,,,,,,1,1,0,0,https://www.frontiersin.org/articles/10.3389/fped.2018.00207/pdf,https://app.dimensions.ai/details/publication/pub.1105775631,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Health Services; Behavioral and Social Science; Pediatric; Clinical Research; Prevention,Health Services,Behavioral and Social Science,Pediatric,Clinical Research,Prevention,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.391534392
222,pub.1020762540,10.5888/pcd11.130324,24674635,PMC3970773,Objective and Self-Reported Factors Associated With Food-Environment Perceptions and Fruit-And-Vegetable Consumption: A Multilevel Analysis,Preventing Chronic Disease,,Centers for Disease Control and Prevention (CDC),"Adult; Data Collection; Diet; Environment; Feeding Behavior; Female; Fruit; Health Knowledge, Attitudes, Practice; Humans; Male; Middle Aged; Philadelphia; Residence Characteristics; Vegetables",2014,11,,e47,All OA; Bronze,article,"Lucan, Sean C.; Hillier, Amy; Schechter, Clyde B.; Glanz, Karen","Lucan, Sean C. (University of Pennsylvania); Hillier, Amy (University of Pennsylvania); Schechter, Clyde B. (University of Pennsylvania); Glanz, Karen (University of Pennsylvania)",University of Pennsylvania,grid.25879.31,Philadelphia,Pennsylvania,United States,National Institute of Food and Agriculture,USDA,United States,grant.3822760,2010-85215-20659,11,7,1.12,2.07,https://www.cdc.gov/pcd/issues/2014/pdf/13_0324.pdf,https://app.dimensions.ai/details/publication/pub.1020762540,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Nutrition; Clinical Trials and Supportive Activities; Behavioral and Social Science; Clinical Research; Basic Behavioral and Social Science,Nutrition,Clinical Trials and Supportive Activities,Behavioral and Social Science,Clinical Research,Basic Behavioral and Social Science,,,,,,,,,,,,,Population & Society,,Not Site-Specific Cancer,Not Site-Specific Cancer,,,,,3.2 Nutritional Science in Cancer Prevention,3.2 Nutritional Science in Cancer Prevention,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.391534392
215,pub.1036277410,10.1017/s1368980014003036,25611561,,The relationship between childhood adversity and food insecurity: ‘It’s like a bird nesting in your head’,Public Health Nutrition,,Cambridge University Press (CUP),Adolescent; Adult; Caregivers; Child; Child Abuse; Child Health; Family Characteristics; Female; Food Supply; Humans; Hunger; Male; Mental Health; Mothers; Perception; Philadelphia; Poverty; Risk Factors; Social Environment; Socioeconomic Factors; Young Adult,2015,18,14,2643-2653,All OA; Hybrid,article,"Chilton, Mariana; Knowles, Molly; Rabinowich, Jenny; Arnold, Kimberly T","Chilton, Mariana (Drexel University); Knowles, Molly (Drexel University); Rabinowich, Jenny (); Arnold, Kimberly T (Drexel University)",Drexel University,grid.166341.7,Philadelphia,Pennsylvania,United States,United States Department of Agriculture,USDA,United States,,,25,20,3.74,6.39,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/F5C43DADDEF8ABCC2A59B139F8FB01A6/S1368980014003036a.pdf/div-class-title-the-relationship-between-childhood-adversity-and-food-insecurity-it-s-like-a-bird-nesting-in-your-head-div.pdf,https://app.dimensions.ai/details/publication/pub.1036277410,1117 Public Health and Health Services; 1701 Psychology,1117 Public Health and Health Services,1701 Psychology,,,,Mental Health; Child Abuse and Neglect Research; Pediatric; Nutrition; Pediatric Research Initiative; Violence Research; Behavioral and Social Science; Prevention,Mental Health,Child Abuse and Neglect Research,Pediatric,Nutrition,Pediatric Research Initiative,Mental Health,Mental Health,,,,,"2.3 Psychological, social and economic factors","2.3 Psychological, social and economic factors",,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.379188713
215,pub.1024351259,10.5888/pcd10.120206,23489639,PMC3600870,"A Qualitative Study of Perceived Barriers to Fruit and Vegetable Consumption Among Low-Income Populations, North Carolina, 2011",Preventing Chronic Disease,,Centers for Disease Control and Prevention (CDC),Adult; Aged; Chronic Disease; Diet; Female; Focus Groups; Food Supply; Fruit; Humans; Male; Middle Aged; North Carolina; Obesity; Poverty; Residence Characteristics; Social Change; Social Class; Transportation; Vegetables; Young Adult,2013,10,,e34,All OA; Bronze,article,"Haynes-Maslow, Lindsey; Parsons, Sarah E.; Wheeler, Stephanie B.; Leone, Lucia A.","Haynes-Maslow, Lindsey (Duke University); Parsons, Sarah E. (Duke University); Wheeler, Stephanie B. (Duke University); Leone, Lucia A. (Duke University)",Duke University,grid.26009.3d,Durham,North Carolina,United States,National Cancer Institute; National Institute of Nursing Research; French National Centre for Scientific Research; National Center for Advancing Translational Sciences,NIH,United States; United States; France; United States,grant.2705205; grant.2682812; grant.2440139; grant.2685520,UL1TR000083; T32NR008856; P50CA058223; T32CA128582,69,43,4.15,11.13,https://www.cdc.gov/pcd/issues/2013/pdf/12_0206.pdf,https://app.dimensions.ai/details/publication/pub.1024351259,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Nutrition; Clinical Trials and Supportive Activities; Prevention; Behavioral and Social Science; Clinical Research; Obesity,Nutrition,Clinical Trials and Supportive Activities,Prevention,Behavioral and Social Science,Clinical Research,Metabolic and Endocrine,Metabolic and Endocrine,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.379188713
214,pub.1105806323,10.1016/j.jand.2018.06.009,30055711,,Position of the Academy of Nutrition and Dietetics: Child and Adolescent Federally Funded Nutrition Assistance Programs,Journal of the Academy of Nutrition and Dietetics,,Elsevier,,2018,118,8,1490-1497,Closed,article,"Roy, Priyanka Ghosh; Stretch, Theresa","Roy, Priyanka Ghosh (); Stretch, Theresa ()",,,,,,,,,,,1,1,0,0,,https://app.dimensions.ai/details/publication/pub.1105806323,1117 Public Health and Health Services; 1111 Nutrition and Dietetics,1117 Public Health and Health Services,1111 Nutrition and Dietetics,,,,Behavioral and Social Science; Obesity; Clinical Research; Pediatric; Nutrition; Prevention,Behavioral and Social Science,Obesity,Clinical Research,Pediatric,Nutrition,Stroke; Cardiovascular; Cancer; Oral and Gastrointestinal; Metabolic and Endocrine,Stroke,Cardiovascular,Cancer,Oral and Gastrointestinal,Metabolic and Endocrine,3.3 Nutrition and chemoprevention; 3.1 Primary prevention interventions to modify behaviours or promote well-being,3.3 Nutrition and chemoprevention,3.1 Primary prevention interventions to modify behaviours or promote well-being,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.377425044
213,pub.1100187961,10.1186/s12966-017-0637-1,29304862,PMC5756418,Cluster randomized controlled trial of a mobile market intervention to increase fruit and vegetable intake among adults in lower-income communities in North Carolina,International Journal of Behavioral Nutrition and Physical Activity,,Springer Nature,,2018,15,1,2,All OA; Pure Gold,article,"Leone, Lucia A.; Tripicchio, Gina L.; Haynes-Maslow, Lindsey; McGuirt, Jared; Grady Smith, Jacqueline S.; Armstrong-Brown, Janelle; Gizlice, Ziya; Ammerman, Alice","Leone, Lucia A. (University at Buffalo, State University of New York); Tripicchio, Gina L. (University of North Carolina at Chapel Hill); Haynes-Maslow, Lindsey (North Carolina State University); McGuirt, Jared (University of North Carolina at Chapel Hill); Grady Smith, Jacqueline S. (University of North Carolina at Chapel Hill); Armstrong-Brown, Janelle (RTI International); Gizlice, Ziya (University of North Carolina at Chapel Hill); Ammerman, Alice (University of North Carolina at Chapel Hill)","University of North Carolina at Chapel Hill; RTI International; North Carolina State University; University at Buffalo, State University of New York",grid.10698.36; grid.62562.35; grid.40803.3f; grid.273335.3,Chapel Hill; Durham; Raleigh; Buffalo,North Carolina; North Carolina; North Carolina; New York,United States; United States; United States; United States,National Institute of Nursing Research; United States Department of Agriculture; National Cancer Institute,USDA; NIH,United States; United States; United States,grant.2685520; grant.2682812; grant.2606145,T32NR008856; T32CA128582; R21CA173042,2,2,0,0,https://ijbnpa.biomedcentral.com/track/pdf/10.1186/s12966-017-0637-1,https://app.dimensions.ai/details/publication/pub.1100187961,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Clinical Trials and Supportive Activities; Clinical Research; Prevention; Nutrition,Clinical Trials and Supportive Activities,Clinical Research,Prevention,Nutrition,,,,,,,,,,,,,,Clinical,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.375661376
211,pub.1100555136,10.1542/peds.2017-2199,29358482,,Unstable Housing and Caregiver and Child Health in Renter Families,Pediatrics,,American Academy of Pediatrics (AAP),,2018,141,2,e20172199,All OA; Bronze,article,"Sandel, Megan; Sheward, Richard; de Cuba, Stephanie Ettinger; Coleman, Sharon M.; Frank, Deborah A.; Chilton, Mariana; Black, Maureen; Heeren, Timothy; Pasquariello, Justin; Casey, Patrick; Ochoa, Eduardo; Cutts, Diana","Sandel, Megan (Boston Medical Center); Sheward, Richard (Boston Medical Center); de Cuba, Stephanie Ettinger (Boston University); Coleman, Sharon M. (Boston University); Frank, Deborah A. (Boston Medical Center); Chilton, Mariana (Drexel University); Black, Maureen (); Heeren, Timothy (Boston University); Pasquariello, Justin (Boston Medical Center); Casey, Patrick (University of Arkansas for Medical Sciences); Ochoa, Eduardo (University of Arkansas for Medical Sciences); Cutts, Diana (Hennepin County Medical Center)",Boston University; Drexel University; Hennepin County Medical Center; University of Arkansas for Medical Sciences; Boston Medical Center,grid.189504.1; grid.166341.7; grid.414021.2; grid.241054.6; grid.239424.a,Boston; Philadelphia; Minneapolis; Little Rock; Boston,Massachusetts; Pennsylvania; Minnesota; Arkansas; Massachusetts,United States; United States; United States; United States; United States,,,,,,6,6,0,0,http://pediatrics.aappublications.org/content/pediatrics/141/2/e20172199.full.pdf,https://app.dimensions.ai/details/publication/pub.1100555136,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Pediatric; Mental Health; Behavioral and Social Science; Prevention; Clinical Research,Pediatric,Mental Health,Behavioral and Social Science,Prevention,Clinical Research,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.372134039
210,pub.1106253142,10.1002/pam.22073,,,ECONOMISM IS NOT ENOUGH,Journal of Policy Analysis and Management,,Wiley,,2018,37,4,911-913,Closed,article,"Mead, Lawrence M.","Mead, Lawrence M. ()",,,,,,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1106253142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.37037037
