dataset_id,dataset_string,dataset_title,doi,journal,title,used dataset?
dataset-371,SDR,Survey of Doctorate Recipients,10.1016/j.anucene.2019.106990,Annals of Nuclear Energy,Time-dependent integral transport in one-dimensional infinite media using dimensionless variables and the reduced collision formulation,No
dataset-371,SDR,Survey of Doctorate Recipients,10.1016/j.triboint.2019.105967,Tribology International,A global-local fretting analysis methodology and design study for the pressure armour layer of dynamic flexible marine risers,No
dataset-371,SDR,Survey of Doctorate Recipients,10.1016/j.patcog.2019.107052,Pattern Recognition,Discriminant Component Analysis via Distance Correlation Maximization,No
dataset-371,SDR,Survey of Doctorate Recipients,10.1016/j.csda.2019.106818,Computational Statistics & Data Analysis,Quantile based dimension reduction in censored regression,No
dataset-371,SDR,Survey of Doctorate Recipients,10.1016/j.adhoc.2019.102020,Ad Hoc Networks,QoS-Aware Traffic Scheduling Framework in Cognitive Radio based Smart Grids using Multi-objective Optimization of Latency and Throughput,No
dataset-371,SDR,Survey of Doctorate Recipients,10.1146/annurev-fluid-010719-060139,Annual Review of Fluid Mechanics,"Particles, Drops, and Bubbles Moving Across Sharp Interfaces and Stratified Layers",No
dataset-371,SDR,Survey of Doctorate Recipients,10.1002/app.47679,Journal of Applied Polymer Science,Effects of platinum compounds/superfine aluminum hydroxide/ultrafine calcium carbonate on the flame retardation and smoke suppression of silicone foams,No
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1186/s12052-019-0110-5,Evolution: Education and Outreach,"African Americans in evolutionary science: where we have been, and what’s next",Yes
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1016/j.respol.2019.103824,Research Policy,The use of material transfer agreements in academia: A threat to open science or a cooperation tool?,References a study that used the dataset
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1007/s11162-019-09583-7,Research in Higher Education,Shifting Gears: Characteristics and Consequences of Latent Class Transitions in Doctoral Socialization,Yes
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1080/13639080.2019.1673885,Journal of Education and Work,Higher education teaching and training system and economic performance: an empirical investigation,References a study that used the dataset
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1101/785717,bioRxiv,Policy should change to improve invited speaker diversity and reflect trainee diversity,Yes
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1080/10899995.2019.1621714,Journal of Geoscience Education,Probing the National Geoscience Faculty Survey for reported use of practices that support inclusive learning environments in undergraduate courses,Yes
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1080/14778238.2018.1557024,Knowledge Management Research & Practice,Is university-industry collaboration biased by sex criteria?,References a study that used the dataset
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1016/j.techfore.2019.06.019,Technological Forecasting and Social Change,Faculty ideals and universities' third mission,References a study that used the dataset
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1177/0019793918819809,ILR Review,Academic Entrepreneurship: The Bayh-Dole Act versus the Professor’s Privilege,Yes
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1007/s10961-019-09747-8,The Journal of Technology Transfer,The influence of scientific prestige and peer effects on the intention to create university spin-offs,References a study that used the dataset
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1101/751867,bioRxiv,A data-based guide to the North American ecology faculty job market,Yes
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1002/he.20336,New Directions for Higher Education,Developing an Indigenous Knowledge Field Camp,Yes
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1007/s13412-019-00553-0,Journal of Environmental Studies and Sciences,"Characteristics of collaborative, interdisciplinary, and engaged research among graduate students in environmental conservation",References a study that used the dataset
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1007/s11162-019-09573-9,Research in Higher Education,"Tenure and Promotion Outcomes at Four Large Land Grant Universities: Examining the Role of Gender, Race, and Academic Discipline",References a study that used the dataset
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1073/pnas.1820079116,Proceedings of the National Academy of Sciences,Why foreign STEM PhDs are unlikely to work for US technology startups,Yes
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1142/s1363919620500450,International Journal of Innovation Management,THE ROLES OF ACADEMIC INVENTORS IN MEDICAL INNOVATION PROCESSES: EXPLORING THE INFLUENCE OF IPR OWNERSHIP AND IP NATURE,Limited Access
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1007/s11192-019-03155-3,Scientometrics,Gender gaps in international research collaboration: a bibliometric approach,References a study that used the dataset
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1007/s10961-017-9643-3,The Journal of Technology Transfer,The role of scientific and market knowledge in the inventive process: evidence from a survey of industrial inventors,References a study that used the dataset
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1080/17421772.2019.1636127,Spatial Economic Analysis,"On the nexus between innovation, productivity and migration of US university graduates",Yes
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1038/s41587-019-0173-4,Nature Biotechnology,Biobusiness consulting to prepare scientists for industry careers,Yes
