dataset_id,dataset_string,dataset_title,doi,journal,title,used dataset?,url
dataset-371,SDR,Survey of Doctorate Recipients,10.1016/j.inffus.2019.07.002,Information Fusion,Multi-Sensor Fusion Based Intelligent Sensor Relocation for Health and Safety Monitoring in BSNs,No,www.doi.org/10.1016/j.inffus.2019.07.002
dataset-371,SDR,Survey of Doctorate Recipients,10.1016/j.anucene.2019.106990,Annals of Nuclear Energy,Time-dependent integral transport in one-dimensional infinite media using dimensionless variables and the reduced collision formulation,No,www.doi.org/10.1016/j.anucene.2019.106990
dataset-371,SDR,Survey of Doctorate Recipients,10.1016/j.triboint.2019.105967,Tribology International,A global-local fretting analysis methodology and design study for the pressure armour layer of dynamic flexible marine risers,No,www.doi.org/10.1016/j.triboint.2019.105967
dataset-371,SDR,Survey of Doctorate Recipients,10.1016/j.patcog.2019.107052,Pattern Recognition,Discriminant Component Analysis via Distance Correlation Maximization,No,www.doi.org/10.1016/j.patcog.2019.107052
dataset-371,SDR,Survey of Doctorate Recipients,10.1016/j.csda.2019.106818,Computational Statistics & Data Analysis,Quantile based dimension reduction in censored regression,No,www.doi.org/10.1016/j.csda.2019.106818
dataset-371,SDR,Survey of Doctorate Recipients,10.1016/j.adhoc.2019.102020,Ad Hoc Networks,QoS-Aware Traffic Scheduling Framework in Cognitive Radio based Smart Grids using Multi-objective Optimization of Latency and Throughput,No,www.doi.org/10.1016/j.adhoc.2019.102020
dataset-371,SDR,Survey of Doctorate Recipients,10.1146/annurev-fluid-010719-060139,Annual Review of Fluid Mechanics,"Particles, Drops, and Bubbles Moving Across Sharp Interfaces and Stratified Layers",No,www.doi.org/10.1146/annurev-fluid-010719-060139
dataset-371,SDR,Survey of Doctorate Recipients,10.1002/app.47679,Journal of Applied Polymer Science,Effects of platinum compounds/superfine aluminum hydroxide/ultrafine calcium carbonate on the flame retardation and smoke suppression of silicone foams,No,www.doi.org/10.1002/app.47679
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1186/s12052-019-0110-5,Evolution: Education and Outreach,"African Americans in evolutionary science: where we have been, and what’s next",Yes,www.doi.org/10.1186/s12052-019-0110-5
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1016/j.respol.2019.103824,Research Policy,The use of material transfer agreements in academia: A threat to open science or a cooperation tool?,No,www.doi.org/10.1016/j.respol.2019.103824
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1007/s11162-019-09583-7,Research in Higher Education,Shifting Gears: Characteristics and Consequences of Latent Class Transitions in Doctoral Socialization,Yes,www.doi.org/10.1007/s11162-019-09583-7
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1080/13639080.2019.1673885,Journal of Education and Work,Higher education teaching and training system and economic performance: an empirical investigation,No,www.doi.org/10.1080/13639080.2019.1673885
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1101/785717,bioRxiv,Policy should change to improve invited speaker diversity and reflect trainee diversity,Yes,www.doi.org/10.1101/785717
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1080/10899995.2019.1621714,Journal of Geoscience Education,Probing the National Geoscience Faculty Survey for reported use of practices that support inclusive learning environments in undergraduate courses,Yes,www.doi.org/10.1080/10899995.2019.1621714
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1080/14778238.2018.1557024,Knowledge Management Research & Practice,Is university-industry collaboration biased by sex criteria?,No,www.doi.org/10.1080/14778238.2018.1557024
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1016/j.techfore.2019.06.019,Technological Forecasting and Social Change,Faculty ideals and universities' third mission,No,www.doi.org/10.1016/j.techfore.2019.06.019
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1177/0019793918819809,ILR Review,Academic Entrepreneurship: The Bayh-Dole Act versus the Professor’s Privilege,Yes,www.doi.org/10.1177/0019793918819809
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1007/s10961-019-09747-8,The Journal of Technology Transfer,The influence of scientific prestige and peer effects on the intention to create university spin-offs,No,www.doi.org/10.1007/s10961-019-09747-8
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1101/751867,bioRxiv,A data-based guide to the North American ecology faculty job market,Yes,www.doi.org/10.1101/751867
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1002/he.20336,New Directions for Higher Education,Developing an Indigenous Knowledge Field Camp,Yes,www.doi.org/10.1002/he.20336
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1007/s13412-019-00553-0,Journal of Environmental Studies and Sciences,"Characteristics of collaborative, interdisciplinary, and engaged research among graduate students in environmental conservation",No,www.doi.org/10.1007/s13412-019-00553-0
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1007/s11162-019-09573-9,Research in Higher Education,"Tenure and Promotion Outcomes at Four Large Land Grant Universities: Examining the Role of Gender, Race, and Academic Discipline",No,www.doi.org/10.1007/s11162-019-09573-9
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1073/pnas.1820079116,Proceedings of the National Academy of Sciences,Why foreign STEM PhDs are unlikely to work for US technology startups,Yes,www.doi.org/10.1073/pnas.1820079116
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1142/s1363919620500450,International Journal of Innovation Management,THE ROLES OF ACADEMIC INVENTORS IN MEDICAL INNOVATION PROCESSES: EXPLORING THE INFLUENCE OF IPR OWNERSHIP AND IP NATURE,Limited Access,www.doi.org/10.1142/s1363919620500450
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1007/s11192-019-03155-3,Scientometrics,Gender gaps in international research collaboration: a bibliometric approach,No,www.doi.org/10.1007/s11192-019-03155-3
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1007/s10961-017-9643-3,The Journal of Technology Transfer,The role of scientific and market knowledge in the inventive process: evidence from a survey of industrial inventors,No,www.doi.org/10.1007/s10961-017-9643-3
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1080/17421772.2019.1636127,Spatial Economic Analysis,"On the nexus between innovation, productivity and migration of US university graduates",Yes,www.doi.org/10.1080/17421772.2019.1636127
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1038/s41587-019-0173-4,Nature Biotechnology,Biobusiness consulting to prepare scientists for industry careers,Yes,www.doi.org/10.1038/s41587-019-0173-4
dataset-371,N/A,Survey of Doctorate Recipients,10.17226/5751,National Research Council (US) Committee on National Needs for Biomedical and Behavioral Research Personnel,The Use of Multi-State Life Tables in Estimating Places for Biomedical and Behavioral Scientists,Yes,https://www.ncbi.nlm.nih.gov/books/NBK233521/
dataset-371,N/A,Survey of Doctorate Recipients,10.1371/journal.pone.0154741,PLOS One,Stability and Longevity in the Publication Careers of U.S. Doctorate Recipients,Yes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4851373/
dataset-371,N/A,Survey of Doctorate Recipients,10.1073/pnas.88.3.713,Proceedings of the National Academy of Sciences of the United States of America,Measuring time to the doctorate: reinterpretation of the evidence.,Yes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC50883/
dataset-371,N/A,Survey of Doctorate Recipients,10.1080/10438590600982806,Economics of Innovation and New Technology,WHO'S PATENTING IN THE UNIVERSITY? EVIDENCE FROM THE SURVEY OF DOCTORATE RECIPIENTS,Yes,https://www.tandfonline.com/doi/full/10.1080/10438590600982806
dataset-371,N/A,Survey of Doctorate Recipients,10.2172/971617,U.S. Department of Energy Office of Scientific and Technical Information,"Stay Rates of Foreign Doctorate Recipients from U.S. Universities, 2007",Yes,https://www.osti.gov/biblio/971617
dataset-371,N/A,Survey of Doctorate Recipients,10.1177/0002716204268744,The American Academy of Political and Social Science,Marriage and Baby Blues: Redefining Gender Equity in the Academy,Yes,https://journals.sagepub.com/doi/abs/10.1177/0002716204268744
dataset-371,N/A,Survey of Doctorate Recipients,10.2139/ssrn.267533,The Journal of Human Resources,Gender Differences in Salary and Promotion in the Humanities,Yes,https://pubs.aeaweb.org/doi/pdf/10.1257/aer.89.2.397
dataset-371,N/A,Survey of Doctorate Recipients,10.1023/A:1016694701704,Journal of Science and Technology,Factors in Decisions of Underrepresented Minorities to Forego Science and Engineering Doctoral Study: A Pilot Study,Yes,https://link.springer.com/article/10.1023/A:1016694701704
dataset-371,N/A,Survey of Doctorate Recipients,10.1177/0002764209356236,American Behavioral Scientist,"Diversifying Science and Engineering Faculties: Intersections of Race, Ethnicity, and Gender",Yes,https://journals.sagepub.com/doi/abs/10.1177/0002764209356236
dataset-371,N/A,Survey of Doctorate Recipients,10.1007/s11162-007-9055-6,Research in Higher Education,Foreign-born academic scientists and engineers: producing more and getting less than their U.S.-born peers?,Yes,https://link.springer.com/article/10.1007/s11162-007-9055-6
dataset-371,N/A,Survey of Doctorate Recipients,10.1073/pnas.1611748114,Proceedings of the National Academy of Sciences of the United States of America,Why the US science and engineering workforce is aging rapidly,Yes,https://www.pnas.org/content/114/15/3879.full
dataset-371,N/A,Survey of Doctorate Recipients,10.1177/1529100614541236,Psychological Science in the Public Interest,Women in Academic Science: A Changing Landscape,Yes,https://journals.sagepub.com/doi/full/10.1177/1529100614541236
dataset-371,N/A,Survey of Doctorate Recipients,10.1080/03098265.2012.729563,Journal of Geography in Higher Education,"Career goals, pathways and competencies of geography graduate students in the USA",Yes,https://www.tandfonline.com/doi/full/10.1080/03098265.2012.729563
dataset-371,N/A,Survey of Doctorate Recipients,10.1177/2374289518775948,Academic Pathology,The Pathology Workforce and Clinical Licensure: The Role of the PhD Clinical Laboratorian in the United States,Yes,https://journals.sagepub.com/doi/full/10.1177/2374289518775948
dataset-371,N/A,Survey of Doctorate Recipients,10.3389/fpsyg.2015.00037,Frontiers in Psychology,The bachelor�s to Ph.D. STEM pipeline no longer leaks more women than men: a 30-year analysis,Yes,https://www.frontiersin.org/articles/10.3389/fpsyg.2015.00037/full
dataset-371,N/A,Survey of Doctorate Recipients,10.1016/j.respol.2014.12.013,Research Policy,"New linked data on research investments: Scientific workforce, productivity, and public value",Yes,https://www.sciencedirect.com/science/article/pii/S0048733315000025
