title,journal,authors,doi,search_term,dataset_id,valid?,notes,pdf
Identification of gene biomarkers in patients with postmenopausal osteoporosis.,Molecular medicine reports,"Yang, Chenggang, Ren, Jing, Li, Bangling, Jin, Chuandi, Ma, Cui, Cheng, Cheng, Sun, Yaolan, Shi, Xiaofeng",10.3892/mmr.2018.9752,Integrated Surface Database,dataset-621,,,
Downregulation of miR-145-5p in cancer cells and their derived exosomes may contribute to the development of ovarian cancer by targeting CT.,International journal of molecular medicine,"Hang, Wenzhao, Feng, Yiwen, Sang, Zhenyu, Yang, Ye, Zhu, Yaping, Huang, Qian, Xi, Xiaowei",10.3892/ijmm.2018.3958,Integrated Surface Database,dataset-621,,,
A Bayesian Network Meta-Analysis Comparing the Efficacies of Eleven Novel Therapies with the Common Salvage Regimen for Relapsed or Refractory Acute Myeloid Leukemia.,"Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology","Huang, Juan, Gui, Chunxue, Zhang, Lei, Che, Feifei, Wang, Chunsen",10.1159/000493494,Integrated Surface Database,dataset-621,,,
Identification of common differentially-expressed miRNAs in ovarian cancer cells and their exosomes compared with normal ovarian surface epithelial cell cells.,Oncology letters,"Zhang, Shitao, Zhang, Xiaoping, Fu, Xueqi, Li, Wannan, Xing, Shu, Yang, Yiling",10.3892/ol.2018.8954,Integrated Surface Database,dataset-621,,,
A statistical approach of zinc remediation using acidophilic bacterium via an integrated approach of bioleaching enhanced electrokinetic remediation (BEER) technology.,Chemosphere,"Selvi, Adikesavan, Aruliah, Rajasekar",10.1016/j.chemosphere.2018.05.144,Integrated Surface Database,dataset-621,,,
"Ch'ol nomenclature for soil classification in the ejido Oxolotán, Tacotalpa, Tabasco, México.",Journal of ethnobiology and ethnomedicine,"Sánchez-Hernández, Rufo, Méndez-De la Cruz, Lucero, Palma-López, David J, Bautista-Zuñiga, Francisco",10.1186/s13002-018-0236-5,Integrated Surface Database,dataset-621,,,
MEGADOCK-Web: an integrated database of high-throughput structure-based protein-protein interaction predictions.,BMC bioinformatics,"Hayashi, Takanori, Matsuzaki, Yuri, Yanagisawa, Keisuke, Ohue, Masahito, Akiyama, Yutaka",10.1186/s12859-018-2073-x,Integrated Surface Database,dataset-621,,,
Identification of small-molecule ligands that bind to MiR-21 as potential therapeutics for endometriosis by screening ZINC database and in-vitro assays.,Gene,"Liu, Songping, Yang, Yuxing, Li, Wei, Tian, Xin, Cui, Hongyan, Zhang, Qiong",10.1016/j.gene.2018.03.094,Integrated Surface Database,dataset-621,,,
"{'i': 'via', '#text': 'Simultaneous Force Regression and Movement Classification of Fingers  Surface EMG within a Unified Bayesian Framework.'}",Frontiers in bioengineering and biotechnology,"Baldacchino, Tara, Jacobs, William R, Anderson, Sean R, Worden, Keith, Rowson, Jennifer",10.3389/fbioe.2018.00013,Integrated Surface Database,dataset-621,,,
Identification of differential protein-coding gene expressions in early phase lung adenocarcinoma.,Thoracic cancer,"Zhou, Li-Na, Li, Shi-Cheng, Li, Xue-Ying, Ge, Hong, Li, Hong-Mei",10.1111/1759-7714.12569,Integrated Surface Database,dataset-621,,,
Calibration and evaluation of PUF-PAS sampling rates across the Global Atmospheric Passive Sampling (GAPS) network.,Environmental science. Processes & impacts,"Herkert, Nicholas J, Spak, Scott N, Smith, Austen, Schuster, Jasmin K, Harner, Tom, Martinez, Andres, Hornbuckle, Keri C",10.1039/c7em00360a,Integrated Surface Database,dataset-621,,,
Emergency preparedness for the accidental release of radionuclides from the Uljin Nuclear Power Plant in Korea.,Journal of environmental radioactivity,"Park, Soon-Ung, Lee, In-Hye, Joo, Seung Jin, Ju, Jae-Won",10.1016/j.jenvrad.2017.09.012,Integrated Surface Database,dataset-621,No,,
Combining deep learning with anatomical analysis for segmentation of the portal vein for liver SBRT planning.,Physics in medicine and biology,"Ibragimov, Bulat, Toesca, Diego, Chang, Daniel, Koong, Albert, Xing, Lei",10.1088/1361-6560/aa9262,Integrated Surface Database,dataset-621,No,,
N-myc regulates growth and fiber cell differentiation in lens development.,Developmental biology,"Cavalheiro, Gabriel R, Matos-Rodrigues, Gabriel E, Zhao, Yilin, Gomes, Anielle L, Anand, Deepti, Predes, Danilo, de Lima, Silmara, Abreu, Jose G, Zheng, Deyou, Lachke, Salil A, Cvekl, Ales, Martins, Rodrigo A P",10.1016/j.ydbio.2017.07.002,Integrated Surface Database,dataset-621,No,,
Development of an expert system for the simulation model for casting metal substructure of a metal-ceramic crown design.,Computer methods and programs in biomedicine,"Matin, Ivan, Hadzistevic, Miodrag, Vukelic, Djordje, Potran, Michal, Brajlih, Tomaz",10.1016/j.cmpb.2017.05.004,Integrated Surface Database,dataset-621,No,,
Toxicogenomic responses of human alveolar epithelial cells to tungsten boride nanoparticles.,Chemico-biological interactions,"Türkez, Hasan, Arslan, Mehmet Enes, Sönmez, Erdal, Tatar, Abdulgani, Açikyildiz, Metin, Geyikoğlu, Fatime",10.1016/j.cbi.2017.06.027,Integrated Surface Database,dataset-621,No,,
A review on neuroimaging-based classification studies and associated feature extraction methods for Alzheimer's disease and its prodromal stages.,NeuroImage,"Rathore, Saima, Habes, Mohamad, Iftikhar, Muhammad Aksam, Shacklett, Amanda, Davatzikos, Christos",10.1016/j.neuroimage.2017.03.057,Integrated Surface Database,dataset-621,No,,
An integrated model of scintillator-reflector properties for advanced simulations of optical transport.,Physics in medicine and biology,"Roncali, Emilie, Stockhoff, Mariele, Cherry, Simon R",10.1088/1361-6560/aa6ca5,Integrated Surface Database,dataset-621,No,,
Support vector machine-based open crop model (SBOCM): Case of rice production in China.,Saudi journal of biological sciences,"Su, Ying-Xue, Xu, Huan, Yan, Li-Jiao",10.1016/j.sjbs.2017.01.024,Integrated Surface Database,dataset-621,No,,
Linking above- and belowground traits to soil and climate variables: an integrated database on China's grassland species.,Ecology,"Geng, Yan, Ma, Wenhong, Wang, Liang, Baumann, Frank, Kühn, Peter, Scholten, Thomas, He, Jin-Sheng",10.1002/ecy.1780,Integrated Surface Database,dataset-621,No,,
Decision support for water quality management of contaminants of emerging concern.,Journal of environmental management,"Fischer, Astrid, Ter Laak, Thomas, Bronders, Jan, Desmet, Nele, Christoffels, Ekkehard, van Wezel, Annemarie, van der Hoek, Jan Peter",10.1016/j.jenvman.2017.02.002,Integrated Surface Database,dataset-621,No,,
C-reactive protein in the detection of post-stroke infections: systematic review and individual participant data analysis.,Journal of neurochemistry,"Bustamante, Alejandro, Vilar-Bergua, Andrea, Guettier, Sophie, Sánchez-Poblet, Josep, García-Berrocoso, Teresa, Giralt, Dolors, Fluri, Felix, Topakian, Raffi, Worthmann, Hans, Hug, Andreas, Molnar, Tihamer, Waje-Andreassen, Ulrike, Katan, Mira, Smith, Craig J, Montaner, Joan",10.1111/jnc.13973,Integrated Surface Database,dataset-621,No,,
Antifouling biocides in German marinas: Exposure assessment and calculation of national consumption and emission.,Integrated environmental assessment and management,"Daehne, Dagmar, Fürle, Constanze, Thomsen, Anja, Watermann, Burkard, Feibicke, Michael",10.1002/ieam.1896,Integrated Surface Database,dataset-621,,,
Dysregulation of cell-cell interactions in brain arteriovenous malformations: A quantitative proteomic study.,Proteomics. Clinical applications,"Wang, Xia, Hao, Qiang, Zhao, Yuanli, Guo, Yi, Ge, Wei",10.1002/prca.201600093,Integrated Surface Database,dataset-621,,,
"Renal function estimation and Cockroft-Gault formulas for predicting cardiovascular mortality in population-based, cardiovascular risk, heart failure and post-myocardial infarction cohorts: The Heart 'OMics' in AGEing (HOMAGE) and the high-risk myocardial infarction database initiatives.",BMC medicine,,,Integrated Surface Database,dataset-621,,,
The role of aging in intra-item and item-context binding processes in visual working memory.,"Journal of experimental psychology. Learning, memory, and cognition","Peterson, Dwight J, Naveh-Benjamin, Moshe",,Integrated Surface Database,dataset-621,,,
"Monitoring, sources, receptors, and control measures for three European Union watch list substances of emerging concern in receiving waters - A 20year systematic review.",The Science of the total environment,"Tiedeken, Erin Jo, Tahar, Alexandre, McHugh, Brendan, Rowan, Neil J",10.1016/j.scitotenv.2016.09.084,Integrated Surface Database,dataset-621,,,
Quantitative interpretation of molecular dynamics simulations for X-ray photoelectron spectroscopy of aqueous solutions.,The Journal of chemical physics,"Olivieri, Giorgia, Parry, Krista M, Powell, Cedric J, Tobias, Douglas J, Brown, Matthew A",10.1063/1.4947027,Integrated Surface Database,dataset-621,,,
Quantifying the influences of various ecological factors on land surface temperature of urban forests.,"Environmental pollution (Barking, Essex : 1987)","Ren, Yin, Deng, Lu-Ying, Zuo, Shu-Di, Song, Xiao-Dong, Liao, Yi-Lan, Xu, Cheng-Dong, Chen, Qi, Hua, Li-Zhong, Li, Zheng-Wei",10.1016/j.envpol.2016.06.004,Integrated Surface Database,dataset-621,,,
"{'sup': '68', '#text': 'Comparison of bone scintigraphy and Ga-PSMA PET for skeletal staging in prostate cancer.'}",European journal of nuclear medicine and molecular imaging,"Pyka, Thomas, Okamoto, Shozo, Dahlbender, Marielena, Tauber, Robert, Retz, Margitta, Heck, Matthias, Tamaki, Nagara, Schwaiger, Markus, Maurer, Tobias, Eiber, Matthias",,Integrated Surface Database,dataset-621,,,
A Model Using Local Weather Data to Determine the Effective Sampling Volume for PCB Congeners Collected on Passive Air Samplers.,Environmental science & technology,"Herkert, Nicholas J, Martinez, Andres, Hornbuckle, Keri C",10.1021/acs.est.6b00319,Integrated Surface Database,dataset-621,,,
A Critical Analysis of the Current Knowledge of Surgical Anatomy of the Prostate Related to Optimisation of Cancer Control and Preservation of Continence and Erection in Candidates for Radical Prostatectomy: An Update.,European urology,"Walz, Jochen, Epstein, Jonathan I, Ganzer, Roman, Graefen, Markus, Guazzoni, Giorgio, Kaouk, Jihad, Menon, Mani, Mottrie, Alexandre, Myers, Robert P, Patel, Vipul, Tewari, Ashutosh, Villers, Arnauld, Artibani, Walter",10.1016/j.eururo.2016.01.026,Integrated Surface Database,dataset-621,,,
Impact of germline and somatic missense variations on drug binding sites.,The pharmacogenomics journal,"Yan, C, Pattabiraman, N, Goecks, J, Lam, P, Nayak, A, Pan, Y, Torcivia-Rodriguez, J, Voskanian, A, Wan, Q, Mazumder, R",10.1038/tpj.2015.97,Integrated Surface Database,dataset-621,,,
A unified framework for automatic wound segmentation and analysis with deep convolutional neural networks.,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,"Wang, Changhan, Yan, Xinchen, Smith, Max, Kochhar, Kanika, Rubin, Marcie, Warren, Stephen M, Wrobel, James, Lee, Honglak",10.1109/EMBC.2015.7318881,Integrated Surface Database,dataset-621,,,
Identification of potential transmembrane protease serine 4 inhibitors as anti-cancer agents by integrated computational approach.,Journal of theoretical biology,"Ilamathi, M, Hemanth, R, Nishanth, S, Sivaramakrishnan, V",10.1016/j.jtbi.2015.10.021,Integrated Surface Database,dataset-621,,,
BDB: biopanning data bank.,Nucleic acids research,"He, Bifang, Chai, Guoshi, Duan, Yaocong, Yan, Zhiqiang, Qiu, Liuyang, Zhang, Huixiong, Liu, Zechun, He, Qiang, Han, Ke, Ru, Beibei, Guo, Feng-Biao, Ding, Hui, Lin, Hao, Wang, Xianlong, Rao, Nini, Zhou, Peng, Huang, Jian",10.1093/nar/gkv1100,Integrated Surface Database,dataset-621,,,
Evolving understanding on the aetiology of thermally provoked itch.,"European journal of pain (London, England)","Murota, H, Katayama, I",10.1002/ejp.777,Integrated Surface Database,dataset-621,,,
Transmitted drug resistance of HIV-1 strains among individuals attending voluntary counselling and testing in Taiwan.,The Journal of antimicrobial chemotherapy,"Lai, Chung-Chih, Liu, Wen-Chun, Fang, Chi-Tai, Yang, Jyh-Yuan, Chang, Lan-Hsin, Wu, Pei-Ying, Luo, Yu-Zhen, Chang, Shu-Fang, Su, Yi-Ching, Chang, Sui-Yuan, Hung, Chien-Ching",10.1093/jac/dkv284,Integrated Surface Database,dataset-621,,,
Predictors of Individual Response to Placebo or Tadalafil 5mg among Men with Lower Urinary Tract Symptoms Secondary to Benign Prostatic Hyperplasia: An Integrated Clinical Data Mining Analysis.,PloS one,"Fusco, Ferdinando, D'Anzeo, Gianluca, Henneges, Carsten, Rossi, Andrea, Büttner, Hartwig, Nickel, J Curtis",10.1371/journal.pone.0135484,Integrated Surface Database,dataset-621,,,
"The ""Eyeballing"" technique: an emerging and alerting trend of alcohol misuse.",European review for medical and pharmacological sciences,"Bersani, F S, Corazza, O, Albano, G, Bruschi, S, Minichino, A, Vicinanza, R, Bersani, G, Martinotti, G, Schifano, F",,Integrated Surface Database,dataset-621,,,
Building a multi-scaled geospatial temporal ecology database from disparate data sources: fostering open science and data reuse.,GigaScience,"Soranno, Patricia A, Bissell, Edward G, Cheruvelil, Kendra S, Christel, Samuel T, Collins, Sarah M, Fergus, C Emi, Filstrup, Christopher T, Lapierre, Jean-Francois, Lottig, Noah R, Oliver, Samantha K, Scott, Caren E, Smith, Nicole J, Stopyak, Scott, Yuan, Shuai, Bremigan, Mary Tate, Downing, John A, Gries, Corinna, Henry, Emily N, Skaff, Nick K, Stanley, Emily H, Stow, Craig A, Tan, Pang-Ning, Wagner, Tyler, Webster, Katherine E",10.1186/s13742-015-0067-4,Integrated Surface Database,dataset-621,,,
FlexAID: Revisiting Docking on Non-Native-Complex Structures.,Journal of chemical information and modeling,"Gaudreault, Francis, Najmanovich, Rafael J",10.1021/acs.jcim.5b00078,Integrated Surface Database,dataset-621,,,
A global database of lake surface temperatures collected by in situ and satellite methods from 1985-2009.,Scientific data,"Sharma, Sapna, Gray, Derek K, Read, Jordan S, O'Reilly, Catherine M, Schneider, Philipp, Qudrat, Anam, Gries, Corinna, Stefanoff, Samantha, Hampton, Stephanie E, Hook, Simon, Lenters, John D, Livingstone, David M, McIntyre, Peter B, Adrian, Rita, Allan, Mathew G, Anneville, Orlane, Arvola, Lauri, Austin, Jay, Bailey, John, Baron, Jill S, Brookes, Justin, Chen, Yuwei, Daly, Robert, Dokulil, Martin, Dong, Bo, Ewing, Kye, de Eyto, Elvira, Hamilton, David, Havens, Karl, Haydon, Shane, Hetzenauer, Harald, Heneberry, Jocelyne, Hetherington, Amy L, Higgins, Scott N, Hixson, Eric, Izmest'eva, Lyubov R, Jones, Benjamin M, Kangur, Külli, Kasprzak, Peter, Köster, Olivier, Kraemer, Benjamin M, Kumagai, Michio, Kuusisto, Esko, Leshkevich, George, May, Linda, MacIntyre, Sally, Müller-Navarra, Dörthe, Naumenko, Mikhail, Noges, Peeter, Noges, Tiina, Niederhauser, Pius, North, Ryan P, Paterson, Andrew M, Plisnier, Pierre-Denis, Rigosi, Anna, Rimmer, Alon, Rogora, Michela, Rudstam, Lars, Rusak, James A, Salmaso, Nico, Samal, Nihar R, Schindler, Daniel E, Schladow, Geoffrey, Schmidt, Silke R, Schultz, Tracey, Silow, Eugene A, Straile, Dietmar, Teubner, Katrin, Verburg, Piet, Voutilainen, Ari, Watkinson, Andrew, Weyhenmeyer, Gesa A, Williamson, Craig E, Woo, Kara H",10.1038/sdata.2015.8,Integrated Surface Database,dataset-621,,,
Review of the Mechanism of Tooth Whitening.,Journal of esthetic and restorative dentistry : official publication of the American Academy of Esthetic Dentistry ... [et al.],"Kwon, So Ran, Wertz, Philip W",10.1111/jerd.12152,Integrated Surface Database,dataset-621,,,
Combining genomic sequencing methods to explore viral diversity and reveal potential virus-host interactions.,Frontiers in microbiology,"Chow, Cheryl-Emiliane T, Winget, Danielle M, White, Richard A, Hallam, Steven J, Suttle, Curtis A",10.3389/fmicb.2015.00265,Integrated Surface Database,dataset-621,,,
A mass spectrometric-derived cell surface protein atlas.,PloS one,"Bausch-Fluck, Damaris, Hofmann, Andreas, Bock, Thomas, Frei, Andreas P, Cerciello, Ferdinando, Jacobs, Andrea, Moest, Hansjoerg, Omasits, Ulrich, Gundry, Rebekah L, Yoon, Charles, Schiess, Ralph, Schmidt, Alexander, Mirkowska, Paulina, Härtlová, Anetta, Van Eyk, Jennifer E, Bourquin, Jean-Pierre, Aebersold, Ruedi, Boheler, Kenneth R, Zandstra, Peter, Wollscheid, Bernd",10.1371/journal.pone.0121314,Integrated Surface Database,dataset-621,,,
Human non-small cell lung cancer expresses putative cancer stem cell markers and exhibits the transcriptomic profile of multipotent cells.,BMC cancer,"Zakaria, Norashikin, Yusoff, Narazah Mohd, Zakaria, Zubaidah, Lim, Moon Nian, Baharuddin, Puteri J Noor, Fakiruddin, Kamal Shaik, Yahaya, Badrul",10.1186/s12885-015-1086-3,Integrated Surface Database,dataset-621,,,
"Three-dimensional surface imaging in plastic surgery: foundation, practical applications, and beyond.",Plastic and reconstructive surgery,"Chang, Jessica B, Small, Kevin H, Choi, Mihye, Karp, Nolan S",10.1097/PRS.0000000000001221,Integrated Surface Database,dataset-621,,,
Optical and analytical investigations on dengue virus rapid diagnostic test for IgM antibody detection.,Medical & biological engineering & computing,"Jahanshahi, Peyman, Sekaran, Shamala Devi, Adikan, Faisal Rafiq Mahamd",10.1007/s11517-015-1262-2,Integrated Surface Database,dataset-621,,,
Surface biosignatures of exo-earths: remote detection of extraterrestrial life.,Proceedings of the National Academy of Sciences of the United States of America,"Hegde, Siddharth, Paulino-Lima, Ivan G, Kent, Ryan, Kaltenegger, Lisa, Rothschild, Lynn",10.1073/pnas.1421237112,Integrated Surface Database,dataset-621,,,
Estimation of soil moisture content from the spectral reflectance of bare soils in the 0.4-2.5 µm domain.,"Sensors (Basel, Switzerland)","Fabre, Sophie, Briottet, Xavier, Lesaignoux, Audrey",10.3390/s150203262,Integrated Surface Database,dataset-621,,,
"dbSNO 2.0: a resource for exploring structural environment, functional and disease association and regulatory network of protein S-nitrosylation.",Nucleic acids research,"Chen, Yi-Ju, Lu, Cheng-Tsung, Su, Min-Gang, Huang, Kai-Yao, Ching, Wei-Chieh, Yang, Hsiao-Hsiang, Liao, Yen-Chen, Chen, Yu-Ju, Lee, Tzong-Yi",10.1093/nar/gku1176,Integrated Surface Database,dataset-621,,,
Quartz crystal microbalance biosensors: prospects for point-of-care diagnostics.,Journal of the Medical Association of Thailand = Chotmaihet thangphaet,"Prakrankamanant,Preeda",,Integrated Surface Database,dataset-621,,,
Systematic Comparison of the Performance of Integrated Whole-Body PET/MR Imaging to Conventional PET/CT for ¹⁸F-FDG Brain Imaging in Patients Examined for Suspected Dementia.,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine","Hitz, Stefan, Habekost, Cornelia, Fürst, Sebastian, Delso, Gaspar, Förster, Stefan, Ziegler, Sibylle, Nekolla, Stephan G, Souvatzoglou, Michael, Beer, Ambros J, Grimmer, Timo, Eiber, Matthias, Schwaiger, Markus, Drzezga, Alexander",10.2967/jnumed.113.126813,Integrated Surface Database,dataset-621,,,
Generating a detailed protein profile of Fasciola hepatica during the chronic stage of infection in cattle.,Proteomics,"Haçarız, Orçun, Baykal, Ahmet Tarık, Akgün, Mete, Kavak, Pınar, Sağıroğlu, Mahmut Şamil, Sayers, Gearóid Patrick",10.1002/pmic.201400012,Integrated Surface Database,dataset-621,,,
The influence of different implant surfaces on osseointegration in diabetes: a systematic review of the literature.,Minerva stomatologica,"Fontanari, L A, Pimentel Lopes De Oliveira, G J, Durigan Basso, T L, Marcantonio Junior, E, Perez Orrico, S R, Cezar Sampaio, J E",,Integrated Surface Database,dataset-621,,,
Genetic diversity and antimicrobial resistance in Streptococcus agalactiae strains recovered from female carriers in the Bucharest area.,Memorias do Instituto Oswaldo Cruz,"Usein, Codruţa-Romaniţa, Militaru, Mădălina, Cristea, Violeta, Străuţ, Monica",,Integrated Surface Database,dataset-621,,,
"Identification of dipeptidyl peptidase IV inhibitors: virtual screening, synthesis and biological evaluation.",Chemical biology & drug design,"Xing, Junhao, Li, Qing, Zhang, Shengping, Liu, Haomiao, Zhao, Leilei, Cheng, Haibo, Zhang, Yuan, Zhou, Jinpei, Zhang, Huibin",10.1111/cbdd.12327,Integrated Surface Database,dataset-621,,,
