api,doi,title,url,search_term,dataset_id,valid,pdf
openaire,,Experience of design and approaches to improving adaptive farming systems on the landscape basis in the Central zone of the North-Eastern region of the European part of Russian Federation,https://www.agronauka-sv.ru/jour/article/view/71,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.13128/bae-12994,Explaining determinants of the on-farm diversification: empirical evidence from Tuscany region,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Explaining%20determinants%20of%20the%20on-farm%20diversification%3A%20empirical%20evidence%20from%20Tuscany%20region,Agricultural Resource Management Survey,dataset-870,,
openaire,10.22004/ag.econ.6367,Exploring Farm Business and Household Expenditure Patterns and Community Linkages,http://dx.doi.org/10.22004/ag.econ.6367,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1038/s41598-018-28132-3,Exploring the amphibian exposome in an agricultural landscape using telemetry and passive sampling.,https://www.ncbi.nlm.nih.gov/pubmed/29968741,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1007/s10597-013-9635-1,"Exploring the relationship between treatment satisfaction, perceived improvements in functioning and well-being and gambling harm reduction among clients of pathological gambling treatment programs.",https://www.ncbi.nlm.nih.gov/pubmed/23756725,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1093/ajae/aav050,Extension and Matching Grants for Improved Management: An Evaluation of the Uruguayan Livestock Program,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Extension%20and%20Matching%20Grants%20for%20Improved%20Management%3A%20An%20Evaluation%20of%20the%20Uruguayan%20Livestock%20Program,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.2139/ssrn.3087587,Factors Affecting Farm Loan Delinquency in the Southeastern USA,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Factors%20Affecting%20Farm%20Loan%20Delinquency%20in%20the%20Southeastern%20USA,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1017/s1068280500003348,Factors Affecting Farmer Participation in Agritourism,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Factors%20Affecting%20Farmer%20Participation%20in%20Agritourism,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1017/s1068280500004305,Factors Affecting Producer Participation in State-sponsored Marketing Programs: The Case of Fruit and Vegetable Growers in Tennessee,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Factors%20Affecting%20Producer%20Participation%20in%20State-sponsored%20Marketing%20Programs%3A%20The%20Case%20of%20Fruit%20and%20Vegetable%20Growers%20in%20Tennessee,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1007/s00267-017-0921-5,Factors Affecting Public Preferences for Grassland Landscape Heterogeneity in the Great Plains.,https://www.ncbi.nlm.nih.gov/pubmed/28831537,Agricultural Resource Management Survey,dataset-870,,
openaire,10.22004/ag.econ.190674,Factors Affecting Succession Decisions in Family Farm Businesses: Evidence from a National Survey,http://dx.doi.org/10.22004/ag.econ.190674,Agricultural Resource Management Survey,dataset-870,,
openaire,,Factors Affecting Succession Decisions in Family Farm Businesses: Evidence from a National Survey,http://purl.umn.edu/190674,Agricultural Resource Management Survey,dataset-870,,
openaire,10.22004/ag.econ.35983,FACTORS AFFECTING THE LIKELIHOOD OF CORN ROOTWORM BT SEED ADOPTION,http://dx.doi.org/10.22004/ag.econ.35983,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.3168/jds.2012-5522,Factors determining milk quality and implications for production structure under somatic cell count standard modification,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Factors%20determining%20milk%20quality%20and%20implications%20for%20production%20structure%20under%20somatic%20cell%20count%20standard%20modification,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.3168/jds.2012-5522,Factors determining milk quality and implications for production structure under somatic cell count standard modification.,https://www.ncbi.nlm.nih.gov/pubmed/22981577,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.5897/jaerd2016.0845,Factors influencing agritourism adoption by small farmers in North Carolina,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Factors%20influencing%20agritourism%20adoption%20by%20small%20farmers%20in%20North%20Carolina,Agricultural Resource Management Survey,dataset-870,,
pubmed,,Factors influencing the occurrence and severity of farm accidents: comparing work-related and nonwork-related events.,https://www.ncbi.nlm.nih.gov/pubmed/12002376,Agricultural Resource Management Survey,dataset-870,,
openaire,10.22004/ag.econ.262232,Farm Activities Associated With Rural Development Initiatives,http://dx.doi.org/10.22004/ag.econ.262232,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1108/afr-05-2016-0046,Farm and lender structural change: implications for federal credit,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Farm%20and%20lender%20structural%20change%3A%20implications%20for%20federal%20credit,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.3168/jds.2017-12767,Farm business and operator variables associated with bulk tank somatic cell count from dairy herds in the southeastern United States.,https://www.ncbi.nlm.nih.gov/pubmed/28865858,Agricultural Resource Management Survey,dataset-870,,
