api,doi,title,url,search_term,dataset,valid,pdf,notes
openaire,10.22004/ag.econ.266294,Tax Reform and Farm Households,http://dx.doi.org/10.22004/ag.econ.266294,Agricultural Resource Management Survey,dataset-870,yes,,
openaire,10.22004/ag.econ.105545,Tax-Deferred Retirement Savings of Farm Households: An Empirical Investigation,http://dx.doi.org/10.22004/ag.econ.105545,Agricultural Resource Management Survey,dataset-870,yes,,
openaire,,Tax-Deferred Retirement Savings of Farm Households: An Empirical Investigation,http://purl.umn.edu/105545,Agricultural Resource Management Survey,dataset-870,duped,,
dimensions,10.1017/s1074070800005009,Tax-Exempt Bond Financing for Beginning and Low-Equity Farmers: The Case of ‘Aggie Bonds’,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Tax-Exempt%20Bond%20Financing%20for%20Beginning%20and%20Low-Equity%20Farmers%3A%20The%20Case%20of%20%E2%80%98Aggie%20Bonds%E2%80%99,Agricultural Resource Management Survey,dataset-870,no,,referenced but not used directly
pubmed,10.1007/s00705-018-04126-4,Taxonomy of the order Mononegavirales: second update 2018.,https://www.ncbi.nlm.nih.gov/pubmed/30663023,Agricultural Resource Management Survey,dataset-870,no,,
openaire,10.1093/ajae/aap018,Technology Adoption and Technical Efficiency: Organic and Conventional Dairy Farms in the United States,http://hdl.handle.net/10.1093/ajae/aap018,Agricultural Resource Management Survey,dataset-870,yes,,
openaire,10.22004/ag.econ.9982,"Technology Adoption, Management Practices, and Financial Performance of New and Beginning Farmers: Evidence from a National Survey",http://dx.doi.org/10.22004/ag.econ.9982,Agricultural Resource Management Survey,dataset-870,yes,,
pubmed,10.3390/toxins10040156,Temperature Effects Explain Continental Scale Distribution of Cyanobacterial Toxins.,https://www.ncbi.nlm.nih.gov/pubmed/29652856,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,,Temperature response of soil respiration largely unaltered with experimental warming.,https://www.ncbi.nlm.nih.gov/pubmed/27849609,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.1016/j.envpol.2018.10.070,Ten-year regional monitoring of soil-rice grain contamination by heavy metals with implications for target remediation and food safety.,https://www.ncbi.nlm.nih.gov/pubmed/30359925,Agricultural Resource Management Survey,dataset-870,no,,
