dataset_id,dataset_string,dataset_title,doi,journal,title,Used dataset?,
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.1515/jetl-2019-0103,Journal of European Tort Law,Punitive Damages: Reorienting the Debate in Civil Law Systems,No,Federal Reporter
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.1053/j.gastro.2018.12.045,Gastroenterology,The role of the microbiome in immunologic development and its implication for pancreatic cancer immunotherapy,Yes,NIH
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.1016/j.respol.2018.10.027,Research Policy,The relation between research priorities and societal demands: The case of rice,Yes,Also known as Star Metrics
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.1007/s10551-017-3581-8,Journal of Business Ethics,Tone-at-the-Top Lessons from Abrahamic Justice,No,
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1016/j.jpubeco.2019.104066,Journal of Public Economics,The impact of money on science: Evidence from unexpected NCAA football outcomes,Yes,
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1038/d41586-019-01734-1,Nature,The hunt for the lesser-known funding source,Yes,
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1007/s11192-018-2992-3,Scientometrics,Universities’ structural commitment to interdisciplinary research,Yes,
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1163/25891715-00201002,Public Anthropologist,Public Anthropology in Changing Times,Yes,
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.2139/ssrn.3421123,SSRN Electronic Journal,Innovating Banks and Local Lending,Paywall,
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1073/pnas.1807174115,Proceedings of the National Academy of Sciences,Modeling research universities: Predicting probable futures of public vs. private and large vs. small research universities,Yes,
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1016/j.joi.2018.09.001,Journal of Informetrics,A comparison of two approaches for measuring interdisciplinary research output: The disciplinary diversity of authors vs the disciplinary diversity of the reference list,Yes,
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1080/00221546.2018.1435134,The Journal of Higher Education,First-Generation Students in Pursuit of the PhD: Comparing Socialization Experiences and Outcomes to Continuing-Generation Peers,Yes,
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1108/sgpe-d-17-00044,Studies in Graduate and Postdoctoral Education,"Doctoral student funding portfolios across and within engineering, life sciences and physical sciences",Yes,
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.7554/elife.32822,eLife,Research: Sci-Hub provides access to nearly all scholarly literature,Yes,
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1163/22125868-12340100,International Journal of Chinese Education,Classifying Institutions to Guide Mission-Relevant Performance Assessment,Yes,
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1080/2330443x.2018.1442271,Statistics and Public Policy,Examining the Carnegie Classification Methodology for Research Universities,Yes,
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1016/j.acra.2017.07.013,Academic Radiology,Radiology Research Funding Current State and Future Opportunities,Yes,
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.2139/ssrn.3098510,SSRN Electronic Journal,"Team Size, Noisy Signals, and the Career Prospects of Academic Scientists",Yes,
