title,authors,journal,bbk_dataset,dataset_notes,paper,doi,url
The Effect of Investing Abroad on Investment at Home,"Nagengast A., Goldbach S., Wamser G., Steinmüller E.",BBk Discussion Paper,"MIDI, USTAN","MiDi
(1) MiDi (Microdatabase Direct Investment; for detailed information, see Lipponer (2011)), a comprehensive annual database of German FDI positions; 
(2) MiDi provides information on each foreign affiliate’s balance sheet, ownership structure and additional information such as an industry classification. A particular advantage of MiDi is that reporting by firms is mandatory by German Federal Law.11 We use parent-affiliate-year observations in order to identify whether a new foreign affiliate was established by the parent company in a given year. 
(3) A particular advantage of MiDi is that reporting by firms is mandatory by German Federal Law.1.
(4) 12Note that a new entry in the MiDi database can be due to greenfield investments or mergers and acquisitions.
(5) We match Ustan with MiDi and keep matched observations as well as unmatched  observations from Ustan.
(6) 17Note that for illustration purposes we do not use all information from MiDi in Figure 1, since for reasons of confidentiality, regions with fewer than three parent companies cannot be displayed.
(7) Lipponer, A. (2011): “Microdatabase Direct Investment–MiDi: A Brief Guide,” Technical Documentation, Deutsche Bundesbank.
Ustan
(1) Information on domestic investment and other parent-level variables is taken from the Bundesbank’s corporate balance sheet 
database for Germany, Ustan (Unternehmensbilanzstatistik). The data are primar- ily extracted from annual accounts (balance sheet, profit and loss accounts) and financial statements. Most notably for our purpose, the database includes information on firms’ domestic investment.
(2) We match Ustan with MiDi and keep matched observations as well as unmatched  observations from Ustan.
",Discussion_Paper_Goldbach_Steinmüller_Nagengast_Wamser,,https://ssrn.com/abstract=483322
Banks’ Equity Stakes and Lending: Evidence from a Tax Reform,"Foos D., von Beschwitz B.",BBk Discussion Paper,"BAKIS, BISTA, MIMIK, USTAN",,Discussion_Paper_Foos_von_Beschwitz,,https://ssrn.com/abstract=2870321
M-PRESS-CreditRisk: A holistic micro- and macro-prudential approach to capital requirements,"Slopek U., Tente N., Westernhagen N.",BBk Discussion Paper,"BAKIS, MIMIK",,Discussion_Paper_Tente_von_Westernhagen_Slopek,,
Cross-border transmission of emergency liquidity,"Kick T., Koetter M., Storz M.",BBk Discussion Paper,"BAKIS, BISTA, ZISTA",,Discussion_Paper_Koetter_Kick_Storz,,https://ssrn.com/abstract=2848047
Bank stress testing under different balance sheet assumptions,"Busch R., Drescher C., Memmel C.",BBk Discussion Paper,,,Discussion_Paper_Busch_Drescher_Memmel,,https://ssrn.com/abstract=2956676
Cyclical investment behavior across financial institutions,Timmer Y.,BBk Discussion Paper,SHS-BASE,,Discussion_Paper_Timmer,,https://ssrn.com/abstract=2696647
Fundamentals matter: Idiosyncratic shocks and interbank relations,"Bednarek P., Dinger V., Westernhagen N.",BBk Discussion Paper,"MIMIK, BISTA, BAKIS",,Discussion_Paper_Bednarek_Dinger_von_Westernhagen,,https://ssrn.com/abstract=2797069
Arbitraging the Basel securitization framework: Evidence from German ABS investment,Efing M.,BBk Discussion Paper,SHS-BASE,,Discussion_Paper_Efing,,https://ssrn.com/abstract=2527981
The winner's curse: Evidence on the danger of aggressive credit growth in banking,"Kick T., Pausch T., Ruprecht B.",BBk Discussion Paper,BAKIS,,Discussion_Paper_Kick_Pausch_Ruprecht,,https://ssrn.com/abstract=2797057
Cutting the credit line: Evidence from Germany,"Goldbach S., Nitsch V.",BBk Discussion Paper,"MIMIK, USTAN, BAKIS",,Discussion_Paper_Goldbach_Nitsch,,https://ssrn.com/abstract=2797050
Who trades on momentum?,"Baltzer M., Jank S., Smajlbegovic E.",BBk Discussion Paper,SHS-BASE,,Discussion_Paper_Baltzer_Jank_Smajlbegovic,,https://ssrn.com/abstract=364000
Loan loss provisioning and procyclicality: Evidence from an expected loss model,"Domikowsky C., Bornemann S., Duellmann K., Pfingsten A.",BBk Discussion Paper,BAKIS,,Discussion_Paper_Domikowsky_Duellmann_Bornemann_Pfingsten,,https://ssrn.com/abstract=2797018
Pro-cyclical capital regulation and lending,"Behn M., Haselmann R., Wachtel P.",BBk Discussion Paper,"MIMIK, BAKIS",,Discussion_Paper_Behn_Haselmann_Wachtel,,https://ssrn.com/abstract=632687
A network analysis of the evolution of the German interbank market,"Roukny T., Georg C. , Battiston S.",BBk Discussion Paper,MIMIK,,Discussion_Paper_Roukny_Georg_Battiston,,https://ssrn.com/abstract=2796998
"Interbank lending and distress: Observables, unobservables, and network structure","Craig B., Koetter M., Krüger U.",BBk Discussion Paper,BISTA,,Discussion_Paper_Craig_Koetter_Krüger,,https://ssrn.com/abstract=2505190
"Wealth shocks, credit-supply shocks, and asset allocation: Evidence from household and firm portfolios","Kick T., Ruprecht B., Onali E., Schaeck K.",BBk Discussion Paper,SHS-BASE,,Discussion_Paper_Kick_Ruprecht_Onali_Schaeck,,https://ssrn.com/abstract=2408449
"Market timing, maturity mismatch, and risk management: Evidence from the banking industry","Ruprecht B., Entrop O., Kick T., Wilkens M.",BBk Discussion Paper,BAKIS,,Discussion_Paper_Ruprecht_Kick_Entrop_Wilkens,,https://ssrn.com/abstract=2396922
Changing forces of gravity: How the crisis affected international banking,"Buch C., Neugebauer K., Schröder C.",BBk Discussion Paper,AUSTA,,Discussion_Paper_Buch_Neugebauer_Schröder,,https://ssrn.com/abstract=2385996
Cash holdings of German open-end equity funds: Does ownership matter?,"Dötz N., Weth M.",BBk Discussion Paper,IFS-BASE,,Discussion_Paper_Doetz_Weth,,https://ssrn.com/abstract=2356827
Is proprietary trading detrimental to retail investors?,"Fecht F., Hackethal A., Karabulut Y.",BBk Discussion Paper,SHS-BASE,,Discussion_Paper_Fecht_Hackethal_Karabulut,,https://ssrn.com/abstract=1783679
Precautionary motives in short-term cash management: Evidence from German POS transactions,"Eschelbach M., Schmidt T.",BBk Discussion Paper,,,Discussion_Paper_Eschelbach_Schmidt,,https://ssrn.com/abstract=2796927
Testing the O-ring theory for FDI,"Engemann M., Lindemann H.",BBk Discussion Paper,MIDI,"(1) The hospitality of the Bundesbank, the kind support of the staff as well as access to its Microdatabase Direct investment (MiDi) are gratefully acknowledged.
(2) We use firm level data on the universe of German multinationals and their activity abroad, which is provided by the Biewen et al. (2013) in the Microdatabase Direct investment (MiDi).
(3) Biewen, E., A. Lipponer, D. Scholz, and S. Schultz (2013).  Microdatabase Direct  Investment - MiDi: A Brief Guide. Technical Documentation, Deutsche Bundesbank.


",Discussion_Paper_Engemann_Lindemann,,https://ssrn.com/abstract=2796917
Evaluation of minimum capital requirements for bank loans to SMEs,"Düllmann K., Koziol P.",BBk Discussion Paper,USTAN,well as access to its Microdatabase D,Discussion_Paper_Düllmann_Koziol,,https://ssrn.com/abstract=2796913
Does non-interest income make banks more risky? Retail- versus investment-oriented banks,Köhler M.,BBk Discussion Paper,BAKIS,,Discussion_Paper_Köhler,,https://ssrn.com/abstract=2796907
The determinants of service imports: The role of cost pressure and financial constraints,"Biewen E., Harsch D., Spies J.",BBk Discussion Paper,"SITS, MIDI","MiDi
(1) A.1 MiDi-ITS Match
(2) The authors thank Claudia  Buch and  Heinz  Herrmann  and  participants  of  the  9th  Bundesbank  MiDi  Works Project
Workshop ""Europe’s Global Linkages and the Impact of the Financial Crisis:
(3) We use comprehensive information on the cross-border service trade of German ﬁrms for 2002-2008 from the German International Trade in Services Statistics (ITS ) and complement it with information on multinational service traders from the Micro Database Direct Investment (MiDi ) – both datasets are provided by the Deutsche  Bundesbank.
(4) The rest of the paper is organized as follows: Section 2 contains the description of the merged ITS-MiDi data along with the explanatory variables.
(5) This section describes the data that we use for our empirical analysis. We combine  two micro datasets provided by the Deutsche Bundesbank – the ITS and the MiDi – and complement them with information on cross-country and cross-sectoral occupational wages data as well as on credit constraints.
(6) ﬁrm. While the information on the single service transaction is very detailed, the dataset does not provide any ﬁrm-level characteristics. Thanks to a common ﬁrm identiﬁer, some
ﬁrm-level information can, however, be retrieved from the MiDi.
(7) The MiDi covers all international capital links from and to Germany (see Hügelschäf- fer et al., 2009) and is available for research purposes as a panel dataset, currently cov-
ering the time period 1996-2009.
(8) Before matching the ITS and MiDi, we made a few adjustments. First, we aggregated the individual service transactions in the ITS to the level of each firm, source country,
service type and year.
(9) Second, we grouped the single service categories in the ITS into eight larger categories and assigned each industrial sector in which a foreign aﬃliate is active
according to the MiDi to a corresponding service group (see Table A.1).
(10) The additional variables we use for the mode choice estimations are both constructed from the MiDi.


SITS
(1) Making use of new micro-level data on service imports of German multinationals from 2002-2008, 
(2) Using the micro-level German International Trade in Services (ITS) data, we calculate a 10% drop in service imports.
(3) Furthermore, they contain estimates (e.g. for transactions below the reporting limit of e12,500) and collective reports which are excluded from the ITS data.
(4) The ITS comprises information on all service transactions between German residents and non-residents that surpass the threshold of e12,500. Since the reporting limit is rather low, the ITS covers almost the entire population of German cross-border service transactions.
(5) In its original version, the ITS also includes reports from public authorities and private transfers, which we remove in order to focus on firms’ transactions.
(6) The ITS reports comprehensive service trade information at the level of the individual transaction (for both imports and exports):
(7) the individual service transactions in the ITS to the level of each firm, source country, service type and year.
(8) Source: own calculations, data from ITS (2011).
(9) Note: own calculations. Data from ITS and MiDi. Import values are in e million.



",Discussion_Paper_Biewen_Harsch_Spies,,https://ssrn.com/abstract=2796888
Tax incentives and capital structure choice: Evidence from Germany,"Hartmann-Wendels T., Stein I., Stöter A.",BBk Discussion Paper,BISTA,,Discussion_Paper_Hartmann_Wendels_Stein_Stöter,,https://ssrn.com/abstract=2140896
The PHF: A comprehensive panel survey on household finances and wealth in Germany,"Kalckreuth U., Eisele M., Le Blanc J., Schmidt T., Zhu J.",BBk Discussion Paper,PHF,,Discussion_Paper_von_Kalckreuth_Eisele_LeBlanc_Schmidt_Zhu,,https://ssrn.com/abstract=2796868
Bank-related loan supply factors during the crisis: An analysis based on the German bank lending survey,Blaes B.,BBk Discussion Paper,BLS,,Discussion_Paper_Blaes,,https://ssrn.com/abstract=2785427
The use of tax havens in exemption regimes,"Gumpert A., Hines J., Schnitzer M.",BBk Discussion Paper,MIDI,"(1) Theoretical predictions are tested using the Microdatabase Direct investment (MiDi).
(2) Die Implikationen des Modells werden mit der Mikrodatenbank Direktinvestitionen (MiDi) getestet.
(3) The hospitality of the Bundesbank, the constructive support of the staff as well as access to its Microdatabase Direct investment (MiDi) are gratefully acknowledged.
(4) Our analysis is based on the Microdatabase Direct investment (MiDi) provided by the Bundesbank, the German central bank.
(5) The MiDi data include information on parent companies only for the years 2002 to 2008, so the analysis is restricted to these years.
(6) During the 2002-2008 period, the MiDi contains 173,312 affiliate-year observations.
(7) We augment the MiDi with information on statutory tax rates mainly from the  International Bureau of Fiscal Documentation (IBFD) and information on GDP from the International Monetary Fund  (IMF).
(8) Very few investors in the MiDi data hold branches or affiliates in the island states on the OECD tax haven list.
(9) Lipponer, A., 2009. Microdatabase direct investment - midi a brief guide. Deutsche Bundesbank.



",Discussion_Paper_Gumpert_Hines_Schnitzer,,https://ssrn.com/abstract=1971468
"Crises, rescues, and policy transmission through international banks","Buch C., Koch C., Koetter M.",BBk Discussion Paper,AUSTA,,Discussion_Paper_Buch_Koch_Koetter,,https://ssrn.com/abstract=2195508
Improvements in rating models for the German corporate sector,Förstemann T.,BBk Discussion Paper,USTAN,,Discussion_Paper_Förstemann,,https://ssrn.com/abstract=2794066
"Portfolio holdings in the euro area - home bias and the role of international, domestic and sector-specific factors","Jochem A., Volz U.",BBk Discussion Paper,SHS-BASE,,Discussion_Paper_Jochem_Volz,,https://ssrn.com/abstract=2785398
Are there disadvantaged clienteles in mutual funds?,Jank S.,BBk Discussion Paper,SHS-BASE,,Discussion_Paper_Jank,,https://ssrn.com/abstract=2794053
Do specialization benefits outweigh concentration risks in credit portfolios of German banks?,"Böve R., Düllmann K., Pfingsten A.",BBk Discussion Paper,VJKRE,,Discussion_Paper_Jank,,https://ssrn.com/abstract=2794048
Do banks benefit from internationalization? Revisiting the market power-risk nexus,"Buch C., Koch C., Koetter M. ",BBk Discussion Paper,AUSTA,,Discussion_Paper_Koch_Koetter_Buch,,https://ssrn.com/abstract=2794047
What drives portfolio investments of German banks in emerging capital markets?,Wildmann C.,BBk Discussion Paper,AUSTA,,Discussion_Paper_Wildmann,,https://ssrn.com/abstract=2794042
Exports versus FDI revisited: does finance matter?,"Buch C., Kesternich I., Lipponer A., Schnitzer M.",BBk Discussion Paper,MIDI,"(1) We gratefully acknowledge the hospitality of these institutions as well as being allowed access to the Direct Investment (MiDi) Micro-Database.
(2) We thus test our model using data for German firms. Our study differs from previous work because we combine data for the years 2002 to 2006 from the commercial 
database Dafne (the German equivalent of Amadeus) with data provided by  the Deutsche Bundesbank in its database on foreign direct investment (MiDi), which allows us to draw on information on the extensive and intensive margins of FDI and exports. The data are described in Part Three.
(3) Furthermore we adjust this information using data from  MiDi.
(4) By  combining  the  Dafne  database  with  the Deutsche Bundesbank’s Micro-Database Foreign Direct Investment (MiDi), we obtain information on foreign affiliates’ sales.
(5) Unless  otherwise  indicated,  parent-level  information  comes  from  Dafne  (Bureau  van  Dijk) and affiliate-level information comes from MiDi (Microdatabase Direct Investment, Deutsche Bundesbank).
(6) 0/1 dummy for German firms with foreign affiliates. Dafne data supplemented by MiDi




",Discussion_Paper_Buch_Kesternich_Lipponer_Schnitzer,,https://ssrn.com/abstract=2785367
"Tax vs. Regulation Policy and the Location of ,Financial Sector FDI*","Julia Merz, Michael Overesch, Georg Wamser","CESifo Working Paper Series No. 5500, available at SSRN Electronic Journal: https://ssrn.com/abstract=2669368",MIDI,,Working_Paper_Merz_Overesch_Wamser,,https://ssrn.com/abstract=2669368
Environmental Regulation and Foreign Direct Investment: The Role of the Mode of Entry,"Sylwia Bialek, Alfons J. Weichenrieder","CESifo DICE Report 4/2015, pp. 41-47",MIDI,,,,
European climate policy and industrial relocation: Evidence from German multinational firms,"Nicolas Koch, Houdou Basse Mama",available at SSRN Electronic Journal : https://ssrn.com/abstract=2868283,MIDI,,,,https://ssrn.com/abstract=2868283
Tax Influence on Financial Structures of M&As,Christoph Harendt,ZEW Discussion Paper (No. 18-004),MIDI,,Working_Paper_Harendt,,https://ssrn.com/abstract=423483
Corporation Taxes and the Debt Policy of Multinational Firms – Evidence from German Multinationals,"Büttner, T, M Overesch, U Schreiber and G Wamser",Working Paper,MIDI,,Working_Paper_Büttner_Overesch_Wamser_Schreiber,,
Tax Status and Tax Response Heterogeneity of Multinationals’ Dept Finance,"Büttner, T, M Overesch and G Wamser",Working Paper,MIDI,,Working_Paper_Büttner_Overesch_Wamser,,
"Bilateral Internal Debt Financing, Tax Planning, and the Effectiveness of Anti-Tax Avoidance Rules","Overesch, M and G Wamser",Working Paper,MIDI,,,,
How Low Business Tax Rates Attract Multinational Headquarters: Municipality-Level Evidence from Germany,"Becker, S, P Egger and V Merlo ",CESifo Working Paper No. 2517,MIDI,,Working_Paper_Becker_Egger_Merlo,,https://ssrn.com/abstract=1327685
Intercompany Loans and Profit Shifting – Evidence from Company-Level Data,"Büttner, T and G Wamser ",Working Paper,MIDI,"(1) In order to test the empirical implications as outlined in the previous section, we employ a micro-level dataset for German multinationals (MiDi) provided by the Bundesbank. 
(2) Lipponer, A. (2006): Microdatabase Direct Investment - MiDi. A brief guide, Bundesbank Working Paper, Frankfurt.",Working_Paper_Buettner_Wamser,,https://ssrn.com/abstract=981120
Why is the Response of Multinationals’ Capital Structure Choice to Tax Incentives That Low? Some Possible Explanations,"Ruf, M",Working Paper,MIDI,,,,
The Taxation of Passive Foreign Investment: Lessons from German Experience,"Ruf, M and A Weichenrieder",Working Paper,MIDI,,Working_Paper_Ruf_Weichenrieder,,https://ssrn.com/abstract=1392203
Network and Border Effects: Where Do Foreign Multinationals Locate in Germany?,"Spies, J",Working Paper,MIDI,"(1) This paper has partly been written during visits to the research centre of the Deutsche Bundesbank. The hospitality of the Bundesbank and access to its  firm-level  Micro database Direct Investment (MiDi) are gratefully acknowledged.
(2) This study aims at explaining the regional dispersion of foreign multina- tionals’ affiliates by exploiting the firm-level Micro database Direct Invest- ment (MiDi) of the Deutsche Bundesbank. The MiDi is a full sample survey
of foreign firms’ affiliates in Germany.
(3) In fact, the heterogeneous nature of holdings would require more detailed information about actual occupations and tasks for which data is not available in the MiDi.
(4) The firm-level database MiDi contains information about the federal state, in which an MNE’s affiliate is located, about its sector and the source country of the investment.
(5) Section 4.1 provides a short description of the MiDi and how the dependent variable has been extracted from the database.
(6) The data on inward FDI come from the firm-level MiDi provided by the Deutsche Bundesbank (for details on this database see Lipponer (2008). The MiDi is a full sample survey of foreign firms’ affiliates in Germany. 
(7) In addition to the chosen federal state, information on the sector groups of the affiliates can be retrieved from the MiDi
(8) For this reason, the original worldwide country sample reported in the MiDi reduces here to 79 countries that have established an affiliate in Germany within the considered time frame 1997-2005. In princi- ple, the MiDi is a panel dataset since 1996
(9) Lipponer, A. (2008): “Microdatabase Direct Investment – MiDi A Brief Guide,”  mimeo, Deutsche Bundesbank
",Working_Paper_Spies,,
How Can Firms choose their Leverage? – Tax Planning for Implementing Tax Induced Debt Finance,"Ruf, M",Working Paper,MIDI,,,,https://ssrn.com/abstract=1290663
Thin-capitalization rules and company responses: Experience from German legislation,"Weichenrieder, A J and H Windischbauer ",Working Paper,MIDI,,Working_Paper_Weichenrieder_Windischbauer,,https://ssrn.com/abstract=1299533
What determines the use of holding companies and ownership chains?,"Weichenrieder, J and J M Mintz",Working Paper,MIDI,,Working_Paper_Weichenrieder_Mintz,,
"Offshoring and the Onshore Composition of Occupations, Tasks and Skills","Becker, S. O., K. Ekholm, and M.-A. Muendler",Working Paper,MIDI,"(1) Second, confidential information on German MNEs and their offshore activities comes from the combined midi-ustan database at Deutsche Bundesbank (BuBa).
(2) see Lipponer (2003) for a documentation of midi (MIcro database Direct Investment, formerly DIREK) and Deutsche Bundesbank (1998) for a documentation of USTAN (which reports parent-level operations of German MNEs).
(3) We extract affliate-level information on employment and ownership (from MIDI) and parent-level information on fixed assets and value added (from USTAN).
(4) Third, we use the commercial database markus (from Verband der Vereine Creditreform) on German corporate ownership to combine the preceding two data
sources. MARKUS allows us to identify all onshore a±liates of MIDI-USTAN firms, to which we then link ba plants.
(5) Those bundling firms then report FDI to MiDi as required by German law.
(6) MIDI-USTAN
(7) BA-MIDI
(8) First, we identify all midi ¯rms that are in the commercial company structure database MARKUS. Departing from the MIDI firms in markus, we move both down and up in the corporate hierarchy of markus to select the a±liates and ultimate parents of the MIDI firms. 
",Working_Paper_Becker_Ekholm_Muendler,,https://ssrn.com/abstract=1469870
Who Goes East? The Impact of Enlargement on the Patterns of German FDI,"Buch, C.M., and J. Kleinert.",Working Paper,MIDI,,Working_Paper_Buch_Kleinert,,https://ssrn.com/abstract=904318
Transfer Pricing of Intrafirm Sales as a Profit Shifting Channel - Evidence from German Firm Data,"Overesch, M",Working Paper,MIDI,,Working_Paper_Overesch,,https://ssrn.com/abstract=955758
 Taxes and the financial structure of German outbound FDI,"Mintz, J., and A.J. Weichenrieder",Working Paper,MIDI,,Working_Paper_Mintz_Weichenrieder,,
Zur Finanziellen Bildung der Privaten Haushalte in Deutschland: Ergebnisse der Studie “Private Haushalte und ihre Finanzen (PHF)“,"Schmidt T., Tzamourani P.",DIW Vierteljahreshefte zur Wirtschaftsforschung,PHF,,,,
An analysis of the consistency of banks’ internal ratings,"Berg T., Koziol P.",Journal of Banking and Finance,MIMIK,,,,https://ssrn.com/abstract=906549
Combined Firm Data for Germany - Possibilities and Consequences of Merging Firm Data from Different Data Producers,"Biewen E., Gruhl A., Gürke C., Hethey-Maier T., Weiß E.",Schmollers Jahrbuch,"MIDI, USTAN",,,,
KombiFiD: A First Glimpse of the Bundesbank Data,Biewen E.,Schmollers Jahrbuch,"MIDI, USTAN",,,,
Extra Credit: Bank Finance and Firm Export Status in Germany,"Goldbach S., Nitsch V.",World Economy,"MIMIK, USTAN",,Working_Paper_Goldbach_Nitsch,,https://ssrn.com/abstract=2472497
Why does bank credit not drive money in Germany (any more)?,"Kuzin V., Schobert F.",Economic Modelling,BISTA,,Working_Paper_Kuzim_Schobert,,https://ssrn.com/abstract=966399
The payout behavior of German savings banks,Köhler M.,Credit and Capital Markets,BISTA,,Working_Paper_Köhler,,
German Banks in Financial Centers: How Risky is Their Business?,Kerl C.,The Journal of Financial Perspectives,"AUSTA, BISTA",,,,https://ssrn.com/abstract=3154349
What Determines the Composition of International Bank Flows?,"Kerl C., Niepmann F.",IMF Economic Review,"AUSTA, BISTA",,,,https://ssrn.com/abstract=196028
International Banking and Liquidity Risk Transmission: Evidence from Germany,"Kerl C., Koch C.",IMF Economic Review,"AUSTA, BISTA",,,,
Price Level Changes and the Redistribution of Nominal Wealth Across the Euro Area,"Zhu J., Adam K.",Journal of the European Economic Association,PHF,,,,https://ssrn.com/abstract=2666983
You’re banned! The effect of sanctions on German cross-border financial flows,"Besedes T., Goldbach S., Nitsch V.",Economic Policy (formerly: Economic Policy: A European Forum),SITS,,,,https://ssrn.com/abstract=2797085
Do all new brooms sweep clean? Evidence for outside bank appointments,"Kick T., Nehring I., Schertler A.",Journal of Banking and Finance,BAKIS,,Working_Paper_Kick_Nehring_Schertler,,https://ssrn.com/abstract=3044342
Banks' Interest Rate Risk and Search for Yield: A Theoretical Rationale and Some Empirical Evidence,"Memmel C., Seymen A., Teichert M.",GERMAN Economic Review,"BISTA, BAKIS, GUV",,Working_Paper_Memmel_Seymen_Teichert,,https://ssrn.com/abstract=2807293
The influence of an up-front experiment on respondents' recording behaviour in payment diaries: Evidence from Germany,"Sieber S., Schmidt T.",Journal of Official Statistics,PaymentSurvey,,Working_Paper_Sieber_Schmidt,,https://ssrn.com/abstract=2797068
Cyclicality of SME lending and government involvement in banks,"Behr P., Foos D., Norden L.",Journal of Banking and Finance,"BISTA, GUV",,Working_Paper_Behr_Foos_Norden,,https://ssrn.com/abstract=2640679
The credit quality channel: Modeling contagion in the interbank market,"Fink K., Krüger U., Meller B., Wong L.",Journal of Financial Stability,MIMIK,,Working_Paper_Fink_Krüger_Meller_Wong,,https://ssrn.com/abstract=2797063
Bracket creep revisited - with and without r>g: Evidence from Germany,Zhu J.,Journal of Income Distribution,PHF ,,Working_Paper_Zhu,,https://ssrn.com/abstract=2696932
"Do exposures to sagging real estate, subprime or conduits abroad lead to contraction and flight to quality in bank lending at home?","Ongena S., Tümer-Alkan G., Westernhagen N.",Review of Finance (formerly: European Finance Review),"BAKIS, BISTA, MIMIK",,Working_Paper_Ongena_Tümer-Alkan_vonWesternhagen,,https://ssrn.com/abstract=2734718
Securities trading by banks and credit supply: Micro-evidence,"Abbassi P., Iyer R., Peydró J., Tous F.",Journal of Financial Economics,"BISTA, BAKIS, BISTA, MIMIK, SHS-BASE, MIMIK",,Working_Paper_Abbassi_Ilyer_Peydró_Tous,,https://ssrn.com/abstract=2570763
Centrality-based capital allocations,"Alter A., Craig B., Raupach P.",International Journal of Central Banking,"BAKIS, BISTA, VJKRE, MIMIK",,Working_Paper_Alter_Craig_Raupach,,https://ssrn.com/abstract=2450788
Taxing banks: An evaluation of the German bank levy,"Buch C., Hilberg B., Tonzer L.",Journal of Banking and Finance,"BISTA, GUV, ZISTA",,Working_Paper_Buch_Hilberg_Tonzer,,https://ssrn.com/abstract=2425501
Quantifying the components of the banks' net interest margin,"Busch R., Memmel C. ",Financial Markets and Portfolio Management (formerly: Finanzmarkt und Portfolio Management),"BISTA, GUV, BAKIS",,Working_Paper_Busch_Memmel,,https://ssrn.com/abstract=2796989
