title	url	dataset
Great moderation at the firm level? Unconditional versus conditional output volatility	https://ssrn.com/abstract=2785311	USTAN
Does lowering dividend tax rates increase dividends repatriated?: evidence of intra-firm cross-border dividend repatriation policies by German Multinational Enterprises	https://ssrn.com/abstract=2785348	MIDI,SITS
Export-Supporting FDI	https://ssrn.com/abstract=2785349	MIDI
Financial constraints and the margins of FDI	https://ssrn.com/abstract=2785358	MIDI
Exports versus FDI revisited: does finance matter?	https://ssrn.com/abstract=2785367	MIDI
Portfolio holdings in the euro area - home bias and the role of international, domestic and sector-specific factors	https://ssrn.com/abstract=2785398	SHS-BASE
Using cash to monitor liquidity: Implications for payments, currency demand and withdrawal behavior	https://ssrn.com/abstract=2785421	PaymentSurvey
Bank-related loan supply factors during the crisis: An analysis based on the German bank lending survey	https://ssrn.com/abstract=2785427	BLS
Enterprises' financing structure and their response to monetary policy stimuli: An analysis based on the Deutsche Bundesbank's corporate balance sheet statistics	https://ssrn.com/abstract=2785791	USTAN
Banks' regulatory buffers, liquidity networks and monetary policy transmission	https://ssrn.com/abstract=2793911	BAKIS
Does capital regulation matter for bank behaviour? Evidence for German savings banks	https://ssrn.com/abstract=2793955	BISTA
Measurement matters: Input price proxies and bank efficiency in Germany	https://ssrn.com/abstract=2793959	BISTA, GUV
Do banks diversify loan portfolios? A tentative answer based on individual bank loan portfolios	https://ssrn.com/abstract=2793961	VJKRE
Time series properties of a rating system based on financial ratios	https://ssrn.com/abstract=2793973	USTAN
Heterogeneity in lending and sectoral growth: evidence from German bank-level data	https://ssrn.com/abstract=2793979	BAKIS, MIMIK, BISTA
The stability of efficiency rankings when risk-preferences and objectives are different	https://ssrn.com/abstract=2793981	BISTA, GUV
Efficient, profitable and safe banking: an oxymoron? Evidence from a panel VAR approach	https://ssrn.com/abstract=2793987	BISTA, GUV
Diversification and the banks' risk-return-characteristics: evidence from loan portfolios of German banks	https://ssrn.com/abstract=2793990	BAKIS
How do banks adjust their capital ratios? Evidence from Germany	https://ssrn.com/abstract=2793991	BAKIS
Banking consolidation and small businessfinance: empirical evidence for Germany	https://ssrn.com/abstract=2793994	USTAN, BAKIS, MIMIK
Analyzing the interest rate risk of banks using time series of accounting-based data: evidence from Germany	https://ssrn.com/abstract=2794005	BISTA
The success of bank mergers revisited: an assessment based on a matching strategy	https://ssrn.com/abstract=2794010	BISTA, GUV, ZentK
Which interest rate scenario is the worst one for a bank? Evidence from a tracking bank approach for German savings and cooperative banks	https://ssrn.com/abstract=2794011	BISTA
The implications of latent technology regimes for competition and efficiency in banking	https://ssrn.com/abstract=2794018	BISTA
Stress testing of real credit portfolios	https://ssrn.com/abstract=2794020	MIMIK
Shocks at large banks and banking sector distress: the Banking Granular Residual	https://ssrn.com/abstract=2794027	SRP
Why do savings banks transform sight deposits into illiquid assets less intensively than the regulation allows?	https://ssrn.com/abstract=2794028	BISTA
Determinants for using visible reserves in German banks: an empirical study	https://ssrn.com/abstract=2794034	BAKIS
The dependency of the banks' assets and liabilities: evidence from Germany	https://ssrn.com/abstract=2794036	BISTA, BAKIS, BISTA, GUV
What macroeconomic shocks affect the German banking system? Analysis in an integrated micro-macro model	https://ssrn.com/abstract=2794037	BISTA, SRP
What drives portfolio investments of German banks in emerging capital markets?	https://ssrn.com/abstract=2794042	AUSTA
Banks' exposure to interest rate risk, their earnings from term transformation, and the dynamics of the term structure	https://ssrn.com/abstract=2794045	BISTA, BAKIS
Do banks benefit from internationalization? Revisiting the market power-risk nexus	https://ssrn.com/abstract=2794047	AUSTA
Do specialization benefits outweigh concentration risks in credit portfolios of German banks?	https://ssrn.com/abstract=2794048	VJKRE
Are banks using hidden reserves to beat earnings benchmarks? Evidence from Germany	https://ssrn.com/abstract=2794052	BAKIS
Are there disadvantaged clienteles in mutual funds?	https://ssrn.com/abstract=2794053	SHS-BASE
Improvements in rating models for the German corporate sector	https://ssrn.com/abstract=2794066	USTAN
Contagion in the interbank market and its determinants	https://ssrn.com/abstract=2794073	BAKIS
The PHF: A comprehensive panel survey on household finances and wealth in Germany	https://ssrn.com/abstract=2796868	PHF
Determinants of bank interest margins: Impact of maturity transformation	https://ssrn.com/abstract=2796872	BISTA
Diversification and determinants of international credit portfolios: Evidence from German banks	https://ssrn.com/abstract=2796883	AUSTA
The determinants of service imports: The role of cost pressure and financial constraints	https://ssrn.com/abstract=2796888	SITS, MIDI
Does non-interest income make banks more risky? Retail- versus investment-oriented banks	https://ssrn.com/abstract=2796907	BAKIS
Repo funding and internal capital markets in the financial crisis	https://ssrn.com/abstract=2796912	BISTA
Evaluation of minimum capital requirements for bank loans to SMEs	https://ssrn.com/abstract=2796913	USTAN
Testing the O-ring theory for FDI	https://ssrn.com/abstract=2796917	MIDI
Bank risk taking and competition: Evidence from regional banking markets	https://ssrn.com/abstract=2796924	BISTA
Quantifying the components of the banks' net interest margin	https://ssrn.com/abstract=2796989	BISTA, GUV, BAKIS
A network analysis of the evolution of the German interbank market	https://ssrn.com/abstract=2796998	MIMIK
Loan loss provisioning and procyclicality: Evidence from an expected loss model	https://ssrn.com/abstract=2797018	BAKIS
Cutting the credit line: Evidence from Germany	https://ssrn.com/abstract=2797050	MIMIK, USTAN, BAKIS
The winner's curse: Evidence on the danger of aggressive credit growth in banking	https://ssrn.com/abstract=2797057	BAKIS
Bracket creep revisited - with and without r>g: Evidence from Germany	https://ssrn.com/abstract=2797062	PHF
The credit quality channel: Modeling contagion in the interbank market	https://ssrn.com/abstract=2797063	MIMIK
Arbitraging the Basel securitization framework: Evidence from German ABS investment	https://ssrn.com/abstract=2797067	SHS-BASE
The influence of an up-front experiment on respondents' recording behaviour in payment diaries: Evidence from Germany	https://ssrn.com/abstract=2797068	PaymentSurvey
Fundamentals matter: Idiosyncratic shocks and interbank relations	https://ssrn.com/abstract=2797069	MIMIK, BISTA, BAKIS
What Determines the Composition of International Bank Flows?	https://ssrn.com/abstract=2801487	AUSTA, BISTA
Banks' Interest Rate Risk and Search for Yield: A Theoretical Rationale and Some Empirical Evidence	https://ssrn.com/abstract=2807293	BISTA, BAKIS, GUV
International Banking and Cross-Border Effects of Regulation: Lessons from Germany	https://ssrn.com/abstract=2848040	AUSTA, BISTA
Cross-border transmission of emergency liquidity	https://ssrn.com/abstract=2848047	BAKIS, BISTA, ZISTA
Determinants of bank-level deposit volatility: Evidence from the German banking system	https://ssrn.com/abstract=2862034	BISTA
Vulnerable asset management? The case of mutual funds	https://ssrn.com/abstract=2866301	MIMIK, SHS-BASE, IFS-BASE
European climate policy and industrial relocation: Evidence from German multinational firms	https://ssrn.com/abstract=2868283	MIDI
Will German banks earn their cost of capital?	https://ssrn.com/abstract=2910286	GUV, ZISTA
Rent-Seeking in Elite Networks	https://ssrn.com/abstract=2911062	USTAN
Interbank lending and monetary policy transmission: evidence for Germany	https://ssrn.com/abstract=298701	BISTA
Monetary transmission in Germany: New Perspectives on Financial Constraints and Investment Spending	https://ssrn.com/abstract=299385	USTAN
Exploring the role of uncertainty for corporate investment decisions in Germany	https://ssrn.com/abstract=299484	USTAN
A Comprehensive View on Risk Reporting: Evidence From Supervisory Data	https://ssrn.com/abstract=3015743	BISTA, MIMIK, SHS-BASE, GUV
Historical Antisemitism, Ethnic Specialization, and Financial Development	https://ssrn.com/abstract=3029643	PHF
Firm Investment and Monetary Policy Transmission in the Euro Area	https://ssrn.com/abstract=303122	USTAN
Monetary policy effects on bank loans in Germany: A panel-econometric analysis	https://ssrn.com/abstract=303240	BISTA
Testing for Competition Among German Banks	https://ssrn.com/abstract=304343	BISTA, GUV
Do all new brooms sweep clean? Evidence for outside bank appointments	https://ssrn.com/abstract=3044342	BAKIS
Estimating Bilateral Exposures in the German Interbank Market: Is there a Danger of Contagion?	https://ssrn.com/abstract=304454	BISTA
Bargaining power and outside options in the interbank lending market	https://ssrn.com/abstract=3065181	TARGET2
Why do banks bear interest rate risk?	https://ssrn.com/abstract=3097385	BAKIS, BISTA, ZISTA
German Banks in Financial Centers: How Risky is Their Business?	https://ssrn.com/abstract=3154349	AUSTA, BISTA
Transfer pricing as tax avoidance under different legislative schemes	https://ssrn.com/abstract=3164103	MIDI, SITS
P2P Lenders versus Banks: Cream Skimming or Bottom Fishing?	https://ssrn.com/abstract=3174632	ZISTA, BISTA
Household Financial Risk Tolerance in Europe	https://ssrn.com/abstract=3175881	PHF
Cheap Talk? Financial Sanctions and Non-Financial Activity	https://ssrn.com/abstract=3183674	SITS, USTAN
Unconventional Monetary Policy, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel	https://ssrn.com/abstract=3214522	BISTA, VJKRE, ZISTA, GUV, SHS-BASE
The Good, the Bad, and the Ugly: Impact of Negative Interest Rates and QE on the Profitability and Risk-Taking of 1600 German Banks	https://ssrn.com/abstract=3338686	BISTA, GUV
Determinants of German FDI: New Evidence from Micro-Data	https://ssrn.com/abstract=392681	MIDI
Where Enterprises Lead, People Follow? Links Between Migration and German FDI	https://ssrn.com/abstract=523962	MIDI
FDI versus cross-border financial services: The globalisation of German banks	https://ssrn.com/abstract=524002	MIDI, BISTA, GUV
Clustering or competition? The foreign investment behaviour of German banks	https://ssrn.com/abstract=524003	MIDI, BISTA, GUV
German bank lending during emerging market crises: A bank level analysis	https://ssrn.com/abstract=605562	MIMIK
How will Basel II affect bank lending to emerging markets? An analysis based on German bank level data	https://ssrn.com/abstract=627842	MIMIK
Taxes and the financial structure of German inward FDI	https://ssrn.com/abstract=638604	MIDI
Location Choice and Employment Decisions: A Comparison of German and Swedish Multinationals	https://ssrn.com/abstract=648081	MIDI
Evaluating the German bank merger wave	https://ssrn.com/abstract=726408	BISTA, GUV, ZentK
Accounting for distress in bank mergers	https://ssrn.com/abstract=811525	BISTA, GUV, ZentK
Inefficient or just different? Effects of heterogeneity on bank efficiency scores	https://ssrn.com/abstract=886481	BISTA, GUV
Margins of multinational labor substitution	https://ssrn.com/abstract=903867	MIDI, USTAN
Finance and growth in a bank-based economy: is it quantity or quality that matters?	https://ssrn.com/abstract=909561	MIMIK
Does diversification improve the performance of German banks? Evidence from individual bank loan portfolios	https://ssrn.com/abstract=918852	BAKIS, MIMIK
The impact of thin-capitalization rules on multinationals' financing and investment decisions	https://ssrn.com/abstract=935220	MIDI
The cost efficiency of German banks: a comparison of SFA and DEA	https://ssrn.com/abstract=947340	BISTA, GUV
Transfer Pricing of Intrafirm Sales as a Profit Shifting Channel - Evidence from German Firm Data	https://ssrn.com/abstract=955758	MIDI
Slippery slopes of stress: ordered failure events in German banking	https://ssrn.com/abstract=963658	BISTA, GUV, ZentK
Profit shifting in the EU: Evidence from Germany	https://ssrn.com/abstract=998420	MIDI
The Pricing of FX Forward Contracts: Micro Evidence from Banks' Dollar Hedging	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3273756	AUSTA, BISTA
Income Structure and Bank Business Models: Evidence on Performance and Stability from the German Banking Industry	https://www.researchgate.net/publication/320950482_Income_Structure_and_Bank_Business_Models_Evidence_on_Performance_and_Stability_from_the_German_Banking_Industry	BAKIS
Banks’ Equity Stakes and Lending: Evidence from a Tax Reform	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2870321	BAKIS, BISTA, MIMIK, USTAN
M-PRESS-CreditRisk: A holistic micro- and macro-prudential approach to capital requirements	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2993103	BAKIS, MIMIK
The Financial Market Effects of the ECB's Asset Purchase Programs	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3033718	BISTA
The payout behavior of German savings banks	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2866338	BISTA
Monetary policy and financial (in)stability: An integrated micro–macro approach	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=966252	BISTA, GUV, ZentK
Tax vs. Regulation Policy and the Location of Financial Sector FDI	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2669368	MIDI
Environmental Regulation and Foreign Direct Investment: The Role of the Mode of Entry	https://ideas.repec.org/a/ces/ifodic/v13y2016i04p41-47.html	MIDI
Tax Influence on Financial Structures of M&As	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3112108	MIDI
Corporation Taxes and the Debt Policy of Multinational Firms – Evidence from German Multinationals	https://www.researchgate.net/publication/271877664_Corporation_taxes_and_the_debt_policy_of_multinational_firms	MIDI
Tax Status and Tax Response Heterogeneity of Multinationals’ Dept Finance	https://ideas.repec.org/a/mhr/finarc/urnsici0015-2218(291106)672_103tsatrh_2.0.tx_2-8.html	MIDI
Bilateral Internal Debt Financing, Tax Planning, and the Effectiveness of Anti-Tax Avoidance Rules	https://www.researchgate.net/publication/228814423_Bilateral_Internal_Debt_Financing_Tax_Planning_and_the_Effectiveness_of_Anti-Avoidance_Rules	MIDI
Intercompany Loans and Profit Shifting – Evidence from Company-Level Data	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=981120	MIDI
Why is the Response of Multinationals’ Capital Structure Choice to Tax Incentives That Low? Some Possible Explanations	https://ideas.repec.org/a/mhr/finarc/urnsici0015-2218(291106)672_123witrom_2.0.tx_2-4.html	MIDI
The Taxation of Passive Foreign Investment: Lessons from German Experience	https://ideas.repec.org/p/ces/ceswps/_2624.html	MIDI
How Can Firms choose their Leverage? – Tax Planning for Implementing Tax Induced Debt Finance	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1290663	MIDI
Thin-capitalization rules and company responses: Experience from German legislation	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1299533	MIDI
Offshoring and the Onshore Composition of Occupations, Tasks and Skills	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1469870	MIDI
Taxes and the financial structure of German outbound FDI	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=875306	MIDI
Does co-financing by multilateral development banks increase "risky" direct investment in emerging markets'	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2785047	MIDI
The Effect of International Taxation on Organizational Form Choices: Evidence from Group Structures of Multinationals,International Taxation and the Role of Organizational Form,Choices for Group Structures of Multinationals	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2929347	MIDI
Investment Impact of Tax Loss Treatment - Empirical Insights from a Panel of Multinationals	https://ideas.repec.org/p/zbw/zewdip/10097.html	MIDI
Internal Debt and Multinational Profit Shifting: Empirical Evidence from Firm-Level Panel Data	https://ideas.repec.org/a/ntj/journl/v66y2013i1p63-95.html	MIDI
Bilateral Internal Debt Financing and Tax Planning of Muiltinational Firms	https://www.researchgate.net/publication/257657732_Bilateral_internal_debt_financing_and_tax_planning_of_multinational_firms	MIDI
The Impact of Thin-Capitalization Rules on the Capital Structure of Multinational Firms	https://econpapers.repec.org/article/eeepubeco/v_3a96_3ay_3a2012_3ai_3a11_3ap_3a930-938.htm	MIDI
Information Costs and Internationalization Performance	https://www.researchgate.net/publication/264256195_Information_Costs_and_Internationalization_Performance	MIDI
Tax Status and Tax Response Heterogeneity of Multinationals' Debt Finance	https://www.researchgate.net/publication/227458091_Tax_Status_and_Tax_Response_Heterogeneity_of_Multinationals'_Debt_Finance	MIDI
Corporation Taxes and the Debt Policy of Multinational Firms - Evidence for German Multinationals	http://www.wiwi.uni-frankfurt.de/publications/publication/530/Corporation+Taxes+and+the+Debt+Policy+of+Multinational+Firms+-+Evidence+for+German+Multinationals	MIDI
Corporate Tax Planning and Thin-Capitalization Rules: Evidence from a Quasi Experiment	https://www.tandfonline.com/doi/abs/10.1080/00036840701704477	MIDI
International Profit Shifting and Multinational Firms in Developing Economies	http://eureka.sbs.ox.ac.uk/4761/	MIDI
Corporate Tax Planning and Thin-Capitalzation Rules: Evidence from a Quasi-Experiment	https://www.tandfonline.com/doi/abs/10.1080/00036840701704477	MIDI
Holding als Mittel der Steuerplanung zur Implementierung von steuerlich motiviertem Fremdkapital	https://www.researchgate.net/publication/308001818_Holdings_als_Mittel_der_Steuerplanung_zur_Implementierung_von_steuerlich_motiviertem_Fremdkapital	MIDI
Openness and Growth: The Long Shadow of the Berlin Wall	https://www.econstor.eu/handle/10419/21869	MIDI
Taxation and Capital Structure Choice – Evidence from a Panel of German Multinationals	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=935219	MIDI
The Effects of Multinationals’ Profit Shifting Activities on Real Investments	https://ideas.repec.org/a/ntj/journl/v62y2009i1p5-23.html	MIDI
Environmental Regulation and Foreign Direct Investment: The Role of Mode of Entry	https://ideas.repec.org/a/ces/ifodic/v13y2016i04p41-47.html	MIDI
The Effect of Investing Abroad on Investment at Home: On the Role of Technology, Tax Savings, and Internal Capital Markets	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2977203	MIDI, USTAN
Combined Firm Data for Germany - Possibilities and Consequences of Merging Firm Data from Different Data Producers	https://ideas.repec.org/a/aeq/aeqsjb/v132_y2012_i3_q3_p361-377.html	MIDI, USTAN
An analysis of the consistency of banks’ internal ratings	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2905189	MIMIK
What happens if private accounting information becomes public? The case of access to bank debt	https://www.researchgate.net/publication/321234853_What_Happens_if_Private_Accounting_Information_Becomes_Public_The_Case_of_Access_to_Bank_Debt	MIMIK, USTAN
Love and money with inheritance: Marital sorting by labor income and inherited wealth in the modern partnership	https://ideas.repec.org/p/zbw/bubdps/232018.html	PHF
Zur Finanziellen Bildung der Privaten Haushalte in Deutschland: Ergebnisse der Studie “Private Haushalte und ihre Finanzen (PHF)“	https://ideas.repec.org/a/diw/diwvjh/86-4-4.html	PHF
You might not get what you need: The discrepancy between financial,advice and commissions in Germany,You might not get what you need: The discrepancy between financial advice and commissions in Germany	https://ideas.repec.org/a/eee/ecolet/v162y2018icp167-170.html	PHF
Is local bias a cross-border phenomenon? Evidence from individual investors' international asset allocation	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2796911	SHS-BASE
Ownership Disclosure and Ownership Structure: Investors' Response to Lower Reporting Thresholds	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3020023	SHS-BASE
You’re banned! The effect of sanctions on German cross-border financial flows	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2797085	SITS
Forecasting Credit Portfolio Risk	https://econpapers.repec.org/paper/zbwbubdp2/2227.htm	USTAN
