dataset_id,adrf_id,title
dataset-beb844dc80f7f9797fd2,,Florida WAGES
dataset-6d071ff8fee05d0a32f1,,Substance abuse testing data
dataset-88cd5edbdb69ba9e57e2,,Wisconsin TANF
dataset-3f80efa43245d6fe0ce5,,Los Angeles TANF data
dataset-b6b014971f6b230ad0e4,,OH TANF
dataset-127377560874d4ba76f7,,Investment Funds Statistics - Base
dataset-9803c10db9e8b4f9b84f,,Medicaid data
dataset-2f4aab9d4cbde75c9a2a,,Child Care subsidy administrative data from Washington State
dataset-646df14d8ad53b8f4bf4,,AZ TANF data
dataset-6f77ced7b0724cda4ffe,,Monthly balance sheet statistics
dataset-152423991fcc7ea2a253,,Statewide surveys of single-parent TANF recipients in Washington D.C. from 2002
dataset-538bc6a86fc8edda3058,,Child support
dataset-8c6d4b745399248b4d06,,Georgia Department of Family and Child Services
dataset-550aeaacf160b4a1cde2,,Devolution and Urban Change
dataset-1eac5c2c6a42839a74cf,,WI W-2 data
dataset-f1618c73faf7b15af01c,,Milwaukee TANF data
dataset-1afccf65c1594490d124,,Wisconsin W-2 data
dataset-b4c130f5a5fe4b8b8f93,,NDNH
dataset-7907fea5a0cbce7d9afa,,Child welfare data
dataset-2fd3a2bcb3bc7ac3e12e,,Iowa TANF
dataset-ec4f5846be69f4f2d99d,,MA TANF
dataset-62f6a2abb4975b883878,,Women's Employment Study
dataset-5d4b4c1514a0b48bf7b1,,Wisconsin State earnings
dataset-2cc2c2fc47368f68e328,,Wisconsin State administrative data
dataset-376d3407326d526f5be8,,UI data
dataset-e57260e630256ae6401b,,Michigan TANF
dataset-4df46ccdfbdf38237494,,MFIP
dataset-9ee63da354cfcbcb66a9,,Wisconsin state data
dataset-2c72fd9ace9a17ccf60b,,Florida WAGES data
dataset-c39150acd8ae79c11233,,Miami-Dade TANF data
dataset-16cbcc46c2fc9ac66ad9,,Virginia TANF
dataset-90c11b6f13adb5e287ce,,Washington TANF data
dataset-032afb9cfb6b6e0b659b,,OH TANF data
dataset-3db62109abadbb20e739,,Statewide surveys of single-parent TANF recipients in SC from 2002
dataset-c66ff7855c68a62785f5,,California County TANF
dataset-fdb07f03a0065fb43367,,Georgia TANF
dataset-b9fcacd2425ef2c948dd,,Michigan DHS
dataset-342e4c9c9a5199c1d606,,Family Program Development data
dataset-7bb569daa35440391698,,Program model information from New Jersey
dataset-d95af3e1487d85aa0cfd,,Work First program data
dataset-7336e39d209439a8178c,,Cuyahoga TANF data
dataset-36e1030d17758a724854,,UI
dataset-8058ff8d232ae1b719a3,,MA TANF data
dataset-657ca19a60a582cdebc9,,Administrative and evaluation data of Florida's Family Transition Program for welfare recipients
dataset-7616ded993653b112089,,CSDB
dataset-f69c3400ed27f059be66,,Self-Sufficiency Research Clearinghouse
dataset-828e491ddde2831b7a79,,Illinois TANF data
dataset-e17292aa9369499ffae0,,Florida State TANF data
dataset-72a4db56acd3f512aea5,,Oregon Medicaid
dataset-42370e0b53a4bdbccb6c,,CA TANF
dataset-d9fc08e6a8fa7fa2537c,,MD TANF data
dataset-e6426d601fbc9c0a48a7,,Philadelphia TANF
dataset-6b501f9bd764aaae3a29,,Statewide surveys of single-parent TANF recipients in Illinois from 2002
dataset-38acaa76bddecfc7b459,,New Jersey TANF data
dataset-7dc7015dd2a553e18650,,Cuyahoga County State of Ohio data TANF
dataset-47826db8d9c168d03d81,,Florida UI
dataset-6c07e27c89b0cbf0fed6,,Cleveland State of Ohio TANF data
dataset-59b8eed1be2c42c7e935,,TANF
dataset-4a579437b3bd3b2f963e,,NJ TANF
dataset-aacdc02fbaf4779a2c45,,CPS data
dataset-5299e0441fea55d632d3,,WES
dataset-fb99972f24e9680deac4,,Wisconsin State employment
dataset-c62deb95e2eb7da6632d,,Statewide surveys of single-parent TANF recipients in Colorado from 2002
dataset-ace48ba3e45359075a1c,,Exit survey information
dataset-7c8b195c7ceaf45243bd,,Child support data
dataset-39c604494fced1a680fa,,SC TANF
dataset-d286825233d8b74533c6,,KY TANF
dataset-a14d8b91e78708c7730a,,SSRC
dataset-3cf6888843087b45d4cf,,Statewide surveys of single-parent TANF recipients in CO from 2002
dataset-7896b984ec566be14868,,VZentK
dataset-2cd9a3d705e6ff353ef0,,Los Angeles TANF
dataset-6675463606e98311f796,,TARGET2
dataset-6129a403fcb4bc8a5ce9,,Ohio TANF data
dataset-5b18c87325159a311fa1,,Transitional Work Corporation
dataset-78669389f29b45750c72,,Georgia DFCS
