citation,pubTitle,author,pubDate,doi,pubId,pubType,journal,host,link,filename,filename_txt,dataName,datasetSysID
"Arnade, Carlos & Kuchler, Fred, 2015. ""Measuring the Impacts of Off-Season Berry Imports,"" Economic Research Report 229201, United States Department of Agriculture, Economic Research Service.",Measuring the Impacts of Off-Season Berry Imports,Arnade,2015-10-01,https://www.ers.usda.gov/publications/pub-details/?pubid=90354,https://www.ers.usda.gov/publications/pub-details/?pubid=45447,ERS,"United States Department of Agriculture, Economic Research Service",www.ers.usda.gov,https://www.ers.usda.gov/publications/pub-details/?pubid=45447,54290_err197.pdf,54290_err197.txt,IRI Infoscan data,10373
"Levin, David, Noriega, Danton, Dicken, Chris, Okrent, Abigail M., Harding, Matt, & Lovenheim, Michael. 2018. ""Examining Food Store Scanner Data: A Comparison of the IRI  InfoScan Data With Other Data Sets, 2008–2012,"" Technical Bulletin Number 1949, United States Department of Agriculture, Economic Research Service.","Examining Food Store Scanner Data: A Comparison of the IRI InfoSCan Data with Other Data Sets, 2008-2012",Levin,2018-10-01,https://www.ers.usda.gov/publications/pub-details/?pubid=90354,https://www.ers.usda.gov/publications/pub-details/?pubid=90354,ERS,"United States Department of Agriculture, Economic Research Service",www.ers.usda.gov,https://www.ers.usda.gov/publications/pub-details/?pubid=90354,tb-1949.pdf,54290_err197.txt,IRI Infoscan data,10373
,How Much Does It Matter How Sick You Get? Consumers' Responses to Foodborne Disease Outbreaks of Different Severities,Kuchler,2015-08-27,http://www.ers.usda.gov/publications/pub-details/?pubid=45421,http://www.ers.usda.gov/publications/pub-details/?pubid=45421,ERS,"United States Department of Agriculture, Economic Research Service",www.ers.usda.gov,http://www.ers.usda.gov/publications/pub-details/?pubid=45421,ers-45421.pdf,ers-45421.txt,IRI Infoscan data,10373
,The Cost of Satisfying Fruit and Vegetable Recommendations in the Dietary Guidelines,Stewart,2016-02-26,http://www.ers.usda.gov/publications/pub-details/?pubid=42904,http://www.ers.usda.gov/publications/pub-details/?pubid=42904,ERS,"United States Department of Agriculture, Economic Research Service",www.ers.usda.gov,http://www.ers.usda.gov/publications/pub-details/?pubid=42904,ers-42904.pdf,ers-42904.txt,IRI Infoscan data,10373
,Understanding IRI Household-Based and Store-Based Scanner Data,Sweitzer,2016-04-13,http://www.ers.usda.gov/publications/pub-details/?pubid=47636,http://www.ers.usda.gov/publications/pub-details/?pubid=47636,ERS,"United States Department of Agriculture, Economic Research Service",www.ers.usda.gov,http://www.ers.usda.gov/publications/pub-details/?pubid=47636,ers-47636.pdf,ers-47636.txt,IRI Consumer Network data,10420
,Understanding IRI Household-Based and Store-Based Scanner Data,Sweitzer,2016-04-13,http://www.ers.usda.gov/publications/pub-details/?pubid=47636,http://www.ers.usda.gov/publications/pub-details/?pubid=47636,ERS,"United States Department of Agriculture, Economic Research Service",www.ers.usda.gov,http://www.ers.usda.gov/publications/pub-details/?pubid=47636,ers-47636.pdf,ers-47636.txt,IRI Infoscan data,10373
,WIC Households' Food Purchases Using WIC Benefits and Paying Out of Pocket: A Case Study of Cold Cereal Purchases,Dong,2016-05-05,http://www.ers.usda.gov/publications/pub-details/?pubid=45536,http://www.ers.usda.gov/publications/pub-details/?pubid=45536,ERS,"United States Department of Agriculture, Economic Research Service",www.ers.usda.gov,http://www.ers.usda.gov/publications/pub-details/?pubid=45536,ers-45536.pdf,ers-45536.txt,IRI Infoscan data,10373
,Food-at-Home Expenditures: Comparing Commercial Household Scanner Data From IRI and Government Survey Data,Sweitzer,2017-09-28,https://www.ers.usda.gov/publications/pub-details/?pubid=85251,https://www.ers.usda.gov/publications/pub-details/?pubid=85251,ERS,"United States Department of Agriculture, Economic Research Service",www.ers.usda.gov,https://www.ers.usda.gov/publications/pub-details/?pubid=85251,ers-85251.pdf,ers-85251.txt,IRI Consumer Network data,10420
,Store Formats and Patterns in Household Grocery Purchases,Kuhns,2017-03-22,https://www.ers.usda.gov/publications/pub-details/?pubid=82928,https://www.ers.usda.gov/publications/pub-details/?pubid=82928,ERS,"United States Department of Agriculture, Economic Research Service",www.ers.usda.gov,https://www.ers.usda.gov/publications/pub-details/?pubid=82928,ers-82928.pdf,ers-82928.txt,IRI Consumer Network data,10420
,An Assessment of Product Turnover in the U.S. Food Industry and Effects on Nutrient Content,Martinez,2017-11-20,https://www.ers.usda.gov/publications/pub-details/?pubid=85760,https://www.ers.usda.gov/publications/pub-details/?pubid=85760,ERS,"United States Department of Agriculture, Economic Research Service",www.ers.usda.gov,https://www.ers.usda.gov/publications/pub-details/?pubid=85760,ers-85760.pdf,ers-85760.txt,IRI Infoscan data,10373
,Food Purchase Decisions of Millennial Households Compared to Other Generations,Kuhns,2017-12-29,https://www.ers.usda.gov/publications/pub-details/?pubid=86400,https://www.ers.usda.gov/publications/pub-details/?pubid=86400,ERS,"United States Department of Agriculture, Economic Research Service",www.ers.usda.gov,https://www.ers.usda.gov/publications/pub-details/?pubid=86400,ers-86400.pdf,ers-86400.txt,IRI Consumer Network data,10420
,America's Eating Habits: Food Away From Home,Saksena/Okrent/Anekwe/Cho/Elitzak/Guthrie/Hyman/Jo/Lin/Manio/McLaughlin/Rahkovsky/Ralston/Stewart/Todd,2018-09-27,https://www.ers.usda.gov/webdocs/publications/90228/eib-196.pdf,https://www.ers.usda.gov/webdocs/publications/90228/eib-196.pdf,ERS,"United States Department of Agriculture, Economic Research Service",www.ers.usda.gov,https://www.ers.usda.gov/webdocs/publications/90228/eib-196.pdf,eib-196.pdf,eib-196.txt,IRI data,10435
"Ilya Rahkovsky, Tobenna Anekwe, and Christian Gregory, 2018, Chronic Disease, Prescription Medications, and Food Purchases, American Journal Health Promotion (2018) vol. 32, no. 4: 916-924","Chronic Disease, Prescription Medications, and Food Purchases","Ilya Rahkovsky, Tobenna Anekwe, and Christian Gregory",1905-07-10,10.1177/0890117117740935,10.1177/0890117117740935,Journal,"American Journal Health Promotion (2018) vol. 32, no. 4: 916-924",journals.sagepub.com,http://journals.sagepub.com/doi/pdf/10.1177/0890117117740935,10.1177_0890117117740935.pdf,10.1177_0890117117740935.txt,IRI Infoscan data,10373
"Metin Cakir, Timothy K.M. Beatty, Macael A. Boland, E. Fred, Koller, Timothy A. Park, Samanatha Snyder, and Yanghao Wang, 2018, Spatial and Temporal Variation in the Value of the WIC Program's Fruit and Vegetable Voucher, American Journal of Agricultural Economics, vol. 100, no. 3: 691706",Spatial and Temporal Variation in the Value of the WIC Program's Fruit and Vegetable Voucher,"Metin Cakir, Timothy K.M. Beatty, Macael A. Boland, E. Fred, Koller, Timothy A. Park, Samanatha Snyder, and Yanghao Wang",2018-01-01,10.1093/ajae/aay002,10.1093/ajae/aay002,Journal,"American Journal of Agricultural Economics, vol. 100, no. 3: 691706",academic.oup.com,http://academic.oup.com/ajae/article-pdf/100/3/691/24637037/aay002.pdf,10.1093_ajae_aay002.pdf,10.1093_ajae_aay002.txt,IRI Infoscan data,10373
"Kristen Capogrossi Giombi, Mary K. Muth, and David Levin, 2018, A comparative analysis of hedonic models of nutrition information and health claims on food products: An application to soup products, Journal of Food Products Marketing (2018) vol 24, no. 7",A comparative analysis of hedonic models of nutrition information and health claims on food products: An application to soup products,"Kristen Capogrossi Giombi, Mary K. Muth, and David Levin",2018-01-01,10.1080/10454446.2018.1428259,10.1080/10454446.2018.1428259,Journal,"Journal of Food Products Marketing (2018) vol 24, no. 7",www.tandfonline.com,https://www.tandfonline.com/doi/pdf/10.1080/10454446.2018.1428259,10.1080_10454446.2018.1428259.pdf,10.1080_10454446.2018.1428259.txt,IRI Infoscan data,10373
"Michelle Saksena and Annemarie Kuhns, 2018, Millennials are Paving the Way for More Fruit and Vegetable Consumption, Produce Business (Book/Chapter)",Millennials are Paving the Way for More Fruit and Vegetable Consumption,Michelle Saksena and Annemarie Kuhns,2018-01-01,,,Journal,,,,,,IRI Infoscan data,10373
"Diansheng Dong, Hayden Stewart, and Patrick McLaughlin, 2018, A New Approach to Estimate Household Food Demand with Panel Data, Journal of Applied Economics (2018) vol. 21, no. 1: 122-136",A New Approach to Estimate Household Food Demand with Panel Data,"Diansheng Dong, Hayden Stewart, and Patrick McLaughlin",2018-01-01,10.1080/15140326.2018.1526869,10.1080/15140326.2018.1526869,Journal,"Journal of Applied Economics (2018) vol. 21, no. 1: 122-136",tandfonline.com,https://tandfonline.com/doi/pdf/10.1080/15140326.2018.1526869,10.1080_15140326.2018.1526869.pdf,10.1080_15140326.2018.1526869.txt,IRI Infoscan data,10373
"Fred Kuchler, Maria Bowman, M. Sweitzer, Catherine Greene, 2019, Evidence from Retail Food Markets That Consumers Are Confused by Natural and Organic Food Labels, Journal of Consumer Policy (2018)",Evidence from Retail Food Markets That Consumers Are Confused by Natural and Organic Food Labels,"Fred Kuchler, Maria Bowman, M. Sweitzer, Catherine Greene",2019-01-01,10.1007/s10603-018-9396-x,10.1007/s10603-018-9396-x,Journal,Journal of Consumer Policy (2018),link.springer.com,http://link.springer.com/content/pdf/10.1007/s10603-018-9396-x.pdf,10.1007_s10603-018-9396-x.pdf,10.1007_s10603-018-9396-x.txt,IRI Infoscan data,10373
"Davis, D., and E. Leibtag. Interstate Variation in WIC Food Package Costs: The Role of Food Prices, Caseload Composition, and Cost-Containment Practices, Food Assistance and Nutrition Research Report No. 41, USDA, ERS, January 2005.","Interstate Variation in WIC Food Package Costs: The Role of Food Prices, Caseload Composition, and Cost-Containment Practices",,,https://www.ers.usda.gov/publications/pub-details/?pubid=46844,https://www.ers.usda.gov/publications/pub-details/?pubid=46844,ERS,"United States Department of Agriculture, Economic Research Service",www.ers.usda.gov,https://www.ers.usda.gov/publications/pub-details/?pubid=46844,ers-46844.pdf,ers-46844.txt,IRI Infoscan data,10373
"Oliveira, V., M. Prell, D. Smallwood, and E. Frazao. Infant Formula Prices and Availability: Final Report to Congress, E-FAN-02-001, October 2001.",Infant Formula Prices and Availability: Final Report to Congress,,,https://www.ers.usda.gov/publications/pub-details/?pubid=43037,https://www.ers.usda.gov/publications/pub-details/?pubid=43037,ERS,"United States Department of Agriculture, Economic Research Service",www.ers.usda.gov,https://www.ers.usda.gov/publications/pub-details/?pubid=43037,ers-43037.pdf,ers-43037.txt,IRI Infoscan data,10373
"Oliveira, V., M. Prell, D. Smallwood, and E. Frazao. WIC and the Retail Price of Infant Formula, Food Assistance and Nutrition Research Report No. 39, USDA, ERS, June 2004.",WIC and the Retail Price of Infant Formula,,,https://www.ers.usda.gov/publications/pub-details/?pubid=46808,https://www.ers.usda.gov/publications/pub-details/?pubid=46808,ERS,"United States Department of Agriculture, Economic Research Service",www.ers.usda.gov,https://www.ers.usda.gov/publications/pub-details/?pubid=46808,ers-46808.pdf,ers-46808.txt,IRI Infoscan data,10373
"Oliveira, V., M. Prell, E. Frazao, and D. Smallwood. Infant Formula Prices and Availability: An Interim Report to Congress, E-FAN-01-006, USDA, ERS, April 2001.",Infant Formula Prices and Availability: An Interim Report to Congress,,,https://www.ers.usda.gov/publications/pub-details/?pubid=42970,https://www.ers.usda.gov/publications/pub-details/?pubid=42970,ERS,"United States Department of Agriculture, Economic Research Service",www.ers.usda.gov,https://www.ers.usda.gov/publications/pub-details/?pubid=42970,ers-42970.pdf,ers-42970.txt,IRI Infoscan data,10373
