api,doi,title,url,search_term,dataset_id,valid,pdf,notes
openaire,,"Farmer support and extension to land reform farms in the Central Karoo - part 1: a baseline survey of farm potential, farmer profiles and farm management knowledge and practices",http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0301-603X2011000100004&lng=en&tlng=en,Agricultural Resource Management Survey,dataset-870,0,http://www.scielo.org.za/pdf/sajae/v39n1/04.pdf,
dimensions,10.1017/s1742170518000182,Farmer use of intermediated market channels: a review,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Farmer%20use%20of%20intermediated%20market%20channels%3A%20a%20review,Agricultural Resource Management Survey,dataset-870,0,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/36D3DFAF1521DFA46F238DFE818759E5/S1742170518000182a.pdf/farmer_use_of_intermediated_market_channels_a_review.pdf,
dimensions,10.3390/admsci6040013,"Farmer-Entrepreneurs, Agricultural Innovation, and Explosive Research and Development Cycles",https://www.mdpi.com/2076-3387/6/4/13,Agricultural Resource Management Survey,dataset-596,1,https://pdfs.semanticscholar.org/d919/394c45ce06855f68aee9d692893fd4f60018.pdf?_ga=2.43956199.333436686.1583854786-1988941201.1583854786,not use in ARMS
pubmed,10.1007/s11356-019-04330-y,"Farmers' knowledge, attitudes, and perceptions of pesticide use in apple farms of northern Iran: impact on safety behavior.",https://www.ncbi.nlm.nih.gov/pubmed/30721432,Agricultural Resource Management Survey,dataset-870,0,https://link.springer.com/content/pdf/10.1007/s11356-019-04330-y.pdf,
dimensions,10.1017/s1068280500004949,Farmers’ Participation in Agritourism: Does It Affect the Bottom Line?,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Farmers%E2%80%99%20Participation%20in%20Agritourism%3A%20Does%20It%20Affect%20the%20Bottom%20Line%3F,Agricultural Resource Management Survey,dataset-870,1,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/1AD727A0B5A28AAE3CED6865A7845330/S1068280500004949a.pdf/farmers_participation_in_agritourism_does_it_affect_the_bottom_line.pdf,
openaire,10.26077/eqph-5w63,"Farmers’ Perceptions of the Impacts of Human–Wildlife Conflict on Their Livelihood and Natural Resource Management Efforts in Cheha Woreda of Guraghe Zone, Ethiopia",https://digitalcommons.usu.edu/hwi/vol8/iss1/7,Agricultural Resource Management Survey,dataset-870,0,,
dimensions,10.1111/j.1477-9552.2012.00358.x,Farmers’ Willingness to Participate in Payment‐for‐Environmental‐Services Programmes,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Farmers%E2%80%99%20Willingness%20to%20Participate%20in%20Payment%E2%80%90for%E2%80%90Environmental%E2%80%90Services%20Programmes,Agricultural Resource Management Survey,dataset-870,0,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1477-9552.2012.00358.x,
openaire,10.22004/ag.econ.97008,Farming and the Internet: Reasons for Non-Use,http://dx.doi.org/10.22004/ag.econ.97008,Agricultural Resource Management Survey,dataset-870,1,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/E3CCB0D7C7551F868371AA5B27531BA2/S1068280500007528a.pdf/farming_and_the_internet_reasons_for_nonuse.pdf,
pubmed,10.1016/j.ijheh.2019.03.003,Faster and safer: Research priorities in water and health.,https://www.ncbi.nlm.nih.gov/pubmed/30910612,Agricultural Resource Management Survey,dataset-870,0,https://reader.elsevier.com/reader/sd/pii/S1438463918307569?token=5DECBF6306BF88A099D281F72142CF6CF0A731DA05CE643C49DE90D779D5F6CC4D353F4323FD3F4C0FF181C2F1834A83,
pubmed,,Fifty years of population growth and absorption of labor in Brazil: from 1950 to 2000.,https://www.ncbi.nlm.nih.gov/pubmed/12321507,Agricultural Resource Management Survey,dataset-870,review,,no access for pdf
dimensions,10.1016/j.wre.2013.09.001,Financial comparison of seven nitrate reduction strategies for Midwestern agricultural drainage,https://www.sciencedirect.com/science/article/pii/S2212428413000194?via%3Dihub,Agricultural Resource Management Survey,dataset-870,0,https://reader.elsevier.com/reader/sd/pii/S2212428413000194?token=81AE830DA6FCD71E69D39DDEF3496B2C44EF6BD027C9531C568DE7673C596B48591115DA0FACF831D48B127FE9F874B3,
openaire,10.22004/ag.econ.48143,Financial Management and Portfolio Analysis for U.S. Farm and Nonfarm Households,http://dx.doi.org/10.22004/ag.econ.48143,Agricultural Resource Management Survey,"dataset-870, dataset-507",1,,no open source for pdf
dimensions,10.1108/caer-12-2014-0147,Financial performance of small farm business households: the role of internet,https://www.emerald.com/insight/content/doi/10.1108/CAER-12-2014-0147/full/html,Agricultural Resource Management Survey,dataset-870,1,https://www.emerald.com/insight/content/doi/10.1108/CAER-12-2014-0147/full/pdf?title=financial-performance-of-small-farm-business-households-the-role-of-internet,
dimensions,10.1108/00021461211250492,Financial ratio analysis using ARMS data,https://www.emerald.com/insight/content/doi/10.1108/00021461211250492/full/html,Agricultural Resource Management Survey,dataset-870,1,https://www.emerald.com/insight/content/doi/10.1108/00021461211250492/full/pdf?title=financial-ratio-analysis-using-arms-data,
dimensions,10.3390/su10082942,Financial Ratios as Indicators of Economic Sustainability: A Quantitative Analysis for Swiss Dairy Farms,https://www.mdpi.com/2071-1050/10/8/2942/htm,Agricultural Resource Management Survey,dataset-870,0,,
dimensions,10.1108/afr-05-2017-0030,Financial stress and farm bankruptcies in US agriculture,https://www.emerald.com/insight/content/doi/10.1108/AFR-05-2017-0030/full/html,Agricultural Resource Management Survey,"dataset-870, dataset-932, dataset-933, dataset-934, dataset-750, dataset-576",1,https://www.emerald.com/insight/content/doi/10.1108/AFR-05-2017-0030/full/pdf?title=financial-stress-and-farm-bankruptcies-in-us-agriculture,
