title,journal,doi,authors,search_term,dataset_id
Snowmelt timing impacts on growing season phenology in the northern range of Yellowstone National Park estimated from MODIS satellite data,Landscape Ecology,10.1007/s10980-019-00951-3,"Potter, Christopher",National Land Cover Database,dataset-624
Night-time lights are more strongly related to urban building volume than to urban area,Remote Sensing Letters,10.1080/2150704x.2019.1682709,"Shi, Lingfei, Foody, Giles M, Boyd, Doreen S, Girindran, Renoy, Wang, Lihui, Du, Yun, Ling, Feng",National Land Cover Database,dataset-624
Exposing the urban continuum: implications and cross-comparison from an interdisciplinary perspective,International Journal of Digital Earth,10.1080/17538947.2018.1550120,"Uhl, Johannes H., Zoraghein, Hamidreza, Leyk, Stefan, Balk, Deborah, Corbane, Christina, Syrris, Vasileios, Florczyk, Aneta J.",National Land Cover Database,dataset-624
Landscape-scale drivers of fish faunal homogenization and differentiation in the eastern United States,Hydrobiologia,10.1007/s10750-019-04162-4,"Peoples, Brandon K., Davis, Amy J. S., Midway, Stephen R., Olden, Julian D., Stoczynski, Lauren",National Land Cover Database,dataset-624
Estimating PM2.5 concentration of the conterminous United States via interpretable convolutional neural networks,Environmental Pollution,10.1016/j.envpol.2019.113395,"Park, Yongbee, Kwon, Byungjoon, Heo, Juyeon, Hu, Xuefei, Liu, Yang, Moon, Taesup",National Land Cover Database,dataset-624
"Global social and environmental change drives the management and delivery of ecosystem services from urban gardens: A case study from Central Coast, California",Global Environmental Change,10.1016/j.gloenvcha.2019.102006,"Lin, Brenda B., Egerer, Monika H.",National Land Cover Database,dataset-624
Low streamflow trends at human-impacted and reference basins in the United States,Journal of Hydrology,10.1016/j.jhydrol.2019.124254,"Dudley, R.W., Hirsch, R.M., Archfield, S.A., Blum, A.G., Renard, B.",National Land Cover Database,dataset-624
A Computationally Efficient and Physically Based Approach for Urban Flood Modeling Using a Flexible Spatiotemporal Structure,Water Resources Research,10.1029/2019wr025769,"Saksena, Siddharth, Dey, Sayan, Merwade, Venkatesh, Singhofen, Peter J.",National Land Cover Database,dataset-624
Landsat 8 TIRS-derived relative temperature and thermal heterogeneity predict winter bird species richness patterns across the conterminous United States,Remote Sensing of Environment,10.1016/j.rse.2019.111514,"Elsen, Paul R., Farwell, Laura S., Pidgeon, Anna M., Radeloff, Volker C.",National Land Cover Database,dataset-624
How community vulnerability factors jointly affect multiple health outcomes after catastrophic storms,Environment International,10.1016/j.envint.2019.105285,"Zhang, Wangjian, Kinney, Patrick L., Rich, David Q., Sheridan, Scott C., Romeiko, Xiaobo Xue, Dong, Guanghui, Stern, Eric K., Du, Zhicheng, Xiao, Jianpeng, Lawrence, Wayne R., Lin, Ziqiang, Hao, Yuantao, Lin, Shao",National Land Cover Database,dataset-624
Storm Tide Amplification and Habitat Changes due to Urbanization of a Lagoonal Estuary,Natural Hazards and Earth System Science,10.5194/nhess-2019-343,"Orton, Philip M., Sanderson, Eric W., Talke, Stefan A., Giampieri, Mario, MacManus, Kytt",National Land Cover Database,dataset-624
Hunting Activity Effects on Roost Selection by Male Wild Turkeys,Journal of Wildlife Management,10.1002/jwmg.21812,"Wakefield, Calvin T., Martin, James A., Wightman, Patrick H., Bond, Bobby T., Lowrey, D. Kevin, Cohen, Bradley S., Collier, Bret A., Chamberlain, Michael J.",National Land Cover Database,dataset-624
A local thresholding approach to flood water delineation using Sentinel-1 SAR imagery,ISPRS Journal of Photogrammetry and Remote Sensing,10.1016/j.isprsjprs.2019.10.017,"Liang, Jiayong, Liu, Desheng",National Land Cover Database,dataset-624
Simulating hydraulic interdependence between bridges along a river corridor under transient flood conditions,The Science of The Total Environment,10.1016/j.scitotenv.2019.134046,"Trueheart, Matthew E., Dewoolkar, Mandar M., Rizzo, Donna M., Huston, Dryver, Bomblies, Arne",National Land Cover Database,dataset-624
Identification of factors influencing hydrologic model performance using a top‐down approach in a large number of U.S. catchments,Hydrological Processes,10.1002/hyp.13566,"Massmann, Carolina",National Land Cover Database,dataset-624
Analysis of correlations between neighborhood-level vulnerability to climate change and protective green building design strategies: a spatial and ecological analysis,Building and Environment,10.1016/j.buildenv.2019.106523,"Houghton, Adele, Castillo-Salgado, Carlos",National Land Cover Database,dataset-624
Land use and cover effects on an ecosystem engineer,Forest Ecology and Management,10.1016/j.foreco.2019.117642,"Duncan, Sarah I., Pynne, J.T., Parsons, Elizabeth I., Fletcher, Robert J., Austin, James D., Castleberry, Steven B., Conner, L. Mike, Gitzen, Robert A., Barbour, Michael, McCleery, Robert A.",National Land Cover Database,dataset-624
Historical changes in fish communities in urban streams of the south‐eastern United States and the relative importance of water‐quality stressors,Ecology Of Freshwater Fish,10.1111/eff.12503,"Meador, Michael R.",National Land Cover Database,dataset-624
Significant effects of ecological context on urban trees’ cooling efficiency,ISPRS Journal of Photogrammetry and Remote Sensing,10.1016/j.isprsjprs.2019.11.001,"Wang, Jia, Zhou, Weiwi, Jiao, Min, Zheng, Zhong, Ren, Tian, Zhang, Qiming",National Land Cover Database,dataset-624
An Integrated Scenario Ensemble‐Based Framework for Hurricane Evacuation Modeling: Part 2—Hazard Modeling,Risk Analysis,10.1111/risa.13004,"Blanton, Brian, Dresback, Kendra, Colle, Brian, Kolar, Randy, Vergara, Humberto, Hong, Yang, Leonardo, Nicholas, Davidson, Rachel, Nozick, Linda, Wachtendorf, Tricia",National Land Cover Database,dataset-624
"Determining the impact of a severe dry to wet transition on watershed hydrodynamics in California, USA with an integratedhydrologic model",Journal of Hydrology,10.1016/j.jhydrol.2019.124358,"Maina, Fadji Z., Siirila-Woodburn, Erica R., Newcomer, Michelle, Xu, Zexuan, Steefel, Carl",National Land Cover Database,dataset-624
Coupled modelling and sampling approaches to assess the impacts of human water management on land-sea carbon transfer,The Science of The Total Environment,10.1016/j.scitotenv.2019.134735,"Ni, Shaoqiang, Huang, Xiao, Gan, Weixiu, Zorn, Conrad, Xiao, Yuchen, Huang, Guorui, Yu, Chaoqing, Cao, Jifu, Zhang, Jie, Feng, Zhao, Yu, Le, Lin, Guanghui, Silvennoinen, Hanna",National Land Cover Database,dataset-624
Did water diversion projects lead to sustainable ecological restoration in arid endorheic basins? Lessons from long-term changes of multiple ecosystem indicators in the lower Heihe River Basin,The Science of The Total Environment,10.1016/j.scitotenv.2019.134785,"Shen, Qin, Ma, Ying",National Land Cover Database,dataset-624
Investigation of wildfire impacts on land surface phenology from MODIS time series in the western US forests,ISPRS Journal of Photogrammetry and Remote Sensing,10.1016/j.isprsjprs.2019.11.027,"Wang, Jianmin, Zhang, Xiaoyang",National Land Cover Database,dataset-624
Detailed land use transition quantification matters for smart land management in drylands: An in-depth analysis in Northwest China,Land Use Policy,10.1016/j.landusepol.2019.104356,"Lü, Da, Gao, Guangyao, Lü, Yihe, Xiao, Feiyan, Fu, Bojie",National Land Cover Database,dataset-624
Increased water yield and altered water partitioning follow wildfire in a forested catchment in the western United States,Ecohydrology,10.1002/eco.2170,"Blount, Kyle, Ruybal, Christopher J., Franz, Kristie J., Hogue, Terri S.",National Land Cover Database,dataset-624
Watersheds dynamics following wildfires: Nonlinear feedbacks and implications on hydrologic responses,Hydrological Processes,10.1002/hyp.13568,"Maina, Fadji Zaouna, Siirila‐Woodburn, Erica R.",National Land Cover Database,dataset-624
Identification of environmental drivers in urban greenway communities,Urban Forestry & Urban Greening,10.1016/j.ufug.2019.126549,"Chin, Erika Y., Kupfer, John A.",National Land Cover Database,dataset-624
Annual maps of global artificial impervious area (GAIA) between 1985 and 2018,Remote Sensing of Environment,10.1016/j.rse.2019.111510,"Gong, Peng, Li, Xuecao, Wang, Jie, Bai, Yuqi, Chen, Bin, Hu, Tengyun, Liu, Xiaoping, Xu, Bing, Yang, Jun, Zhang, Wei, Zhou, Yuyu",National Land Cover Database,dataset-624
Predicting functional responses in agro‐ecosystems from animal movement data to improve management of invasive pests,Ecological Applications,10.1002/eap.2015,"Wilber, Mark Q., Chinn, Sarah M., Beasley, James C., Boughton, Raoul K., Brook, Ryan K., Ditchkoff, Stephen S., Fischer, Justin W., Hartley, Steve B., Holmstrom, Lindsey K., Kilgo, John C., Lewis, Jesse S., Miller, Ryan S., Snow, Nathan P., VerCauteren, Kurt C., Wisely, Samantha M., Webb, Colleen T., Pepin, Kim M.",National Land Cover Database,dataset-624
Predictive assessment on landscape and coastal erosion of Bangladesh using geospatial techniques,Remote Sensing Applications Society and Environment,10.1016/j.rsase.2019.100277,"Islam, Mozahidul, Rahman, Saifur, Kabir, Alamgir, Islam, Nazrul, Chowdhury, Ruhul Mohaiman",National Land Cover Database,dataset-624
Automated Continuous Fields Prediction From Landsat Time Series: Application to Fractional Impervious Cover,IEEE Geoscience and Remote Sensing Letters,10.1109/lgrs.2019.2915320,"Hakkenberg, Christopher R., Dannenberg, Matthew P., Song, Conghe, Vinci, Giuseppe",National Land Cover Database,dataset-624
The Fate of Taita Hills Forest Fragments: Evaluation of Forest Cover Change between 1973 and 2016 Using Landsat Imagery,Open Journal of Forestry,10.4236/ojf.2020.101003,"Wekesa, Chemuku, Kirui, Bernard Kibet, Maranga, Elias Kingoina, Muturi, Gabriel Mukuria",National Land Cover Database,dataset-624
Applying circuit theory and landscape linkage maps to reintroduction planning for California Condors,PLoS ONE,10.1371/journal.pone.0226491,"D’Elia, Jesse, Brandt, Joseph, Burnett, L. Joseph, Haig, Susan M., Hollenbeck, Jeff, Kirkland, Steve, Marcot, Bruce G., Punzalan, Arianna, West, Christopher J., Williams-Claussen, Tiana, Wolstenholme, Rachel, Young, Rich",National Land Cover Database,dataset-624
Landscape‐level environmental stressors contributing to the decline of Poweshiek skipperling (Oarisma poweshiek),Insect Conservation and Diversity,10.1111/icad.12399,"Belitz, Michael W., Monfils, Michael J., Cuthrell, David L., Monfils, Anna K.",National Land Cover Database,dataset-624
"An Integrated Agriculture, Atmosphere, and Hydrology Modeling System for Ecosystem Assessments",Journal of Advances in Modeling Earth Systems,10.1029/2019ms001708,"Ran, L., Yuan, Y., Cooter, E., Benson, V., Yang, D., Pleim, J., Wang, R., Williams, J.",National Land Cover Database,dataset-624
Spatial and temporal variations in the groundwater contributing areas of inland wetlands,Hydrological Processes,10.1002/hyp.13652,"Park, Junehyeong, Wang, Dongdong, Kumar, Mukesh",National Land Cover Database,dataset-624
"Adult Blow Fly (Diptera: Calliphoridae) Community Structure Across Urban–Rural Landscapes in Michigan, United States",Journal of Medical Entomology,10.1093/jme/tjz246,"Babcock, Nicholas J, Pechal, Jennifer L, Benbow, M Eric",National Land Cover Database,dataset-624
Accounting for adaptive water supply management when quantifying climate and landcover change vulnerability,Water Resources Research,10.1029/2019wr025614,"Gorelick, D.E., Lin, L., Zeff, H.B., Kim, Y., Vose, J.M., Coulston, J.W., Wear, D.N., Band, L.E., Reed, P.M., Characklis, G.W.",National Land Cover Database,dataset-624
"The effects of climate, habitat, and trophic position on methylmercury bioavailability for breeding New York songbirds",Ecotoxicology,10.1007/s10646-019-02151-w,"Adams, Evan M., Sauer, Amy K., Lane, Oksana, Regan, Kevin, Evers, David C.",National Land Cover Database,dataset-624
"Future losses of playa wetlands decrease network structure and connectivity of the Rainwater Basin, Nebraska",Landscape Ecology,10.1007/s10980-019-00958-w,"Verheijen, Bram H. F., Varner, Dana M., Haukos, David A.",National Land Cover Database,dataset-624
Landscape-scale cropping changes in the High Plains: economic and environmental implications,Environmental Research Letters,10.1088/1748-9326/ab5e8b,"Rosenzweig, Steven T, Schipanski, Meagan E",National Land Cover Database,dataset-624
Quantifying Dissolved Organic Carbon Dynamics Using a Three‐Dimensional Terrestrial Ecosystem Model at High Spatial‐Temporal Resolutions,Journal of Advances in Modeling Earth Systems,10.1029/2019ms001792,"Liao, Chang, Zhuang, Qianlai, Leung, L. Ruby, Guo, Laodong",National Land Cover Database,dataset-624
Ensemble Streamflow Forecasting Using an Energy Balance Snowmelt Model Coupled to a Distributed Hydrologic Model with Assimilation of Snow and Streamflow Observations,Water Resources Research,10.1029/2019wr025472,"Gichamo, Tseganeh Z., Tarboton, David G.",National Land Cover Database,dataset-624
Performance of the National Water Model in Iowa Using Independent Observations,JAWRA Journal of the American Water Resources Association,10.1111/1752-1688.12820,"Rojas, Marcela, Quintero, Felipe, Krajewski, Witold F.",National Land Cover Database,dataset-624
Coastal Inundation Mapping From Bitemporal and Dual‐Polarization SAR Imagery Based on Deep Convolutional Neural Networks,Journal of Geophysical Research Oceans,10.1029/2019jc015577,"Liu, Bin, Li, Xiaofeng, Zheng, Gang",National Land Cover Database,dataset-624
Landowner functional types to characterize response to invasive forest insects,People and Nature,10.1002/pan3.10065,"Holt, Jonathan R., Borsuk, Mark E., Butler, Brett J., Kittredge, David B., Laflower, Danelle, MacLean, Meghan G., Markowski‐Lindsay, Marla, Orwig, David, Thompson, Jonathan R.",National Land Cover Database,dataset-624
Approximation of Metro Water District Basin Using Parallel Computing of Emulator Based Spatial Optimization (PCESO),Water Resources Management,10.1007/s11269-019-02424-3,"Budamala, Venkatesh, Mahindrakar, Amit Baburao",National Land Cover Database,dataset-624
Growing Season Synoptic and Phenological Controls on Heat Fluxes over Forest and Cropland Sites in the Midwest U.S. Corn Belt Growing Season Synoptic and Phenological Controls on Heat Fluxes over Forest and Cropland Sites in the Midwest U.S. Corn Belt,Journal of Applied Meteorology and Climatology,10.1175/jamc-d-19-0019.1,"Hiestand, Mikael P., Carleton, Andrew M.",National Land Cover Database,dataset-624
Species traits predict stream‐fish invaders in an Appalachian (U.S.A.) river basin,Freshwater Biology,10.1111/fwb.13453,"Buckwalter, Joseph D., Frimpong, Emmanuel A., Angermeier, Paul L., Barney, Jacob N.",National Land Cover Database,dataset-624
Quantifying climate and catchment control on hydrological drought in continental United States,Water Resources Research,10.1029/2018wr024620,"Konapala, Goutam, Mishra, Ashok",National Land Cover Database,dataset-624
Overall Methodology Design for the United States National Land Cover Database 2016 Products,Remote Sensing,10.3390/rs11242971,"Jin, Suming, Homer, Collin, Yang, Limin, Danielson, Patrick, Dewitz, Jon, Li, Congcong, Zhu, Zhe, Xian, George, Howard, Danny",National Land Cover Database,dataset-624
Summer Habitat Use of Female Mule Deer in Oregon,Journal of Wildlife Management,10.1002/jwmg.21806,"Eckrich, Carolyn A., Coe, Priscilla K., Clark, Darren A., Nielson, Ryan M., Lombardi, John, Gregory, Sara C., Hedrick, Mary JO, Johnson, Bruce K., Jackson, DeWaine H.",National Land Cover Database,dataset-624
Using Mountain Lion Habitat Selection in Management,Journal of Wildlife Management,10.1002/jwmg.21798,"Dellinger, Justin A., Cristescu, Bogdan, Ewanyk, Jonathan, Gammons, Daniel J., Garcelon, David, Johnston, Phillip, Martins, Quinton, Thompson, Craig, Vickers, T. Winston, Wilmers, Christopher C., Wittmer, Heiko U., Torres, Steven G.",National Land Cover Database,dataset-624
Genetic diversity and relatedness of a recently established population of eastern coyotes (Canis latrans) in New York City,Urban Ecosystems,10.1007/s11252-019-00918-x,"Henger, Carol S., Herrera, Giselle A., Nagy, Christopher M., Weckel, Mark E., Gormezano, Linda J., Wultsch, Claudia, Munshi-South, Jason",National Land Cover Database,dataset-624
Complementary strengths of spatially‐explicit and multi‐species distribution models,Ecography,10.1111/ecog.04728,"Lany, Nina K., Zarnetske, Phoebe L., Finley, Andrew O., McCullough, Deborah G.",National Land Cover Database,dataset-624
A benefit–cost analysis of floodplain land acquisition for US flood damage reduction,Nature Sustainability,10.1038/s41893-019-0437-5,"Johnson, Kris A., Wing, Oliver E. J., Bates, Paul D., Fargione, Joseph, Kroeger, Timm, Larson, William D., Sampson, Christopher C., Smith, Andrew M.",National Land Cover Database,dataset-624
Coupling Concentration‐ and Process‐Discharge Relationships Integrates Water Chemistry and Metabolism in Streams,Water Resources Research,10.1029/2019wr025025,"O'Donnell, B., Hotchkiss, E. R.",National Land Cover Database,dataset-624
"Hydrogeology of desert springs in the Panamint Range, California, USA: Identifying the sources and amount of recharge that support spring flow",Hydrological Processes,10.1002/hyp.13621,"Gleason, Carolyn L., Frisbee, Marty D., Rademacher, Laura K., Sada, Donald W., Meyers, Zachary P.",National Land Cover Database,dataset-624
Highly diversified crop–livestock farming systems reshape wild bird communities,Ecological Applications,10.1002/eap.2031,"Smith, Olivia M., Kennedy, Christina M., Owen, Jeb P., Northfield, Tobin D., Latimer, Christopher E., Snyder, William E.",National Land Cover Database,dataset-624
Spatial scaling of multiple landscape features in the conterminous United States,Landscape Ecology,10.1007/s10980-019-00937-1,"Xu, Chunxue, Zhao, Shuqing, Liu, Shuguang",National Land Cover Database,dataset-624
Watershed integrity and associations with gastrointestinal illness in the United States,Journal of Water and Health,10.2166/wh.2019.060,"Jagai, Jyotsna S., Krajewski, Alison K., Jimenez, Monica P., Murphy, Mark S., Lebowitz, Scott G., Lobdell, Danelle T.",National Land Cover Database,dataset-624
Lichen species as element bioindicators for air pollution in the eastern United States of America,Plant and Fungal Systematics,10.2478/pfs-2019-0015,"Will-Wolf, Susan, Jovan, Sarah",National Land Cover Database,dataset-624
Characterizing the role of socioeconomic pathways in shaping future urban heat-related challenges,The Science of The Total Environment,10.1016/j.scitotenv.2019.133941,"Rohat, Guillaume, Wilhelmi, Olga, Flacke, Johannes, Monaghan, Andrew, Gao, Jing, Dao, Hy, van Maarseveen, Martin",National Land Cover Database,dataset-624
Movement dynamics of smallmouth bass (Micropterus dolomieu) in a large river‐tributary system,Fisheries Management and Ecology,10.1111/fme.12369,"Schall, Megan K., Wertz, Timothy, Smith, Geoffrey D., Blazer, Vicki S., Wagner, Tyler",National Land Cover Database,dataset-624
