title,journal,doi,authors,search_term,dataset_id
Ocean FAIR Data Services,Frontiers in Marine Science,10.3389/fmars.2019.00440,"Tanhua, Toste, Pouliquen, Sylvie, Hausman, Jessica, O’Brien, Kevin, Bricher, Pip, de Bruin, Taco, Buck, Justin J. H., Burger, Eugene F., Carval, Thierry, Casey, Kenneth S., Diggs, Steve, Giorgetti, Alessandra, Glaves, Helen, Harscoat, Valerie, Kinkade, Danie, Muelbert, Jose H., Novellino, Antonio, Pfeil, Benjamin, Pulsifer, Peter L., Van de Putte, Anton, Robinson, Erin, Schaap, Dick, Smirnov, Alexander, Smith, Neville, Snowden, Derrick, Spears, Tobias, Stall, Shelley, Tacoma, Marten, Thijsse, Peter, Tronstad, Stein, Vandenberghe, Thomas, Wengren, Micah, Wyborn, Lesley, Zhao, Zhiming",Next Generation Weather Radar,dataset-612
2018 Kīlauea eruption,Weather,10.1002/wea.3589,"Mila, Zinkova",Next Generation Weather Radar,dataset-612
Relevance of wind stress and wave-dependent ocean surface roughness on the generation of winter meteotsunamis in the Northern Gulf of Mexico,Ocean Modelling,10.1016/j.ocemod.2019.101408,"Shi, Luming, Olabarrieta, Maitane, Valle-Levinson, Arnoldo, Warner, John C.",Next Generation Weather Radar,dataset-612
"Estimating Rain Attenuation at 72 and 84 GHz From Raindrop Size Distribution Measurements in Albuquerque, NM, USA",IEEE Geoscience and Remote Sensing Letters,10.1109/lgrs.2019.2893906,"Hong, Eugene S., Lane, Steven, Murrell, David, Tarasenko, Nicholas, Christodoulou, Christos, Keeley, Jordan",Next Generation Weather Radar,dataset-612
Lessons Learned From Modeling Irrigation From Field to Regional Scales,Journal of Advances in Modeling Earth Systems,10.1029/2018ms001595,"Xu, Xiaoyu, Chen, Fei, Barlage, Michael, Gochis, David, Miao, Shiguang, Shen, Shuanghe",Next Generation Weather Radar,dataset-612
Simulating precipitation radar observations from a geostationary satellite,Atmospheric Measurement Techniques Discussions,10.5194/amt-12-3985-2019,"Okazaki, Atsushi, Honda, Takumi, Kotsuki, Shunji, Yamaji, Moeka, Kubota, Takuji, Oki, Riko, Iguchi, Toshio, Miyoshi, Takemasa",Next Generation Weather Radar,dataset-612
Estimating the daily pollen concentration in the atmosphere using machine learning and NEXRAD weather radar data,Environmental Monitoring and Assessment,10.1007/s10661-019-7542-9,"Zewdie, Gebreab K., Lary, David J., Liu, Xun, Wu, Daji, Levetin, Estelle",Next Generation Weather Radar,dataset-612
Coverage of China New Generation Weather Radar Network,Advances in Meteorology,10.1155/2019/5789358,"Min, Chao, Chen, Sheng, Gourley, Jonathan J., Chen, Haonan, Zhang, Asi, Huang, Yong, Huang, Chaoying",Next Generation Weather Radar,dataset-612
Evaluation of IMERG and MRMS remotely sensed snowfall products,International Journal of Remote Sensing,10.1080/01431161.2018.1562259,"Sadeghi, Leili, Saghafian, Bahram, Moazami, Saber",Next Generation Weather Radar,dataset-612
A multi-objective approach to weather radar network architecture,Soft Computing,10.1007/s00500-018-3072-6,"Boudjemaa, Redouane, Oliva, Diego",Next Generation Weather Radar,dataset-612
A New Radar Scan Mode to Increase Clear-air Velocity Data Coverage and Usability for Wind Analysis A New Radar Scan Mode to Increase Clear-air Velocity Data Coverage and Usability for Wind Analysis,Journal of Atmospheric and Oceanic Technology,10.1175/jtech-d-18-0207.1,"Xu, Qin, Nai, Kang, Melnikov, Valery",Next Generation Weather Radar,dataset-612
The importance of the ice-phase microphysics parameterization for simulating the effects of changes to CCN concentrations in deep convection The importance of the ice-phase microphysics parameterization for simulating the effects of changes to CCN concentrations in deep convection,Journal of the Atmospheric Sciences,10.1175/jas-d-18-0168.1,"Jouan, Caroline, Milbrandt, Jason A.",Next Generation Weather Radar,dataset-612
Exploiting Tropospheric Measurements From Sun-Tracking Radiometer for Radiopropagation Models at Centimeter and Millimeter Wave,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,10.1109/jstars.2019.2916372,"Biscarini, Marianna, Milani, Luca, Montopoli, Mario, De Sanctis, Klaide, Di Fabio, Saverio, Magde, Kevin M., Brost, George A., Marzano, Frank S.",Next Generation Weather Radar,dataset-612
"From the Oceans to the Cloud: Opportunities and Challenges for Data, Models, Computation and Workflows",Frontiers in Marine Science,10.3389/fmars.2019.00211,"Vance, Tiffany C., Wengren, Micah, Burger, Eugene, Hernandez, Debra, Kearns, Timothy, Medina-Lopez, Encarni, Merati, Nazila, O’Brien, Kevin, O’Neil, Jon, Potemra, James T., Signell, Richard P., Wilcox, Kyle",Next Generation Weather Radar,dataset-612
bioRad: biological analysis and visualization of weather radar data,Ecography,10.1111/ecog.04028,"Dokter, Adriaan M., Desmet, Peter, Spaaks, Jurriaan H., van Hoey, Stijn, Veen, Lourens, Verlinden, Liesbeth, Nilsson, Cecilia, Haase, Günther, Leijnse, Hidde, Farnsworth, Andrew, Bouten, Willem, Shamoun‐Baranes, Judy",Next Generation Weather Radar,dataset-612
Severe Hail Fall and Hail Storm Detection using Remote Sensing Observations Severe Hail Fall and Hail Storm Detection using Remote Sensing Observations,Journal of Applied Meteorology and Climatology,10.1175/jamc-d-18-0247.1,"Murillo, Elisa M., Homeyer, Cameron R.",Next Generation Weather Radar,dataset-612
Development of a Single-Moment Cloud Microphysics Scheme with Prognostic Hail for the Weather Research and Forecasting (WRF) Model,Asia-Pacific Journal of Atmospheric Sciences,10.1007/s13143-018-0066-3,"Bae, Soo Ya, Hong, Song-You, Tao, Wei-Kuo",Next Generation Weather Radar,dataset-612
"Fast Bayesian Regression Kriging Method for Real‐Time Merging of Radar, Rain Gauge, and Crowdsourced Rainfall Data",Water Resources Research,10.1029/2018wr023857,"Yang, Pan, Ng, Tze Ling",Next Generation Weather Radar,dataset-612
Tradeoffs for Routing Flights in View of Multiple Weather Hazards,Journal of Air Transportation,10.2514/1.d0124,"Sauer, Manuela, Steiner, Matthias, Sharman, Robert D., Pinto, James O., Deierling, Wiebke K.",Next Generation Weather Radar,dataset-612
A novel approach for characterizing the variability in mass–dimension relationships: results from MC3E,Atmospheric Chemistry and Physics,10.5194/acp-19-3621-2019,"Finlon, Joseph A., McFarquhar, Greg M., Nesbitt, Stephen W., Rauber, Robert M., Morrison, Hugh, Wu, Wei, Zhang, Pengfei",Next Generation Weather Radar,dataset-612
"Characterizing urbanization impacts on floodplain through integrated land use, hydrologic, and hydraulic modeling",Journal of Hydrology,10.1016/j.jhydrol.2018.10.053,"Gori, Avantika, Blessing, Russell, Juan, Andrew, Brody, Samuel, Bedient, Philip",Next Generation Weather Radar,dataset-612
A Retrieval Method of Vertical Profiles of Reflectivity for Migratory Animals Using Weather Radar,IEEE Transactions on Geoscience and Remote Sensing,10.1109/tgrs.2019.2942993,"Hu, Cheng, Cui, Kai, Wang, Rui, Long, Teng, Ma, Shuqing, Wu, Kongming",Next Generation Weather Radar,dataset-612
Predicting Microbursts in the Northeastern U.S. Using Lightning Flash Rates and Simple Radar Parameters,Advances in Meteorology,10.1155/2018/3639215,"Jessup, Stephen M., Burke, Amanda L.",Next Generation Weather Radar,dataset-612
Latent Heat Nudging in the Canadian Regional Deterministic Prediction System Latent Heat Nudging in the Canadian Regional Deterministic Prediction System,Monthly Weather Review,10.1175/mwr-d-18-0118.1,"Jacques, Dominik, Michelson, Daniel, Caron, Jean-François, Fillion, Luc",Next Generation Weather Radar,dataset-612
Simulating precipitation radar observations from a geostationary satellite,Atmospheric Measurement Techniques Discussions,10.5194/amt-2018-278,"Okazaki, Atsushi, Honda, Takumi, Kotsuki, Shunji, Yamaji, Moeka, Kubota, Takuji, Oki, Riko, Iguchi, Toshio, Miyoshi, Takemasa",Next Generation Weather Radar,dataset-612
Modeling Urban Hydrology and Green Infrastructure Using the AGWA Urban Tool and the KINEROS2 Model,Frontiers in Built Environment,10.3389/fbuil.2018.00058,"Korgaonkar, Yoganand, Guertin, D. Phillip, Goodrich, David C., Unkrich, Carl, Kepner, William G., Burns, I. Shea",Next Generation Weather Radar,dataset-612
Exploring Deep Neural Networks to Retrieve Rain and Snow in High Latitudes Using Multisensor and Reanalysis Data,Water Resources Research,10.1029/2018wr023830,"Tang, Guoqiang, Long, Di, Behrangi, Ali, Wang, Cunguang, Hong, Yang",Next Generation Weather Radar,dataset-612
Radar-Observed Bulk Microphysics of Midlatitude Leading-Line Trailing-Stratiform Mesoscale Convective Systems Radar-Observed Bulk Microphysics of Midlatitude Leading-Line Trailing-Stratiform Mesoscale Convective Systems,Journal of Applied Meteorology and Climatology,10.1175/jamc-d-18-0030.1,"Handler, Shawn L., Homeyer, Cameron R.",Next Generation Weather Radar,dataset-612
The Above-Anvil Cirrus Plume: An Important Severe Weather Indicator in Visible and Infrared Satellite Imagery The Above-Anvil Cirrus Plume: An Important Severe Weather Indicator in Visible and Infrared Satellite Imagery,Weather and Forecasting,10.1175/waf-d-18-0040.1,"Bedka, Kristopher, Murillo, Elisa M., Homeyer, Cameron R., Scarino, Benjamin, Mersiovsky, Haiden",Next Generation Weather Radar,dataset-612
Seasonal abundance and survival of North America’s migratory avifauna determined by weather radar,Nature Ecology & Evolution,10.1038/s41559-018-0666-4,"Dokter, Adriaan M., Farnsworth, Andrew, Fink, Daniel, Ruiz-Gutierrez, Viviana, Hochachka, Wesley M., La Sorte, Frank A., Robinson, Orin J., Rosenberg, Kenneth V., Kelling, Steve",Next Generation Weather Radar,dataset-612
Functioning of Coastal River-Dominated Ecosystems and Implications for Oil Spill Response: From Observations to Mechanisms and Models,Oceanography,10.5670/oceanog.2018.302,"Mississippi, University of Southern, Greer, Adam, Shiller, Alan, Hofmann, Eileen, Wiggert, Jerry, Warner, Sally, Parra, Sabrina, Pan, Chudong, Book, Jeffrey, Joung, DongJoo, Dykstra, Steven, Krause, Jeffrey, Dzwonkowski, Brian, Soto, Inia, Cambazoglu, Kemal, Deary, Alison, Briseño-Avena, Christian, Boyette, Adam, Kastler, Jessica, Sanial, Virginie, Hode, Laura, Nwankwo, Uchenna, Chiaverano, Luciano, O'Brien, Stephen, Fitzpatrick, Patrick, Lau, Yee, Dinniman, Michael, Martin, Kevin, Ho, Peng, Mojzis, Allison, Howden, Stephen, Hernandez, Frank, Church, Ian, Miles, Travis, Sponaugle, Su, Moum, James, Arnone, Robert, Cowen, Robert, Jacobs, Gregg, Schofield, Oscar, Graham, William",Next Generation Weather Radar,dataset-612
GHOST: A Satellite Mission Concept for Persistent Monitoring of Stratospheric Gravity Waves Induced by Severe Storms,Bulletin of the American Meteorological Society,10.1175/bams-d-17-0064.1,"Tratt, David M., Hackwell, John A., Valant-Spaight, Bonnie L., Walterscheid, Richard L., Gelinas, Lynette J., Hecht, James H., Swenson, Charles M., Lampen, Caleb P., Alexander, M. Joan, Hoffmann, Lars, Nolan, David S., Miller, Steven D., Hall, Jeffrey L., Atlas, Robert, Marks, Frank D., Partain, Philip T.",Next Generation Weather Radar,dataset-612
Global Precipitation Measuring Dual-Frequency Precipitation Radar Observations of Hailstorm Vertical Structure: Current Capabilities and Drawbacks,Journal of Applied Meteorology and Climatology,10.1175/jamc-d-18-0020.1,"Mroz, Kamil, Battaglia, Alessandro, Lang, Timothy J., Tanelli, Simone, Sacco, Gian Franco",Next Generation Weather Radar,dataset-612
Is the awareness of the aerosol state useful in predicting enhanced lightning for lightning-producing storms over northern Alabama? Is the awareness of the aerosol state useful in predicting enhanced lightning for lightning-producing storms over northern Alabama?,Journal of Applied Meteorology and Climatology,10.1175/jamc-d-17-0182.1,"Ren, Tong, Rapp, Anita D., Nasiri, Shaima L., Mecikalski, John R., Apke, Jason",Next Generation Weather Radar,dataset-612
Uncertainty analysis of urban sewer system using spatial simulation of radar rainfall fields: New York City case study,Stochastic Environmental Research and Risk Assessment,10.1007/s00477-018-1563-8,"Hamidi, Ali, Farnham, David J., Khanbilvardi, Reza",Next Generation Weather Radar,dataset-612
A spatially distributed Clark’s unit hydrograph based hybrid hydrologic model (Distributed-Clark),Hydrological Sciences Journal,10.1080/02626667.2018.1516042,"Cho, Younghyun, Engel, Bernard A., Merwade, Venkatesh M.",Next Generation Weather Radar,dataset-612
An Inverse Model for Raindrop Size Distribution Retrieval with Polarimetric Variables,Remote Sensing,10.3390/rs10081179,"Wen, Guang, Chen, Haonan, Zhang, Guifu, Sun, Jiming",Next Generation Weather Radar,dataset-612
High Temporal Resolution Refractivity Retrieval from Radar Phase Measurements,Remote Sensing,10.3390/rs10060896,"López, Rubén Nocelo, del Río, Verónica Santalla",Next Generation Weather Radar,dataset-612
Nest mortality of sagebrush songbirds due to a severe hailstorm,The Wilson Journal of Ornithology,10.1676/17-025.1,"Hightower, Jessica N., Carlisle, Jason D., Chalfoun, Anna D.",Next Generation Weather Radar,dataset-612
An Algorithm for Automated Identification of Gust Fronts from Doppler Radar Data,Journal of Meteorological Research,10.1007/s13351-018-7089-7,"Yuan, Yue, Wang, Ping, Wang, Di, Jia, Huizhen",Next Generation Weather Radar,dataset-612
Accuracy of swallow roost locations assigned using weather surveillance radar,Remote Sensing in Ecology and Conservation,10.1002/rse2.66,"Kelly, Jeffrey F., Pletschet, Sandra M.",Next Generation Weather Radar,dataset-612
A Nowcasting Model for Tropical Cyclone Precipitation Regions Based on the TREC Motion Vector Retrieval with a Semi-Lagrangian Scheme for Doppler Weather Radar,Atmosphere,10.3390/atmos9050200,"Tang, Jingyin, Matyas, Corene",Next Generation Weather Radar,dataset-612
A Review on Applications of Remote Sensing and Geographic Information Systems (GIS) in Water Resources and Flood Risk Management,Water,10.3390/w10050608,"Wang, Xianwei, Xie, Hongjie",Next Generation Weather Radar,dataset-612
Water quality monitoring in smart city: A pilot project,Automation in Construction,10.1016/j.autcon.2018.02.008,"Chen, Yiheng, Han, Dawei",Next Generation Weather Radar,dataset-612
Effects of a sea barrier on large-scale migration patterns studied by a network of weather radars,Bird Study,10.1080/00063657.2018.1476457,"Weisshaupt, Nadja, Dokter, Adriaan M., Arizaga, Juan, Maruri, Mercedes",Next Generation Weather Radar,dataset-612
All‐sky satellite data assimilation at operational weather forecasting centres,Quarterly Journal of the Royal Meteorological Society,10.1002/qj.3202,"Geer, Alan J., Lonitz, Katrin, Weston, Peter, Kazumori, Masahiro, Okamoto, Kozo, Zhu, Yanqiu, Liu, Emily Huichun, Collard, Andrew, Bell, William, Migliorini, Stefano, Chambon, Philippe, Fourrié, Nadia, Kim, Min‐Jeong, Köpken‐Watts, Christina, Schraff, Christoph",Next Generation Weather Radar,dataset-612
An Overview of Surface-Based Precipitation Observations at Environment and Climate Change Canada,Atmosphere-Ocean,10.1080/07055900.2018.1433627,"Mekis, Eva, Donaldson, Norman, Reid, Janti, Zucconi, Alex, Hoover, Jeffery, Li, Qian, Nitu, Rodica, Melo, Stella",Next Generation Weather Radar,dataset-612
The Curve Number Concept as a Driver for Delineating Hydrological Response Units,Water,10.3390/w10020194,"Savvidou, Eleni, Efstratiadis, Andreas, Koussis, Antonis D., Koukouvinos, Antonis, Skarlatos, Dimitrios",Next Generation Weather Radar,dataset-612
Arc4nix: A cross-platform geospatial analytical library for cluster and cloud computing,Computers & Geosciences,10.1016/j.cageo.2017.11.011,"Tang, Jingyin, Matyas, Corene J.",Next Generation Weather Radar,dataset-612
Satellite-Link Attenuation Measurement Technique for Estimating Rainfall Accumulation,IEEE Transactions on Geoscience and Remote Sensing,10.1109/tgrs.2017.2753045,"Arslan, C. Hakan, Aydin, Kültegin, Urbina, Julio V., Dyrud, Lars",Next Generation Weather Radar,dataset-612
Ten Year Analysis of Tropopause‐Overshooting Convection Using GridRad Data,Journal of Geophysical Research Atmospheres,10.1002/2017jd027718,"Cooney, John W., Bowman, Kenneth P., Homeyer, Cameron R., Fenske, Tyler M.",Next Generation Weather Radar,dataset-612
CONTENTS CONTENTS,Bulletin of the American Meteorological Society,10.1175/bams_991_1-12_toc,,Next Generation Weather Radar,dataset-612
Spatial analysis of the effective coverage of land-based weather stations for traffic crashes,Applied Geography,10.1016/j.apgeog.2017.11.010,"Chung, Whoibin, Abdel-Aty, Mohamed, Lee, Jaeyoung",Next Generation Weather Radar,dataset-612
Toward a Polarimetric Radar Classification Scheme for Coalescence Dominant Precipitation: Application to Complex Terrain,Journal of Hydrometeorology,10.1175/jhm-d-17-0016.1,"Porcacchia, Leonardo, Kirstetter, P. E., Gourley, J. J., Maggioni, V., Cheong, B. L., Anagnostou, M. N.",Next Generation Weather Radar,dataset-612
Cloud archiving and data mining of High-Resolution Rapid Refresh forecast model output,Computers & Geosciences,10.1016/j.cageo.2017.08.005,"Blaylock, Brian K., Horel, John D., Liston, Samuel T.",Next Generation Weather Radar,dataset-612
"The Influence of Assimilated Upstream, Preconvective Dropsonde Observations on Ensemble Forecasts of Convection Initiation during the Mesoscale Predictability Experiment",Monthly Weather Review,10.1175/mwr-d-17-0159.1,"Keclik, Alexandra M., Evans, Clark, Roebber, Paul J., Romine, Glen S.",Next Generation Weather Radar,dataset-612
Flash Flooding in Arid/Semiarid Regions: Dissecting the Hydrometeorology and Hydrology of the 19 August 2014 Storm and Flood Hydroclimatology in Arizona,Journal of Hydrometeorology,10.1175/jhm-d-17-0089.1,"Yang, Long, Smith, James, Baeck, Mary Lynn, Morin, Efrat, Goodrich, David C.",Next Generation Weather Radar,dataset-612
Effects of Using High-Density Rain Gauge Networks and Weather Radar Data on Urban Hydrological Analyses,Water,10.3390/w9120931,"Yoon, Seong-Sim, Lee, Byongju",Next Generation Weather Radar,dataset-612
"Meteorological analysis of the tornado in Ciudad Acuña, Coahuila State, Mexico, on May 25, 2015",Natural Hazards,10.1007/s11069-017-2972-6,"León-Cruz, José F., Carbajal, Noel, Pineda-Martínez, Luis F.",Next Generation Weather Radar,dataset-612
"Impacts of alternative climate information on hydrologic processes with SWAT: A comparison of NCDC, PRISM and NEXRAD datasets",Catena,10.1016/j.catena.2017.04.010,"Gao, Jungang, Sheshukov, Aleksey Y., Yen, Haw, White, Michael J.",Next Generation Weather Radar,dataset-612
Differential Reflectivity Calibration and Antenna Temperature,Journal of Atmospheric and Oceanic Technology,10.1175/jtech-d-16-0218.1,"Hubbert, J. C.",Next Generation Weather Radar,dataset-612
Sensitivity of simulated convection‐driven stratosphere‐troposphere exchange in WRF‐Chem to the choice of physical and chemical parameterization,Earth and Space Science,10.1002/2017ea000287,"Phoenix, Daniel B., Homeyer, Cameron R., Barth, Mary C.",Next Generation Weather Radar,dataset-612
Observation System Experiments with the Hourly Updating Rapid Refresh Model Using GSI Hybrid Ensemble–Variational Data Assimilation,Monthly Weather Review,10.1175/mwr-d-16-0398.1,"James, Eric P., Benjamin, Stanley G.",Next Generation Weather Radar,dataset-612
Hail-Detection Algorithm for the GPM Core Observatory Satellite Sensors,Journal of Applied Meteorology and Climatology,10.1175/jamc-d-16-0368.1,"Mroz, Kamil, Battaglia, Alessandro, Lang, Timothy J., Cecil, Daniel J., Tanelli, Simone, Tridon, Frederic",Next Generation Weather Radar,dataset-612
Adaptive Range Oversampling Processing for Nontraditional Radar-Variable Estimators,Journal of Atmospheric and Oceanic Technology,10.1175/jtech-d-16-0051.1,"Curtis, Christopher D., Torres, Sebastián M.",Next Generation Weather Radar,dataset-612
Impact of a Front–Dryline Merger on Convection Initiation near a Mountain Ridge in Beijing,Monthly Weather Review,10.1175/mwr-d-16-0369.1,"Qin, Rui, Chen, Mingxuan",Next Generation Weather Radar,dataset-612
"The Modern-Era Retrospective Analysis for Research and Applications, Version 2 (MERRA-2)",Journal of Climate,10.1175/jcli-d-16-0758.1,"Gelaro, Ronald, McCarty, Will, Suárez, Max J., Todling, Ricardo, Molod, Andrea, Takacs, Lawrence, Randles, Cynthia A., Darmenov, Anton, Bosilovich, Michael G., Reichle, Rolf, Wargan, Krzysztof, Coy, Lawrence, Cullather, Richard, Draper, Clara, Akella, Santha, Buchard, Virginie, Conaty, Austin, da Silva, Arlindo M., Gu, Wei, Kim, Gi-Kong, Koster, Randal, Lucchesi, Robert, Merkova, Dagmar, Nielsen, Jon Eric, Partyka, Gary, Pawson, Steven, Putman, William, Rienecker, Michele, Schubert, Siegfried D., Sienkiewicz, Meta, Zhao, Bin",Next Generation Weather Radar,dataset-612
The OWLeS IOP2b Lake-Effect Snowstorm: Mechanisms Contributing to the Tug Hill Precipitation Maximum,Monthly Weather Review,10.1175/mwr-d-16-0461.1,"Campbell, Leah S., Steenburgh, W. James",Next Generation Weather Radar,dataset-612
A New Radio Frequency Interference Filter for Weather Radars,Journal of Atmospheric and Oceanic Technology,10.1175/jtech-d-17-0028.1,"Cho, John Y. N.",Next Generation Weather Radar,dataset-612
A terrain‐based weighted random forests method for radar quantitative precipitation estimation,Meteorological Applications,10.1002/met.1638,"Yang, Xuebing, Kuang, Qiuming, Zhang, Wensheng, Zhang, Guoping",Next Generation Weather Radar,dataset-612
The OWLeS IOP2b Lake-Effect Snowstorm: Dynamics of the Secondary Circulation,Monthly Weather Review,10.1175/mwr-d-16-0462.1,"Bergmaier, Philip T., Geerts, Bart, Campbell, Leah S., Steenburgh, W. James",Next Generation Weather Radar,dataset-612
Detecting Beam Blockage in Radar-Based Precipitation Estimates,Journal of Atmospheric and Oceanic Technology,10.1175/jtech-d-16-0174.1,"McRoberts, D. Brent, Nielsen-Gammon, John W.",Next Generation Weather Radar,dataset-612
The OWLeS IOP2b Lake-Effect Snowstorm: Shoreline Geometry and the Mesoscale Forcing of Precipitation,Monthly Weather Review,10.1175/mwr-d-16-0460.1,"Steenburgh, W. James, Campbell, Leah S.",Next Generation Weather Radar,dataset-612
Development of a Station Based Climate Database for SWAT and APEX Assessments in the US,Water,10.3390/w9060437,"White, Michael J., Gambone, Marilyn, Haney, Elizabeth, Arnold, Jeffrey, Gao, Jungang",Next Generation Weather Radar,dataset-612
The Influence of PBL Parameterization on the Practical Predictability of Convection Initiation during the Mesoscale Predictability Experiment (MPEX),Weather and Forecasting,10.1175/waf-d-16-0174.1,"Burlingame, Bryan M., Evans, Clark, Roebber, Paul J.",Next Generation Weather Radar,dataset-612
How Frequent is Precipitation over the Contiguous United States? Perspectives from Ground-Based and Spaceborne Radars,Journal of Hydrometeorology,10.1175/jhm-d-16-0242.1,"Smalley, Mark, Kirstetter, Pierre-Emmanuel, L’Ecuyer, Tristan",Next Generation Weather Radar,dataset-612
Development of high-resolution dynamic dust source function - A case study with a strong dust storm in a regional model,Atmospheric Environment,10.1016/j.atmosenv.2017.03.045,"Kim, Dongchul, Chin, Mian, Kemp, Eric M., Tao, Zhining, Peters-Lidard, Christa D., Ginoux, Paul",Next Generation Weather Radar,dataset-612
Simulated Polarimetric Fields of Ice Vapor Growth Using the Adaptive Habit Model. Part II: A Case Study from the FROST Experiment,Monthly Weather Review,10.1175/mwr-d-16-0062.1,"Sulia, Kara J., Kumjian, Matthew R.",Next Generation Weather Radar,dataset-612
