bbk_dataset_y,doi,journal,title,dataset,,,
BISTA,,GERMAN Economic Review,Banks' Interest Rate Risk and Search for Yield: A Theoretical Rationale and Some Empirical Evidence,"dataset-013,dataset-006,dataset-385",,,
BAKIS,,GERMAN Economic Review,Banks' Interest Rate Risk and Search for Yield: A Theoretical Rationale and Some Empirical Evidence,dataset-006,,,
GUV,,GERMAN Economic Review,Banks' Interest Rate Risk and Search for Yield: A Theoretical Rationale and Some Empirical Evidence,dataset-385,,,
BAKIS,,BBk Discussion Paper,"Banks' regulatory buffers, liquidity networks and monetary policy transmission",dataset-006,,,
BAKIS,,BBk Discussion Paper,Banks’ Equity Stakes and Lending: Evidence from a Tax Reform,"dataset-006,dataset-013,dataset-005,dataset-003",,,
BISTA,,BBk Discussion Paper,Banks’ Equity Stakes and Lending: Evidence from a Tax Reform,dataset-013,,,
MIMIK,,BBk Discussion Paper,Banks’ Equity Stakes and Lending: Evidence from a Tax Reform,dataset-005,,,
USTAN,,BBk Discussion Paper,Banks’ Equity Stakes and Lending: Evidence from a Tax Reform,dataset-003,,,
TARGET2,,BBk Discussion Paper,Bargaining power and outside options in the interbank lending market,dataset-389,,,
MIDI,,Review of Quantitative Finance and Accounting,Bilateral Internal Debt Financing and Tax Planning of Muiltinational Firms,dataset-008,,,
MIDI,,Working Paper,"Bilateral Internal Debt Financing, Tax Planning, and the Effectiveness of Anti-Tax Avoidance Rules",dataset-008,,,
PHF,,Journal of Income Distribution,Bracket creep revisited - with and without r>g: Evidence from Germany,dataset-382,,,
MIDI,,BBk Discussion Paper,Business cycles and FDI: evidence from German sectoral data,dataset-008,,,
IFS-BASE,,BBk Discussion Paper,Cash holdings of German open-end equity funds: Does ownership matter?,dataset-383,,,
BAKIS,,International Journal of Central Banking,Centrality-based capital allocations,"dataset-006,dataset-013,dataset-381,dataset-005",,,
BISTA,,International Journal of Central Banking,Centrality-based capital allocations,dataset-013,,,
VJKRE,,International Journal of Central Banking,Centrality-based capital allocations,dataset-381,,,
MIMIK,,International Journal of Central Banking,Centrality-based capital allocations,dataset-005,,,
AUSTA,,BBk Discussion Paper,Changing forces of gravity: How the crisis affected international banking,dataset-380,,,
SITS,,BBk Discussion Paper,Cheap Talk? Financial Sanctions and Non-Financial Activity,"dataset-015,dataset-003",,,
USTAN,,BBk Discussion Paper,Cheap Talk? Financial Sanctions and Non-Financial Activity,dataset-003,,,
PaymentSurvey,,Empirical Economics,Choosing and using payment instruments: evidence from German microdata,dataset-004,,,
MIDI,,BBk Discussion Paper,Clustering or competition? The foreign investment behaviour of German banks,"dataset-008,dataset-013,dataset-385",,,
BISTA,,BBk Discussion Paper,Clustering or competition? The foreign investment behaviour of German banks,dataset-013,,,
GUV,,BBk Discussion Paper,Clustering or competition? The foreign investment behaviour of German banks,dataset-385,,,
MIDI,,Schmollers Jahrbuch,Combined Firm Data for Germany - Possibilities and Consequences of Merging Firm Data from Different Data Producers,"dataset-008,dataset-003",,,
USTAN,,Schmollers Jahrbuch,Combined Firm Data for Germany - Possibilities and Consequences of Merging Firm Data from Different Data Producers,dataset-003,,,
PaymentSurvey,,International Journal of Central Banking,Consumer cash usage: A cross-country comparison with payment diary survey data,dataset-004,,,
BAKIS,,Journal of Financial Stability,Contagion in the interbank market and its determinants,dataset-006,,,
USTAN,,BBk Discussion Paper,"Corporate marginal tax rate, tax loss carryforwards and investment functions: empirical analysis using a large German panel data set",dataset-003,,,
MIDI,,Applied Economics,Corporate Tax Planning and Thin-Capitalization Rules: Evidence from a Quasi Experiment,dataset-008,,,
MIDI,,Applied Economics,Corporate Tax Planning and Thin-Capitalzation Rules: Evidence from a Quasi-Experiment,dataset-008,,,
MIDI,, Zeitschrift für Betriebswirtschaft,Corporation Taxes and the Debt Policy of Multinational Firms - Evidence for German Multinationals,dataset-008,,,
MIDI,,Working Paper,Corporation Taxes and the Debt Policy of Multinational Firms – Evidence from German Multinationals,dataset-008,,,
USTAN,,BBk Discussion Paper,Creditor concentration: an empirical investigation,"dataset-003,dataset-006,dataset-005",,,
BAKIS,,BBk Discussion Paper,Creditor concentration: an empirical investigation,dataset-006,,,
MIMIK,,BBk Discussion Paper,Creditor concentration: an empirical investigation,dataset-005,,,
AUSTA,,BBk Discussion Paper,"Crises, rescues, and policy transmission through international banks",dataset-380,,,
BAKIS,,BBk Discussion Paper,Cross-border transmission of emergency liquidity,"dataset-006,dataset-013,dataset-012",,,
BISTA,,BBk Discussion Paper,Cross-border transmission of emergency liquidity,dataset-013,,,
ZISTA,,BBk Discussion Paper,Cross-border transmission of emergency liquidity,dataset-012,,,
MIMIK,,BBk Discussion Paper,Cutting the credit line: Evidence from Germany,"dataset-005,dataset-003,dataset-006",,,
USTAN,,BBk Discussion Paper,Cutting the credit line: Evidence from Germany,dataset-003,,,
BAKIS,,BBk Discussion Paper,Cutting the credit line: Evidence from Germany,dataset-006,,,
SHS-BASE,,BBk Discussion Paper,Cyclical investment behavior across financial institutions,dataset-431,,,
BISTA,,Journal of Banking and Finance,Cyclicality of SME lending and government involvement in banks,"dataset-013,dataset-385",,,
GUV,,Journal of Banking and Finance,Cyclicality of SME lending and government involvement in banks,dataset-385,,,
MIDI,,Review of World Economics,Debt financing and sharp currency depreciations: wholly versus partially-owned multinational affiliates,dataset-008,,,
BAKIS,,BBk Discussion Paper,Determinants for using visible reserves in German banks: an empirical study,dataset-006,,,
BISTA,,Journal of Banking and Finance,Determinants of bank interest margins: Impact of maturity transformation,dataset-013,,,
BISTA,,available at SSRN Electronic Journal: https://www.ssrn.com/abstract=2862034,Determinants of bank-level deposit volatility: Evidence from the German banking system,dataset-013,,,
MIDI,,Economic Policy 20 ,Determinants of German FDI: New Evidence from Micro-Data,dataset-008,,,
MIDI,,BBk Discussion Paper,Determinants of German Foreign Direct Investment in Latin American and Asian Emerging Markets in the 1990s,dataset-008,,,
AUSTA,,International Review of Economics and Finance,Diversification and determinants of international credit portfolios: Evidence from German banks,dataset-380,,,
BAKIS,,BBk Discussion Paper,Diversification and the banks' risk-return-characteristics: evidence from loan portfolios of German banks,dataset-006,,,
BAKIS,,Journal of Banking and Finance,Do all new brooms sweep clean? Evidence for outside bank appointments,dataset-006,,,
AUSTA,,BBk Discussion Paper,Do banks benefit from internationalization? Revisiting the market power-risk nexus,dataset-380,,,
VJKRE,,BBk Discussion Paper,Do banks diversify loan portfolios? A tentative answer based on individual bank loan portfolios,dataset-381,,,
BAKIS,,Review of Finance (formerly: European Finance Review),"Do exposures to sagging real estate, subprime or conduits abroad lead to contraction and flight to quality in bank lending at home?","dataset-006,dataset-013,dataset-005",,,
BISTA,,Review of Finance (formerly: European Finance Review),"Do exposures to sagging real estate, subprime or conduits abroad lead to contraction and flight to quality in bank lending at home?",dataset-013,,,
MIMIK,,Review of Finance (formerly: European Finance Review),"Do exposures to sagging real estate, subprime or conduits abroad lead to contraction and flight to quality in bank lending at home?",dataset-005,,,
VJKRE,,BBk Discussion Paper,Do specialization benefits outweigh concentration risks in credit portfolios of German banks?,dataset-381,,,
BISTA,,BBk Discussion Paper,Does capital regulation matter for bank behaviour? Evidence for German savings banks,dataset-013,,,
MIDI,,BBk Discussion Paper,"Does co-financing by multilateral development banks increase ""risky"" direct investment in emerging markets'",dataset-008,,,
BAKIS,,BBk Discussion Paper,Does diversification improve the performance of German banks? Evidence from individual bank loan portfolios,"dataset-006,dataset-005",,,
MIMIK,,BBk Discussion Paper,Does diversification improve the performance of German banks? Evidence from individual bank loan portfolios,dataset-005,,,
MIDI,,BBk Discussion Paper,Does lowering dividend tax rates increase dividends repatriated?: evidence of intra-firm cross-border dividend repatriation policies by German Multinational Enterprises,"dataset-008,dataset-015",,,
SITS,,BBk Discussion Paper,Does lowering dividend tax rates increase dividends repatriated?: evidence of intra-firm cross-border dividend repatriation policies by German Multinational Enterprises,dataset-015,,,
BAKIS,,BBk Discussion Paper,Does non-interest income make banks more risky? Retail- versus investment-oriented banks,dataset-006,,,
USTAN,,BBk Discussion Paper,Does trade openness increase firm-level volatility?,dataset-003,,,
USTAN,,BBk Discussion Paper,Dynamic Q-investment functions for Germany using panel balance sheet data and a new algorithm for the capital stock at replacement values,dataset-003,,,
BAKIS,,Journal of Banking and Finance,Earnings baths by bank CEOs during turnovers,dataset-006,,,
BISTA,,BBk Discussion Paper,"Efficient, profitable and safe banking: an oxymoron? Evidence from a panel VAR approach","dataset-013,dataset-385",,,
GUV,,BBk Discussion Paper,"Efficient, profitable and safe banking: an oxymoron? Evidence from a panel VAR approach",dataset-385,,,
USTAN,,BBk Discussion Paper,Enterprises' financing structure and their response to monetary policy stimuli: An analysis based on the Deutsche Bundesbank's corporate balance sheet statistics,dataset-003,,,
MIDI,,,Environmental Regulation and Foreign Direct Investment: The Role of Mode of Entry,dataset-008,,,
MIDI,,"CESifo DICE Report 4/2015, pp. 41-47",Environmental Regulation and Foreign Direct Investment: The Role of the Mode of Entry,dataset-008,,,
BISTA,,BBk Discussion Paper,Estimating Bilateral Exposures in the German Interbank Market: Is there a Danger of Contagion?,dataset-013,,,
MIDI,,available at SSRN Electronic Journal : https://ssrn.com/abstract=2868283,European climate policy and industrial relocation: Evidence from German multinational firms,dataset-008,,,
MIDI,,"Journal of Public Economics, volume 156, pp. 131-149",Evaluating the effects of ACE systems on multinational debt financing and investment,dataset-008,,,
BISTA,,BBk Discussion Paper,Evaluating the German bank merger wave,"dataset-013,dataset-385,dataset-386",,,
GUV,,BBk Discussion Paper,Evaluating the German bank merger wave,dataset-385,,,
ZentK,,BBk Discussion Paper,Evaluating the German bank merger wave,dataset-386,,,
USTAN,,BBk Discussion Paper,Evaluation of minimum capital requirements for bank loans to SMEs,dataset-003,,,
USTAN,,BBk Discussion Paper,Exploring the role of uncertainty for corporate investment decisions in Germany,dataset-003,,,
MIDI,,BBk Discussion Paper,Export-Supporting FDI,dataset-008,,,
MIDI,,BBk Discussion Paper,Exports versus FDI in German manufacturing: firm performance and participation in international markets,dataset-008,,,
MIDI,,BBk Discussion Paper,Exports versus FDI revisited: does finance matter?,dataset-008,,,
MIMIK,,World Economy,Extra Credit: Bank Finance and Firm Export Status in Germany,"dataset-005,dataset-003",,,
USTAN,,World Economy,Extra Credit: Bank Finance and Firm Export Status in Germany,dataset-003,,,
MIDI,,The B.E. Journals of Economic Analysis and Policy,FDI and Domestic Investment: An Industry-Level View,dataset-008,,,
MIDI,,BBk Discussion Paper,FDI versus cross-border financial services: The globalisation of German banks,"dataset-008,dataset-013,dataset-385",,,
BISTA,,BBk Discussion Paper,FDI versus cross-border financial services: The globalisation of German banks,dataset-013,,,
GUV,,BBk Discussion Paper,FDI versus cross-border financial services: The globalisation of German banks,dataset-385,,,
MIMIK,,BBk Discussion Paper,Finance and growth in a bank-based economy: is it quantity or quality that matters?,dataset-005,,,
MIDI,,BBk Discussion Paper,Financial constraints and the margins of FDI,dataset-008,,,
USTAN,,BBk Discussion Paper,Firm Investment and Monetary Policy Transmission in the Euro Area,dataset-003,,,
USTAN,,BBk Discussion Paper,Firm-specific productivity risk over the business cycle: facts and aggregate implications,dataset-003,,,
USTAN,,BBk Discussion Paper,Forecasting Credit Portfolio Risk,dataset-003,,,
MIDI,,BBk Discussion Paper,Foreign (in)direct investment and corporate taxation,dataset-008,,,
MIDI,,BBk Discussion Paper,Foreign Bank Entry into Emerging Economies: An Empirical Assessment of the Determinants and Risks Predicated on German FDI Data,dataset-008,,,
MIDI,,"Financial Stability Report 2006, Czech National Bank",Foreign direct investment and the Czech corporate sector: potential risks to financial stability,dataset-008,,,
MIDI,,BBk Discussion Paper,Foreign direct investment in the enlarged EU: do taxes matter and to what extent?,dataset-008,,,
MIDI,,Czech Journal of Economics and Finance,"Foreign direct investment, corporate finance, and the life cycle of investment",dataset-008,,,
MIMIK,,BBk Discussion Paper,Fundamentals matter: Idiosyncratic shocks and interbank relations,"dataset-005,dataset-013,dataset-006",,,
BISTA,,BBk Discussion Paper,Fundamentals matter: Idiosyncratic shocks and interbank relations,dataset-013,,,
BAKIS,,BBk Discussion Paper,Fundamentals matter: Idiosyncratic shocks and interbank relations,dataset-006,,,
MIMIK,,BBk Discussion Paper,German bank lending during emerging market crises: A bank level analysis,dataset-005,,,
MIMIK,,BBk Discussion Paper,German bank lending to industrial and non-industrial countries: driven by fundamentals or different treatment?,dataset-005,,,
AUSTA,,The Journal of Financial Perspectives,German Banks in Financial Centers: How Risky is Their Business?,"dataset-380,dataset-013",,,
BISTA,,The Journal of Financial Perspectives,German Banks in Financial Centers: How Risky is Their Business?,dataset-013,,,
MIDI,,Applied Economics Quarterly,German Firms in Service Trade,"dataset-008,dataset-015",,,
SITS,,Applied Economics Quarterly,German Firms in Service Trade,dataset-015,,,
MIDI,,Quarterly Journal of Economics,Global Production with Export Platforms,dataset-008,,,
USTAN,,BBk Discussion Paper,Going multinational: What are the effects on home market performance?,"dataset-003,dataset-008",,,
MIDI,,BBk Discussion Paper,Going multinational: What are the effects on home market performance?,dataset-008,,,
MIMIK,,BBk Discussion Paper,Granularity adjustment for Basel II,dataset-005,,,
USTAN,,BBk Discussion Paper,Great moderation at the firm level? Unconditional versus conditional output volatility,dataset-003,,,
BAKIS,,BBk Discussion Paper,Heterogeneity in lending and sectoral growth: evidence from German bank-level data,"dataset-006,dataset-005,dataset-013",,,
MIMIK,,BBk Discussion Paper,Heterogeneity in lending and sectoral growth: evidence from German bank-level data,dataset-005,,,
BISTA,,BBk Discussion Paper,Heterogeneity in lending and sectoral growth: evidence from German bank-level data,dataset-013,,,
PHF,,The review of Economic Studies,"Historical Antisemitism, Ethnic Specialization, and Financial Development",dataset-382,,,
MIDI,,Zeitschrift für betriebswirtschaftliche Forschung,Holding als Mittel der Steuerplanung zur Implementierung von steuerlich motiviertem Fremdkapital,dataset-008,,,
SHS-BASE,,European Journal of Finance,Home-field advantage or a matter of ambiguity aversion? Local bias among German individual investors,dataset-431,,,
PHF,,available at SSRN Electronic Journal: https://ssrn.com/abstract=3175881,Household Financial Risk Tolerance in Europe,dataset-382,,,
MIDI,,Working Paper,How Can Firms choose their Leverage? – Tax Planning for Implementing Tax Induced Debt Finance,dataset-008,,,
BAKIS,,Journal of Financial Intermediation,How do banks adjust their capital ratios? Evidence from Germany,dataset-006,,,
ZISTA,10.2139/ssrn.2756191 ,BBk Discussion Paper,How does P2P lending fit into the consumer credit market?,dataset-012,,,
MIDI,,CESifo Working Paper No. 2517,How Low Business Tax Rates Attract Multinational Headquarters: Municipality-Level Evidence from Germany,dataset-008,,,
MIMIK,,BBk Discussion Paper,How will Basel II affect bank lending to emerging markets? An analysis based on German bank level data,dataset-005,,,
MIDI,,BBk Discussion Paper,How would formula apportionment in the EU affect the distribution and the size of the corporate tax base? An analysis based on German multinationals,dataset-008,,,
USTAN,,BBk Discussion Paper,Improvements in rating models for the German corporate sector,dataset-003,,,
BAKIS,,Schmalenbach Business Review,Income Structure and Bank Business Models: Evidence on Performance and Stability from the German Banking Industry,dataset-006,,,
BISTA,,BBk Discussion Paper,Industries and the bank lending effects of bank credit demand and monetary policy in Germany,"dataset-013,dataset-005",,,
MIMIK,,BBk Discussion Paper,Industries and the bank lending effects of bank credit demand and monetary policy in Germany,dataset-005,,,
BISTA,,BBk Discussion Paper,Inefficient or just different? Effects of heterogeneity on bank efficiency scores,"dataset-013,dataset-385",,,
GUV,,BBk Discussion Paper,Inefficient or just different? Effects of heterogeneity on bank efficiency scores,dataset-385,,,
MIDI,,Global Strategy Journal,Information Costs and Internationalization Performance,dataset-008,,,
BISTA,,BBk Discussion Paper,Interbank Intermediation,"dataset-013,dataset-005",,,
MIMIK,,BBk Discussion Paper,Interbank Intermediation,dataset-005,,,
BISTA,,BBk Discussion Paper,"Interbank lending and distress: Observables, unobservables, and network structure",dataset-013,,,
BISTA,,BBk Discussion Paper,Interbank lending and monetary policy transmission: evidence for Germany,dataset-013,,,
MIDI,,Working Paper,Intercompany Loans and Profit Shifting – Evidence from Company-Level Data,dataset-008,,,
MIDI,, National Tax Journal,Internal Debt and Multinational Profit Shifting: Empirical Evidence from Firm-Level Panel Data,dataset-008,,,
MIDI,,BBk Discussion Paper,Internalization and internationalization under copeting real options,dataset-008,,,
AUSTA,,BBk Discussion Paper,International Banking and Cross-Border Effects of Regulation: Lessons from Germany,"dataset-380,dataset-013",,,
BISTA,,BBk Discussion Paper,International Banking and Cross-Border Effects of Regulation: Lessons from Germany,dataset-013,,,
AUSTA,,IMF Economic Review,International Banking and Liquidity Risk Transmission: Evidence from Germany,"dataset-380,dataset-013",,,
BISTA,,IMF Economic Review,International Banking and Liquidity Risk Transmission: Evidence from Germany,dataset-013,,,
AUSTA,10.1016/j.jimonfin.2018.08.012 ,BBk Discussion Paper,International monetary policy spillovers through the bank funding channel,"dataset-380,dataset-013",,,
BISTA,10.1016/j.jimonfin.2018.08.012 ,BBk Discussion Paper,International monetary policy spillovers through the bank funding channel,dataset-013,,,
MIDI,,"Taxation in Developing Economics, MIT Press",International Profit Shifting and Multinational Firms in Developing Economies,dataset-008,,,
PHF,,"The Journal of the Economics of Ageing, Vol. 12.",Intra-household allocation of non-mandatory retirement savings,dataset-382,,,
USTAN,,American Economic Review,Investment dispersion and the business cycle,dataset-003,,,
MIDI,,Canadian Journal of Economics,Investment Impact of Tax Loss Treatment - Empirical Insights from a Panel of Multinationals,dataset-008,,,
SHS-BASE,,Journal of Banking and Finance,Is local bias a cross-border phenomenon? Evidence from individual investors' international asset allocation,dataset-431,,,
SHS-BASE,,BBk Discussion Paper,Is proprietary trading detrimental to retail investors?,dataset-431,,,
MIDI,, The Analysis of Firms and Employees: Quantitative and Qualitative Approaches,Job Creation Abroad and Worker Retention at Home,dataset-008,,,
MIDI,,Schmollers Jahrbuch,KombiFiD: A First Glimpse of the Bundesbank Data,"dataset-008,dataset-003",,,
USTAN,,Schmollers Jahrbuch,KombiFiD: A First Glimpse of the Bundesbank Data,dataset-003,,,
BAKIS,,BBk Discussion Paper,Loan loss provisioning and procyclicality: Evidence from an expected loss model,dataset-006,,,
MIDI,,Review of World Economics,Location Choice and Employment Decisions: A Comparison of German and Swedish Multinationals,dataset-008,,,
PHF,,BBk Discussion Paper,Love and money with inheritance - marital sorting by labor income and inherited wealth in the modern partnership,dataset-382,,,
BAKIS,,BBk Discussion Paper,M-PRESS-CreditRisk: A holistic micro- and macro-prudential approach to capital requirements,"dataset-006,dataset-005",,,
MIMIK,,BBk Discussion Paper,M-PRESS-CreditRisk: A holistic micro- and macro-prudential approach to capital requirements,dataset-005,,,
AUSTA,,BBk Discussion Paper,"Margins of international banking: is there a productivity pecking order in banking, too?","dataset-380,dataset-013,dataset-385",,,
BISTA,,BBk Discussion Paper,"Margins of international banking: is there a productivity pecking order in banking, too?",dataset-013,,,
GUV,,BBk Discussion Paper,"Margins of international banking: is there a productivity pecking order in banking, too?",dataset-385,,,
MIDI,,BBk Discussion Paper,Margins of multinational labor substitution,"dataset-008,dataset-003",,,
USTAN,,BBk Discussion Paper,Margins of multinational labor substitution,dataset-003,,,
BAKIS,,BBk Discussion Paper,"Market timing, maturity mismatch, and risk management: Evidence from the banking industry",dataset-006,,,
BISTA,,BBk Discussion Paper,Measurement matters: Input price proxies and bank efficiency in Germany,"dataset-013,dataset-385",,,
GUV,,BBk Discussion Paper,Measurement matters: Input price proxies and bank efficiency in Germany,dataset-385,,,
BISTA,,Journal of Financial Stability,Monetary policy and financial (in)stability: An integrated micro–macro approach,"dataset-013,dataset-385,dataset-386",,,
GUV,,Journal of Financial Stability,Monetary policy and financial (in)stability: An integrated micro–macro approach,dataset-385,,,
ZentK,,Journal of Financial Stability,Monetary policy and financial (in)stability: An integrated micro–macro approach,dataset-386,,,
BISTA,,BBk Discussion Paper,Monetary policy effects on bank loans in Germany: A panel-econometric analysis,dataset-013,,,
USTAN,,BBk Discussion Paper,Monetary transmission in Germany: New Perspectives on Financial Constraints and Investment Spending,dataset-003,,,
MIDI,,"The Review of Economics and Statistics, volume 98(4), pp. 713–727",Multinational Firms and Tax Havens,dataset-008,,,
MIDI,,Working Paper,Network and Border Effects: Where Do Foreign Multinationals Locate in Germany?,dataset-008,,,
MIDI,,Working Paper,"Offshoring and the Onshore Composition of Occupations, Tasks and Skills",dataset-008,,,
SHS-BASE,,SSRN Discussion Paper,Ownership Disclosure and Ownership Structure: Investors' Response to Lower Reporting Thresholds,dataset-431,,,
ZISTA,,"SAFE Working Paper No. 206., available at SSRN: https://ssrn.com/abstract=3174632",P2P Lenders versus Banks: Cream Skimming or Bottom Fishing?,"dataset-012,dataset-013",,,
BISTA,,"SAFE Working Paper No. 206., available at SSRN: https://ssrn.com/abstract=3174632",P2P Lenders versus Banks: Cream Skimming or Bottom Fishing?,dataset-013,,,
SHS-BASE,,BBk Discussion Paper,"Portfolio holdings in the euro area - home bias and the role of international, domestic and sector-specific factors",dataset-431,,,
PHF,,Journal of the European Economic Association,Price Level Changes and the Redistribution of Nominal Wealth Across the Euro Area,dataset-382,,,
MIMIK,,BBk Discussion Paper,Pro-cyclical capital regulation and lending,"dataset-005,dataset-006",,,
BAKIS,,BBk Discussion Paper,Pro-cyclical capital regulation and lending,dataset-006,,,
MIDI,, International Tax and Public Finance,Profit shifting in the EU: Evidence from Germany,dataset-008,,,
IFS-BASE,,European Journal of Finance,Purchase and redemption decisions of mutual fund investors and the role of fund families,dataset-383,,,
BISTA,,Financial Markets and Portfolio Management (formerly: Finanzmarkt und Portfolio Management),Quantifying the components of the banks' net interest margin,"dataset-013,dataset-385,dataset-006",,,
GUV,,Financial Markets and Portfolio Management (formerly: Finanzmarkt und Portfolio Management),Quantifying the components of the banks' net interest margin,dataset-385,,,
BAKIS,,Financial Markets and Portfolio Management (formerly: Finanzmarkt und Portfolio Management),Quantifying the components of the banks' net interest margin,dataset-006,,,
BISTA. GUV,,BBk Discussion Paper,Real estate markets and bank distress,"dataset-013,dataset-385,dataset-005",,,
MIMIK,,BBk Discussion Paper,Real estate markets and bank distress,dataset-005,,,
USTAN,,BBk Discussion Paper,Relationship lending: empirical evidence for Germany,"dataset-003,dataset-005,dataset-006",,,
BAKIS,,BBk Discussion Paper,Relationship lending: empirical evidence for Germany,dataset-006,,,
MIMIK,,BBk Discussion Paper,Relationship lending: empirical evidence for Germany,dataset-005,,,
USTAN,,"Journal of Political Economy (forthcoming), currently available at SSRN Electronic Journal",Rent-Seeking in Elite Networks,dataset-003,,,
BISTA,,BBk Discussion Paper,Repo funding and internal capital markets in the financial crisis,dataset-013,,,
MIMIK,,BBk Discussion Paper,Sector concentration in loan portfolios and economic capital,dataset-005,,,
BISTA,,Journal of Financial Economics,Securities trading by banks and credit supply: Micro-evidence,"dataset-013,dataset-006,dataset-005,dataset-431",,,
BAKIS,,Journal of Financial Economics,Securities trading by banks and credit supply: Micro-evidence,dataset-006,,,
BISTA,,Journal of Financial Economics,Securities trading by banks and credit supply: Micro-evidence,dataset-013,,,
MIMIK,,Journal of Financial Economics,Securities trading by banks and credit supply: Micro-evidence,dataset-005,,,
SHS-BASE,,Journal of Financial Economics,Securities trading by banks and credit supply: Micro-evidence,dataset-431,,,
MIMIK,,Journal of Financial Economics,Securities trading by banks and credit supply: Micro-evidence,dataset-005,,,
SRP,,BBk Discussion Paper,Shocks at large banks and banking sector distress: the Banking Granular Residual,dataset-434,,,
BISTA,,Journal of Financial Stability,Slippery slopes of stress: ordered failure events in German banking,"dataset-013,dataset-385,dataset-386",,,
GUV,,Journal of Financial Stability,Slippery slopes of stress: ordered failure events in German banking,dataset-385,,,
