,bbk_dataset_y,doi,journal,title
125,BAKIS,,GERMAN Economic Review,Banks' Interest Rate Risk and Search for Yield: A Theoretical Rationale and Some Empirical Evidence
126,GUV,,GERMAN Economic Review,Banks' Interest Rate Risk and Search for Yield: A Theoretical Rationale and Some Empirical Evidence
127,PaymentSurvey,,Journal of Official Statistics,The influence of an up-front experiment on respondents' recording behaviour in payment diaries: Evidence from Germany
128,BISTA,,Journal of Banking and Finance,Cyclicality of SME lending and government involvement in banks
129,GUV,,Journal of Banking and Finance,Cyclicality of SME lending and government involvement in banks
130,MIMIK,,Journal of Financial Stability,The credit quality channel: Modeling contagion in the interbank market
131,PHF,,Journal of Income Distribution,Bracket creep revisited - with and without r>g: Evidence from Germany
132,BAKIS,,Review of Finance (formerly: European Finance Review),"Do exposures to sagging real estate, subprime or conduits abroad lead to contraction and flight to quality in bank lending at home?"
133,BISTA,,Review of Finance (formerly: European Finance Review),"Do exposures to sagging real estate, subprime or conduits abroad lead to contraction and flight to quality in bank lending at home?"
134,MIMIK,,Review of Finance (formerly: European Finance Review),"Do exposures to sagging real estate, subprime or conduits abroad lead to contraction and flight to quality in bank lending at home?"
135,BISTA,,Journal of Financial Economics,Securities trading by banks and credit supply: Micro-evidence
136,BAKIS,,Journal of Financial Economics,Securities trading by banks and credit supply: Micro-evidence
137,BISTA,,Journal of Financial Economics,Securities trading by banks and credit supply: Micro-evidence
138,MIMIK,,Journal of Financial Economics,Securities trading by banks and credit supply: Micro-evidence
139,SHS-BASE,,Journal of Financial Economics,Securities trading by banks and credit supply: Micro-evidence
140,MIMIK,,Journal of Financial Economics,Securities trading by banks and credit supply: Micro-evidence
141,BAKIS,,International Journal of Central Banking,Centrality-based capital allocations
142,BISTA,,International Journal of Central Banking,Centrality-based capital allocations
143,VJKRE,,International Journal of Central Banking,Centrality-based capital allocations
144,MIMIK,,International Journal of Central Banking,Centrality-based capital allocations
145,BISTA,,Journal of Banking and Finance,Taxing banks: An evaluation of the German bank levy
146,GUV,,Journal of Banking and Finance,Taxing banks: An evaluation of the German bank levy
147,ZISTA,,Journal of Banking and Finance,Taxing banks: An evaluation of the German bank levy
148,BISTA,,Financial Markets and Portfolio Management (formerly: Finanzmarkt und Portfolio Management),Quantifying the components of the banks' net interest margin
149,GUV,,Financial Markets and Portfolio Management (formerly: Finanzmarkt und Portfolio Management),Quantifying the components of the banks' net interest margin
150,BAKIS,,Financial Markets and Portfolio Management (formerly: Finanzmarkt und Portfolio Management),Quantifying the components of the banks' net interest margin
151,PaymentSurvey,,International Journal of Central Banking,Consumer cash usage: A cross-country comparison with payment diary survey data
152,BAKIS,,Journal of Banking and Finance,Earnings baths by bank CEOs during turnovers
153,MIMIK,,Journal of Banking and Finance,The role of interbank relationships and liquidity needs
154,BISTA,,Journal of Banking and Finance,The role of interbank relationships and liquidity needs
155,BISTA,,Review of Finance (formerly: European Finance Review),Bank risk taking and competition: Evidence from regional banking markets
156,BISTA,,Journal of Financial Stability,Banks and sovereign risk: A granular view
157,BAKIS,,Journal of Financial Stability,Banks and sovereign risk: A granular view
158,SHS-BASE,,Journal of Financial Stability,Banks and sovereign risk: A granular view
159,GUV,,Journal of Financial Stability,Banks and sovereign risk: A granular view
160,SHS-BASE,,Journal of Banking and Finance,Is local bias a cross-border phenomenon? Evidence from individual investors' international asset allocation
161,BISTA,,BBk Discussion Paper,Repo funding and internal capital markets in the financial crisis
162,AUSTA,,International Review of Economics and Finance,Diversification and determinants of international credit portfolios: Evidence from German banks
163,BISTA,,Journal of Banking and Finance,Determinants of bank interest margins: Impact of maturity transformation
164,SHS-BASE,,European Journal of Finance,Home-field advantage or a matter of ambiguity aversion? Local bias among German individual investors
165,PaymentSurvey,,"Journal of Money, Credit and Banking","Using cash to monitor liquidity: Implications for payments, currency demand and withdrawal behavior"
166,BAKIS,,Journal of Financial Stability,Contagion in the interbank market and its determinants
167,BISTA,,Financial Markets and Portfolio Management (formerly: Finanzmarkt und Portfolio Management),Bank management of the net interest margin: new measures
168,BAKIS,,Financial Markets and Portfolio Management (formerly: Finanzmarkt und Portfolio Management),Bank management of the net interest margin: new measures
169,GUV,,Financial Markets and Portfolio Management (formerly: Finanzmarkt und Portfolio Management),Bank management of the net interest margin: new measures
170,BAKIS,,Journal of Banking and Finance,Are banks using hidden reserves to beat earnings benchmarks? Evidence from Germany
171,BISTA,,Journal of Banking and Finance,"Banks' exposure to interest rate risk, their earnings from term transformation, and the dynamics of the term structure"
172,BAKIS,,Journal of Banking and Finance,"Banks' exposure to interest rate risk, their earnings from term transformation, and the dynamics of the term structure"
173,IFS-BASE,,European Journal of Finance,Purchase and redemption decisions of mutual fund investors and the role of fund families
174,PaymentSurvey,,Empirical Economics,Choosing and using payment instruments: evidence from German microdata
175,MIDI,,BBk Discussion Paper,Financial constraints and the margins of FDI
176,MIDI,,BBk Discussion Paper,Export-Supporting FDI
177,MIDI,,BBk Discussion Paper,Does lowering dividend tax rates increase dividends repatriated?: evidence of intra-firm cross-border dividend repatriation policies by German Multinational Enterprises
178,SITS,,BBk Discussion Paper,Does lowering dividend tax rates increase dividends repatriated?: evidence of intra-firm cross-border dividend repatriation policies by German Multinational Enterprises
179,USTAN,,BBk Discussion Paper,The cross-section of firms over the business cycle: new facts and a DSGE exploration
180,BISTA,,BBk Discussion Paper,What macroeconomic shocks affect the German banking system? Analysis in an integrated micro-macro model
181,SRP,,BBk Discussion Paper,What macroeconomic shocks affect the German banking system? Analysis in an integrated micro-macro model
182,USTAN,,BBk Discussion Paper,Firm-specific productivity risk over the business cycle: facts and aggregate implications
183,BISTA,,European Financial Management,The dependency of the banks' assets and liabilities: evidence from Germany
184,BAKIS,,European Financial Management,The dependency of the banks' assets and liabilities: evidence from Germany
185,BISTA,,European Financial Management,The dependency of the banks' assets and liabilities: evidence from Germany
186,GUV,,European Financial Management,The dependency of the banks' assets and liabilities: evidence from Germany
187,AUSTA,,BBk Discussion Paper,"Margins of international banking: is there a productivity pecking order in banking, too?"
188,BISTA,,BBk Discussion Paper,"Margins of international banking: is there a productivity pecking order in banking, too?"
189,GUV,,BBk Discussion Paper,"Margins of international banking: is there a productivity pecking order in banking, too?"
190,BAKIS,,Journal of Business Finance and Accounting,"Visible Reserves in Banks – Determinants of Initial Creation, Usage and Contribution to Bank Stability"
191,BAKIS,,BBk Discussion Paper,Determinants for using visible reserves in German banks: an empirical study
192,IFS-BASE,,BBk Discussion Paper,The dark and the bright side of liquidity risks: evidence from open-end real estate funds in Germany
193,BAKIS,,Schmalenbach Business Review,Income Structure and Bank Business Models: Evidence on Performance and Stability from the German Banking Industry
194,BISTA,,BBk Discussion Paper,Why do savings banks transform sight deposits into illiquid assets less intensively than the regulation allows?
195,SRP,,BBk Discussion Paper,Shocks at large banks and banking sector distress: the Banking Granular Residual
196,BISTA,,BBk Discussion Paper,The effects of privatization and consolidation on bank productivity: comparative evidence from Italy and Germany
197,GUV,,BBk Discussion Paper,The effects of privatization and consolidation on bank productivity: comparative evidence from Italy and Germany
198,MIDI,,BBk Discussion Paper,Who is afraid of political risk? Multinational firms and their choice of capital structure
199,BISTA,,BBk Discussion Paper,The price of liquidity: bank characteristics and market conditions
200,IFS-BASE,,BBk Discussion Paper,Sturm und Drang in money market funds: when money market funds cease to be narrow
201,BISTA. GUV,,BBk Discussion Paper,Real estate markets and bank distress
202,MIMIK,,BBk Discussion Paper,Real estate markets and bank distress
203,MIMIK,,BBk Discussion Paper,Stress testing of real credit portfolios
204,BISTA,,BBk Discussion Paper,The implications of latent technology regimes for competition and efficiency in banking
205,MIDI,,BBk Discussion Paper,Foreign (in)direct investment and corporate taxation
206,USTAN,,BBk Discussion Paper,Great moderation at the firm level? Unconditional versus conditional output volatility
207,BISTA,,International Journal of Banking Account and Finance,Which interest rate scenario is the worst one for a bank? Evidence from a tracking bank approach for German savings and cooperative banks
208,BISTA,,BBk Discussion Paper,The success of bank mergers revisited: an assessment based on a matching strategy
209,GUV,,BBk Discussion Paper,The success of bank mergers revisited: an assessment based on a matching strategy
210,ZentK,,BBk Discussion Paper,The success of bank mergers revisited: an assessment based on a matching strategy
211,BISTA,,Journal of Financial Stability,Monetary policy and financial (in)stability: An integrated micro–macro approach
212,GUV,,Journal of Financial Stability,Monetary policy and financial (in)stability: An integrated micro–macro approach
213,ZentK,,Journal of Financial Stability,Monetary policy and financial (in)stability: An integrated micro–macro approach
214,MIDI,,BBk Discussion Paper,The impact of thin-capitalization rules on multinationals' financing and investment decisions
215,BISTA,,BBk Discussion Paper,Analyzing the interest rate risk of banks using time series of accounting-based data: evidence from Germany
216,MIDI,,BBk Discussion Paper,Volatile multinationals? Evidence from the labor demand of German firms
217,USTAN,,BBk Discussion Paper,"Corporate marginal tax rate, tax loss carryforwards and investment functions: empirical analysis using a large German panel data set"
218,USTAN,,BBk Discussion Paper,Creditor concentration: an empirical investigation
219,BAKIS,,BBk Discussion Paper,Creditor concentration: an empirical investigation
220,MIMIK,,BBk Discussion Paper,Creditor concentration: an empirical investigation
221,USTAN,,BBk Discussion Paper,Relationship lending: empirical evidence for Germany
222,BAKIS,,BBk Discussion Paper,Relationship lending: empirical evidence for Germany
223,MIMIK,,BBk Discussion Paper,Relationship lending: empirical evidence for Germany
224,USTAN,,BBk Discussion Paper,Banking consolidation and small businessfinance: empirical evidence for Germany
225,BAKIS,,BBk Discussion Paper,Banking consolidation and small businessfinance: empirical evidence for Germany
226,MIMIK,,BBk Discussion Paper,Banking consolidation and small businessfinance: empirical evidence for Germany
227,BAKIS,,Journal of Financial Intermediation,How do banks adjust their capital ratios? Evidence from Germany
228,BAKIS,,BBk Discussion Paper,Diversification and the banks' risk-return-characteristics: evidence from loan portfolios of German banks
229,BISTA,,Journal of Financial Stability,Slippery slopes of stress: ordered failure events in German banking
230,GUV,,Journal of Financial Stability,Slippery slopes of stress: ordered failure events in German banking
231,ZentK,,Journal of Financial Stability,Slippery slopes of stress: ordered failure events in German banking
232,BISTA,,BBk Discussion Paper,"Efficient, profitable and safe banking: an oxymoron? Evidence from a panel VAR approach"
233,GUV,,BBk Discussion Paper,"Efficient, profitable and safe banking: an oxymoron? Evidence from a panel VAR approach"
234,MIMIK,,BBk Discussion Paper,Granularity adjustment for Basel II
235,BISTA,,BBk Discussion Paper,Industries and the bank lending effects of bank credit demand and monetary policy in Germany
236,MIMIK,,BBk Discussion Paper,Industries and the bank lending effects of bank credit demand and monetary policy in Germany
237,USTAN,,BBk Discussion Paper,Does trade openness increase firm-level volatility?
238,USTAN,,BBk Discussion Paper,The within-distribution business cycle dynamics of German firms
239,MIDI,,BBk Discussion Paper,Margins of multinational labor substitution
240,USTAN,,BBk Discussion Paper,Margins of multinational labor substitution
241,MIDI,,BBk Discussion Paper,How would formula apportionment in the EU affect the distribution and the size of the corporate tax base? An analysis based on German multinationals
242,MIDI,,BBk Discussion Paper,Internalization and internationalization under copeting real options
243,MIDI,,BBk Discussion Paper,Foreign direct investment in the enlarged EU: do taxes matter and to what extent?
244,BISTA,,BBk Discussion Paper,The cost efficiency of German banks: a comparison of SFA and DEA
245,GUV,,BBk Discussion Paper,The cost efficiency of German banks: a comparison of SFA and DEA
246,MIMIK,,BBk Discussion Paper,Sector concentration in loan portfolios and economic capital
247,BISTA,,BBk Discussion Paper,The stability of efficiency rankings when risk-preferences and objectives are different
248,GUV,,BBk Discussion Paper,The stability of efficiency rankings when risk-preferences and objectives are different
249,BAKIS,,BBk Discussion Paper,"Banks' regulatory buffers, liquidity networks and monetary policy transmission"
250,BAKIS,,BBk Discussion Paper,Does diversification improve the performance of German banks? Evidence from individual bank loan portfolios
251,MIMIK,,BBk Discussion Paper,Does diversification improve the performance of German banks? Evidence from individual bank loan portfolios
252,BAKIS,,BBk Discussion Paper,Heterogeneity in lending and sectoral growth: evidence from German bank-level data
253,MIMIK,,BBk Discussion Paper,Heterogeneity in lending and sectoral growth: evidence from German bank-level data
254,BISTA,,BBk Discussion Paper,Heterogeneity in lending and sectoral growth: evidence from German bank-level data
255,MIDI,,BBk Discussion Paper,Exports versus FDI in German manufacturing: firm performance and participation in international markets
256,USTAN,,BBk Discussion Paper,Going multinational: What are the effects on home market performance?
257,MIDI,,BBk Discussion Paper,Going multinational: What are the effects on home market performance?
258,MIMIK,,BBk Discussion Paper,Finance and growth in a bank-based economy: is it quantity or quality that matters?
259,MIDI,,BBk Discussion Paper,Trade balances of the central and east European EU member states and the role of foreign direct investment
260,USTAN,,BBk Discussion Paper,The cross-sectional dynamics of German business cycles: a bird's eye view
261,BISTA,,BBk Discussion Paper,Inefficient or just different? Effects of heterogeneity on bank efficiency scores
262,GUV,,BBk Discussion Paper,Inefficient or just different? Effects of heterogeneity on bank efficiency scores
263,USTAN,,BBk Discussion Paper,Time series properties of a rating system based on financial ratios
264,BISTA,,BBk Discussion Paper,Evaluating the German bank merger wave
265,GUV,,BBk Discussion Paper,Evaluating the German bank merger wave
266,ZentK,,BBk Discussion Paper,Evaluating the German bank merger wave
267,BISTA,,BBk Discussion Paper,The eurosystem money market auctions: a banking perspective
268,BISTA,,BBk Discussion Paper,Accounting for distress in bank mergers
269,GUV,,BBk Discussion Paper,Accounting for distress in bank mergers
270,ZentK,,BBk Discussion Paper,Accounting for distress in bank mergers
271,MIDI,,BBk Discussion Paper,Business cycles and FDI: evidence from German sectoral data
272,MIMIK,,BBk Discussion Paper,German bank lending to industrial and non-industrial countries: driven by fundamentals or different treatment?
273,MIDI,, Review of World Economics (Weltwirtschaftliches Archiv) ,Taxes and the financial structure of German inward FDI
274,VJKRE,,BBk Discussion Paper,Do banks diversify loan portfolios? A tentative answer based on individual bank loan portfolios
275,BISTA,,BBk Discussion Paper,Measurement matters: Input price proxies and bank efficiency in Germany
276,GUV,,BBk Discussion Paper,Measurement matters: Input price proxies and bank efficiency in Germany
277,MIDI,,BBk Discussion Paper,Clustering or competition? The foreign investment behaviour of German banks
278,BISTA,,BBk Discussion Paper,Clustering or competition? The foreign investment behaviour of German banks
279,GUV,,BBk Discussion Paper,Clustering or competition? The foreign investment behaviour of German banks
280,MIMIK,,BBk Discussion Paper,How will Basel II affect bank lending to emerging markets? An analysis based on German bank level data
281,MIDI,,BBk Discussion Paper,FDI versus cross-border financial services: The globalisation of German banks
282,BISTA,,BBk Discussion Paper,FDI versus cross-border financial services: The globalisation of German banks
283,GUV,,BBk Discussion Paper,FDI versus cross-border financial services: The globalisation of German banks
284,MIMIK,,BBk Discussion Paper,German bank lending during emerging market crises: A bank level analysis
285,BISTA,,BBk Discussion Paper,Does capital regulation matter for bank behaviour? Evidence for German savings banks
286,MIDI,,BBk Discussion Paper,"Does co-financing by multilateral development banks increase ""risky"" direct investment in emerging markets'"
287,USTAN,,BBk Discussion Paper,Forecasting Credit Portfolio Risk
288,MIDI,,BBk Discussion Paper,Foreign Bank Entry into Emerging Economies: An Empirical Assessment of the Determinants and Risks Predicated on German FDI Data
289,MIDI,,BBk Discussion Paper,Determinants of German Foreign Direct Investment in Latin American and Asian Emerging Markets in the 1990s
290,MIDI,,Economic Policy 20 ,Determinants of German FDI: New Evidence from Micro-Data
291,USTAN,,BBk Discussion Paper,A Vectorautoregressive Investment Model (VIM) and Monetary Policy Transmission: Panel Evidence from German Firms
292,USTAN,,BBk Discussion Paper,Dynamic Q-investment functions for Germany using panel balance sheet data and a new algorithm for the capital stock at replacement values
293,BISTA,,BBk Discussion Paper,Estimating Bilateral Exposures in the German Interbank Market: Is there a Danger of Contagion?
294,BISTA,,BBk Discussion Paper,Testing for Competition Among German Banks
295,GUV,,BBk Discussion Paper,Testing for Competition Among German Banks
296,USTAN,,BBk Discussion Paper,Firm Investment and Monetary Policy Transmission in the Euro Area
297,USTAN,,BBk Discussion Paper,Monetary transmission in Germany: New Perspectives on Financial Constraints and Investment Spending
298,BISTA,,BBk Discussion Paper,Monetary policy effects on bank loans in Germany: A panel-econometric analysis
299,BISTA,,BBk Discussion Paper,Interbank lending and monetary policy transmission: evidence for Germany
300,USTAN,,BBk Discussion Paper,Exploring the role of uncertainty for corporate investment decisions in Germany
301,USTAN,,BBk Discussion Paper,Enterprises' financing structure and their response to monetary policy stimuli: An analysis based on the Deutsche Bundesbank's corporate balance sheet statistics
302,MIDI,,"International Tax and Public Finance, volume 16(3), pp. 298-320",The impact of nonprofit taxes on foreign direct investment: Evidence from German multinationals
303,MIDI,,Quarterly Journal of Economics,Global Production with Export Platforms
304,MIDI,,"The Review of Economics and Statistics, volume 98(4), pp. 713–727",Multinational Firms and Tax Havens
305,MIDI,,"Journal of Public Economics, volume 156, pp. 131-149",Evaluating the effects of ACE systems on multinational debt financing and investment
306,MIMIK,,,What happens if private accounting information becomes public? The case of access to bank debt
307,USTAN,,,What happens if private accounting information becomes public? The case of access to bank debt
