datasets,doi,journal,search_term,title,url,pdf
dataset-623,10.1016/j.landurbplan.2017.07.003,Landscape and Urban Planning,C-CAP data,Evaluating the effects of open space configurations in reducing flood damage along the Gulf of Mexico coast,https://www.sciencedirect.com/science/article/pii/S0169204617301652?via%3Dihub,https://www.sciencedirect.com/science/article/pii/S0169204617301652/pdfft?md5=cca51bbaabb3ac0f101f974196202e5e&pid=1-s2.0-S0169204617301652-main.pdf
dataset-623,10.1007/s12237-017-0209-2,Chesapeake Science,C-CAP data,Changes in Habitat Availability for Multiple Life Stages of Diamondback Terrapins (Malaclemys terrapin) in Chesapeake Bay in Response to Sea Level Rise,https://link.springer.com/article/10.1007%2Fs12237-017-0209-2,https://link.springer.com/content/pdf/10.1007/s12237-017-0209-2.pdf
dataset-623,10.1016/j.ocecoaman.2016.12.014,Ocean & Coastal Management,C-CAP data,Threatened protection: Sea level rise and coastal protected lands of the eastern United States,https://doi.org/10.1016/j.ocecoaman.2016.12.014,https://www.sciencedirect.com/science/article/pii/S096456911630429X/pdfft?md5=a5c5bd6f2fdacecc08b85c3a71d920eb&pid=1-s2.0-S096456911630429X-main.pdf
dataset-623,10.1175/mwr-d-16-0149.1,Monthly Weather Review,C-CAP data,A Measure-Theoretic Algorithm for Estimating Bottom Friction in a Coastal Inlet: Case Study of Bay St. Louis during Hurricane Gustav (2008),https://journals.ametsoc.org/doi/10.1175/MWR-D-16-0149.1,https://journals.ametsoc.org/doi/pdf/10.1175/MWR-D-16-0149.1
dataset-623,10.14358/pers.82.9.711,Photogrammetric Engineering & Remote Sensing,C-CAP data,Accuracy Assessment of NOAA Coastal Change Analysis Program 2006-2010 Land Cover and Land Cover Change Data,https://www.ingentaconnect.com/content/asprs/pers/2016/00000082/00000009/art00018#,http://docserver.ingentaconnect.com/deliver/connect/asprs/00991112/v82n9/s18.pdf?expires=1578085685&id=0000&titleid=72010567&checksum=DA8B3344D593E022FE9B2B04F10CFE36
dataset-623,10.1080/13658816.2016.1144886,International Journal of Geographical Information Science,C-CAP data,The impact of Hurricane Katrina on urban growth in Louisiana: an analysis using data mining and simulation approaches,https://www.tandfonline.com/doi/full/10.1080/13658816.2016.1144886,https://www.tandfonline.com/doi/pdf/10.1080/13658816.2016.1144886?needAccess=true
dataset-623,10.3390/land5030025,Land,C-CAP data,Analysis and Prediction of Land Use Changes Related to Invasive Species and Major Driving Forces in the State of Connecticut,http://www.mdpi.com/2073-445X/5/3/25/pdf,https://www.mdpi.com/2073-445X/5/3/25/pdf
dataset-623,10.3390/rs70911695,Remote Sensing,C-CAP data,Evaluation of Airborne Lidar Elevation Surfaces for Propagation of Coastal Inundation: The Importance of Hydrologic Connectivity,https://doi.org/10.3390/rs70911695,https://www.mdpi.com/2072-4292/7/9/11695/pdf
dataset-623,10.1007/s12237-014-9855-9,Estuaries and Coasts,C-CAP data,A National Assessment of Stressors to Estuarine Fish Habitats in the Contiguous USA,https://link.springer.com/article/10.1007%2Fs12237-014-9855-9,https://link.springer.com/content/pdf/10.1007/s12237-014-9855-9.pdf
dataset-623,10.4031/mtsj.49.2.13,Marine Technology Society Journal,C-CAP data,The National Ocean Service: Positioning America for the Future,https://www.ingentaconnect.com/content/mts/mtsj/2015/00000049/00000002/art00003#expand/collapse,
dataset-623,10.1007/s10661-015-4298-8,Environmental Monitoring and Assessment,C-CAP data,Modeling land use and land cover changes in a vulnerable coastal region using artificial neural networks and cellular automata,https://link.springer.com/article/10.1007%2Fs10661-015-4298-8,https://link.springer.com/content/pdf/10.1007%2Fs10661-015-4298-8.pdf
dataset-623,10.1007/s12237-013-9647-7,Estuaries and Coasts,C-CAP data,Stakeholder Perceptions of Coastal Habitat Ecosystem Services,https://link.springer.com/article/10.1007%2Fs12237-013-9647-7,https://link.springer.com/content/pdf/10.1007/s12237-013-9647-7.pdf
dataset-623,10.3390/rs6087424,Remote Sensing,C-CAP data,The Multi-Resolution Land Characteristics (MRLC) Consortium - 20 Years of Development and Integration of USA National Land Cover Data,https://www.mdpi.com/2072-4292/6/8/7424/pdf,https://www.mdpi.com/2072-4292/6/8/7424/pdf
dataset-623,10.1080/10106049.2013.798357,Geocarto International,C-CAP data,"Geospatial method for computing supplemental multi-decadal US coastal land use and land cover classification products, using Landsat data and C-CAP products",http://hdl.handle.net/2060/20120014242,https://www.tandfonline.com/doi/pdf/10.1080/10106049.2013.798357?needAccess=true
dataset-623,10.1007/s10661-014-3631-y,Environmental Monitoring and Assessment,C-CAP data,Application of a three-tier framework to assess ecological condition of Gulf of Mexico coastal wetlands,https://link.springer.com/article/10.1007%2Fs10661-014-3631-y,https://link.springer.com/content/pdf/10.1007%2Fs10661-014-3631-y.pdf
dataset-623,10.1080/02723646.2014.898126,Physical Geography,C-CAP data,"Spatial persistence and temporal patterns in vegetation cover across Florida, 1982-2006",https://www.tandfonline.com/doi/full/10.1080/02723646.2014.898126,https://www.tandfonline.com/doi/pdf/10.1080/02723646.2014.898126?needAccess=true
dataset-623,10.1002/2013jc009604,Journal of Geophysical Research Oceans,C-CAP data,Uncertainty in hurricane surge simulation due to land cover specification,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2013JC009604,https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1002/2013JC009604
dataset-623,10.1016/j.landurbplan.2013.05.004,Landscape and Urban Planning,C-CAP data,"Identifying, quantifying and classifying agricultural opportunities for land use planning",https://www.sciencedirect.com/science/article/pii/S0169204613001072?via%3Dihub,https://www.sciencedirect.com/science/article/pii/S0169204613001072/pdfft?md5=f34dc7895a8efcb8e7cdef18dc920806&pid=1-s2.0-S0169204613001072-main.pdf
dataset-623,10.1111/gcb.12126,Global Change Biology,C-CAP data,Winter climate change and coastal wetland foundation species: salt marshes vs. mangrove forests in the southeastern United States,https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.12126,https://onlinelibrary.wiley.com/doi/epdf/10.1111/gcb.12126
dataset-623,10.1016/j.ecohyd.2013.03.003,Ecohydrology & Hydrobiology,C-CAP data,Temporal land cover analysis for net ecosystem improvement,https://www.sciencedirect.com/science/article/pii/S1642359313000074?via%3Dihub,https://www.sciencedirect.com/science/article/pii/S1642359313000074/pdfft?md5=b8d0c60c90f80047875edabf7e8cd9cb&pid=1-s2.0-S1642359313000074-main.pdf
dataset-623,10.1007/s11270-011-1007-2,"Water, Air, & Soil Pollution",C-CAP data,"Relationship Between Watershed Land-Cover/Land-Use Change and Water Turbidity Status of Tampa Bay Major Tributaries, Florida, USA",https://link.springer.com/article/10.1007%2Fs11270-011-1007-2,https://link.springer.com/content/pdf/10.1007/s11270-011-1007-2.pdf
dataset-623,10.2747/1548-1603.49.2.202,GIScience & Remote Sensing,C-CAP data,Observational Scale and Modeled Potential Residential Loss from a Storm Surge,https://www.tandfonline.com/doi/abs/10.2747/1548-1603.49.2.202,https://www.tandfonline.com/doi/pdf/10.2747/1548-1603.49.2.202?needAccess=true
dataset-623,10.1016/j.jhydrol.2012.01.023,Journal of Hydrology,C-CAP data,Hydrologic effect of groundwater development in a small mountainous tropical watershed,https://www.sciencedirect.com/science/article/pii/S0022169412000662?via%3Dihub,https://www.sciencedirect.com/science/article/pii/S0022169412000662/pdfft?md5=bc1bbed563d5607039bf968b0a3fed83&pid=1-s2.0-S0022169412000662-main.pdf
dataset-623,10.1559/152304063913,Cartography and Geographic Information Science,C-CAP data,A Process Oriented Areal Interpolation Technique: A Coastal County Example,https://www.tandfonline.com/doi/abs/10.1559/152304063913,https://www.tandfonline.com/doi/pdf/10.1559/152304063913?needAccess=true
dataset-623,10.1111/j.1365-2486.2011.02497.x,Global Change Biology,C-CAP data,"The impact of sea-level rise on Snowy Plovers in Florida: integrating geomorphological, habitat, and metapopulation models",https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2486.2011.02497.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1365-2486.2011.02497.x
dataset-623,10.1007/s00267-011-9690-8,Environmental Management,C-CAP data,The Vulnverability Cube: A Multi-Dimensional Framework for Assessing Relative Vulnerability,https://link.springer.com/content/pdf/10.1007%2Fs00267-011-9690-8.pdf,https://link.springer.com/content/pdf/10.1007%2Fs00267-011-9690-8.pdf
dataset-623,10.1109/geoinformatics.2011.5981058,,C-CAP data,"Data Application of Multi-temporal and Multi-source Data for Land Cover Change Detection in Guam, USA",https://ieeexplore.ieee.org/document/5981058,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5981058
dataset-623,10.1007/s11852-010-0127-y,Journal of Coastal Conservation,C-CAP data,"An assessment of coastal land-use and land-cover change from 1974-2008 in the vicinity of Mobile Bay, Alabama",https://link.springer.com/article/10.1007%2Fs11852-010-0127-y,https://link.springer.com/content/pdf/10.1007%2Fs11852-010-0127-y.pdf
dataset-623,10.1007/s10661-010-1381-z,Environmental Monitoring and Assessment,C-CAP data,"An environmental assessment of a small shallow lake (Little Black Lake, MI) threatened by urbanization",https://link.springer.com/article/10.1007%2Fs10661-010-1381-z,https://link.springer.com/content/pdf/10.1007/s10661-010-1381-z.pdf
dataset-623,10.1016/j.jhydrol.2010.06.002,Journal of Hydrology,C-CAP data,"An analysis of the relationship between land use and arsenic, vanadium, nitrate and boron contamination in the Gulf Coast aquifer of Texas",https://www.sciencedirect.com/science/article/pii/S0022169410003379?via%3Dihub,https://www.sciencedirect.com/science/article/pii/S0022169410003379/pdfft?md5=1c59e4ec3b1272b3b8911055e4c93113&pid=1-s2.0-S0022169410003379-main.pdf
dataset-623,10.1007/s00267-010-9453-y,Environmental Management,C-CAP data,A Water Quality Model for Regional Stream Assessment and Conservation Strategy Development,https://link.springer.com/article/10.1007%2Fs00267-010-9453-y,https://link.springer.com/content/pdf/10.1007/s00267-010-9453-y.pdf
dataset-623,10.1016/j.apgeog.2008.08.009,Applied Geography,C-CAP data,Tsunami exposure estimation with land-cover data: Oregon and the Cascadia subduction zone,https://www.sciencedirect.com/science/article/pii/S0143622808000490?via%3Dihub,https://www.sciencedirect.com/science/article/pii/S0143622808000490/pdfft?md5=8b199e4872babb93785ab9ebff425c99&pid=1-s2.0-S0143622808000490-main.pdf
dataset-623,10.1111/j.1752-1688.2008.00215.x,JAWRA Journal of the American Water Resources Association,C-CAP data,Estimating the Variability and Confidence of Land Use and Imperviousness Relationships at a Regional Scale1,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1752-1688.2008.00215.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1752-1688.2008.00215.x
dataset-623,10.3394/0380-1330(2006)32[607:lulcci]2.0.co;2,Journal of Great Lakes Research,C-CAP data,Land Use Land Cover Change in the U.S. Great Lakes Basin 1992 to 2001,https://bioone.org/journals/Journal-of-Great-Lakes-Research/volume-32/issue-3/0380-1330(2006)32[607:LULCCI]2.0.CO;2/Land-Use-Land-Cover-Change-in-the-US-Great-Lakes/10.3394/0380-1330(2006)32[607:LULCCI]2.0.CO;2.full,https://bioone.org/journalArticle/Download?fullDOI=10.3394%2F0380-1330(2006)32%5B607%3ALULCCI%5D2.0.CO%3B2
dataset-623,10.1109/amtrsi.2005.1469868,IEEE,C-CAP data,GIS Management Tools for Estimating Change Trends in Surface Water Quality: An Application of Multi-Temporal Land Cover Data,https://ieeexplore.ieee.org/document/1469868,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1469868
dataset-623,10.1109/amtrsi.2005.1469874,IEEE,C-CAP data,The Coastal Change Analysis Program: Mapping Change and Monitoring Change Trends in the Coastal Zone,https://ieeexplore.ieee.org/document/1469874,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1469874
dataset-623,10.1080/014311699213163,International Journal of Remote Sensing,C-CAP data,Mapping coastal ecosystems over a steep development gradient using C-CAP protocols,https://www.tandfonline.com/doi/abs/10.1080/014311699213163,https://www.tandfonline.com/doi/abs/10.1080/014311699213163?needAccess=true#aHR0cHM6Ly93d3cudGFuZGZvbmxpbmUuY29tL2RvaS9wZGYvMTAuMTA4MC8wMTQzMTE2OTkyMTMxNjM/bmVlZEFjY2Vzcz10cnVlQEBAMA==
