doi,journal,keywords,title,url,dataset
,,"Linkages - analyzed,IRI,Nutrtion Facts Panel,Nutrition Facts Label,Added Sugar,Breakfast Cereal,Analysis",Simulating the Effect of the Nutritionh Fact Label Revision: Added Sugar and the Demand for Ready-to_Eat Breakfast Cereals,https://www.ifama.org/resources/Documents/v17ia/Lin-Guthrie-Rahlovsky-Lin-Lee.pdf,",,dataset-001,dataset-002,dataset-017,,,"
,,"Linkages - analyzed,IRI",Linking IRI Data to USDA Nutrition Databases to Measure Diet Quality,,",,dataset-001,dataset-002,,,,"
,,"Linkages - analyzed,Diet cost,Grand Forks",Targeted food substitutions can lower daily food costs in the United States: A modeling study,,",,,,,,,"
10.1093/qje/qjz015,,"PPC - analyzed,food deserts,Inequality,grocery demand estimation,nutrition policy,Econ Tier 1",Food Deserts and the Causes of Nutritional Inequality,https://doi.org/10.1093/qje/qjz015,"dataset-031,,dataset-300,,,,,"
,,"Linkages - analyzed,IRI - analyzed,Scanner data,IRI InfoScan,IRI Consumer Network,Food and Nutrient Database for Dietary Studies,FNDDS,USDA National Nutrient Database for Standard Reference,SR,Food Patterns Equivalents Database,FPED,Food Patterns Equivalents Ingredient Database,FPID,probabilistic matching,semantic matching,healthy diets,Healthy Eating Index,HEI,Dietary Guidelines for Americans",Linking USDA Nutrition Databases to IRI Household-Based and Store-Based Scanner Data,,",,dataset-001,dataset-002,dataset-057,,,"
,,IRI,Describing U.S. Households Food Purchasing Patterns across Poverty and Urban Status: The EFSNE project Market Basket ,,",,dataset-001,dataset-002,,,,"
,,IRI,Does a nutritious diet cost more in food deserts? ,,",,dataset-001,dataset-002,,,,"
,,IRI,IS THE FOCUS ON FOOD DESERTS FRUITLESS? RETAIL ACCESS AND FOOD PURCHASES ACROSS THE SOCIOECONOMIC SPECTRUM ,,",,dataset-001,dataset-002,,,,"
,,IRI,FoodAPS Data Now Available to the General Public ,,",,dataset-001,dataset-002,,,,"
10.1007/s11205-010-9655-y,,,"Exercise, eating patterns, and obesity: Evidence from the ATUS and its eating & health module",https://link.springer.com/article/10.1007/s11205-010-9655-y,",,,,,,,"
10.1177/0042098017740285,,IRI,Supply-side subsidies to improve food access and dietary outcomes: Evidence from the New Markets Tax Credit,https://www.doi.org/10.1177/0042098017740285,",,dataset-001,dataset-002,,,,"
10.1016/j.ypmed.2016.08.018,,IRI,The healthfulness of food and beverage purchases after the federal food package revisions: The case of two New England states,https://www.doi.org/10.1016/j.ypmed.2016.08.018,",,dataset-001,dataset-002,,,,"
10.1093/ajae/aay002,,"Anti-poverty programs,IRI,food and nutrition policy, fruits and vegetables, infant health, in-,dex numbers, panel price indices, public assistance, purchasing power, SNAP, WIC.,Econ Tier 1","Spatial and Temporal Variation in the Value of the Women, Infants, and Children Program’s Fruit and Vegetable Voucher",https://www.doi.org/10.1093/ajae/aay002,"dataset-026,,dataset-001,dataset-002,,,,"
10.1177/0890117118786871,,"Dietary Guidelines for Americans,USDA Thrifty food plans,childhood obesity,food shopping channels,food-at-home expenditures,IRI","The Healthfulness of Food-at-Home Expenditures, the Local Food Environment, and Childhood Obesity",https://www.ncbi.nlm.nih.gov/pubmed/30004249,",,dataset-001,dataset-002,,,,"
10.1093/aepp/ppy018,,IRI,Documenting the Link Between Poor Food Access and Less Healthy Product Assortment Across the U.S,https://www.doi.org/10.1093/aepp/ppy018,",,dataset-001,dataset-002,,,,"
10.1080/15140326.2018.1526869,,IRI,A new approach to estimate household food demand with panel data,https://www.doi.org/10.1080/15140326.2018.1526869,",,dataset-001,dataset-002,,,,"
10.1080/10454446.2018.1428259,,IRI,A comparative analysis of hedonic models of nutrition information and health claims on food products: An application to soup products,https://www.doi.org/10.1080/10454446.2018.1428259,",,dataset-001,dataset-002,,,,"
10.3168/jds.2015-10410,,"Commerce/*economics,Dairy Products/*economics,Empirical Research,United States,dairy food products,market power,retail concentration,retail price,IRI",The effects of retail concentration on retail dairy product prices in the United States,https://www.ncbi.nlm.nih.gov/pubmed/27060827,",,dataset-001,dataset-002,,,,"
10.1093/erae/jby026,,IRI,The relationship between price and retail concentration: evidence from the US food industry,https://www.doi.org/10.1093/erae/jby026,",,dataset-001,dataset-002,,,,"
10.1093/erae/jbv032,,IRI,Consumers' welfare and off-season produce imports,https://www.doi.org/10.1093/erae/jbv032,",,dataset-001,dataset-002,,,,"
10.1007/s10603-018-9396-x,,IRI,Evidence from Retail Food Markets That Consumers Are Confused by Natural and Organic Food Labels,https://www.doi.org/10.1007/s10603-018-9396-x,",,dataset-001,dataset-002,,,,"
10.1371/journal.pone.0124351,,IRI,"Relationships between Diet, Alcohol Preference, and Heart Disease and Type 2 Diabetes among Americans",https://www.doi.org/10.1371/journal.pone.0124351,",,dataset-001,dataset-002,,,,"
10.1177/0890117117740935,,"Chronic Disease/*drug therapy/psychology/therapy,Female,Food/statistics & numerical data,Healthy Diet/psychology/*statistics & numerical data,Humans,Linear Models,Male,Middle Aged,Nutrition Assessment,Prescription Drugs/*therapeutic use,chronic disease,diet,drugs,food purchases,moral hazard,IRI","Chronic Disease, Prescription Medications, and Food Purchases",https://www.ncbi.nlm.nih.gov/pubmed/29284282,",,dataset-001,dataset-002,,,,"
10.1016/j.jand.2017.01.011,,"Beverages/*statistics & numerical data,Consumer Behavior/*statistics & numerical data,Cross-Sectional Studies,Dietary Fats,Dietary Sucrose,Family Characteristics,Food/*statistics & numerical data,Food Labeling/*methods,Food Preferences/psychology,Humans,*Nutritive Value,Sodium, Dietary,United States,Food labeling,Food marketing,Front-of-package food labels,Nutrient claims,Packaged foods and beverages,IRI","No Fat, No Sugar, No Salt . . . No Problem? Prevalence of ""Low-Content"" Nutrient Claims and Their Associations with the Nutritional Profile of Food and Beverage Purchases in the United States",https://www.ncbi.nlm.nih.gov/pubmed/28330730,",,dataset-001,dataset-002,,,,"
10.1111/agec.12143,,IRI,The quantity and variety of households’ meat purchases: A censored demand system approach,https://www.doi.org/10.1111/agec.12143,",,dataset-001,dataset-002,,,,"
10.1111/agec.12222,,IRI,Modeling price transmission between farm and retail prices: a soft switches approach,https://www.doi.org/10.1111/agec.12222,",,dataset-001,dataset-002,,,,"
10.2105/ajph.2011.101101868,,"History, 20th Century,Humans,Insurance, Life/*history,Public Health/*history,United States,IRI",The relation of life insurance to public hygiene.,https://www.ncbi.nlm.nih.gov/pubmed/21917618,",,dataset-001,dataset-002,,,,"
,,,Socioeconomic trends in household food expenditures: Comparing objective food shopping receipts vs. self-reports ,https://digital.lib.washington.edu/researchworks/handle/1773/25447,",,dataset-314,,,,,"
10.1186/s12889-018-5266-3,BMC public health,"Adult,Body Mass Index,Child, Preschool,Feasibility Studies,Female,Follow-Up Studies,Health Promotion methods,organization & administration,Hispanic Americans,statistics & numerical data,Home Care Services,Humans,Male,Pediatric Obesity,ethnology,prevention & control,Pennsylvania,Pilot Projects,Program Evaluation,Flexible Consumer Behavior Survey,FCBS,NonE Tier 1,Citation","ANDALE Pittsburgh: results of a promotora-led, home-based intervention to promote a healthy weight in Latino preschool children",http://www.ncbi.nlm.nih.gov/pubmed/29548321,"dataset-301,,,,,,,"
,,"Maternal,Flexible Consumer Behavior Survey,FFCBS",Mother Feeding Style and Health Outcomes of Children,,"dataset-301,,,,,,,"
10.1093/aepp/ppu039,,"SNAP cycle,Adults,Caloric intake,Diet quality,American Recovery and Reinvestment Act,ARRA,NHANES,FCBS,Flexible Consumer Behavior Survey,Econ Tier 1","Revisiting the Supplemental Nutrition Assistance Program cycle of food intake: Investigating heterogeneity, diet quality, and a large boost in benefit amounts",https://www.doi.org/10.1093/aepp/ppu039,"dataset-026,,,,,dataset-017,,"
,,"nutrition transition,obesity,public policy,supermarket revolution,thailand,global health,Urban agriculture,FCBS,Flexible Consumer Behavior Survey","Grocery Shopping Destination Choice and Obesity: An Empirical Study of Urban Population in Bangkok, Thailand",http://hdl.handle.net/1920/10615,"dataset-301,,,,,,,"
10.1016/j.conctc.2018.03.001,Contemporary clinical trials communications,"clinical modification,electronic helath record,patiente centered ooutcomes,coronary heart disease,hypertension,FCBS,Flexible Consumer Behavior Survey,nonE Tier 3,Analyzed",Design and outcomes of the Patient Centered Outcomes Research Institute coronary heart disease cohort study,http://www.ncbi.nlm.nih.gov/pubmed/29696157,"dataset-301,,,,,,,"
10.1016/j.ehb.2015.08.006,Economics and human biology,"Adult,Aged,American Recovery and Reinvestment Act,statistics & numerical data,Beverages/statistics & numerical data,Diet,Energy Intake,Feeding Behavior,Female,Food Assistance,Humans,Male,Middle Aged,Nutrition Surveys,Nutritional Status,Poverty,Socioeconomic Factors,Sweetening Agents,United States,Young Adult,FCBS,Flexible Consumer Behavior Survey,NHANES,Supplemental Nutritional Assistance,Program,Diet quality,Econ Tier 2,Analyzed",Did the 2009 American Recovery and Reinvestment Act affect dietary intake of low-income individuals?,http://www.ncbi.nlm.nih.gov/pubmed/26414481,",,,,,dataset-017,,"
,,"women,poverty,NHANES,food insecurity,healthy lifestyle characteristics,FCBS,Flexible Consumer Behavior Survey,Citation","Exploring the Relationship of Healthy Lifestyle Characteristics with Food Behaviors of Low-Income, Food Insecure Women in the United States",,",,,,,dataset-017,,"
10.1093/ajcn/nqz064,The American journal of clinical nutrition,"plant-protein diets,animal-protein diets,diet cost,diet quality,protein consumption,attitudes,sociodemographic drivers,Flexible Consumer Behavior Survey,FCBS,NonE Tier 1,Analyzed","Plant- and animal-protein diets in relation to sociodemographic drivers, quality, and cost: findings from the Seattle Obesity Study",http://www.ncbi.nlm.nih.gov/pubmed/31172179,"dataset-301,,,,,,,"
10.1016/j.jand.2013.06.006,Journal of the Academy of Nutrition and Dietetics,"Adult,Attitude to Health,Commerce,Costs and Cost Analysis,Diet,economics,Diet Surveys,Educational Status,Energy Intake,Female,Food economics,Food Quality,Fruit,Health Education,Health Promotion,Humans,Male,Middle Aged,Obesit,epidemiology,Social Class,Socioeconomic Factors,Surveys and Questionnaires,Telephone,Vegetables,Washington,Flexible Consumer Behavior Survey,FCBS,Flexible consumer Module,Analyzed",Positive attitude toward healthy eating predicts higher diet quality at all cost levels of supermarkets,http://www.ncbi.nlm.nih.gov/pubmed/23916974,"dataset-301,,,,,,,"
10.1016/j.amepre.2014.07.033,American journal of preventive medicine,"Adult,Cooking,Cross-Sectional Studies,statistics & numerical data,Eating/physiology/psychology,Feeding Behavior,ethnology/physiology,psychology,Female,Food/classification/standards,Health Behavior,Humans,Male,Middle Aged,Restaurants/standards/statistics & numerical data,Socioeconomic Factors,Surveys and Questionnaires,Time Factors,United States,FCBS module,Flexible Consumer Behavior Survey,FCBS,Non Econ Tier 1,Citation",Time spent on home food preparation and indicators of healthy eating,http://www.ncbi.nlm.nih.gov/pubmed/25245799,"dataset-301,,,,,,,"
10.1017/S1368980013002267,Public health nutrition,"Activities of Daily Living,Adult,Age Factors,Aged,Aged, 80 and over,Cohort Studies,Cooking,Cooperative Behavior,Cross-Sectional Studies,Educational Status,Family Characteristics,Female,Food economics,Humans,Interpersonal Relations,Male,Meals,Middle Aged,Nutrition Surveys,Sex Characteristics,United States,Young Adult,FCBS,Flexible Consumer Behavior Survey,Non Econ Tier 1,analyzed","The influence of gender, age, education and household size on meal preparation and food shopping responsibilities",http://www.ncbi.nlm.nih.gov/pubmed/23988018,"dataset-301,,,,,,,"
10.1016/j.foodpol.2019.05.003,,"FCBS,Flexible Consumer Behavior Survey,Diet quality,Nutrition labels,Dietary information,Food characteristics,Socioeconomic status,Oaxaca-Blinder decomposition,Econ Tier 1,Analyzed",What is driving increases in dietary quality in the United States?,https://www.doi.org/10.1016/j.foodpol.2019.05.003,"dataset-301,,,,,,,"
,,"FCBS,Flexible Consumer Behavior Survey,Metabolic Syndrome,Diet Quality,Sugar Intake,Consumer Behaviors,Linear and logistic regression",Consumer Behaviors Added Sugar Intake Diet Quality Inflammation and Metabolic Syndrom Risks among Adults from the National Health and Nutrition Examination Survey,https://scholarworks.umass.edu/dissertations_2/1225,"dataset-301,,,,,,,"
,,"FCBS,Flexible Consumer Behavior Survey",Broccoli or Burgers? Food Law’s Policy Impact on the Marketplace and Eating Habits,,"dataset-301,,,,,,,"
10.1016/j.jfca.2014.12.018,,"FCBS,Flexible Consumer Behavior Survey,Sodium,Sodium density,Table salt,Restaurants,Menu,Fast food,Food industry,Food composition,Food analysis,Non Econ Tier 1,Citation",Unsavory choices: The high sodium density of U.S. chain restaurant foods,https://doi.org/10.1016/j.jfca.2014.12.018,"dataset-301,,,,,,,"
,,"Food waste,Nutrition,Portion size,Public health,Restaurant,Nutrition,FCBS,Flexible Consumer Behavior Survey","Providing flexible food portions in a restaurant setting: Impact on business operations, food consumption and food waste.",http://hdl.handle.net/11299/172592,"dataset-301,,,,,,,"
,,"FCBS,Flexible Consumer Behavior Survey",Which Agricultural Sectors Benefit from the Low-carbohydrate Diet Movement: a Survey of Consumer Perceptions of Healthy Food Substitutes on a Low-carbohydrate Diet,https://shareok.org/handle/11244/25646,"dataset-301,,,,,,,"
10.1016/j.appet.2016.03.006,Appetite,"Adult,Body Mass Index,Body Weight,Child,Child Behavior,Choice Behavior,Cooking,Diet,Eating,Educational Status,Exercise,Fast Foods,Female,Food Preferences,Fruit,Fruit and Vegetable Juices,Health Behavior,Health Promotion,methods,Healthy Diet,Humans,Income,Male,Meals,Middle Aged,Nutrition Surveys,Parent-Child Relations,Pediatric Obesity,prevention & control,Pilot Projects,Surveys and Questionnaires,United States,Vegetables,Whole Grains,FCBS,Flexible Consumer Behavior Survey,Non Econ Tier 1",Food-related behavior and intake of adult main meal preparers of 9-10 year-old children participating in iCook 4-H: A five-state childhood obesity prevention pilot study,http://www.ncbi.nlm.nih.gov/pubmed/26970294,"dataset-301,,,,,,,"
,,"Flexible Consumer Behavior Survey,FCBS,peer-education,culinary skills,nutrition education",Culinary Skills: Immediate and Intermediate Impacts of A Peer-Education Intervention for Adolescents,http://hdl.handle.net/2142/95552,"dataset-301,,,,,,,"
,,"Flexible Consumer Behavior Survey,FCBS,Citation",Socioeconomic trends in household food expenditures: Comparing objective food shopping receipts vs. self-reports,https://pdfs.semanticscholar.org/d472/f1f6daa39baa72b70f640842becca4d3dbaf.pdf,"dataset-301,,,,,,,"
10.3148/cjdpr-2018-025,Canadian journal of dietetic practice and research : a publication of Dietitians of Canada = Revue canadienne de la pratique et de la recherche en dietetique : une publication des Dietetistes du Canada,"Adolescent,Breakfast,Canada,Cooking,statistics & numerical data,Diet/statistics & numerical data,Feeding Behavior,Female,Food,Fruit,Health Behavior,Health Knowledge, Attitudes, Practice,Healthy Diet/statistics & numerical data,Humans,Male,Meals,Vegetables,Young Adult,Flexible Consumer Behavior Survey,FCBS,Non Econ Tier3","Grocery Shopping, Dinner Preparation, and Dietary Habits among Adolescents and Young Adults in Canada",http://www.ncbi.nlm.nih.gov/pubmed/30280918,"dataset-301,,,,,,,"
10.1080/19325037.2016.1179607,American journal of health education,"FCBS,Flexible Consumer Behavior Survey,Citation,NonE Tier 3",Development and Feasibility of a Childhood Obesity Prevention Program for Rural Families: Application of the Social Cognitive Theory,http://www.ncbi.nlm.nih.gov/pubmed/28392882,"dataset-301,,,,,,,"
10.5281/zenodo.2650979,,"Consumer behaviorhousehold purchases,BLS DataSet,STATA 15,Regression Analysis,Log-Lin Regression,FCBS,Flexible Consumer Behavior Survey",Determinants of Entertainment and Apparel Expenditures in an American Household,https://ssrn.com/abstract=3387546,"dataset-301,,,,,,,"
10.1017/S1368980018003142,Public health nutrition,"Delay discounting,Dietary habits,Foods in the home,FCBS,Flexible Consumer Behavior Survey,NonE Tier 1","Delay discounting and its association with food purchasing considerations and food availability in the home in south-east Alabama, USA",http://www.ncbi.nlm.nih.gov/pubmed/30484416,"dataset-301,,,,,,,"
10.1249/TJX.0000000000000038,,"FCBS,flexible Consumer Behavior Survey,Citation,JTier N/A",Study Protocol for a Home-Based Obesity Prevention Program in Latino Preschool Children,https://journals.lww.com/acsm-tj/Fulltext/2017/07150/Study_Protocol_for_a_Home_Based_Obesity_Prevention.1.aspx#pdf-link,"dataset-301,,,,,,,"
10.3945/an.115.009258,Advances in nutrition,"Diet,Feeding Behavior,Health Policy,Humans,Nutrition Survey methods,Public Health,Research Design,United States,Flexible Consumer Behavior Survey,FCBS,JTier N/A,analyzed","Update on NHANES Dietary Data: Focus on Collection, Release, Analytical Considerations, and Uses to Inform Public Policy",http://www.ncbi.nlm.nih.gov/pubmed/26773020,"dataset-301,,,,,,,"
,,"FCBS,Flexible consumer behavior survey,food away from home,diet quality,nutrition",National Surveys Reveal Modest Improvement in the Types of Foods Available in Americans’ Homes,https://www.ers.usda.gov/amber-waves/2015/april/national-surveys-reveal-modest-improvement-in-the-types-of-foods-available-in-americans-homes/,"dataset-301,,,,,,,"
,,"food away from home,food at home diet,nutrition,health,food,assistance,food consumption,school lunch programs,fast food,quick service,limited service,full service, food expenditures,the Great Recession,Healthy Eating Index,Food,Acquisition and Purchases Survey,Food Expenditure Series,National Health and Nutrition Examination Survey (NHANES),menu labeling,restaurant location,FoodAPS",America’s Eating Habits: Food Away From Home,https://www.ers.usda.gov/webdocs/publications/90228/eib-196.pdf?v=8116.5,",,,,dataset-057,dataset-017,,"
,,"convenience food,food expenditure,meal preparation,fast food restaurant,demand,SNAP,food access,time constraint,price,FoodAPS",Consumers Balance Time and Money in Purchasing Convenience Foods,https://www.ers.usda.gov/webdocs/publications/89344/err-251.pdf?v=0,"dataset-026,,,,,,,"
10.1016/j.amepre.2018.04.027,American journal of preventive medicine,"FoodAPS,NonE Tier 1",Diet Quality Over the Monthly Supplemental Nutrition Assistance Program Cycle,http://www.ncbi.nlm.nih.gov/pubmed/29935945,",,,,,,,"
10.1093/aepp/ppy013/5025069,,"SNAP,SNAP benefit cycle,food insecurity,mixture model,FoodAPS,Econ Tier 2",Re-Examining the SNAP Benefit Cycle Allowing for Heterogeneity,https://academic.oup.com/aepp/advance-article/doi/10.1093/aepp/ppy013/5025069,"dataset-026,,,,,,,"
10.1016/j.socscimed.2017.09.020,Social science & medicine,"Adolescent,Adult,Body Mass Index,Body Weight,Continental Population Groups/statistics & numerical data,Cross-Sectional Studies,Educational Status,Female,Food Assistance,statistics & numerical data,Food Supply/methods,Humans,Income/statistics & numerical data,Logistic Models,Male,Marital Status,Middle Aged,Self Report,Social Class,Stress, Psychological,complications/psychology,Surveys and Questionnaire,FoodAps",Re-evaluating associations between the Supplemental Nutrition Assistance Program participation and body mass index in the context of unmeasured confounders,http://www.ncbi.nlm.nih.gov/pubmed/28965002,",,,,,,,"
10.1016/j.jneb.2017.01.008,Journal of nutrition education and behavior,"Cross-Sectional Studies,food Assistance/statistics & numerical data,Food Supply,Health Knowledge, Attitudes, Practice,Humans,Poverty,United States,FoodAPS,NonE Tier 2",The Association Between Consumer Competency and Supplemental Nutrition Assistance Program Participation on Food Insecurity,http://www.ncbi.nlm.nih.gov/pubmed/28889854,",,,,,,,"
10.1093/ajae/aav072,,"Fungibility of income,SNAP benefit cycle,time-inconsistent preferences,FoodAPS,Econ Tier 2",The Effects of Benefit Timing and Income Fungibility on Food Purchasing Decisions among Supplemental Nutrition Assistance Program Households,https://doi.org/10.1093/ajae/aav072,"dataset-026,,,,,,,"
,,"public health nutrition,human nutrition,cooking behavior,qualitative and quantitative survey,FCBS,Flexible Consumer Behavior Survey,analyzed",What Keeps Columbus Cooking? A Survey of Cooking Behavior ,http://hdl.handle.net/1811/80704,"dataset-301,,,,,,,"
,,"Agriculture Commons,Beef Science Commons,Flexible Consumer Behavior Survey,FCBS,Citation","U.S. Consumers’ Perception, Intention, and Purchase Behavior of Grass-Fed Beef",https://digitalcommons.usu.edu/etd/7221,"dataset-301,,,,,,,"
10.1093/aepp/ppy037,,"Econ Tier 2,FCBS,Flexible Consumer Behavior Survey,NHANES,Food waste,household food production,demand estimation,citation",Demand for Household Food Waste,https://doi.org/10.1093/aepp/ppy037,",,,,,dataset-017,,"
10.3390/ijerph14101133,International journal of environmental research and public health,"Adult,Choice Behavior,Commerce,statistics & numerical data,Data Collection,Female,Food Preferences,Food Supply,statistics & numerical data,Humans,Logistic Models,Residence Characteristics,Socioeconomic Factors,FoodAps",Discrete Choice Model of Food Store Trips Using National Household Food Acquisition and Purchase Survey (FoodAPS),http://www.ncbi.nlm.nih.gov/pubmed/28953221,",,,,,,,"
10.1017/S1368980018000137,Public health nutrition,"Food acquisition surveys,FoodAPS,Interviewer effects,Survey methodology,Multilevel modeling,NonE Tier 1",Interviewer effects in food acquisition surveys,http://www.ncbi.nlm.nih.gov/pubmed/29467041,",,,,,,,"
10.1017/S136898001800407X,Public health nutrition,"Climate change,Nutritional quality,Food spending,Red meat,Healthy Eating Index-2010,FoodAPS,NonE Tier 1","Greenhouse gas emissions, total food spending and diet quality by share of household food spending on red meat: results from a nationally representative sample of US households",http://www.ncbi.nlm.nih.gov/pubmed/30917878,",,,,dataset-057,,,"
10.3390/nu11061233,Nutrients,"Food Acquisition and Purchase Survey,FoodAPS,diet quality,geographic disparities,racial/ethnic disparities,Healthy Eating Index,grocery purchase quality,Econ Tier 1",Geographic Differences in the Dietary Quality of Food Purchases among Participants in the Nationally Representative Food Acquisition and Purchase Survey (FoodAPS),http://www.ncbi.nlm.nih.gov/pubmed/31151225,",,,,dataset-057,,,"
10.1108/bfj-07-2017-0372,,"NonE Tier 3,FoodAPS",Household acquisition of healthy food away from home,http://dx.doi.org/10.1108/BFJ-07-2017-0372,",,,,,,,"
,,"grocery tax,Supplemental Nutrition Assistance Program,tax salience,FoodAPS,Econ Tier 2",Eat at Home or Away from Home? The Role of Grocery and Restaurant Food Sales Taxes,https://search.proquest.com/docview/2173846155?accountid=28147,",,,,,,,"
10.1017/S1368980019000375,Public health nutrition,"FoodAPS,Soda tax,Sugar-sweetened beverage,Purchasing patterns,Low-income neighbourhoods,NonE Tier 1",Purchasing patterns in low-income neighbourhoods: implications for studying sugar-sweetened beverage taxes,http://www.ncbi.nlm.nih.gov/pubmed/30915943,",,,,,,,"
10.1016/j.jneb.2018.12.007,Journal of nutrition education and behavior,"childhood obesity,FoodAPS,home environment,physical activity,preschool,psychometrics,NonE Tier 2","Checklist to Capture Food, Physical Activity, and Sedentary Devices in the Home Environment: The Home Inventory Describing Eating and Activity (Home-IDEA2)",http://www.ncbi.nlm.nih.gov/pubmed/30733165,",,,,,,,"
10.3390/nu9050457,Nutrients,"Consumer Behavior,Databases, Factual,Food Quality,Healthy Diet,Humans,Marketing,Nutrition Surveys,Reproducibility of Results,United States,United States Department of Agriculture,FoodAPS",An Innovative Method for Monitoring Food Quality and the Healthfulness of Consumers' Grocery Purchases,http://www.ncbi.nlm.nih.gov/pubmed/28475153,",,,,,,,"
10.1108/bfj-09-2016-0429,,"Demographic variables,Food consumption,Households,Entropy,Agriculture,Agribusiness,Commodities,Economics,Agricultural economics,Guidelines,Diversity indices,Marketing,Diabetes mellitus,Agronomy,Body weight,Convenience food,Mathematical models,Market research,Risk reduction,Econometrics,Diet,Health risks,Demand (economics),Classification systems,Micronutrients,Heart diseases,Ingredients,Food processing,Nutrition,Adequacy,Consumer behavior,Market economy,Coronary heart disease,Demography,Weight reduction,Economic models,FoodAPS,NonE Tier 2",Rethinking household demand for food diversity,https://www.doi.org/10.1108/bfj-09-2016-0429,",,,,,,,"
10.1017/S1368980015003055,Public health nutrition,"Databases, Factual,Diet,Humans,information Storage and Retrieval,Meat,United States,United States Department of Agriculture,FoodAPS,NonE Tier1",A critical examination of the available data sources for estimating meat and protein consumption in the USA,http://www.ncbi.nlm.nih.gov/pubmed/26573136,",,,,,,,"
10.1007/s10900-016-0171-0,Journal of community health,"Adult,Cluster Analysis,Colorado,Female,Focus Groups,Food Supply,Fruit/supply & distribution,Humans,Male,Middle Aged,Residence Characteristics,Risk Assessment,Surveys and Questionnaires,Vegetables/supply & distribution,Food security,Food insecurity,Community interventions,Cluster analysis,Fruit and vegetable,consumption,FoodAPS,NonE Tier 2",Analyzing the Role of Community and Individual Factors in Food Insecurity: Identifying Diverse Barriers Across Clustered Community Members,http://www.ncbi.nlm.nih.gov/pubmed/26910340,",,,,,,,"
10.1016/j.amepre.2015.04.035,American journal of preventive medicine,"Diet,Food Assistance,Humans,Nutritional Status,NonE Tier 1,FoodAPS",Dietary Quality of Americans by Supplemental Nutrition Assistance Program Participation Status: A Systematic Review,http://www.ncbi.nlm.nih.gov/pubmed/26238602,",,,,,,,"
