title,url,pdf,doi,authors,open,journal,search_term,dataset,Validation,if appears as a ref,Reference,Punctuation error
The sub-seasonal to seasonal prediction (S2S) project database,http://centaur.reading.ac.uk/65935/1/BAMS_S2Sdatabase.final.pdf,http://centaur.reading.ac.uk/65935/1/BAMS_S2Sdatabase.final.pdf,,"Vitart, F., Ardilouze, C., Bonet, A., Brookshaw, A., Chen, M., Codorean, C., Deque, M., Ferranti, L., Fucile, E., Fuentes, M., Hendon, H., Hodgson, J., Kang, H. S., Kumar, A., Lin, H., Liu, G., Liu, X., Malguzzi, P., Mallas, I., Manoussakis, M., Mastrangelo, D., MacLachlan, C., McLean, P., Minami, A., Mladek, R., Nakazawa, T., Najim, S., Nie, Y., Rixen, M., Robertson, A. W., Ruti, P., Sun, C., Takaya, Y., Tlostykh, M., Venuti, F., Waliser, D., Woolnough, S., Wu, T., Won, D-J., Xiao, H., Zaripov, R., Zhang, L.",TRUE,,Long Range Forecasts,dataset-639,No,No,,
Troposphere mapping functions for GPS and very Long Baseline Interferometry from European Centre for Medium-Range Weather Forecasts operational analysis data,http://gfzpublic.gfz-potsdam.de/pubman/item/escidoc:246431,,,"J. Böhm, B. Werl, Harald Schuh,  ",TRUE,,Long Range Forecasts,dataset-639,No,No,,
Experts' adjustment to model-based SKU-level forecasts: Does the forecast horizon matter?,http://hdl.handle.net/1765/23711,,,"Franses, Philip Hans, Legerstee, Rianne",TRUE,,Long Range Forecasts,dataset-639,No,No,,
Sea ice concentration anomalies as long range predictors of anomalous conditions in the North Atlantic basin,http://www.tellusa.net/index.php/tellusa/article/view/12144,,10.3402/tellusa.v54i3.12144,"Sánchez Gómez, E., Cabos Narvaés, W., Ortiz Beviá, M. J.",TRUE,Tellus A,Long Range Forecasts,dataset-639,No,No,,
Global meteorological drought – Part 2: Seasonal forecasts,http://publications.jrc.ec.europa.eu/repository/handle/JRC89129,,,"E. Dutra, W. Pozzi, F. Wetterhall, F. Di Giuseppe, L. Magnusson, G. Naumann, P. Barbosa, J. Vogt, F. Pappenberger",TRUE,Hydrology and Earth System Sciences,Long Range Forecasts,dataset-639,No,No,,
Ultralong atmospheric waves and a long-range forecasting,http://www.tellusa.net/index.php/tellusa/article/view/10678,,,"KURBATKIN, G. P.",TRUE,Tellus A,Long Range Forecasts,dataset-639,No,No,,
Long-range forecasting of forest fire danger based on the SLAV model seasonal ensemble forecasts,http://dx.doi.org/10.3103/S1068373912080018,https://link.springer.com/content/pdf/10.3103/S1068373912080018.pdf,10.3103/S1068373912080018,"Khan, V. M.",FALSE,RUSSIAN METEOROLOGY AND HYDROLOGY,Long Range Forecasts,dataset-716,Yes,No,,
Short-range probabilistic forecasts from the Norwegian limited-area EPS: long-term validation and a polar low study,http://www.tellusa.net/index.php/tellusa/article/view/15820,,,"Aspelien, Trygve, Iversen, Trond, Bremnes, John Bjørnar, Frogner, Inger-Lise",TRUE,Tellus A,Long Range Forecasts,dataset-639,No,No,,
Long term load forecasting accuracy in electric utility integrated resource planning,http://www.escholarship.org/uc/item/4nd8z0n7,,,"Carvallo, JP, Larsen, PH, Sanstad, AH, Goldman, CA",TRUE,,Long Range Forecasts,dataset-639,No,No,,
A Conceptual and Operational Framework for Developing The Long–Range Planning Process,http://www.palgrave-journals.com/jibs/journal/v4/n2/pdf/8490759a.pdf,,,"S Prakash Sethi, John Hogle",TRUE,Journal of International Business Studies,Long Range Forecasts,dataset-639,No,No,,
Empirical Prediction Intervals for County Population Forecasts,http://www.escholarship.org/uc/item/56s7k6gj,,,"Rayer, Stefan, Smith, Stanley K., Tayman, Jeff",TRUE,Population Research and Policy Review,Long Range Forecasts,dataset-639,No,No,,
Forecasting global ENSO-related climate anomalies,http://www.tellusa.net/index.php/tellusa/article/view/15487,,,"Barnett, T. P., Bengtsson, L., Arpe, K., Flügel, M., Graham, N., Latif, Mojib, Ritchie, J., Roeckner, E., Schlese, U., Schulzweida, U., Tyree, M.",TRUE,Tellus A,Long Range Forecasts,dataset-639,No,No,,
Long-range prediction of the low-frequency mode in the low-level Indian monsoon circulation with a simple statistical method,http://www.tellusa.net/index.php/tellusa/article/view/14964,,,"CHEN, TSING-CHANG, YEN, MING-CHENG, WU, KUANG-DER, NG, THOMAS",TRUE,Tellus A,Long Range Forecasts,dataset-639,No,No,,
Will Aging Baby Boomers Bust the Federal Budget?,http://www.aeaweb.org/articles.php?doi=10.1257/jep.13.1.117,,,"Ronald Lee, Jonathan Skinner",TRUE,Journal of Economic Perspectives,Long Range Forecasts,dataset-639,No,No,,
The effect of improved nowcasting of precipitation on air quality modeling,http://library.wur.nl/WebQuery/wurpubs/396276,,,"Geertsema, G.T., Wichers Schreur, B.G.J.",FALSE,,Long Range Forecasts,dataset-639,No,No,,
An approximate long-memory range-based approach for value at risk estimation,http://ora.ox.ac.uk/objects/uuid:,,,"Taylor, JW, Meng, X",TRUE,International Journal of Forecasting,Long Range Forecasts,dataset-639,No,No,,
A proposed method for ship routing using long range weather forecasts,http://hdl.handle.net/10945/45641,,,"Haltiner, G.J., Bleick, W.E., Faulkner, F.D.",TRUE,,Long Range Forecasts,dataset-639,No,No,,
The Utility of the Bering Sea and East Asia Rules in Long-Range Forecasting,http://dx.doi.org/10.1155/2017/1765428,,10.1155/2017/1765428,"Renken, Joseph S., Herman, Joshua J., Bradshaw, Travis R., Market, Patrick S., Lupo, Anthony R.",TRUE,Advances in Meteorology,Long Range Forecasts,"dataset-639, dataset-717",Yes,No,,
Long range dependence in an emerging stock market’s sectors: volatility modelling and VaR forecasting,http://dx.doi.org//10.1080/00036846.2017.1403559,,,"Abuzayed B., Al-Fayoumi N., Charfeddine L.",TRUE,,Long Range Forecasts,dataset-639,No,No,,
Skill transfer from meteorological to runoff forecasts in glacierized catchments,http://hdl.handle.net/20.500.11850/264559,,,"Saskia Gindraux, Daniel Farinotti",TRUE,,Long Range Forecasts,dataset-639,No,No,,
A Comparative Study of Methods for Long-Range Market Forecasting,http://dx.doi.org/10.1287/mnsc.19.2.211,,,"J. Scott Armstrong, Michael C. Grohman",TRUE,Management Science,Long Range Forecasts,dataset-639,No,No,,
"Ensemble dispersion forecasting:Part I: concept, approach and indicators",https://cris.vtt.fi/en/publications/5ec791ad-4f78-47f5-9906-17e5d9f1a0eb,,,"Galmarini, S., Bianconi, R., Klug, W., Ilvonen, Mikko, et al.,",FALSE,,Long Range Forecasts,dataset-639,No,No,,
Coupling of palaeontological and neontological reef coral data improves forecasts of biodiversity responses under global climatic change,http://europepmc.org/articles/PMC6502368,,,"Jones, Lewis A., Mannion, Philip D., Farnsworth, Alexander, Valdes, Paul J., Allison, Peter A., Kelland, Sarah-Jane",TRUE,Royal Society Open Science,Long Range Forecasts,dataset-639,No,No,,
Predictability of Weather and Climate,https://doi.org/10.1029/2019EA000586,,,V. Krishnamurthy,TRUE,Earth and Space Science,Long Range Forecasts,dataset-639,No,No,,
Potential applications of subseasonal-to-seasonal (S2S) predictions,http://livrepository.liverpool.ac.uk/3005797/1/White%20et%20al_MET-16-0083.R2_SUBMITTED_withfigs.pdf,http://livrepository.liverpool.ac.uk/3005797/1/White%20et%20al_MET-16-0083.R2_SUBMITTED_withfigs.pdf,,"Klein, Richard JT, James, Rachel, Pegion, Kathleen V, White, Christopher J, Carlsen, Henrik, Robertson, Andrew W, Lazo, Jeffrey K, Kumar, Arun, Vitart, Frederic, de Perez, Erin Coughlan, Ray, Andrea J, Murray, Virginia, Bharwani, Sukaina, MacLeod, Dave, Fleming, Lora, Morse, Andrew P, Eggen, Bernd, Graham, Richard, Kjellstrom, Erik, Becker, Emily, Holbrook, Neil J, McEvoy, Darryn, Depledge, Michael, Perkins-Kirkpatrick, Sarah, Brown, Timothy J, Street, Roger, Jones, Lindsey, Remenyi, Tomas A, Hodgson-Johnston, Indi, Buontempo, Carlo, Lamb, Rob, Meinke, Holger, Arheimer, Berit, Zebiak, Stephen E",TRUE,,Long Range Forecasts,dataset-639,No,Yes,,
Short-term forecasting of internal migration,http://www.envplan.com/abstract.cgi?id=a251593,,,E W Frees,TRUE,Environment and Planning A,Long Range Forecasts,dataset-639,No,No,,
A Framework for Combining Seasonal Forecasts and Climate Projections to Aid Risk Management for Fisheries and Aquaculture,http://journal.frontiersin.org/article/10.3389/fmars.2018.00137/full,,,"Alistair J. Hobday, Claire M. Spillman, J. Paige Eveson, Jason R. Hartog, Xuebin Zhang, Stephanie Brodie, Stephanie Brodie",TRUE,Frontiers in Marine Science,Long Range Forecasts,dataset-639,No,No,,
Using soil moisture forecasts for sub-seasonal summer temperature predictions in Europe,http://doc.rero.ch/record/325179/files/382_2014_Article_2112.pdf,,,"Orth, René, Seneviratne, Sonia",TRUE,,Long Range Forecasts,dataset-639,No,No,,
Preparing for peat production seasons in Finland and experimenting with long range impact forecasting,http://www.sciencedirect.com/science/article/pii/S2405880718300402,,,"Hilppa Gregow, Ilari Lehtonen, Pentti Pirinen, Ari Venäläinen, Andrea Vajda, Juha Koskiniemi",TRUE,Climate Services,Long Range Forecasts,dataset-639,No,No,,
Probabilistic forecasts of the onset of the North Australian wet season,http://library.wur.nl/WebQuery/wurpubs/361790,,,"Lo, F., Wheeler, M.C., Meinke, H.B., Donald, A.",TRUE,,Long Range Forecasts,dataset-639,No,No,,
Addressing model error through atmospheric stochastic physical parametrizations: impact on the coupled ECMWF seasonal forecasting system,http://europepmc.org/articles/PMC4024238,,,"Weisheimer, Antje, Corti, Susanna, Palmer, Tim, Vitart, Frederic",TRUE,"Philosophical transactions. Series A, Mathematical, physical, and engineering sciences",Long Range Forecasts,dataset-639,No,No,,
Accuracy of Balloon Trajectory Forecasts in the Lower Stratosphere,https://doaj.org/toc/2073-4433,,,"Selvaraj Dharmalingam, Riwal Plougonven, Albert Hertzog, Aurélien Podglajen, Michael Rennie, Lars Isaksen, Sélim Kébir",TRUE,Atmosphere,Long Range Forecasts,dataset-639,No,No,,
The Role of Continental Mesoscale Convective Systems in Forecast Busts within Global Weather Prediction Systems,https://www.mdpi.com/2073-4433/10/11/681,,,"David Parsons, Samuel Lillo, Christopher Rattray, Peter Bechtold, Mark Rodwell, Connor Bruce",TRUE,Atmosphere,Long Range Forecasts,dataset-691,Yes,No,,
Long-range forecast of the break and active summer monsoons,http://www.tellusa.net/index.php/tellusa/article/view/11788,,,"CADET, DANIEL L., DANIEL, PIERRE",TRUE,Tellus A,Long Range Forecasts,dataset-639,No,No,,
Forecast-based financing: an approach for catalyzing humanitarian action based on extreme weather and climate forecasts,https://research.vu.nl/en/publications/eca7d397-9cd2-4851-b295-cc6f1e2167b5,,,"Coughlan, E.R., van den Hurk, B.J.J.M., van Aalst, M., Jongman, B., Klose, T., Suarez, P.",TRUE,Natural Hazards and Earth System Sciences,Long Range Forecasts,dataset-639,No,No,,
Demographic Forecasts Using the Game Theory,http://europepmc.org/articles/PMC6518160,,,"Marek Ogryzek, Krzysztof Rząsa, Edita Šarkienė",TRUE,International Journal of Environmental Research and Public Health,Long Range Forecasts,dataset-639,No,No,,
Improving the inter-hemispheric gradient of total column atmospheric CO2 and CH4 in simulations with the ECMWF semi-Lagrangian atmospheric global model,https://doaj.org/toc/1991-9603,https://www.geosci-model-dev.net/10/1/2017/gmd-10-1-2017.pdf,,"Agusti-Panareda, Anna, Diamantakis, Michail, Bayona, Victor, Klappenbach, Friedrich, Butz, Andre",TRUE,,Long Range Forecasts,dataset-639,No,No,,
Predictability of Weather and Climate,http://europepmc.org/articles/PMC6774281,,10.1029/2019EA000586�,"Krishnamurthy, V.",TRUE,"Earth and Space Science (Hoboken, N.j.)",Long Range Forecasts,dataset-718,Yes,No,,
Weather Forecasts for Pastoralism in a Changing Climate: Navigating the Data Space in North Eastern Uganda,https://datascience.codata.org/articles/10.5334/dsj-2017-050/,,,"Shuaib Lwasa, Ambrose Buyinza, Benon Nabaasa",TRUE,Data Science Journal,Long Range Forecasts,dataset-639,No,No,,
Human mobility and spatial disease dynamics,http://ul.qucosa.de/id/qucosa%3A13918,,,"Brockmann, Dirk, David, Vincent, Gallardo, Alejandro Morales",TRUE,,Long Range Forecasts,dataset-639,No,No,,
Coupling of palaeontological and neontological reef coral data improves forecasts of biodiversity responses under global climatic change,https://discovery.ucl.ac.uk/id/eprint/10071484/,,,"Jones, L. A., Mannion, P., Farnsworth, A., Valdes, P. J., Kelland, S-J, Allison, P. A.",TRUE,,Long Range Forecasts,dataset-639,No,No,,
"Long term cycles of economic development of the russian economy: Diagnosis mechanisms, trends and forecasts",https://openrepository.ru/article?id=688816,,,"Safiullin M., Elshin L., Prygunova M.",TRUE,,Long Range Forecasts,dataset-639,No,No,,
"Long term cycles of economic development of the russian economy: Diagnosis mechanisms, trends and forecasts",https://openrepository.ru/article?id=222368,,,"Safiullin M., Elshin L., Prygunova M.",TRUE,,Long Range Forecasts,dataset-639,No,No,,
"Long term cycles of economic development of the russian economy: Diagnosis mechanisms, trends and forecasts",https://openrepository.ru/article?id=688858,,,"Safiullin M., Elshin L., Prygunova M.",TRUE,,Long Range Forecasts,dataset-639,No,No,,
"Long term cycles of economic development of the russian economy: Diagnosis mechanisms, trends and forecasts",https://openrepository.ru/article?id=62424,,,"Safiullin M., Elshin L., Prygunova M.",TRUE,,Long Range Forecasts,dataset-639,No,No,,
An experiment on risk-based decision-making in water management using monthly probabilistic forecasts,https://hal.archives-ouvertes.fr/hal-01469278,,,"Crochemore, L., Ramos, M.H., Pappenberger, F., Van Andel, S.-J., Wood, W.A.",TRUE,,Long Range Forecasts,dataset-639,No,No,,
"Long term cycles of economic development of the russian economy: Diagnosis mechanisms, trends and forecasts",https://openrepository.ru/article?id=222410,,,"Safiullin M., Elshin L., Prygunova M.",TRUE,,Long Range Forecasts,dataset-639,No,No,,
"Long term cycles of economic development of the russian economy: Diagnosis mechanisms, trends and forecasts",https://openrepository.ru/article?id=62382,,,"Safiullin M., Elshin L., Prygunova M.",TRUE,,Long Range Forecasts,dataset-639,No,No,,
Challenges in real-time prediction of infectious disease: A case study of dengue in Thailand.,http://ora.ox.ac.uk/objects/uuid:,,10.1371/journal.pntd.0004761,"Reich, NG, Lauer, SA, Sakrejda, K, Iamsirithaworn, S, Hinjoy, S, Suangtho, P, Suthachana, S, Clapham, HE, Salje, H, Cummings, DA, Lessler, J, Scarpino, SV",TRUE,PLoS Neglected Tropical Diseases,Long Range Forecasts,dataset-719,No,Yes,,
Impact of springtime Himalayan–Tibetan Plateau snowpack on the onset of the Indian summer monsoon in coupled seasonal forecasts,http://hdl.handle.net/11250/2421238,,,"Senan, Retish, Orsolini, Yvan, Weisheimer, Antje, Vitart, Frédéric, Balsamo, Gianpaolo, Dutra, E., Doblas-Reyes, Franscisco J., Basang, Droma",TRUE,Climate Dynamics,Long Range Forecasts,dataset-639,No,No,,
Scientific motivation for ADM/Aeolus mission,https://doi.org/10.1051/epjconf/201817602008,,,Källén Erland,TRUE,EPJ Web of Conferences,Long Range Forecasts,dataset-639,No,No,,
"A ""Generalization"" of the Logistic Curves and Long-Range Forecasts (1966-1991) of Residence Telephones",http://links.jstor.org/sici?sici=0005-8556%28197123%292%3A2%3C542%3AA%22OTLC%3E2.0.CO%3B2-Z&origin=repec,,,"Roshan L. Chaddha, Sharad S. Chitgopekar",TRUE,Bell Journal of Economics,Long Range Forecasts,dataset-639,No,No,,
