,bbk_dataset_y,doi,journal,title,dataset
171,BISTA,,Journal of Banking and Finance,"Banks' exposure to interest rate risk, their earnings from term transformation, and the dynamics of the term structure",dataset-164
172,BAKIS,,Journal of Banking and Finance,"Banks' exposure to interest rate risk, their earnings from term transformation, and the dynamics of the term structure",dataset-165
173,IFS-BASE,,European Journal of Finance,Purchase and redemption decisions of mutual fund investors and the role of fund families,dataset-166
174,PaymentSurvey,,Empirical Economics,Choosing and using payment instruments: evidence from German microdata,dataset-167
175,MIDI,,BBk Discussion Paper,Financial constraints and the margins of FDI,dataset-168
176,MIDI,,BBk Discussion Paper,Export-Supporting FDI,dataset-169
177,MIDI,,BBk Discussion Paper,Does lowering dividend tax rates increase dividends repatriated?: evidence of intra-firm cross-border dividend repatriation policies by German Multinational Enterprises,dataset-170
178,SITS,,BBk Discussion Paper,Does lowering dividend tax rates increase dividends repatriated?: evidence of intra-firm cross-border dividend repatriation policies by German Multinational Enterprises,dataset-171
179,USTAN,,BBk Discussion Paper,The cross-section of firms over the business cycle: new facts and a DSGE exploration,dataset-172
180,BISTA,,BBk Discussion Paper,What macroeconomic shocks affect the German banking system? Analysis in an integrated micro-macro model,dataset-173
181,SRP,,BBk Discussion Paper,What macroeconomic shocks affect the German banking system? Analysis in an integrated micro-macro model,dataset-174
182,USTAN,,BBk Discussion Paper,Firm-specific productivity risk over the business cycle: facts and aggregate implications,dataset-175
183,BISTA,,European Financial Management,The dependency of the banks' assets and liabilities: evidence from Germany,dataset-176
184,BAKIS,,European Financial Management,The dependency of the banks' assets and liabilities: evidence from Germany,dataset-177
185,BISTA,,European Financial Management,The dependency of the banks' assets and liabilities: evidence from Germany,dataset-178
186,GUV,,European Financial Management,The dependency of the banks' assets and liabilities: evidence from Germany,dataset-179
187,AUSTA,,BBk Discussion Paper,"Margins of international banking: is there a productivity pecking order in banking, too?",dataset-180
188,BISTA,,BBk Discussion Paper,"Margins of international banking: is there a productivity pecking order in banking, too?",dataset-181
189,GUV,,BBk Discussion Paper,"Margins of international banking: is there a productivity pecking order in banking, too?",dataset-182
190,BAKIS,,Journal of Business Finance and Accounting,"Visible Reserves in Banks – Determinants of Initial Creation, Usage and Contribution to Bank Stability",dataset-183
191,BAKIS,,BBk Discussion Paper,Determinants for using visible reserves in German banks: an empirical study,dataset-184
192,IFS-BASE,,BBk Discussion Paper,The dark and the bright side of liquidity risks: evidence from open-end real estate funds in Germany,dataset-185
193,BAKIS,,Schmalenbach Business Review,Income Structure and Bank Business Models: Evidence on Performance and Stability from the German Banking Industry,dataset-186
194,BISTA,,BBk Discussion Paper,Why do savings banks transform sight deposits into illiquid assets less intensively than the regulation allows?,dataset-187
195,SRP,,BBk Discussion Paper,Shocks at large banks and banking sector distress: the Banking Granular Residual,dataset-188
196,BISTA,,BBk Discussion Paper,The effects of privatization and consolidation on bank productivity: comparative evidence from Italy and Germany,dataset-189
197,GUV,,BBk Discussion Paper,The effects of privatization and consolidation on bank productivity: comparative evidence from Italy and Germany,dataset-190
198,MIDI,,BBk Discussion Paper,Who is afraid of political risk? Multinational firms and their choice of capital structure,dataset-191
199,BISTA,,BBk Discussion Paper,The price of liquidity: bank characteristics and market conditions,dataset-192
200,IFS-BASE,,BBk Discussion Paper,Sturm und Drang in money market funds: when money market funds cease to be narrow,dataset-193
201,BISTA. GUV,,BBk Discussion Paper,Real estate markets and bank distress,dataset-194
202,MIMIK,,BBk Discussion Paper,Real estate markets and bank distress,dataset-195
203,MIMIK,,BBk Discussion Paper,Stress testing of real credit portfolios,dataset-196
204,BISTA,,BBk Discussion Paper,The implications of latent technology regimes for competition and efficiency in banking,dataset-197
205,MIDI,,BBk Discussion Paper,Foreign (in)direct investment and corporate taxation,dataset-198
206,USTAN,,BBk Discussion Paper,Great moderation at the firm level? Unconditional versus conditional output volatility,dataset-199
207,BISTA,,International Journal of Banking Account and Finance,Which interest rate scenario is the worst one for a bank? Evidence from a tracking bank approach for German savings and cooperative banks,dataset-200
208,BISTA,,BBk Discussion Paper,The success of bank mergers revisited: an assessment based on a matching strategy,dataset-201
209,GUV,,BBk Discussion Paper,The success of bank mergers revisited: an assessment based on a matching strategy,dataset-202
210,ZentK,,BBk Discussion Paper,The success of bank mergers revisited: an assessment based on a matching strategy,dataset-203
211,BISTA,,Journal of Financial Stability,Monetary policy and financial (in)stability: An integrated micro–macro approach,dataset-204
212,GUV,,Journal of Financial Stability,Monetary policy and financial (in)stability: An integrated micro–macro approach,dataset-205
213,ZentK,,Journal of Financial Stability,Monetary policy and financial (in)stability: An integrated micro–macro approach,dataset-206
214,MIDI,,BBk Discussion Paper,The impact of thin-capitalization rules on multinationals' financing and investment decisions,dataset-207
215,BISTA,,BBk Discussion Paper,Analyzing the interest rate risk of banks using time series of accounting-based data: evidence from Germany,dataset-208
216,MIDI,,BBk Discussion Paper,Volatile multinationals? Evidence from the labor demand of German firms,dataset-209
217,USTAN,,BBk Discussion Paper,"Corporate marginal tax rate, tax loss carryforwards and investment functions: empirical analysis using a large German panel data set",dataset-210
218,USTAN,,BBk Discussion Paper,Creditor concentration: an empirical investigation,dataset-211
219,BAKIS,,BBk Discussion Paper,Creditor concentration: an empirical investigation,dataset-212
220,MIMIK,,BBk Discussion Paper,Creditor concentration: an empirical investigation,dataset-213
221,USTAN,,BBk Discussion Paper,Relationship lending: empirical evidence for Germany,dataset-214
222,BAKIS,,BBk Discussion Paper,Relationship lending: empirical evidence for Germany,dataset-215
223,MIMIK,,BBk Discussion Paper,Relationship lending: empirical evidence for Germany,dataset-216
224,USTAN,,BBk Discussion Paper,Banking consolidation and small businessfinance: empirical evidence for Germany,dataset-217
225,BAKIS,,BBk Discussion Paper,Banking consolidation and small businessfinance: empirical evidence for Germany,dataset-218
226,MIMIK,,BBk Discussion Paper,Banking consolidation and small businessfinance: empirical evidence for Germany,dataset-219
227,BAKIS,,Journal of Financial Intermediation,How do banks adjust their capital ratios? Evidence from Germany,dataset-220
228,BAKIS,,BBk Discussion Paper,Diversification and the banks' risk-return-characteristics: evidence from loan portfolios of German banks,dataset-221
229,BISTA,,Journal of Financial Stability,Slippery slopes of stress: ordered failure events in German banking,dataset-222
230,GUV,,Journal of Financial Stability,Slippery slopes of stress: ordered failure events in German banking,dataset-223
231,ZentK,,Journal of Financial Stability,Slippery slopes of stress: ordered failure events in German banking,dataset-224
232,BISTA,,BBk Discussion Paper,"Efficient, profitable and safe banking: an oxymoron? Evidence from a panel VAR approach",dataset-225
233,GUV,,BBk Discussion Paper,"Efficient, profitable and safe banking: an oxymoron? Evidence from a panel VAR approach",dataset-226
234,MIMIK,,BBk Discussion Paper,Granularity adjustment for Basel II,dataset-227
235,BISTA,,BBk Discussion Paper,Industries and the bank lending effects of bank credit demand and monetary policy in Germany,dataset-228
236,MIMIK,,BBk Discussion Paper,Industries and the bank lending effects of bank credit demand and monetary policy in Germany,dataset-229
237,USTAN,,BBk Discussion Paper,Does trade openness increase firm-level volatility?,dataset-230
238,USTAN,,BBk Discussion Paper,The within-distribution business cycle dynamics of German firms,dataset-231
239,MIDI,,BBk Discussion Paper,Margins of multinational labor substitution,dataset-232
240,USTAN,,BBk Discussion Paper,Margins of multinational labor substitution,dataset-233
241,MIDI,,BBk Discussion Paper,How would formula apportionment in the EU affect the distribution and the size of the corporate tax base? An analysis based on German multinationals,dataset-234
242,MIDI,,BBk Discussion Paper,Internalization and internationalization under copeting real options,dataset-235
243,MIDI,,BBk Discussion Paper,Foreign direct investment in the enlarged EU: do taxes matter and to what extent?,dataset-236
244,BISTA,,BBk Discussion Paper,The cost efficiency of German banks: a comparison of SFA and DEA,dataset-237
245,GUV,,BBk Discussion Paper,The cost efficiency of German banks: a comparison of SFA and DEA,dataset-238
246,MIMIK,,BBk Discussion Paper,Sector concentration in loan portfolios and economic capital,dataset-239
247,BISTA,,BBk Discussion Paper,The stability of efficiency rankings when risk-preferences and objectives are different,dataset-240
248,GUV,,BBk Discussion Paper,The stability of efficiency rankings when risk-preferences and objectives are different,dataset-241
249,BAKIS,,BBk Discussion Paper,"Banks' regulatory buffers, liquidity networks and monetary policy transmission",dataset-242
250,BAKIS,,BBk Discussion Paper,Does diversification improve the performance of German banks? Evidence from individual bank loan portfolios,dataset-243
251,MIMIK,,BBk Discussion Paper,Does diversification improve the performance of German banks? Evidence from individual bank loan portfolios,dataset-244
252,BAKIS,,BBk Discussion Paper,Heterogeneity in lending and sectoral growth: evidence from German bank-level data,dataset-245
253,MIMIK,,BBk Discussion Paper,Heterogeneity in lending and sectoral growth: evidence from German bank-level data,dataset-246
254,BISTA,,BBk Discussion Paper,Heterogeneity in lending and sectoral growth: evidence from German bank-level data,dataset-247
255,MIDI,,BBk Discussion Paper,Exports versus FDI in German manufacturing: firm performance and participation in international markets,dataset-248
256,USTAN,,BBk Discussion Paper,Going multinational: What are the effects on home market performance?,dataset-249
257,MIDI,,BBk Discussion Paper,Going multinational: What are the effects on home market performance?,dataset-250
258,MIMIK,,BBk Discussion Paper,Finance and growth in a bank-based economy: is it quantity or quality that matters?,dataset-251
259,MIDI,,BBk Discussion Paper,Trade balances of the central and east European EU member states and the role of foreign direct investment,dataset-252
260,USTAN,,BBk Discussion Paper,The cross-sectional dynamics of German business cycles: a bird's eye view,dataset-253
261,BISTA,,BBk Discussion Paper,Inefficient or just different? Effects of heterogeneity on bank efficiency scores,dataset-254
262,GUV,,BBk Discussion Paper,Inefficient or just different? Effects of heterogeneity on bank efficiency scores,dataset-255
263,USTAN,,BBk Discussion Paper,Time series properties of a rating system based on financial ratios,dataset-256
264,BISTA,,BBk Discussion Paper,Evaluating the German bank merger wave,dataset-257
265,GUV,,BBk Discussion Paper,Evaluating the German bank merger wave,dataset-258
266,ZentK,,BBk Discussion Paper,Evaluating the German bank merger wave,dataset-259
267,BISTA,,BBk Discussion Paper,The eurosystem money market auctions: a banking perspective,dataset-260
268,BISTA,,BBk Discussion Paper,Accounting for distress in bank mergers,dataset-261
269,GUV,,BBk Discussion Paper,Accounting for distress in bank mergers,dataset-262
270,ZentK,,BBk Discussion Paper,Accounting for distress in bank mergers,dataset-263
271,MIDI,,BBk Discussion Paper,Business cycles and FDI: evidence from German sectoral data,dataset-264
272,MIMIK,,BBk Discussion Paper,German bank lending to industrial and non-industrial countries: driven by fundamentals or different treatment?,dataset-265
273,MIDI,, Review of World Economics (Weltwirtschaftliches Archiv) ,Taxes and the financial structure of German inward FDI,dataset-266
274,VJKRE,,BBk Discussion Paper,Do banks diversify loan portfolios? A tentative answer based on individual bank loan portfolios,dataset-267
