title,journal,authors,doi,search_term,dataset_id
Increasing risk over time of weather-related hazards to the European population: a data-driven prognostic study.,The Lancet. Planetary health,"Forzieri, Giovanni, Cescatti, Alessandro, E Silva, Filipe Batista, Feyen, Luc",10.1016/S2542-5196(17)30082-7,Coastal Flood Frequency,dataset-622
Coastal and river flood risk analyses for guiding economically optimal flood adaptation policies: a country-scale study for Mexico.,"Philosophical transactions. Series A, Mathematical, physical, and engineering sciences","Haer, Toon, Botzen, W J Wouter, van Roomen, Vincent, Connor, Harry, Zavala-Hidalgo, Jorge, Eilander, Dirk M, Ward, Philip J",10.1098/rsta.2017.0329,Coastal Flood Frequency,dataset-622
Climatic control of Mississippi River flood hazard amplified by river engineering.,Nature,"Munoz, Samuel E, Giosan, Liviu, Therrell, Matthew D, Remo, Jonathan W F, Shen, Zhixiong, Sullivan, Richard M, Wiman, Charlotte, O'Donnell, Michelle, Donnelly, Jeffrey P",10.1038/nature26145,Coastal Flood Frequency,dataset-622
Hydrological controls on nitrogen (ammonium versus nitrate) fluxes from river to coast in a subtropical region: Observation and modeling.,Journal of environmental management,"Gao, Xinjuan, Chen, Nengwang, Yu, Dan, Wu, Yinqi, Huang, Bangqin",10.1016/j.jenvman.2018.02.051,Coastal Flood Frequency,dataset-622
Combined effect of water inundation and heavy metals on the photosynthesis and physiology of Spartina alterniflora.,Ecotoxicology and environmental safety,"Sun, Xiangli, Xu, Yan, Zhang, Qiqiong, Li, Xiuzhen, Yan, Zhongzheng",10.1016/j.ecoenv.2018.02.010,Coastal Flood Frequency,dataset-622
"Links between seawater flooding, soil ammonia oxidiser communities and their response to changes in salinity.",FEMS microbiology ecology,"Nacke, Heiko, Schöning, Ingo, Schindler, Malte, Schrumpf, Marion, Daniel, Rolf, Nicol, Graeme W, Prosser, James I",10.1093/femsec/fix144,Coastal Flood Frequency,dataset-622
Nuisance Flooding and Relative Sea-Level Rise: the Importance of Present-Day Land Motion.,Scientific reports,"Karegar, Makan A, Dixon, Timothy H, Malservisi, Rocco, Kusche, Jürgen, Engelhart, Simon E",10.1038/s41598-017-11544-y,Coastal Flood Frequency,dataset-622
A global classification of coastal flood hazard climates associated with large-scale oceanographic forcing.,Scientific reports,"Rueda, Ana, Vitousek, Sean, Camus, Paula, Tomás, Antonio, Espejo, Antonio, Losada, Inigo J, Barnard, Patrick L, Erikson, Li H, Ruggiero, Peter, Reguero, Borja G, Mendez, Fernando J",10.1038/s41598-017-05090-w,Coastal Flood Frequency,dataset-622
Understanding extreme sea levels for broad-scale coastal impact and adaptation analysis.,Nature communications,"Wahl, T, Haigh, I D, Nicholls, R J, Arns, A, Dangendorf, S, Hinkel, J, Slangen, A B A",10.1038/ncomms16075,Coastal Flood Frequency,dataset-622
Increasing probability of mortality during Indian heat waves.,Science advances,"Mazdiyasni, Omid, AghaKouchak, Amir, Davis, Steven J, Madadgar, Shahrbanou, Mehran, Ali, Ragno, Elisa, Sadegh, Mojtaba, Sengupta, Ashmita, Ghosh, Subimal, Dhanya, C T, Niknejad, Mohsen",10.1126/sciadv.1700066,Coastal Flood Frequency,dataset-622
Doubling of coastal flooding frequency within decades due to sea-level rise.,Scientific reports,"Vitousek, Sean, Barnard, Patrick L, Fletcher, Charles H, Frazer, Neil, Erikson, Li, Storlazzi, Curt D",10.1038/s41598-017-01362-7,Coastal Flood Frequency,dataset-622
Regulation of salt marsh mosquito populations by the 18.6-yr lunar-nodal cycle.,Ecology,"Rochlin, Ilia, Morris, James T",10.1002/ecy.1861,Coastal Flood Frequency,dataset-622
High-resolution tide projections reveal extinction threshold in response to sea-level rise.,Global change biology,"Field, Christopher R, Bayard, Trina S, Gjerdrum, Carina, Hill, Jason M, Meiman, Susan, Elphick, Chris S",10.1111/gcb.13519,Coastal Flood Frequency,dataset-622
Hurricane Sandy's flood frequency increasing from year 1800 to 2100.,Proceedings of the National Academy of Sciences of the United States of America,"Lin, Ning, Kopp, Robert E, Horton, Benjamin P, Donnelly, Jeffrey P",,Coastal Flood Frequency,dataset-622
Coastal erosion as a source of mercury into the marine environment along the Polish Baltic shore.,Environmental science and pollution research international,"Bełdowska, Magdalena, Jędruch, Agnieszka, Łęczyński, Leszek, Saniewska, Dominika, Kwasigroch, Urszula",10.1007/s11356-016-6753-7,Coastal Flood Frequency,dataset-622
Will a rising sea sink some estuarine wetland ecosystems?,The Science of the total environment,"Grenfell, S E, Callaway, R M, Grenfell, M C, Bertelli, C M, Mendzil, A F, Tew, I",10.1016/j.scitotenv.2016.02.196,Coastal Flood Frequency,dataset-622
Recurring flood distribution patterns related to short-term Holocene climatic variability.,Scientific reports,"Benito, Gerardo, Macklin, Mark G, Panin, Andrei, Rossato, Sandro, Fontana, Alessandro, Jones, Anna F, Machado, Maria J, Matlakhova, Ekaterina, Mozzi, Paolo, Zielhofer, Christoph",10.1038/srep16398,Coastal Flood Frequency,dataset-622
"The spatial distribution of vulnerability to the health impacts of flooding in the Mekong Delta, Vietnam.",International journal of biometeorology,"Phung, Dung, Rutherford, Shannon, Dwirahmadi, Febi, Chu, Cordia, Do, Cuong Manh, Nguyen, Thuy, Duong, Nam Chi",10.1007/s00484-015-1078-7,Coastal Flood Frequency,dataset-622
Atlantic hurricane surge response to geoengineering.,Proceedings of the National Academy of Sciences of the United States of America,"Moore, John C, Grinsted, Aslak, Guo, Xiaoran, Yu, Xiaoyong, Jevrejeva, Svetlana, Rinke, Annette, Cui, Xuefeng, Kravitz, Ben, Lenton, Andrew, Watanabe, Shingo, Ji, Duoying",10.1073/pnas.1510530112,Coastal Flood Frequency,dataset-622
Indirect consequences of extreme weather and climate events and their associations with physical health in coastal Bangladesh: a cross-sectional study.,Global health action,"Beier, Dominik, Brzoska, Patrick, Khan, Md Mobarak Hossain",10.3402/gha.v8.29016,Coastal Flood Frequency,dataset-622
Delta Subsidence: An Imminent Threat to Coastal Populations.,Environmental health perspectives,"Schmidt,Charles W",10.1289/ehp.123-A204,Coastal Flood Frequency,dataset-622
"Trends in water level and flooding in Dhaka, Bangladesh and their impact on mortality.",International journal of environmental research and public health,"Thiele-Eich, Insa, Burkart, Katrin, Simmer, Clemens",10.3390/ijerph120201196,Coastal Flood Frequency,dataset-622
Effects of disturbance on vegetation by sand accretion and erosion across coastal dune habitats on a barrier island.,AoB PLANTS,"Miller,Thomas E",10.1093/aobpla/plv003,Coastal Flood Frequency,dataset-622
The Influence of Weather Anomalies on Mercury Cycling in the Marine Coastal Zone of the Southern Baltic-Future Perspective.,"Water, air, and soil pollution","Bełdowska,Magdalena",,Coastal Flood Frequency,dataset-622
Extent of flood damage increased cerebrovascular disease incidences in Iwate prefecture after the great East Japan earthquake and tsunami of 2011.,"Cerebrovascular diseases (Basel, Switzerland)","Omama, Shinichi, Yoshida, Yuki, Ogasawara, Kuniaki, Ogawa, Akira, Ishibashi, Yasuhiro, Nakamura, Motoyuki, Tanno, Kozo, Ohsawa, Masaki, Onoda, Toshiyuki, Itai, Kazuyoshi, Sakata, Kiyomi",10.1159/000363278,Coastal Flood Frequency,dataset-622
Variable response of three Trifolium repens ecotypes to soil flooding by seawater.,Annals of botany,"White, Anissia C, Colmer, Timothy D, Cawthray, Greg R, Hanley, Mick E",10.1093/aob/mcu118,Coastal Flood Frequency,dataset-622
Climate change beliefs and perceptions of weather-related changes in the United Kingdom.,Risk analysis : an official publication of the Society for Risk Analysis,"Taylor, Andrea, Bruine de Bruin, Wändi, Dessai, Suraje",10.1111/risa.12234,Coastal Flood Frequency,dataset-622
Marine reserves help coastal ecosystems cope with extreme weather.,Global change biology,"Olds, Andrew D, Pitt, Kylie A, Maxwell, Paul S, Babcock, Russell C, Rissik, David, Connolly, Rod M",10.1111/gcb.12606,Coastal Flood Frequency,dataset-622
Floods: Storm-surge impact depends on setting.,Nature,"Spencer, Thomas, Brooks, Susan M, Möller, Iris",10.1038/505026b,Coastal Flood Frequency,dataset-622
Population vulnerability to biannual cholera outbreaks and associated macro-scale drivers in the Bengal Delta.,The American journal of tropical medicine and hygiene,"Akanda, Ali Shafqat, Jutla, Antarpreet S, Gute, David M, Sack, R Bradley, Alam, Munirul, Huq, Anwar, Colwell, Rita R, Islam, Shafiqul",10.4269/ajtmh.12-0492,Coastal Flood Frequency,dataset-622
"Simulation of potential oyster density with variable freshwater inflow (1965-2000) to the Caloosahatchee River Estuary, southwest Florida, USA.",Environmental management,"Buzzelli, Christopher, Doering, Peter H, Wan, Yongshan, Gorman, Patricia, Volety, Aswani",10.1007/s00267-013-0136-3,Coastal Flood Frequency,dataset-622
"Disturbance regimes, gap-demanding trees and seed mass related to tree height in warm temperate rain forests worldwide.",Biological reviews of the Cambridge Philosophical Society,"Grubb, Peter J, Bellingham, Peter J, Kohyama, Takashi S, Piper, Frida I, Valido, Alfredo",10.1111/brv.12029,Coastal Flood Frequency,dataset-622
A novel approach to model exposure of coastal-marine ecosystems to riverine flood plumes based on remote sensing techniques.,Journal of environmental management,"Álvarez-Romero, Jorge G, Devlin, Michelle, Teixeira da Silva, Eduardo, Petus, Caroline, Ban, Natalie C, Pressey, Robert L, Kool, Johnathan, Roberts, Jason J, Cerdeira-Estrada, Sergio, Wenger, Amelia S, Brodie, Jon",10.1016/j.jenvman.2013.01.036,Coastal Flood Frequency,dataset-622
A cross-sectional survey of blood pressure of a coastal city's resident victims of the 2011 Tohoku tsunami.,American journal of hypertension,"Murakami, Hitoshi, Akashi, Hidechika, Noda, Shinichiro, Mizoue, Tetsuya, Okazaki, Osamu, Ouchi, Yoshiko, Okaji, Yuki, Kajiwara, Chieko, Miyoshi, Chiaki",10.1093/ajh/hpt022,Coastal Flood Frequency,dataset-622
[The assessment of vulnerability to floods in Guangdong province at district level].,Zhonghua yu fang yi xue za zhi [Chinese journal of preventive medicine],"Zhu, Qi, Liu, Tao, Zhang, Yong-hui, Luo, Yuan, Wei, Yao, Xiao, Jian-peng, Zeng, Si-qing, Ma, Wen-jun",,Coastal Flood Frequency,dataset-622
Climate change and older Americans: state of the science.,Environmental health perspectives,"Gamble, Janet L, Hurley, Bradford J, Schultz, Peter A, Jaglom, Wendy S, Krishnan, Nisha, Harris, Melinda",10.1289/ehp.1205223,Coastal Flood Frequency,dataset-622
Climate-induced changes in bottom-up and top-down processes independently alter a marine ecosystem.,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences","Jochum, Malte, Schneider, Florian D, Crowe, Tasman P, Brose, Ulrich, O'Gorman, Eoin J",,Coastal Flood Frequency,dataset-622
"Influence of fresh water, nutrients and DOC in two submarine-groundwater-fed estuaries on the west of Ireland.",The Science of the total environment,"Smith, Aisling M, Cave, Rachel R",10.1016/j.scitotenv.2012.07.094,Coastal Flood Frequency,dataset-622
Household perceptions of coastal hazards and climate change in the Central Philippines.,Journal of environmental management,"Combest-Friedman, Chelsea, Christie, Patrick, Miles, Edward",10.1016/j.jenvman.2012.06.018,Coastal Flood Frequency,dataset-622
Impact of fresh and saline water flooding on leaf gas exchange in two Italian provenances of Tamarix africana Poiret.,"Plant biology (Stuttgart, Germany)","Abou Jaoudé, R, de Dato, G, Palmegiani, M, De Angelis, P",10.1111/j.1438-8677.2012.00597.x,Coastal Flood Frequency,dataset-622
Climate change and health effects in Northwest Alaska.,Global health action,"Brubaker, Michael, Berner, James, Chavan, Raj, Warren, John",10.3402/gha.v4i0.8445,Coastal Flood Frequency,dataset-622
Projected evolution of California's San Francisco Bay-Delta-river system in a century of climate change.,PloS one,"Cloern, James E, Knowles, Noah, Brown, Larry R, Cayan, Daniel, Dettinger, Michael D, Morgan, Tara L, Schoellhamer, David H, Stacey, Mark T, van der Wegen, Mick, Wagner, R Wayne, Jassby, Alan D",10.1371/journal.pone.0024465,Coastal Flood Frequency,dataset-622
Causes of death and demographic characteristics of victims of meteorological disasters in Korea from 1990 to 2008.,Environmental health : a global access science source,"Myung, Hyung-Nam, Jang, Jae-Yeon",10.1186/1476-069X-10-82,Coastal Flood Frequency,dataset-622
Anthropogenic forcing of estuarine hypoxic events in sub-tropical catchments: landscape drivers and biogeochemical processes.,The Science of the total environment,"Wong, Vanessa N L, Johnston, Scott G, Burton, Edward D, Bush, Richard T, Sullivan, Leigh A, Slavich, Peter G",10.1016/j.scitotenv.2011.08.065,Coastal Flood Frequency,dataset-622
Salmonella rarely detected in Mississippi coastal waters and sediment.,Journal of applied microbiology,"Carr, M R, Wang, S Y, McLean, T I, Flood, C J, Ellender, R D",10.1111/j.1365-2672.2010.04851.x,Coastal Flood Frequency,dataset-622
"Individual actual or perceived property flood risk: did it predict evacuation from Hurricane Isabel in North Carolina, 2003?",Risk analysis : an official publication of the Society for Risk Analysis,"Horney, Jennifer A, Macdonald, Pia D M, Van Willigen, Marieke, Berke, Philip R, Kaufman, Jay S",10.1111/j.1539-6924.2009.01341.x,Coastal Flood Frequency,dataset-622
Globalisation and climate change in Asia: the urban health impact.,Third world quarterly,"Munslow, Barry, O'Dempsey, Tim",,Coastal Flood Frequency,dataset-622
Spatial patterns of natural hazards mortality in the United States.,International journal of health geographics,"Borden, Kevin A, Cutter, Susan L",10.1186/1476-072X-7-64,Coastal Flood Frequency,dataset-622
Flood risk assessment in The Netherlands: a case study for dike ring South Holland.,Risk analysis : an official publication of the Society for Risk Analysis,"Jonkman, Sebastiaan N, Kok, Matthijs, Vrijling, Johannes K",10.1111/j.1539-6924.2008.01103.x,Coastal Flood Frequency,dataset-622
The impact of extreme weather events on the seagrass Zostera noltii and related Hydrobia ulvae population.,Marine pollution bulletin,"Cardoso, P G, Raffaelli, D, Pardal, M A",10.1016/j.marpolbul.2007.11.006,Coastal Flood Frequency,dataset-622
"The east coast Big Flood, 31 January-1 February 1953: a summary of the human disaster.","Philosophical transactions. Series A, Mathematical, physical, and engineering sciences","Baxter,Peter J",,Coastal Flood Frequency,dataset-622
Microbial indicators of aquatic ecosystem change: current applications to eutrophication studies.,FEMS microbiology ecology,"Paerl, Hans W, Dyble, Julianne, Moisander, Pia H, Noble, Rachel T, Piehler, Michael F, Pinckney, James L, Steppe, Timothy F, Twomey, Luke, Valdes, Lexia M",10.1016/S0168-6496(03)00200-9,Coastal Flood Frequency,dataset-622
Rapid assessment of the prevalence of lower limb clinical rickets in Bangladesh.,Public health,"Karim, F, Chowdhury, A M, Gani, M S",,Coastal Flood Frequency,dataset-622
Water quality impacts of stormwater discharges to Santa Monica Bay.,Marine environmental research,"Bay, Steven, Jones, Burton H, Schiff, Kenneth, Washburn, Libe",,Coastal Flood Frequency,dataset-622
"Flood defence in the Blackwater Estuary, Essex, UK: the impact of sedimentological and geochemical changes on salt marsh development in the Tollesbury Managed Realignment site.",Marine pollution bulletin,"Chang, Y H, Scrimshaw, M D, Macleod, C L, Lester, J N",,Coastal Flood Frequency,dataset-622
The dead zones: oxygen-starved coastal waters.,Environmental health perspectives,"Joyce,S",,Coastal Flood Frequency,dataset-622
Acoustic normal mode fluctuation statistics in the 1995 SWARM internal wave scattering experiment,The Journal of the Acoustical Society of America,,,Coastal Flood Frequency,dataset-622
Vibrio cholerae O139: how great is the threat of a pandemic?,Tropical medicine & international health : TM & IH,"Siddique, A K, Akram, K, Zaman, K, Mutsuddy, P, Eusof, A, Sack, R B",,Coastal Flood Frequency,dataset-622
[The type of leptospirosis epidemic and serogroup transformation in Fujian province in recent years].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,"Lin,J",,Coastal Flood Frequency,dataset-622
Risk factors for mortality in the Bangladesh cyclone of 1991.,Bulletin of the World Health Organization,"Bern, C, Sniezek, J, Mathbor, G M, Siddiqi, M S, Ronsmans, C, Chowdhury, A M, Choudhury, A E, Islam, K, Bennish, M, Noji, E",,Coastal Flood Frequency,dataset-622
Rift Valley fever among domestic animals in the recent West African outbreak.,Research in virology,"Ksiazek, T G, Jouan, A, Meegan, J M, Le Guenno, B, Wilson, M L, Peters, C J, Digoutte, J P, Guillaud, M, Merzoug, N O, Touray, E M",,Coastal Flood Frequency,dataset-622
