dataset,dataset_string,dataset_title,doi,journal,title,notes
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1080/07481756.2018.1547619,Measurement and Evaluation in Counseling and Development,Doctoral Student Perfectionism and Emotional Well-Being,
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1525/lavc.2019.130006b,Latin American and Latinx Visual Culture,The Hidden Costs of a Life of the Mind,
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1111/ecin.12762,Economic Inquiry,YOUNG â€œSTARSâ€ IN ECONOMICS: WHAT THEY DO AND WHERE THEY GO,
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1016/j.profnurs.2019.07.003,Journal of Professional Nursing,National Institute of Health (NIH) funding patterns in Schools of Nursing: Who is funding nursing science research and who is conducting research at Schools of Nursing?,
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1016/j.respol.2019.03.001,Research Policy,Federal funding of doctoral recipients: What can be learned from linked data,manually collected
dataset-370,N/A,Survey of Earned Doctorates,10.1016/j.respol.2016.03.011,Research Policy,Training the scientific workforce: Does funding mechanism matter?,manually collected
dataset-370,N/A,Survey of Earned Doctorates,10.1016/j.soscij.2015.01.004,The Social Justice Journal,Defining diversity: A mixed-method analysis of terminology in faculty applications,manually collected
dataset-370,N/A,Survey of Earned Doctorates,10.1353/rhe.2019.0093,The Review of Higher Education,What's Money Got to Do with It?,manually collected
dataset-370,N/A,Survey of Earned Doctorates,10.1037/amp0000288,American Psychologist,The Trade-Offs of Teamwork Among STEM Doctoral Graduates,manually collected
dataset-370,N/A,Survey of Earned Doctorates,10.1177/0033354918754558,Public Health Reports,"Interdisciplinary Dissertation Research Among Public Health Doctoral Trainees, 2003-2015",manually collected
dataset-370,N/A,Survey of Earned Doctorates,10.1371/journal.pone.0190606,PLOS One,Survey of checkpoints along the pathway to diverse biomedical research faculty,manually collected
dataset-370,N/A,Survey of Earned Doctorates,10.1093/sw/54.1.71,Social Work,Doctoral Education in Social Work: What We Know and What We Need to Know,manually collected
dataset-370,N/A,Survey of Earned Doctorates,10.1097/00001888-199709000-00020,Academic Medicine,Profile of the graduate student population in U.S. medical schools.,manually collected
dataset-370,N/A,Survey of Earned Doctorates,10.1086/498997,American Journal of Education,Who’s Teaching the Teachers? Evidence from the National Survey of Postsecondary Faculty and the Survey of Earned Doctorates,manually collected
dataset-370,N/A,Survey of Earned Doctorates,10.1145/543812.543841,Special Interest Group on Computer Science Education,Female computer science doctorates: what does the survey of earned doctorates reveal?,manually collected
dataset-370,N/A,Survey of Earned Doctorates,10.1371/journal.pone.0154741,PLOS One,Stability and Longevity in the Publication Careers of U.S. Doctorate Recipients,manually collected
dataset-370,N/A,Survey of Earned Doctorates,10.2172/971617,U.S. Department of Energy Office of Scientific and Technical Information,"Stay Rates of Foreign Doctorate Recipients from U.S. Universities, 2007",manually collected
dataset-370,N/A,Survey of Earned Doctorates,10.1080/19477503.2017.1375356,Investigations in Mathematics Learning,Issues of validity in reporting the number of doctorates in mathematics education,manually collected
dataset-370,N/A,Survey of Earned Doctorates,10.1096/fj.14-264358,Life Sciences Forum,Size and characteristics of the biomedical research workforce associated with U.S. National Institutes of Health extramural grants,manually collected
dataset-370,N/A,Survey of Earned Doctorates,10.1007/s11192-012-0893-4,Scientometrics,"Disparities in publication patterns by gender, race and ethnicity based on a survey of a random sample of authors",manually collected
dataset-370,N/A,Survey of Earned Doctorates,10.2105/AJPH.2018.304553,American Journal of Public Health,"Employment Trends Among Public Health Doctoral Recipients, 2003–2015",manually collected
dataset-370,N/A,Survey of Earned Doctorates,10.1097/ACM.0b013e31826d726b,Journal of the Association of American Medical Colleges,"Are Race, Ethnicity, and Medical School Affiliation Associated With NIH R01 Type Award Probability for Physician Investigators?",manually collected
dataset-370,N/A,Survey of Earned Doctorates,10.1016/j.respol.2014.12.013,Research Policy,"New linked data on research investments: Scientific workforce, productivity, and public value",manually collected
dataset-370,N/A,Survey of Earned Doctorates,10.3386/w11457,Innovation Policy and the Economy,Does Globalization of the Scientific/Engineering Workforce Threaten U.S. Economic Leadership?,manually collected
dataset-370,N/A,Survey of Earned Doctorates,10.3386/w12085,Journal of Human Resources,Immigration in High-Skill Labor Markets: The Impact of Foreign Students on the Earnings of Doctorates,manually collected
dataset-370,N/A,Survey of Earned Doctorates,10.1007/s10961-018-9659-3,The Journal of Technology Transfer,A conceptual framework for studying science research careers,manually collected
dataset-370,N/A,Survey of Earned Doctorates,10.1177/0034644619880562,The Review of Black Political Economy,African Americans in Economics at the University of Michigan-Ann Arbor Since the Kerner Commission Report of 1968,manually collected
dataset-370,N/A,Survey of Earned Doctorates,10.1525/collabra.274,Collabra Psychology,Rationality is Gendered,manually collected
dataset-370,N/A,Survey of Earned Doctorates,10.1007/s11162-019-09584-6,Research in Higher Education,University and Department Influences on Scientistsâ€™ Occupational Outcomes,manually collected
dataset-370,N/A,Survey of Earned Doctorates,10.1007/s10755-019-9469-z,Innovative Higher Education,"Exit, Voice, Loyalty: Using an Exit Phone Interview to Mitigate the Silent Departure Phenomenon",manually collected
