api,doi,title,url,search_term,dataset_id,valid,pdf,notes
openaire,10.22004/ag.econ.59682,Decomposition of Variability in Farm Household Assets and Debt,http://dx.doi.org/10.22004/ag.econ.59682,Agricultural Resource Management Survey,dataset-870,yes,,
openaire,,Decomposition of Variability in Farm Household Assets and Debt,http://purl.umn.edu/59682,Agricultural Resource Management Survey,dataset-870,duped,,
dimensions,10.1017/s1068280500003324,Decoupled Direct Payments under Base Acreage and Yield Updating Uncertainty: An Investigation of Agricultural Chemical Use,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Decoupled%20Direct%20Payments%20under%20Base%20Acreage%20and%20Yield%20Updating%20Uncertainty%3A%20An%20Investigation%20of%20Agricultural%20Chemical%20Use,Agricultural Resource Management Survey,"dataset-870,dataset-894",yes,,
openaire,10.22004/ag.econ.33981,DECOUPLED PAYMENTS IN A CHANGING POLICY SETTING,http://dx.doi.org/10.22004/ag.econ.33981,Agricultural Resource Management Survey,dataset-870,yes,,
dimensions,10.1108/afr-05-2015-0023,Decoupling direct payments: potential impacts of the 2014 farm bill on farm debt,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Decoupling%20direct%20payments%3A%20potential%20impacts%20of%20the%202014%20farm%20bill%20on%20farm%20debt,Agricultural Resource Management Survey,dataset-870,yes,,
dimensions,10.1017/s1074070800000249,Demand for Private Marketing Expertise by Organic Farmers: A Quantile Analysis Based on Counts,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Demand%20for%20Private%20Marketing%20Expertise%20by%20Organic%20Farmers%3A%20A%20Quantile%20Analysis%20Based%20on%20Counts,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.1016/j.scitotenv.2018.07.077,"Dengue fever in Punjab, Pakistan: Knowledge, perception and adaptation among urban adults.",https://www.ncbi.nlm.nih.gov/pubmed/30743843,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.1111/gcb.13516,Denial of long-term issues with agriculture on tropical peatlands will have devastating consequences.,https://www.ncbi.nlm.nih.gov/pubmed/27670948,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.1111/j.1752-7325.2010.00184.x,Dental utilization among Hispanic adults in agricultural worker families in California's Central Valley.,https://www.ncbi.nlm.nih.gov/pubmed/20545826,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.1111/gwat.12536,Depletion Mapping and Constrained Optimization to Support Managing Groundwater Extraction.,https://www.ncbi.nlm.nih.gov/pubmed/28589540,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.1016/j.puhe.2019.12.011,Depressive costs: medical expenditures on depression and depressive symptoms among rural elderly in China.,https://www.ncbi.nlm.nih.gov/pubmed/32032922,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.1007/s00267-019-01173-8,"Design, Development and Implementation of a Decision Support Info-Portal for Integrated Coastal Management, KwaZulu-Natal, South Africa.",https://www.ncbi.nlm.nih.gov/pubmed/31127315,Agricultural Resource Management Survey,dataset-870,no,,
dimensions,10.3168/jds.2011-4542,Determinants of dairy farmers’ participation in the Milk Income Loss Contract program,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Determinants%20of%20dairy%20farmers%E2%80%99%20participation%20in%20the%20Milk%20Income%20Loss%20Contract%20program,Agricultural Resource Management Survey,dataset-870,yes,,
dimensions,10.1017/aae.2015.25,DETERMINANTS OF DECISIONS TO ENTER THE U.S. FARMING SECTOR,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=DETERMINANTS%20OF%20DECISIONS%20TO%20ENTER%20THE%20U.S.%20FARMING%20SECTOR,Agricultural Resource Management Survey,dataset-870,yes,,
openaire,10.22004/ag.econ.61632,Determinants of Farm Household Income Diversification in the United States: Evidence from Farm-Level Data,http://dx.doi.org/10.22004/ag.econ.61632,Agricultural Resource Management Survey,dataset-870,yes,,
openaire,10.22004/ag.econ.45037,Determinants of Poverty among U.S. Farm Households,http://purl.umn.edu/45037,Agricultural Resource Management Survey,dataset-870,yes,,
pubmed,10.1016/j.scitotenv.2017.11.137,Determination and validation of soil thresholds for cadmium based on food quality standard and health risk assessment.,https://www.ncbi.nlm.nih.gov/pubmed/29156288,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.1111/jfb.12143,Determining the effect of environmental accidents on responses to a Gulf of Mexico recreational for-hire fishing industry survey.,https://www.ncbi.nlm.nih.gov/pubmed/24090561,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.1016/j.ajic.2017.09.024,Determining training and education needs pertaining to highly infectious disease preparedness and response: A gap analysis survey of US emergency medical services practitioners.,https://www.ncbi.nlm.nih.gov/pubmed/29499788,Agricultural Resource Management Survey,dataset-870,no,,
openaire,,Developing and validating a competence profile for Development Agents: an Ethiopian case study,http://library.wur.nl/WebQuery/wurpubs/526231,Agricultural Resource Management Survey,dataset-870,no,,
