title,dataset,abstract,authors,doi,journal,keywords,adrf_id
An Analysis of College Choice Information Provided on Graduate Program Websites: Implications for Improving Applicant Diversity in Educational Measurement,dataset-370,"There has long been a concern about the lack of representation of ethnic minorities in the field of educational measurement. As previous research has shown that graduate programs primarily rely on their websites for recruiting efforts, the objective of this study was to conduct a content analysis of all U.S. educational measurement program websites to evaluate the availability of college choice information found to be useful for underrepresented ethnic minority applicants. In terms of program climate, results revealed that less than 10% of programs directly encouraged ethnic minorities to apply or included an antidiscrimination statement with regard to application review on their websites. Moreover, only a few program websites indicated the availability of flexible programming—previously found to be important for underrepresented ethnic minority students—such as part‐time options (16%), evening courses (10%), and online course/program availability (8%). Recommendations for how measurement programs can improve their websites to include desirable college choice information for underrepresented ethnic minority applicants are discussed.","Cathelijn J. F. Waaijer,Benoit Macaluso,Cassidy R. Sugimoto,Vincent Lariviere",10.1111/emip.12284,Educational Measurement: Issues and Practice,,adrf-000142
"An empirical study of scientific production: A cross country analysis, 1981-2002",dataset-428,"This paper presents the results of an econometric approach to examine the determinants of scientific production at cross-country level. The paper aims not to provide accurate and robust estimates of investment elasticities (a doubtful task given the poor quality of the data sources and the modelling problems), but to develop and critically assess the validity of an empirical approach for characterising the production of science and its impact, from a comparative perspective. We employ and discuss the limitations of a production function approach to relate investment inputs to scientific outputs using a sample of 14 countries for which we have information on higher education research and development (HERD). The outputs are taken from the Thomson ISI national science indicators (2002) database on published papers and citations. The inputs and outputs for this sample of countries have been recorded for a period of 21 years (1981-2002). A thorough discussion of the data shortcomings is provided. On the basis of this panel dataset we investigate the profile of the time lag between investment in HERD and research output and returns to national investment in science. We devote particular attention to analysing the presence of cross-country spillovers. We show their relevance and underline the international effect of the US system.","Gustavo Atilio Crespi, Aldo Geuna",10.1016/j.respol.2007.12.007,Research Policy,,adrf-000136
Approaching change in a challenging environment: Applying implementation science to academic administration.,dataset-428,"This “Live from the Firing Line” essay describes the author’s experience incorporating implementation science into a leadership position to make significant change in the organization. From her experience in a senior executive position in academic administration, she describes the following: (a) the context of the university and position, (b) the nature and application of implementation science, (c) her approach to deliberately apply implementation science theory to the change process, and (d) outcomes and conclusions from this experience. (PsycINFO Database Record (c) 2019 APA, all rights reserved)",Jennifer P. Wisdom,10.1037/mgr0000089,The Psychologist-Manager Journal,,adrf-000136
Are foreign-born researchers more innovative? Self-selection and the production of knowledge among PhD recipients in the USA,dataset-371,"When analyzing knowledge production, the evidence suggests that within the USA, foreign-born researchers exhibit more productivity than their domestic counterparts. Previous literature indicates that productivity differences can be explained by higher academic ability and the selection of more research-oriented fields among foreign-born. In this study, we use individual data from the restricted-access version of the Survey of Doctoral Recipients between 1995 and 2003 to extend this notion and compare knowledge production, in terms of papers presented, articles published, patent applications, and patents granted, of foreign-born and domestic PhD recipients. Our results strongly support the notion that foreign-born researchers, and especially naturalized US citizens, outperform their domestic counterparts in all four of our measures of knowledge production. We show that while aspects associated with academic training, quality of the school, occupation mismatch, and fields of study, among others, play a role in productivity differentials, they only account for a small proportion of the variability. We develop a theoretical a model to show that non-directly observable aspects associated with non-academic ability of foreign-born and a better match between the student and the PhD program, associated with differing opportunity costs of attending the program, may explain the results. Different specifications and robustness checks are conducted to provide support to our theory."",","Rodrigo Perez-Silva, Mark D. Partridge, William E. Foster",10.1007/s10109-018-0281-6,Journal of Geographical Systems,"Observable, Spatial variability, ",adrf-000144
Are high-quality PhD programs at universities associated with more undergraduate students pursuing PhD study?,dataset-370,"This paper investigates which attributes of a Carnegie PhD-level institution predict the share of its undergraduate BA recipients that will earn a PhD. Four broad PhD fields are studied: humanities, physical sciences, natural sciences, and social sciences. We use restricted-access, individual-level Survey of Earned Doctorates data to determine both where and when PhD recipients received their BA, and truncation-correction methodology to account for PhD receipt after the data end. Across fields, we find that PhD production is positively related to the number of highly-ranked PhD programs an institution has, suggesting such departments may play a dual role in both producing PhDs as well as encouraging undergraduates to earn PhDs themselves. We also find that PhD production is negatively related to the total number of students and the share of total BAs that are received in the field, and is positively related to student test scores.","Todd R. Jones,Ronald G. Ehrenberg",10.1080/09645292.2019.1623177,Education Economics,,adrf-000142
"Are Race, Ethnicity, and Medical School Affiliation Associated With NIH R01 Type Award Probability for Physician Investigators?",dataset-370,"PURPOSE: o analyze the relationship among National Institutes of Health (NIH) R01 Type 1 applicant degree, institution type, and race/ethnicity, and application award probability. METHOD: the authors used 2000-2006 data from the NIH IMPAC II grants database and other sources to determine which individual and institutional characteristics of applicants may affect the probability of applications being awarded funding. They used descriptive statistics and probit models to estimate correlations between race/ethnicity, degree (MD or PhD), and institution type (medical school or other institution), and application award probability, controlling for a large set of observable characteristics. RESULTS: Applications from medical schools were significantly more likely than those from other institutions to receive funding, as were applications from MDs versus PhDs. Overall, applications from blacks and Asians were less likely than those from whites to be awarded funding; however, among applications from MDs at medical schools, there was no difference in funding probability between whites and Asians, and the difference between blacks and whites decreased to 7.8%. The inclusion of human subjects significantly decreased the likelihood of receiving funding. CONCLUSIONS: Compared with applications from whites, applications from blacks have a lower probability of being awarded R01 Type 1 funding, regardless of the investigator's degree. However, funding probability is increased for applications with MD investigators and for those from medical schools. To some degree, these advantages combine so that applications from black MDs at medical schools have the smallest difference in funding probability compared with those from whites.","Donna K Ginther,Laurel L. Haak,Walter T Schaffer,Raynard Kington",10.1097/ACM.0b013e31826d726b,Journal of the Association of American Medical Colleges,,adrf-000142
Are transitions to self-employment beneficial?,dataset-370,"Abstract Much research has been conducted studying entry into self-employment and the corresponding rewards and consequences of self-employment on earnings. The literature finds mixed results regarding whether workers enter self-employment to maximize their pecuniary or their non-pecuniary benefits. This paper suggests that whether workers are able to increase their pecuniary or non-pecuniary benefits in self-employment depends on their motivations for entering self-employment in the first place. This study uses longitudinal NSF SESTAT data on over 28,000 scientists and engineers to track employment changes and changes in work outcomes over time for the same individuals. The research examines changes in pecuniary and non-pecuniary work outcomes when wage workers transition to self-employment, compared to those who do not change employers, as well as to those who change employers but do not transition to self-employment. This allows a deeper look at the implications of different types of mobility on work outcomes. The findings show that in general those who transition to self-employment experience improvements in their non-pecuniary outcomes but not in their pecuniary outcomes, however the results do differ depending on the motivation for moving. Using job satisfaction as a proxy measure for non-pecuniary benefits, this paper finds that while those who enter self-employment from wage work do generally improve their job satisfaction, job satisfaction rises for all movers, not just for those who enter self-employment.",Briana Sell Stenard,10.1016/j.jbvi.2019.e00131,Journal of Business Venturing Insights,,adrf-000142
Biobusiness consulting to prepare scientists for industry careers,dataset-371,Evidence indicates that participation in a biobusiness consulting experience has an important impact on the career path of participants while not affecting their scientific productivity.,"Julie E. Tetzlaff, Philip S. Clifford",10.1038/s41587-019-0173-4,Nature Biotechnology,,adrf-000144
"BPD Emerging Leaders 2010a\""2016: Identifying and Responding to the Need for New Academic Leadership",dataset-370,"In 2010, the Association of Baccalaureate Social Work Program Directors (BPD) participated in the Social Work Congress in Washington, DC, along with other national social work organizations.","Valerie C. Bryan,Kathryn Krase,Alicia Nicole McLaughlin,Nancy Meyer-Adams",10.1080/10437797.2019.1656576,Journal of Social Work Education,,adrf-000142
Building Capacity in Institutional Research and Decision Support in Higher Education,dataset-428,"This book examines the relevant roles, skills and knowledge needed to build the institutional research capacity across the higher education sector globally. The information contained herein will inform IR practitioners, senior level institution officials, and higher education scholars. With a focus on building the capacity of the IR profession, this book’s primary audiences include senior leaders who wish to introduce or strengthen their understanding for effective decision support and staff members who are currently in decision support units and those who wish to serve in this capacity. However, this book also offers detail on the decision support function to higher education scholars who seek to better address how data can inform policy and planning in higher education. Through a broad discussion about the roles and skills of the practitioners, this book will also enumerate the ways in which decision support practitioners can be valued contributors in shaping the future decisions and direction of specific institutions and higher education broadly. ",,10.1007/978-3-319-71162-1,Knowledge Studies in Higher Education,,adrf-000136
"Career goals, pathways and competencies of geography graduate students in the USA",dataset-371,"This study examines the motivations and career goals of geography graduate students and the extent they are prepared in transferable skills. Women and students specializing in geographic information science and technology are primarily motivated by career opportunities in the private sector, whereas doctoral students express a preference for academic career paths and their goals are more influenced by faculty and departmental prestige. Students in Master's programs and those specializing in physical geography are more likely to seek positions with government employers. Master's and doctoral programs are providing opportunities for students to develop competency in a wide-range of transferable skills. However, there are many organizational and business-oriented skills that employers value but which are not commonly taught in graduate curricula in geography programs."",","Michael Norman Solem, Aurelia Kollasch, Jenny J. Lee",10.1080/03098265.2012.729563,Journal of Geography in Higher Education,"Graduate Education, Career Preparation, Transferable Skills",adrf-000144
Classifying Institutions to Guide Mission-Relevant Performance Assessment,dataset-428,"The shift from a post-industrial to a knowledge economy has placed higher education at the center of attention among policy makers and the public at large. The increase in attention, along with the increasing diversity in the funding sources of higher education institutions (HEIs) has prompted calls for greater accountability. Efforts to assess the effectiveness of HEIs include a variety of accountability frameworks and review processes. These efforts produce competing pressures for both institutional differentiation and convergence: differentiation to efficiently accommodate broader participation and meet a wide array of societal needs; and convergence to compete for international prestige and recognition as demarcated by research university rankings. This paper examines the extent to which distinguishing between types of HEIs via taxonomies or classification systems has expanded or can contribute to expanding the basis upon which HEI performance is evaluated in order to meet the full range of societal expectations for higher education in the 21st Century.",Victor M. H. Borden,10.1163/22125868-12340100,International Journal of Chinese Education,,adrf-000136
"Control of MSSA and MRSA in the United States: protocols, policies, risk adjustment and excuses",dataset-428,"Data released by the U.S. Centers for Disease Control and Prevention (CDC) on March 5, 2019 showed that Staph aureus infections are a major problem in the United States, with 119,000 infections and almost 20,000 deaths in 2017. Rates of decline for hospital-onset MRSA have slowed since 2012 and the United States is not on track for meeting the 2015 U.S. Dept. of Health and Human Services 2019 goal of a 50% reduction by 2020. There is a need for improved standards for control of dangerous pathogens. Currently, the World Health Organization recommendation of preoperatively screening patients for Staph aureus has not become a standard of care in the United States.The U.S. Veterans Health Administration also released data which found a much larger decrease in hospital-onset MRSA infections as opposed to hospital-onset MSSA using various infectious disease bundles that all included universal MRSA surveillance and isolation for MRSA carriers. These results mirror the results obtained by the United Kingdom's National Health Service. These findings support the contention that the marked decline in hospital-onset MRSA infections observed in these studies is due to interventions which are specifically targeted towards MRSA.A case is made that concerns with the integrity of healthcare policy research, along with industrial conflicts-of-interest have inhibited effective formulation of infectious disease policy in the United States. Because MRSA has become endemic in the general U.S. population (approximately 2%), the author advocates that universal facility-wide screening of MRSA on admission be included in infection prevention bundles used at U.S. hospital.",Kevin T. Kavanagh,10.1186/s13756-019-0550-2,Antimicrobial Resistance & Infection Control,"MRSA, MSSA, CDC, Surveillance, Isolation, Veterans health administration, VA, Standards, SIR, Risk adjustment",adrf-000136
Corporate Citizenship and Higher Education,dataset-428,"This book examines corporate citizenship through the inter-organizational relationships between a public American doctoral research university and six of its corporate partners. The author discusses why US corporations engage as corporate citizens in relationships with higher education institutions and gauges the ethical concerns that may arise from such relationships. As governments continue to cut funding, support from individuals and corporations becomes continually more important. This research contributes to the corporate citizenship literature by providing a broad, holistic discussion to understand the range of motives and ROI expectations of corporate engagement in the American society as evidenced by inter-organizational relationships with higher education. This book is useful to provide both researchers and practitioners in corporations and higher education with insights to better design and manage inter-organizational relationships.",Morgan R. Clevenger,10.1007/978-3-030-02447-5,"Behavior, Engagement, and Ethics",,adrf-000136
Defining diversity: A mixed-method analysis of terminology in faculty applications,dataset-370,"Abstract A desirable societal goal may not imply a common understanding of that goal. As organizations seek to foster inclusion through a focus on diversity, understanding the operational definition employed by stakeholders becomes important. This study focuses on how candidates applying for employment address their diversity-related qualifications when specifically asked to do so. A model-driven qualitative coding system is used to characterize the diversity-related terminology in the cover letters of 111 applicants to a post-doctoral faculty fellowship position at a research university open to all academic disciplines. Applicants describe their strengths related to developing diversity-related curriculum and scholarship, aiding the recruitment and retention of a broad range of students and faculty, and establishing community partnerships to advance diversity. The analysis of applicants' letters indicates that applicants refer to race, ethnicity, gender, and class dimensions of diversity most frequently, suggesting that operational definitions tend to be more limited to traditionally and legally established taxonomies of human difference.","Dana Lee Baker,Karen B. Schmaling,Kathleen Carlisle Fountain,Arthur W. Blume,Randy Boose,",10.1016/j.soscij.2015.01.004,The Social Science Journal,,adrf-000142
"Designing and Implementing an Indigenous Mentoring Program for Faculty Who Mentor AI/AN Students in STEM Fields: Process, Outcomes, and Lessons Learned",dataset-370,"This chapter describes the development and implementation of an Indigenous Mentoring Program (IMP) for faculty who mentor American Indian/Alaska Native graduate students in science, technology, engineering, and mathematics (STEM) fields. The chapter also reviews steps taken in adapting and translating the IMP to non‐Montana institutions that are part of the Pacific Northwest Circle of Success in Mentoring Opportunities in STEM Alliance.","Blakely Brown,Barbara Z. Komlos",10.1002/he.20337,New Directions for Higher Education,,adrf-000142
Developing an Indigenous Knowledge Field Camp,dataset-371,This chapter describes a field\based experience based on Native American best mentoring practices that brings together traditional ecological knowledge and Western science to build relationships and understanding between Native students and faculty mentors.,"Jerry R. McMurtry, Raquel Gonçalves Arouca, Aaron M Thomas",10.1002/he.20336,New Directions for Higher Education,,adrf-000144
Discovering and selling medicines,dataset-428,"This chapter describes the biopharmaceutical industry, beginning with an examination of its role and significance in the national economies of OECD countries in terms of employment, economic output, trade and research and development (R&D) expenditure. It then takes a closer look at the process of pharmaceutical R&D, outlining the main phases of the development of new medicines and their attendant risks; examining the contributions to R&D of the public and private sectors; comparing R&D intensity in the pharmaceutical industry with that of other industries; and considering R&D expenditure and activity in the context of health needs. Finally, the chapter describes trends in the industry, observing that while R&D productivity has declined over time and is increasingly focused on the development of medicines for small patient populations, the industry remains highly profitable.",OECD,10.1787/9789264307391-5-en,,,adrf-000136
"Disparities in publication patterns by gender, race and ethnicity based on a survey of a random sample of authors",dataset-370,"Gender and racial disparities have greatly diminished in academia over the last 30 years, but attrition rates among women and minority faculty still remain high. In this paper we examine gender and racial disparities in publishing, an activity that is important for career advancement, but has not been incorporated adequately into the debate on faculty attrition. We surveyed a random sample of 1,065 authors who contributed a peer-reviewed journal article indexed in the Web of Science (WoS) in 2005 and at least one other article during the period of 2001 to 2004 in four academic disciplines representing natural sciences (biochemistry and water resources) and social sciences (anthropology and economics). We then report on the relationships between demographic variables (gender and race/ethnicity) and career-related variables (academic rank, discipline, and h-index) of these authors. Our findings show that at every career level and within each discipline, women were under-represented in academic positions compared to men and an even lower percentage of women published at each academic level than were employed at that level. Further, we found that women had lower h-indices than men in all four disciplines surveyed. Societal and biological constraints may reduce women's ability to obtain research intensive positions and contribute to these gender disparities. Hispanics and blacks were underrepresented among individuals awarded with doctoral degrees, doctorate recipients employed in academia, and academics publishing in WoS as compared to their representation in the population. Whites, Asians, and Native Americans and Pacific Islanders were adequately or over-represented in each category. Additionally, blacks had lower h-indices than the other ethnic groups across the disciplines surveyed. Compared to women, attrition among blacks and Hispanics appears to occur earlier in their career development. Cumulative experiences with discrimination and stereotypes may partly explain higher attrition and lower publication productivity among blacks and Hispanics.","Allison L. Hopkins,James W. Jawitz,Christopher McCarty,Alex Goldman,Nandita B. Basu",10.1007/s11192-012-0893-4,Scientometrics,,adrf-000142
"Diversifying Science and Engineering Faculties: Intersections of Race, Ethnicity, and Gender",dataset-371,"The fields of science, technology, engineering, and mathematics (STEM) drive economies worldwide. In such knowledge-based economies, no nation can afford to use its human resources inefficiently and ineffectively. Faculties exert a great deal of influence on the science and engineering (S&E) enterprise insofar as they conduct cutting-edge research as well as educate and train the S&E labor forces. This article focuses on the dynamics of the intersections of race/ethnicity and gender on diversifying S&E faculties in colleges and universities in the United States, and the criticality of disaggregating data to better understand these dynamics. Failure to disaggregate race/ethnicity data by gender, and gender data by race/ethnicity, masks important distinctions among groups. Failure to systematically take into account these distinctions results in policy, programs, practices, and institutions that are both inefficient and ineffective in developing and enhancing the S&E labor forces."",",Cheryl B. Leggon,10.1177/0002764209356236,American Behavioral Scientist,"Universities, Criticality matrix, Masks, physical hard work, college",adrf-000144
Doctoral Education in Social Work: What We Know and What We Need to Know,dataset-370,"Little is known about social work doctoral students and graduates: why they chose doctoral study, the kind of work they do, and the nature of their unique contributions to the profession. This article reviews past studies of doctoral education in social work in the context of general trends in doctoral education in the United States, underscoring the need for more social workers with doctoral degrees. Using data from the Survey of Earned Doctorates, social work doctoral graduates from two recent years are described, including their employment plans at graduation and their indebtedness. Implications of the findings for the profession are discussed.","Jeane W. Anastas,Alexis N Kuerbis",10.1093/sw/54.1.71,Social Work,,adrf-000142
Doctoral student experiences in biological sciences laboratory rotations,dataset-428,"Purpose: The purpose of this study is to explore the experience of selecting and engaging in biological sciences laboratory rotations from the perspective of doctoral students. Design/methodology/approach:
Within the socialization framework, this study uses a qualitative approach whereby 42 biological sciences students enrolled at highly selective US universities were interviewed in the first and second year of doctoral training about laboratory rotation experiences. Findings: The study revealed how doctoral students used formal and informal information networks, explored research topics, struggled with funding concerns and learned about the social aspect of the laboratories in which they rotated.  Originality/value: While rotations are considered a signature pedagogy in the laboratory sciences, students' experiences within them are understudied. This study offers new knowledge about what doctoral students experience while rotating that can be used to inform and improve rotation processes for both students and universities.","Michelle A. Maher,Annie M. Wofford,Josipa Roksa,David F. Feldon",10.1108/sgpe-02-2019-050,Studies in Graduate and Postdoctoral Education,"Doctoral education, Laboratory rotations, Doctoral student socialization, Doctoral advisor selection",adrf-000136
"Doctoral student funding portfolios across and within engineering, life sciences and physical sciences",dataset-428,"Purpose 
This paper aims to determine the extent to which graduate student funding portfolios vary across and within engineering, life sciences and physical sciences academic fields for degree recipients. ""Graduate student funding portfolios"" refers to the percentages of students funded by fellowships, research assistantships, teaching assistantships, personal means and other sources within an organizational unit. 
Design/methodology/approach 
Using data from the Survey of Earned Doctorates data set, the authors analyze doctoral students' self-reported primary mechanisms of funding across and within academic fields varying along the Biglan taxonomy. The authors used cluster analyses and logistic regression to investigate within-field variation in funding portfolios. 
Findings 
The authors show significant differences in doctoral student funding portfolios across dimensions of the Biglan taxonomy characterizing academic fields. Within those fields, the authors demonstrate considerable variation in funding; institutions cluster into different ""modes"" of funding portfolios that do not necessarily map onto institutional type or control variables. 
Originality/value 
Despite tremendous investment in graduate students, there has been little research that can help characterize at the program-level how graduate students are funded, either by internal or external mechanisms. As programs continue to feel the pressures of more limited resources coupled with increasing graduate enrollment demands, investigating graduate student funding at a macro level is becoming increasingly important so programs may better understand constraints and predict shifts in resource availability.","David B. Knight, Timothy Kinoshita, Nathan Hyungsok Choe, Maura Borrego",10.1108/sgpe-d-17-00044,Studies in Graduate and Postdoctoral Education,"Funding, Graduate, Biglan Taxonomy, Survey of Earned Doctorates",adrf-000136
Doctoral Student Perfectionism and Emotional Well-Being,dataset-370,"This study examined the association between perfectionism and perceived stress, life satisfaction, positive emotions, and negative emotions among a national sample of 528 doctoral students. Latent profile analysis based on a measure of perfectionism supported a 3-class model (i.e., adaptive perfectionists, nonperfectionists, and maladaptive perfectionists). Adaptive perfectionists had the lowest levels of perceived stress and negative emotions and the highest levels of positive emotions and life satisfaction. Maladaptive perfectionists had the highest levels of perceived stress and negative emotions along with the lowest levels of negative emotions.","Randall M. Moate,Philip B. Gnilka,Erin M. West,Kenneth G. Rice",10.1080/07481756.2018.1547619,Measurement and Evaluation in Counseling and Development,,adrf-000142
Does employment during doctoral training reduce the PhD completion rate?,dataset-370,"This paper examines relations between doctoral students’ employment and graduation outcomes at a research-intensive university in Russia. Since most doctoral students lack financial support, they find employment and work full-time. This study addresses two questions: first, how the employment status is related to graduation outcomes (defending a thesis) and, second, how characteristics of student employment decrease the chances of defence of a thesis. The research is based on a longitudinal dataset of doctoral students that were enrolled in doctoral programmes between 2008 and 2017. The dataset combines survey data collected during the doctoral training and administrative data about the students’ graduation outcomes gathered in 2018. The results show that on-campus employment increases the chances to defend the thesis and off-campus employment is negatively associated with the completion. The findings may help define the groups of students that are at risk of attrition and should be provided with appropriate support.",Saule Bekova,10.1080/03075079.2019.1672648,Studies in Higher Education,,adrf-000142
