dataset,doi,journal,title,url,pdf
dataset-025,,"United States Department of Agriculture, Economic Research Service",Comparing National Food Acquisition and Purchase Survey (FoodAPS) Data With Other National Food Surveys' Data,,https://www.ers.usda.gov/webdocs/publications/79893/eib-157.pdf?v=3418.4
dataset-025,,"United States Department of Agriculture, Economic Research Service",Food-at-Home Expenditures: Comparing Commercial Household Scanner Data From IRI and Government Survey Data,,https://www.ers.usda.gov/webdocs/publications/85252/tb-1946.pdf?v=0
dataset-025,,"United States Department of Agriculture, Economic Research Service",The Differences in Characteristics Among Households With and Without Obese Children: Findings From USDA's FoodAPS,,https://www.ers.usda.gov/webdocs/publications/85028/eib-179.pdf?v=0
dataset-025,,"United States Department of Agriculture, Economic Research Service",The Food-Spending Patterns of Households Participating in the Supplemental Nutrition Assistance Program: Findings From USDA's FoodAPS,,https://www.ers.usda.gov/webdocs/publications/84780/eib-176.pdf?v=0
dataset-025,,"United States Department of Agriculture, Economic Research Service",The Influence of Food Store Access on Grocery Shopping and Food Spending,,https://www.ers.usda.gov/webdocs/publications/85442/eib-180.pdf?v=0
dataset-025,,"United States Department of Agriculture, Economic Research Service",The Relationship Between Patronizing Direct-to-Consumer Outlets and a Household's Demand for Fruits and Vegetables,,https://www.ers.usda.gov/webdocs/publications/86878/err242_summary.pdf?v=0
dataset-025,,"United States Department of Agriculture, Economic Research Service",The Association Between Nutrition Information Use and the Healthfulness of Food Acquisitions,,https://www.ers.usda.gov/webdocs/publications/88531/err-247.pdf?v=0
dataset-025,,"United States Department of Agriculture, Economic Research Service",America's Eating Habits: Food Away From Home,,https://www.ers.usda.gov/webdocs/publications/90228/eib-196.pdf
dataset-025,10.22004/ag.econ.281315,Journal of Agricultural and Resource Economics,Eat at Home or Away from Home? The Role of Grocery and Restaurant Food Sales Taxes,https://ageconsearch.umn.edu/record/281315,
dataset-025,10.1002/soej.12343,"United States Department of Agriculture, Economic Research Service","Food Access, Program Participation, and Health: Research Using FoodAPS",https://onlinelibrary.wiley.com/doi/full/10.1002/soej.12343?af=R,
