citation,title,author,pubDate,doi,pubId,pubType,journal,host,link,filename,filename_txt,dataName,dataset,,
,Comparing National Food Acquisition and Purchase Survey (FoodAPS) Data With Other National Food Surveys' Data,Ver Ploeg,7/27/16,http://www.ers.usda.gov/publications/pub-details/?pubid=79892,,ERS,,,http://www.ers.usda.gov/publications/pub-details/?pubid=79892,ers-79892.pdf,ers-79892.txt,National Household Food Acquisition and Purchase Survey (FoodAPS),10375,,
,Food-at-Home Expenditures: Comparing Commercial Household Scanner Data From IRI and Government Survey Data,Sweitzer,9/28/17,https://www.ers.usda.gov/publications/pub-details/?pubid=85251,,ERS,,,https://www.ers.usda.gov/publications/pub-details/?pubid=85251,ers-85251.pdf,ers-85251.txt,National Household Food Acquisition and Purchase Survey (FoodAPS),10375,,
,The Differences in Characteristics Among Households With and Without Obese Children: Findings From USDA's FoodAPS,Jo,9/13/17,https://www.ers.usda.gov/publications/pub-details/?pubid=85027,,ERS,,,https://www.ers.usda.gov/publications/pub-details/?pubid=85027,ers-85027.pdf,ers-85027.txt,National Household Food Acquisition and Purchase Survey (FoodAPS),10375,,
"Tiehen, L., C. Newman, and J.A. Kirlin. The Food-Spending Patterns of Households Participating in the Supplemental Nutrition Assistance Program: Findings From USDAs FoodAPS, EIB-176, USDA, ERS, August 2017.",The Food-Spending Patterns of Households Participating in the Supplemental Nutrition Assistance Program: Findings From USDA's FoodAPS,Tiehen,8/16/17,https://www.ers.usda.gov/publications/pub-details/?pubid=84779,,ERS,,,https://www.ers.usda.gov/publications/pub-details/?pubid=84779,ers-84779.pdf,ers-84779.txt,National Household Food Acquisition and Purchase Survey (FoodAPS),10375,,
"Ver Ploeg, M., E. Larimore, and P.E. Wilde. The Influence of Foodstore Access on Grocery Shopping and Food Spending, EIB-180, USDA, ERS, October 2017.",The Influence of Food Store Access on Grocery Shopping and Food Spending,Ver Ploeg,10/18/17,https://www.ers.usda.gov/publications/pub-details/?pubid=85441,,ERS,,,https://www.ers.usda.gov/publications/pub-details/?pubid=85441,ers-85441.pdf,ers-85441.txt,National Household Food Acquisition and Purchase Survey (FoodAPS),10375,,
,The Relationship Between Patronizing Direct-to-Consumer Outlets and a Household's Demand for Fruits and Vegetables,Stewart,1/24/18,https://www.ers.usda.gov/webdocs/publications/86878/err242_summary.pdf?v=0,,ERS,,,https://www.ers.usda.gov/webdocs/publications/86878/err242_summary.pdf?v=0,err242_summary.pdf,err242_summary.txt,National Household Food Acquisition and Purchase Survey (FoodAPS),10375,,
,The Association Between Nutrition Information Use and the Healthfulness of Food Acquisitions,Zeballos,4/19/18,https://www.ers.usda.gov/publications/pub-details/?pubid=88530,,ERS,,,https://www.ers.usda.gov/publications/pub-details/?pubid=88530,ers-88530.pdf,ers-88530.txt,National Household Food Acquisition and Purchase Survey (FoodAPS),10375,,
,America's Eating Habits: Food Away From Home,Saksena/Okrent/Anekwe/Cho/Elitzak/Guthrie/Hyman/Jo/Lin/Manio/McLaughlin/Rahkovsky/Ralston/Stewart/Todd,9/27/18,https://www.ers.usda.gov/webdocs/publications/90228/eib-196.pdf,,ERS,,,https://www.ers.usda.gov/webdocs/publications/90228/eib-196.pdf,eib-196.pdf,eib-196.txt,National Household Food Acquisition and Purchase Survey (FoodAPS),10375,,
"Wilde, P, A Steiner, M Ver Ploeg, 2018, For low-income Americans, living 1 mile (1.6 km) from the nearest supermarket is not associated with self-reported household food security, Current Developments in Nutrition (2017) vol. 1, no 11","For Low-Income Americans, Living ≤1 Mile (≤1.6 km) from the Nearest Supermarket Is Not Associated with Self-Reported Household Food Security","Wilde, P, A Steiner, M Ver Ploeg",2018,10.3945/cdn.117.001446,,Journal,"Current Developments in Nutrition (2017) vol. 1, no 11",,https://syndication.highwire.org/content/doi/10.3945/cdn.117.001446,10.3945_cdn.117.001446.pdf,10.3945_cdn.117.001446.txt,National Household Food Acquisition and Purchase Survey (FoodAPS),10375,,
"Yuqing Zheng, and Diansheng Dong, 2018, Eat at Home or Away from Home? The Role of Grocery and Restaurant Food Sales Taxes, Journal of Agricultural and Resource Economics (2019) vol. 44, no. 1: 98-116",Eat at Home or Away from Home? The Role of Grocery and Restaurant Food Sales Taxes,"Yuqing Zheng, and Diansheng Dong",2018,https://ageconsearch.umn.edu/record/281315,,Journal,Journal of Agricultural and Resource Economics,,https://ageconsearch.umn.edu/record/281315,,,National Household Food Acquisition and Purchase Survey (FoodAPS),10375,,
"Marianne P. Bitler and Christian Gregory, 2019, Introduction to Symposium: Food Access, Program Participation, and Health: Research Using FoodAPS, ","Introduction to Symposium: Food Access, Program Participation, and Health: Research Using FoodAPS",Marianne P. Bitler and Christian Gregory,2019,10.1002/soej.12343,10.1002/soej.12343,Journal,,,10.1002/soej.12343,,,National Household Food Acquisition and Purchase Survey (FoodAPS),10375,,
