title,journal,doi,authors,search_term,dataset_id
A Survey-Based Assessment of Perceived Flood Risk in Urban Areas of the United States,Anthropocene,10.1016/j.ancene.2019.100217,"Harlan, Sharon L., Sarango, Mariana J., Mack, Elizabeth A., Stephens, Timothy A.",NOAA AND 'Social Vulnerability Index',dataset-613
Uncertain seas: probabilistic modeling of future coastal flood zones,International Journal of Geographical Information Science,10.1080/13658816.2019.1635253,"Amante, Christopher J.",NOAA AND 'Social Vulnerability Index',dataset-613
A cyberGIS-enabled multi-criteria spatial decision support system: A case study on flood emergency management,International Journal of Digital Earth,10.1080/17538947.2018.1543363,"Zhang, Zhe, Hu, Hao, Yin, Dandong, Kashem, Shakil, Li, Ruopu, Cai, Heng, Perkins, Dylan, Wang, Shaowen",NOAA AND 'Social Vulnerability Index',dataset-613
Spatial Distribution and Opportunity Mapping: applicability of evidence-based policy implications in Punjab using remote sensing and global products,Sustainable Cities and Society,10.1016/j.scs.2019.101652,"Imran, M., Samra, K., Abbas, N., Majeed, I.",NOAA AND 'Social Vulnerability Index',dataset-613
Quantitative analysis of social media sensitivity to natural disasters,International Journal of Disaster Risk Reduction,10.1016/j.ijdrr.2019.101251,"Bhavaraju, Sai Krishna Theja, Beyney, Cyril, Nicholson, Charles",NOAA AND 'Social Vulnerability Index',dataset-613
Expert evaluation of open-data indicators of seaport vulnerability to climate and extreme weather impacts for U.S. North Atlantic ports,Ocean & Coastal Management,10.1016/j.ocecoaman.2019.104911,"McIntosh, R. Duncan, Becker, Austin",NOAA AND 'Social Vulnerability Index',dataset-613
"Modeling multiscalar influences on natural hazards vulnerability: a proof of concept using coastal hazards in Sarasota County, Florida",GeoJournal,10.1007/s10708-019-10070-w,"Thompson, Courtney M., Dezzani, Raymond J., Radil, Steven M.",NOAA AND 'Social Vulnerability Index',dataset-613
Urban neighbourhood flood vulnerability and risk assessments at different diurnal levels,Journal of Flood Risk Management,10.1111/jfr3.12466,"Percival, Sarah, Gaterell, Mark, Teeuw, Richard",NOAA AND 'Social Vulnerability Index',dataset-613
"Vulnerability of Vietnam to typhoons: A spatial assessment based on hazards, exposure and adaptive capacity",The Science of The Total Environment,10.1016/j.scitotenv.2019.04.069,"Nguyen, Kim-Anh, Liou, Yuei-An, Terry, James P.",NOAA AND 'Social Vulnerability Index',dataset-613
Examination of Human Health Impacts Due to Adverse Climate Events Through the Use of Vulnerability Mapping: A Scoping Review,International Journal of Environmental Research and Public Health,10.3390/ijerph16173091,"Schmeltz, Michael T., Marcotullio, Peter J.",NOAA AND 'Social Vulnerability Index',dataset-613
Collaborative Science to Enhance Coastal Resilience and Adaptation,Frontiers in Marine Science,10.3389/fmars.2019.00404,"Nichols, C. Reid, Wright, Lynn D., Bainbridge, Scott J., Cosby, Arthur, Hénaff, Alain, Loftis, Jon D., Cocquempot, Lucie, Katragadda, Sridhar, Mendez, Gina R., Letortu, Pauline, Le Dantec, Nicolas, Resio, Donald, Zarillo, Gary",NOAA AND 'Social Vulnerability Index',dataset-613
A Bayesian Network-Based Integrated for Flood Risk Assessment (InFRA),Sustainability,10.3390/su11133733,"Joo, Hongjun, Choi, Changhyun, Kim, Jungwook, Kim, Deokhwan, Kim, Soojun, Kim, Hung Soo",NOAA AND 'Social Vulnerability Index',dataset-613
Are vulnerable communities digitally left behind in social responses to natural disasters? An evidence from Hurricane Sandy with Twitter data,Applied Geography,10.1016/j.apgeog.2019.05.001,"Wang, Zheye, Lam, Nina S.N., Obradovich, Nick, Ye, Xinyue",NOAA AND 'Social Vulnerability Index',dataset-613
"Integrated model for earthquake risk assessment using neural network and analytic hierarchy process: Aceh Province, Indonesia",Geoscience Frontiers,10.1016/j.gsf.2019.07.006,"Jena, Ratiranjan, Pradhan, Biswajeet, Beydoun, Ghassan, Nizamuddin, , Ardiansyah, , Sofyan, Hizir, Affan, Muzailin",NOAA AND 'Social Vulnerability Index',dataset-613
Assessing Community Vulnerability to Floods and Hurricanes along the U.S. Gulf Coast,Disasters,10.1111/disa.12383,"Shao, Wanyun, Jackson, Nida Pino, Ha, Hoehun, Winemiller, Terrence",NOAA AND 'Social Vulnerability Index',dataset-613
Using Re-scaled Resilience Screening Index Results and Location Quotients for Socio-Ecological Characterizations in U.S. Coastal Regions,Frontiers in Environmental Science,10.3389/fenvs.2019.00096,"Smith, Lisa M., Harwell, Linda C., Summers, J. Kevin, Bousquin, Justin, Buck, Kyle D., Harvey, James E., McLaughlin, Michelle",NOAA AND 'Social Vulnerability Index',dataset-613
Impact of Hurricane Katrina on the Coastal Systems of Southern Louisiana,Frontiers in Environmental Science,10.3389/fenvs.2019.00068,"Chuang, Wen-Ching, Eason, Tarsha, Garmestani, Ahjond, Roberts, Caleb",NOAA AND 'Social Vulnerability Index',dataset-613
Development of a WebGIS-Based Analysis Tool for Human Health Protection from the Impacts of Prescribed Fire Smoke in Southeastern USA,International Journal of Environmental Research and Public Health,10.3390/ijerph16111981,"Hu, Yongtao, Ai, Ha Hang, Odman, Mehmet Talat, Vaidyanathan, Ambarish, Russell, Armistead G.",NOAA AND 'Social Vulnerability Index',dataset-613
Applying Climate Change Risk Management Tools to Integrate Streamflow Projections and Social Vulnerability,Ecosystems,10.1007/s10021-019-00387-5,"Saia, Sheila M., Suttles, Kelly M., Cutts, Bethany B., Emanuel, Ryan E., Martin, Katherine L., Wear, David N., Coulston, John W., Vose, James M.",NOAA AND 'Social Vulnerability Index',dataset-613
Residential taxable value recovery in coastal Mississippi after Hurricane Katrina,Local Government Studies,10.1080/03003930.2018.1563541,"Krueger, Skip, Winkler, Julie, Schumann, Ronald L.",NOAA AND 'Social Vulnerability Index',dataset-613
A Geospatial Assessment of Flood Vulnerability Reduction by Freshwater Wetlands–A Benefit Indicators Approach,Frontiers in Environmental Science,10.3389/fenvs.2019.00054,"Bousquin, Justin, Hychka, Kristen",NOAA AND 'Social Vulnerability Index',dataset-613
Coastal vulnerability analysis of Bangladesh coast using fuzzy logic based geospatial techniques,Ocean & Coastal Management,10.1016/j.ocecoaman.2019.03.010,"Mullick, Reaz Akter, Tanim, A.H., Islam, S M Samiul",NOAA AND 'Social Vulnerability Index',dataset-613
Identifying multivariate vulnerability of nursing home facilities throughout the southeastern United States,International Journal of Disaster Risk Reduction,10.1016/j.ijdrr.2019.101106,"Wilson, Matthew J., Sugg, Maggie M., Lane, Sandi J.",NOAA AND 'Social Vulnerability Index',dataset-613
"Assessing the sea-level rise vulnerability in coastal communities: A case study in the Tampa Bay Region, US",Cities,10.1016/j.cities.2018.10.007,"Fu, Xinyu, Peng, Zhong-Ren",NOAA AND 'Social Vulnerability Index',dataset-613
Characterizing Spatial Variability of Climate‐Relevant Hazards and Vulnerabilities in the New England Region of the United States,GeoHealth,10.1029/2018gh000179,"Spangler, K. R., Manjourides, J., Lynch, A. H., Wellenius, G. A.",NOAA AND 'Social Vulnerability Index',dataset-613
A critical review examining substance use during the disaster life cycle,Disaster Prevention and Management An International Journal,10.1108/dpm-07-2018-0206,"Van Brown, Bethany Lee, Kopak, Albert M., Hinkel, Hannah Marie",NOAA AND 'Social Vulnerability Index',dataset-613
New York City Panel on Climate Change 2019 Report Chapter 5: Mapping Climate Risk,Annals of the New York Academy of Sciences,10.1111/nyas.14015,"Patrick, Lesley, Solecki, William, Gornitz, Vivien, Orton, Philip, Blumberg, Alan",NOAA AND 'Social Vulnerability Index',dataset-613
Brief Communication: Analysis of the Fatalities and Socio-Economic Impacts Caused by Hurricane Florence,Geosciences,10.3390/geosciences9020058,"Paul, Srikanto, Ghebreyesus, Dawit, Sharif, Hatim O.",NOAA AND 'Social Vulnerability Index',dataset-613
Evaluating the ecosystem services and benefits of wetland restoration by use of the rapid benefit indicators approach,Integrated Environmental Assessment and Management,10.1002/ieam.4101,"Mazzotta, Marisa, Bousquin, Justin, Berry, Walter, Ojo, Claudette, McKinney, Rick, Hyckha, Kristen, Druschke, Caroline Gottschalk",NOAA AND 'Social Vulnerability Index',dataset-613
"Hurricane storm surge in Volusia County, Florida: evidence of a tipping point for infrastructure damage",Disasters,10.1111/disa.12296,"Helderop, Edward, Grubesic, Tony H.",NOAA AND 'Social Vulnerability Index',dataset-613
Toward Probabilistic Prediction of Flash Flood Human Impacts,Risk Analysis,10.1111/risa.12921,"Terti, Galateia, Ruin, Isabelle, Gourley, Jonathan J., Kirstetter, Pierre, Flamig, Zachary, Blanchet, Juliette, Arthur, Ami, Anquetin, Sandrine",NOAA AND 'Social Vulnerability Index',dataset-613
Linking knowledge to action in ocean ecosystem management: The Ocean Modeling Forum,Elementa: Science of the Anthropocene,10.1525/elementa.338,"Francis, Tessa B., Levin, Phillip S., Punt, Andre E., Kaplan, Isaac C., Varney, Anna, Norman, Karma",NOAA AND 'Social Vulnerability Index',dataset-613
A centennial catalogue of hydro-geomorphological events and their atmospheric forcing,Advances in Water Resources,10.1016/j.advwatres.2018.10.001,"Pereira, S., Ramos, A.M., Rebelo, L., Trigo, R.M., Zêzere, J.L.",NOAA AND 'Social Vulnerability Index',dataset-613
Economic and sociocultural impacts of fisheries closures in two fishing-dependent communities following the massive 2015 U.S. West Coast harmful algal bloom,Harmful Algae,10.1016/j.hal.2018.09.002,"Ritzman, Jerilyn, Brodbeck, Amy, Brostrom, Sara, McGrew, Scott, Dreyer, Stacia, Klinger, Terrie, Moore, Stephanie K.",NOAA AND 'Social Vulnerability Index',dataset-613
A Study on the Selection of Representative Indicators of Flood Vulnerability Assessment,Korean Society of Hazard Mitigation,10.9798/kosham.2018.18.6.335,"Joo, Hongjun, Lee, Myungjin, Choi, Changhyun, Kim, Soojun, Kim, Hung Soo",NOAA AND 'Social Vulnerability Index',dataset-613
The Influence of Political Ideology and Socioeconomic Vulnerability on Perceived Health Risks of Heat Waves in the Context of Climate Change The Influence of Political Ideology and Socioeconomic Vulnerability on Perceived Health Risks of Heat Waves in the Context of Climate Change,Weather Climate and Society,10.1175/wcas-d-17-0105.1,"Cutler, Matthew J., Marlon, Jennifer R., Howe, Peter D., Leiserowitz, Anthony",NOAA AND 'Social Vulnerability Index',dataset-613
Finescale Assessment of Mobile Home Tornado Vulnerability in the Central and Southeast United States Finescale Assessment of Mobile Home Tornado Vulnerability in the Central and Southeast United States,Weather Climate and Society,10.1175/wcas-d-18-0060.1,"Strader, Stephen M., Ashley, Walker S.",NOAA AND 'Social Vulnerability Index',dataset-613
Ground-truthing social vulnerability indices of Alaska fishing communities,Coastal Management,10.1080/08920753.2018.1498710,"Lavoie, Anna, Sparks, Kim, Kasperski, Stephen, Himes-Cornell, Amber, Hoelting, Kristin, Maguire, Conor",NOAA AND 'Social Vulnerability Index',dataset-613
Examining the Effects of Objective Hurricane Risks and Community Resilience on Risk Perceptions of Hurricanes at the County Level in the U.S. Gulf Coast: An Innovative Approach,Annals of the American Association of Geographers,10.1080/24694452.2018.1426436,"Shao, Wanyun, Gardezi, Maaz, Xian, Siyuan",NOAA AND 'Social Vulnerability Index',dataset-613
Tiered Approach to Resilience Assessment,Risk Analysis,10.1111/risa.12991,"Linkov, Igor, Fox‐Lent, Cate, Read, Laura, Allen, Craig R., Arnott, James C., Bellini, Emanuele, Coaffee, Jon, Florin, Marie‐Valentine, Hatfield, Kirk, Hyde, Iain, Hynes, William, Jovanovic, Aleksandar, Kasperson, Roger, Katzenberger, John, Keys, Patrick W., Lambert, James H., Moss, Richard, Murdoch, Peter S., Palma‐Oliveira, Jose, Pulwarty, Roger S., Sands, Dale, Thomas, Edward A., Tye, Mari R., Woods, David",NOAA AND 'Social Vulnerability Index',dataset-613
"A serendipitous, quasi-natural experiment: earthquake risk perceptions and hazard adjustments among college students",Natural Hazards,10.1007/s11069-018-3337-5,"Greer, Alex, Wu, Hao-Che, Murphy, Haley",NOAA AND 'Social Vulnerability Index',dataset-613
Cold-season Tornado Risk Communication: Case Studies from November 2016 –February 2017,Weather Climate and Society,10.1175/wcas-d-17-0073.1,"Childs, Samuel J., Schumacher, Russ S.",NOAA AND 'Social Vulnerability Index',dataset-613
"Monitoring and Modelling Coastal Vulnerability and Mitigation Proposal for an Archaeological Site (Kaulonia, Southern Italy)",Sustainability,10.3390/su10062017,"Di Luccio, Diana, Benassai, Guido, Di Paola, Gianluigi, Rosskopf, Carmen Maria, Mucerino, Luigi, Montella, Raffaele, Contestabile, Pasquale",NOAA AND 'Social Vulnerability Index',dataset-613
Integrated urban water management applied to adaptation to climate change,Urban Climate,10.1016/j.uclim.2018.03.005,"Kirshen, Paul, Aytur, Semra, Hecht, Jory, Walker, Andrew, Burdick, David, Jones, Stephen, Fennessey, Neil, Bourdeau, Renee, Mather, Lorilee",NOAA AND 'Social Vulnerability Index',dataset-613
Clusters of community exposure to coastal flooding hazards based on storm and sea level rise scenarios—implications for adaptation networks in the San Francisco Bay region,Regional Environmental Change,10.1007/s10113-017-1267-5,"Hummel, Michelle A., Wood, Nathan J., Schweikert, Amy, Stacey, Mark T., Jones, Jeanne, Barnard, Patrick L., Erikson, Li",NOAA AND 'Social Vulnerability Index',dataset-613
Vulnerability assessment of the South-Lebanese coast: A GIS-based approach,Ocean & Coastal Management,10.1016/j.ocecoaman.2018.03.028,"Ghoussein, Youssra, Mhawej, Mario, Jaffal, Ali, Fadel, Ali, Hourany, Roy El, Faour, Ghaleb",NOAA AND 'Social Vulnerability Index',dataset-613
Assessing Nature-Based Coastal Protection against Disasters Derived from Extreme Hydrometeorological Events in Mexico,Sustainability,10.3390/su10051317,"Pérez-Maqueo, Octavio, Martínez, M. Luisa, Sánchez-Barradas, Flor C., Kolb, Melanie",NOAA AND 'Social Vulnerability Index',dataset-613
Developing an online tool for identifying at-risk populations to wildfire smoke hazards,The Science of The Total Environment,10.1016/j.scitotenv.2017.10.270,"Vaidyanathan, Ambarish, Yip, Fuyuen, Garbe, Paul",NOAA AND 'Social Vulnerability Index',dataset-613
Coastal vulnerability: Evolving concepts in understanding vulnerable people and places,Environmental Science & Policy,10.1016/j.envsci.2018.01.006,"Bevacqua, Anthony, Yu, Danlin, Zhang, Yaojun",NOAA AND 'Social Vulnerability Index',dataset-613
Geographically distant social networks elevate perceived preparedness for coastal environmental threats,Population and Environment,10.1007/s11111-017-0292-0,"Cope, Michael R., Lee, Matthew R., Slack, Tim, Blanchard, Troy C., Carney, Jeff, Lipschitz, Forbes, Gikas, Lydia",NOAA AND 'Social Vulnerability Index',dataset-613
The triple bottom line: bringing a sustainability framework to prioritize climate change investments for infrastructure planning,Sustainability Science,10.1007/s11625-017-0431-7,"Schweikert, Amy, Espinet, Xavier, Chinowsky, Paul",NOAA AND 'Social Vulnerability Index',dataset-613
Climate Change Trends and Impacts on California Agriculture: A Detailed Review,Agronomy,10.3390/agronomy8030025,"Pathak, Tapan B., Maskey, Mahesh L., Dahlberg, Jeffery A., Kearns, Faith, Bali, Khaled M., Zaccaria, Daniele",NOAA AND 'Social Vulnerability Index',dataset-613
Mapping and analyzing socio-environmental vulnerability to coastal hazards induced by climate change: An application to coastal Mediterranean cities in France,Cities,10.1016/j.cities.2017.08.007,"Mavromatidi, Asimina, Briche, Elodie, Claeys, Cécilia",NOAA AND 'Social Vulnerability Index',dataset-613
Oil spill modeling,Progress in Physical Geography Earth and Environment,10.1177/0309133317744737,"Nelson, Jake R, Grubesic, Tony H",NOAA AND 'Social Vulnerability Index',dataset-613
Social vulnerability projections improve sea-level rise risk assessments,Applied Geography,10.1016/j.apgeog.2017.12.019,"Hardy, R. Dean, Hauer, Mathew E.",NOAA AND 'Social Vulnerability Index',dataset-613
"Comparing Machine Learning and Decision Making Approaches to Forecast Long Lead Monthly Rainfall: The City of Vancouver, Canada",Hydrology,10.3390/hydrology5010010,"Zahmatkesh, Zahra, Goharian, Erfan",NOAA AND 'Social Vulnerability Index',dataset-613
Earthquakes on the surface: earthquake location and area based on more than 14500 ShakeMaps,Natural Hazards and Earth System Sciences Discussions,10.5194/nhess-2017-422,"Lackner, Stephanie",NOAA AND 'Social Vulnerability Index',dataset-613
State of the research in community resilience: progress and challenges,Sustainable and Resilient Infrastructure,10.1080/23789689.2017.1418547,"Koliou, Maria, van de Lindt, John W., McAllister, Therese P., Ellingwood, Bruce R., Dillard, Maria, Cutler, Harvey",NOAA AND 'Social Vulnerability Index',dataset-613
The Resilience to Emergencies and Disasters Index: Applying big data to benchmark and validate neighborhood resilience capacity,Sustainable Cities and Society,10.1016/j.scs.2017.10.025,"Kontokosta, Constantine E., Malik, Awais",NOAA AND 'Social Vulnerability Index',dataset-613
Multi-hazard risk assessment of coastal vulnerability from tropical cyclones – A GIS based approach for the Odisha coast,Journal of Environmental Management,10.1016/j.jenvman.2017.10.075,"Sahoo, Bishnupriya, Bhaskaran, Prasad K.",NOAA AND 'Social Vulnerability Index',dataset-613
"Examining the impact of land use on flood losses in Seoul, Korea",Land Use Policy,10.1016/j.landusepol.2017.11.019,"Lee, Yoonjeong, Brody, Samuel D.",NOAA AND 'Social Vulnerability Index',dataset-613
