dataset,doi,journal,search_term,title,url,valid?,notes,pdf
dataset-620,10.1080/15230406.2018.1553113,Cartography and Geographic Information Science,Global Forecast System,Motion of animated streamlets appears to surpass their graphical alterations in human visual detection of vector field maxima,https://www.tandfonline.com/doi/pdf/10.1080/15230406.2018.1553113?needAccess=true,Yes,,https://www.tandfonline.com/doi/pdf/10.1080/15230406.2018.1553113?needAccess=true
dataset-620,10.3390/su11216082,Sustainability,Global Forecast System,Individual Condensation Trails in Aircraft Trajectory Optimization,http://dx.doi.org/10.3390/su11216082,Yes,,https://www.mdpi.com/2071-1050/11/21/6082/pdf
dataset-620,10.5194/acp-2019-1022,Atmospheric Chemistry and Physics,Global Forecast System,Understanding and improving model representation of aerosol optical properties for a Chinese haze event measured during KORUS-AQ,http://dx.doi.org/10.5194/acp-2019-1022,Yes,,https://www.atmos-chem-phys-discuss.net/acp-2019-1022/acp-2019-1022.pdf
dataset-620,10.1007/s00382-019-04895-x,Climate Dynamics,Global Forecast System,Covariations between the Indian Ocean dipole and ENSO: a modeling study,,Yes,,
dataset-620,10.5194/acp-2018-479,Atmospheric Chemistry and Physics,Global Forecast System,An important mechanism of regional O3 transport for summer smog over the Yangtze River Delta in East China,https://doi.org/10.5194/acp-2018-479,Yes,,https://www.atmos-chem-phys-discuss.net/acp-2018-479/acp-2018-479.pdf
dataset-620,10.5194/acp-2018-690,Atmospheric Chemistry and Physics,Global Forecast System,Advanced methods for uncertainty assessment and global sensitivity analysis of a Eulerian atmospheric chemistry transport model,http://nora.nerc.ac.uk/id/eprint/522443/1/N522443JA.pdf,Yes,,https://www.atmos-chem-phys-discuss.net/acp-2018-690/acp-2018-690.pdf
dataset-620,10.5194/amt-11-4309-2018,Atmospheric Measurement Techniques,Global Forecast System,Evaluating two methods of estimating error variances using simulated data sets with known errors,https://www.atmos-meas-tech.net/11/4309/2018/amt-11-4309-2018.pdf,Yes,,https://www.atmos-meas-tech.net/11/4309/2018/amt-11-4309-2018.pdf
dataset-620,10.5194/amt-11-4239-2018,Atmospheric Measurement Techniques,Global Forecast System,Estimating observation and model error variances using multiple data sets,https://www.atmos-meas-tech.net/11/4239/2018/amt-11-4239-2018.pdf,Yes,,https://www.atmos-meas-tech.net/11/4239/2018/amt-11-4239-2018.pdf
dataset-620,10.5194/acp-2018-678,Atmospheric Chemistry and Physics,Global Forecast System,"A top-down assessment using OMI NO2 suggests an underestimate in the NOx emissions inventory in Seoul, South Korea during KORUS-AQ",https://doi.org/10.5194/acp-2018-678,Yes,,https://www.atmos-chem-phys-discuss.net/acp-2018-678/acp-2018-678.pdf
dataset-620,10.1117/12.2314267,Proceedings,Global Forecast System,Characterization of lemniscate atmospheric aberrations in Gemini Planet Imager data,http://arxiv.org/pdf/1807.07179,Yes,,
dataset-620,10.5194/isprs-archives-xlii-4-w8-123-2018,International Society for Photogrammetry and Remote Sensing,Global Forecast System,IMPLEMENTATION OF A COMPREHENSIVE AND EFFECTIVE GEOPROCESSING WORKFLOW ENVIRONMENT,https://www.int-arch-photogramm-remote-sens-spatial-inf-sci.net/XLII-4-W8/123/2018/isprs-archives-XLII-4-W8-123-2018.pdf,Yes,,https://www.int-arch-photogramm-remote-sens-spatial-inf-sci.net/XLII-4-W8/123/2018/isprs-archives-XLII-4-W8-123-2018.pdf
dataset-620,10.1002/2017jd027629,Journal of Geophysical Research Atmospheres,Global Forecast System,A Case Study of Low-Level Jets in Yerevan Simulated by the WRF Model,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2017JD027629,Yes,,https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1002/2017JD027629
dataset-620,10.5194/acp-18-445-2018,Atmospheric Chemistry and Physics,Global Forecast System,Interactions of atmospheric gases and aerosols with the monsoon dynamics over the Sudano-Guinean region during AMMA,https://doi.org/10.5194/acp-18-445-2018,Yes,,https://www.atmos-chem-phys.net/18/445/2018/acp-18-445-2018.pdf
dataset-620,10.3390/w10010056,Water,Global Forecast System,High-Resolution Discharge Forecasting for Snowmelt and Rainfall Mixed Events,https://www.mdpi.com/2073-4441/10/1/56/pdf,Yes,,https://www.mdpi.com/2073-4441/10/1/56/pdf
dataset-620,10.5194/acp-18-13-2018,Atmospheric Chemistry and Physics,Global Forecast System,"Effects of model resolution and parameterizations on the simulations of clouds, precipitation, and their interactions with aerosols",https://www.atmos-chem-phys.net/18/13/2018/acp-18-13-2018.pdf,Yes,,https://www.atmos-chem-phys.net/18/13/2018/acp-18-13-2018.pdf
dataset-620,10.5194/hess-2017-689,Hydrology and Earth System Sciences,Global Forecast System,Evaluation of Doppler radar and GTS Data Assimilation for NWP Rainfall Prediction of an Extreme Summer Storm in Northern China: from the Hydrological Perspective,https://www.hydrol-earth-syst-sci.net/22/4329/2018/hess-22-4329-2018.pdf,Yes,,https://www.hydrol-earth-syst-sci-discuss.net/hess-2017-689/hess-2017-689.pdf
dataset-620,10.1080/08929882.2018.1446540,Science & Global Security,Global Forecast System,Detecting Clandestine Reprocessing Activities in the Middle East,https://www.tandfonline.com/doi/full/10.1080/08929882.2018.1446540,Yes,,https://www.tandfonline.com/doi/pdf/10.1080/08929882.2018.1446540?needAccess=true
