title,url,authors,doi,journal,search_term,dataset_id
Comparison of Five Satellite Derived Latent Heat Flux Products to Moored Buoy Data,https://hal.archives-ouvertes.fr/hal-00146529,"Bourras , Denis",10.1175/JHM503.1,,National Data Buoy Center,dataset-668
Ocean Wave Information Retrieval Using Simulated Compact Polarized SAR from Radarsat-2,http://dx.doi.org/10.1155/2018/1738014,"Wang, Xiaochen, Shao, Yun, She, Lu, Tian, Wei, Li, Kun, Liu, Long",10.1155/2018/1738014,Journal of Sensors,National Data Buoy Center,dataset-668
Adaptive Gaussian Process for Short-TermWind Speed Forecasting,http://dx.doi.org/10.1184/r1/6620933.v1,"Xiaoqian  Jiang, Dong, Bing, Xie, Le, Sweeney, Latanya",10.1184/r1/6620933.v1,,National Data Buoy Center,dataset-668
Comparison of Oceansat-2 Scatterometer Wind Data with Global Moored Buoys and ASCAT Observation,https://doaj.org/toc/1687-9309,"Jungang Yang, Jie Zhang",10.1155/2019/1651267,Advances in Meteorology,National Data Buoy Center,dataset-668
Adaptive Gaussian Process for Short-TermWind Speed Forecasting,http://dx.doi.org/10.1184/r1/6620933,"Xiaoqian  Jiang, Dong, Bing, Xie, Le, Sweeney, Latanya",10.1184/r1/6620933,,National Data Buoy Center,dataset-668
Wave Resource Characterization Using an Unstructured Grid Modeling Approach,http://www.mdpi.com/1996-1073/11/3/605,"Wei-Cheng Wu, Zhaoqing Yang, Taiping Wang",10.3390/en11030605,Energies,National Data Buoy Center,dataset-668
"Evaluation of HY-2A Scatterometer Wind Vectors Using Data from Buoys, ERA-Interim and ASCAT during 2012–2014",http://www.mdpi.com/2072-4292/8/5/390,"Jianyong Xing, Jiancheng Shi, Yonghui Lei, Xiang-Yu Huang, Zhiquan Liu",10.3390/rs8050390,Remote Sensing,National Data Buoy Center,dataset-668
A Sensitivity Analysis of the Wind Forcing Effect on the Accuracy of Large-Wave Hindcasting,https://www.mdpi.com/2077-1312/6/4/139,"Wang, Taiping, Yang, Zhaoqing, Wu, Wei-Cheng, Grear, Molly",10.3390/jmse6040139,Journal of Marine Science and Engineering,National Data Buoy Center,dataset-668
GF-3 SAR Ocean Wind Retrieval: The First View and Preliminary Assessment,http://archimer.ifremer.fr/doc/00396/50731/,"Wang, He, Yang, Jingsong, Mouche, Alexis, Shao, Weizeng, Zhu, Jianhua, Ren, Lin, Xie, Chunhua",10.3390/rs9070694,Remote Sensing,National Data Buoy Center,dataset-668
Outlier Detection in Ocean Wave Measurements by Using Unsupervised Data Mining Methods,http://www.degruyter.com/view/j/pomr.2018.25.issue-1/pomr-2018-0005/pomr-2018-0005.xml?format=INT,"Mahmoodi Kumars, Ghassemi Hassan",10.2478/pomr-2018-0005,Polish Maritime Research,National Data Buoy Center,dataset-668
Operational atmospheric and wave modelling in the California’s coastline and offshore area with applications to wave energy monitoring and assessment,http://hdl.handle.net/10945/57530,"Galanis, G., Kafatos, M., Chu, P.C., Hatzopoulos, N., Papageorgiou, E., Liakatas, A.",,,National Data Buoy Center,dataset-668
Establishment and data analysis of sea-state monitoring system along Taiwan coast.,http://hdl.handle.net/1834/5834,"Feng, Xiangbo, Wang, Hao, Yan, Yixin",,,National Data Buoy Center,dataset-668
The effects of sea spray and atmosphere–wave coupling on air–sea exchange during a tropical cyclone,http://dx.doi.org/10.5194/acp-18-6001-2018,"Garg, Nikhil, Ng, Eddie Yin Kwee, Narasimalu, Srikanth",10.5194/acp-18-6001-2018,,National Data Buoy Center,dataset-668
Hölder Scales of Sea Level,http://dx.doi.org/10.1155/2012/863707,"Ming Li, YangQuan Chen, Jia-Yue Li, Wei Zhao",10.1155/2012/863707,Mathematical Problems in Engineering,National Data Buoy Center,dataset-668
TSUNAMI HAZARD MITIGATION AND THE NOAA NATIONAL WATER LEVEL OBSERVATION NETWORK,http://tsunamisociety.org/STHVol20N1Y2002.pdf,"James R. Hubbard, Scott A. Duncan",,Science of Tsunami Hazards,National Data Buoy Center,dataset-668
Long Term Trends in Lake Michigan Wave Climate,http://dx.doi.org/10.25394/pgs.7999142.v1,"Olsen, Nicholas R",10.25394/pgs.7999142.v1,,National Data Buoy Center,dataset-668
Long Term Trends in Lake Michigan Wave Climate,http://dx.doi.org/10.25394/pgs.7999142,"Olsen, Nicholas R",10.25394/pgs.7999142,,National Data Buoy Center,dataset-668
Long Term Trends in Lake Michigan Wave Climate,https://figshare.com/articles/Long_Term_Trends_in_Lake_Michigan_Wave_Climate/7999142,"Olsen, Nicholas R.",10.25394/pgs.7999142.v1,,National Data Buoy Center,dataset-668
The effects of sea spray and atmosphere–wave coupling on air–sea exchange during a tropical cyclone,https://doaj.org/toc/1680-7324,"N. Garg, E. Y. K. Ng, S. Narasimalu",10.5194/acp-18-6001-2018,Atmospheric Chemistry and Physics,National Data Buoy Center,dataset-668
Validation of the Suomi NPP VIIRS Ice Surface Temperature Environmental Data Record,http://dx.doi.org/10.3390/rs71215880,"Liu, Yinghui, Key, Jeffrey, Tschudi, Mark, Dworak, Richard, Mahoney, Robert, Baldwin, Daniel",10.3390/rs71215880,Remote Sensing,National Data Buoy Center,dataset-668
Long Term Wave Climate Risk Analysis,http://www.escholarship.org/uc/item/4tw2h2pv,"Orloff, Leah S.",,,National Data Buoy Center,dataset-668
Viewing Sea Level by a One-Dimensional Random Function with Long Memory,https://doaj.org/toc/1024-123X,"Ming Li, Carlo Cattani, Seng-Yong Chen",10.1155/2011/654284,Mathematical Problems in Engineering,National Data Buoy Center,dataset-668
Spectral partitioning and identification of wind sea and swell,http://www.vliz.be/nl/open-marien-archief?module=ref&refid=210994,"Portilla, J., Ocampo-Torres, F.J., Monbaliu, J.",,,National Data Buoy Center,dataset-668
Preliminary Analysis of Chinese GF-3 SAR Quad-Polarization Measurements to Extract Winds in Each Polarization,http://archimer.ifremer.fr/doc/00420/53104/,"Lin Ren, Jingsong Yang, Alexis Mouche, He Wang, Juan Wang, Gang Zheng, Huaguo Zhang",10.3390/rs9121215,,National Data Buoy Center,dataset-668
An Empirical Algorithm for Wave Retrieval from Co-Polarization X-Band SAR Imagery,https://www.mdpi.com/2072-4292/9/7/711,"Weizeng Shao, Jing Wang, Xiaofeng Li, Jian Sun",10.3390/rs9070711,Remote Sensing,National Data Buoy Center,dataset-668
Ocean Wind Retrieval Models for RADARSAT Constellation Mission Compact Polarimetry SAR,http://dx.doi.org/10.3390/rs10121938,"Tianqi Sun, Guosheng Zhang, William Perrie, Biao Zhang, Changlong Guan, Shahid Khurshid, Kerri Warner, Jian Sun",10.3390/rs10121938,Remote Sensing,National Data Buoy Center,dataset-668
Seasonal carbonate chemistry variability in marine surface waters of the US Pacific Northwest,http://dx.doi.org/10.5194/essd-10-1367-2018,"Fassbender, Andrea J., Alin, Simone R., Feely, Richard A., Sutton, Adrienne J., Newton, Jan A., Krembs, Christopher, Bos, Julia, Keyzers, Mya, Devol, Allan, Ruef, Wendi, Pelletier, Greg",10.5194/essd-10-1367-2018,,National Data Buoy Center,dataset-668
Predicting ocean waves along the US east coast during energetic winter storms: sensitivity to whitecapping parameterizations,https://www.ocean-sci-discuss.net/os-2018-112/,"Allahdadi, Mohammad Nabi, He, Ruoying, Neary, Vincent S.",10.5194/os-15-691-2019,Ocean Science (OS),National Data Buoy Center,dataset-668
Onset of the spring bloom in the northwestern Mediterranean Sea: influence of environmental pulse events on the in situ hourly-scale dynamics of the phytoplankton community structure,http://dx.doi.org/10.3389/fmicb.2014.00387,"Thyssen, Melilotus, Grégori, Gerald J., Grisoni, Jean-Michel, Pedrotti, Maria Luiza, Mousseau, Laure, Artigas, Luis F., Marro, Sophie, Garcia, Nicole, Passafiume, Ornella, Denis, Michel J.",10.3389/fmicb.2014.00387,Frontiers in Microbiology,National Data Buoy Center,dataset-668
Onset of the spring bloom in the northwestern Mediterranean Sea: influence of environmental pulse events on the in situ hourly-scale dynamics of the phytoplankton community structure,http://europepmc.org/articles/PMC4129916,"Thyssen, Melilotus, Grégori, Gerald J., Grisoni, Jean-Michel, Pedrotti, Maria Luiza, Mousseau, Laure, Artigas, Luis F., Marro, Sophie, Garcia, Nicole, Passafiume, Ornella, Denis, Michel J.",10.3389/fmicb.2014.00387,Frontiers in Microbiology,National Data Buoy Center,dataset-668
Challenges in Mesoscale Prediction of a Nocturnal Stratocumulus-Topped Marine Boundary Layer and Implications for Operational Forecasting,http://hdl.handle.net/10945/46717,"Vellore, Ramesh, Wetzel, Melanie, Chai, Steven, Koraćin, Darko",,,National Data Buoy Center,dataset-668
Statistical properties of the surface velocity field in the northern Gulf of Mexico sampled by GLAD drifters,http://resolver.tudelft.nl/uuid:3e84d4aa-2f38-4895-b7a0-8bf8bc763e2e,"Mariano, A.J., Ryan, E.H., Huntley, H.S., Laurindo, L.C., Coelho, E., Ozgokmen, TM, Berta, M., Bogucki, D, Chen, S.S., Curcic, M., Drouin, K.L., Gough, M, Haus, BK, Haza, A.C., Hogan, P, Iskandarani, M, Jacobs, G, Kirwan Jr., A.D., Laxague, N, Lipphardt Jr., B., Magaldi, M.G., Novelli, G., Reniers, A.J.H.M., Restrepo, J.M., Smith, C, Valle-Levinson, A., Wei, M.",,,National Data Buoy Center,dataset-668
Seasonal carbonate chemistry variability in marine surface waters of the US Pacific Northwest,http://dx.doi.org/10.5281/zenodo.1184657,"A. J. Fassbender, A. J. Fassbender, S. R. Alin, R. A. Feely, A. J. Sutton, J. A. Newton, C. Krembs, J. Bos, M. Keyzers, A. Devol, W. Ruef, G. Pelletier",10.5194/essd-10-1367-2018,,National Data Buoy Center,dataset-668
Numerical study on the response of the largest lake in China to climate change,https://www.hydrol-earth-syst-sci.net/23/2093/2019/,"D. Su, D. Su, X. Hu, L. Wen, S. Lyu, S. Lyu, X. Gao, L. Zhao, Z. Li, J. Du, J. Du, G. Kirillin",10.5194/hess-23-2093-2019,,National Data Buoy Center,dataset-668
Operational wind-wave forecasting system,http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24222012000100004&lng=en&tlng=en,"Salinas-Prieto, José Antonio, Padilla-Hernández, Roberto, Oropeza-Rosales, Fernando, Lobato-Sánchez, René",10.1109/oceans.2008.5152027,,National Data Buoy Center,dataset-668
Analysis of Ku- and Ka-Band Sea Surface Backscattering Characteristics at Low-Incidence Angles Based on the GPM Dual-Frequency Precipitation Radar Measurements,http://dx.doi.org/10.3390/rs11070754,"Qiushuang Yan, Jie Zhang, Chenqing Fan, Junmin Meng",10.3390/rs11070754,Remote Sensing,National Data Buoy Center,dataset-668
Contribuição de diversos sistemas de observação na previsão de tempo no CPTEC/INPE Contribution of the several observation systems in the forecast skill at CPTEC/INPE,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-77862008000200009,"Andreoli, Rita V., Ferreira, Sérgio Henrique S., Sapucci, Luiz F., Souza, Rodrigo Augusto F. de, Mendonça, Renata Weissmann B., Herdies, Dirceu L., Aaravéquia, José A.",10.1590/S0102-77862008000200009,Revista Brasileira de Meteorologia,National Data Buoy Center,dataset-668
Relationships between Arctic sea ice drift and strength modelled by NEMO-LIM3.6,https://www.the-cryosphere.net/11/2829/2017/,"Docquier, David, Massonnet, François, Barthélemy, Antoine, Tandon, Neil F., Lecomte, Olivier, Fichelet, Thierry",10.5194/tc-11-2829-2017,,National Data Buoy Center,dataset-668
アルゴフロートのターミネーション方法について,http://id.nii.ac.jp/1141/00045676/,"水野, 恵介, Keisuke, Mizuno, 海洋科学技術センター:(現)遠洋水産研究所 海洋・南大洋部, Japan Marine Science and Technology Center:(Present address)National Research Institute of Far Seas Fisheries",,海の研究 = Umi no Kenkyu (Oceanography in Japan),National Data Buoy Center,dataset-668
黒潮の非大蛇行離岸流路期における相模湾の50-70日周期の流速変動,http://id.nii.ac.jp/1141/00047032/,"高橋, 大介, 森本, 昭彦, 中村, 哲也, 保坂, 拓志, 三野, 義尚, 才野, 敏郎, Daisuke, Takahashi, Akihiko, Morimoto, Tetsuya, Nakamura, Takuji, Hosaka, Yoshihisa, Mino, Toshiro, Saino, 名古屋大学地球水循環研究センター(現)水産総合研究センター中央水産研究所海洋生態系研究センター, 名古屋大学地球水循環研究センター, 日油技研工業株式会社, 東京海洋大学海洋観測支援センター, 名古屋大学地球水循環研究センター, 独立行政法人海洋研究開発機構横須賀本部, Hydrospheric Atmospheric Research Center, Nagoya University:(Present office)Research Center for isheries Oceanography and Marine Ecosystem, National Research Institute of Fisheries Science, Fisheries Research Agancy, Hydrospheric Atmospheric Research Center, Nagoya University, Nichiyu Giken Kogyo Co., Ltd., Oceanographic Observation Center, Tokyo University of Marine Science and Technology, Hydrospheric Atmospheric Research Center, Nagoya University, Japan Agency for Marine-Earth Science and Technology",,海の研究 = Umi no Kenkyu (Oceanography in Japan),National Data Buoy Center,dataset-668
