adrf_id,external_id,dataset_join_id,data_provider,source_url,source_archive,reference_url,filenames,dataset_header_desc,dataset_title,description,category,data_steward,data_steward_org,dataset_version,dataset_documentation,geographical_unit,geographical_coverage,unit_coverage,data_usage_policy,access_actions_required,access_requirements,temporal_coverage_start,temporal_coverage_end,keywords,data_classification,dataset_citation
,inexda.4.4,GUV,"Deutsche Bundesbank, Statistics Department (S), Monetary and financial statistics (S 1), Cross-sectional tasks and secondary statistics (S 14), Secondary statistics (S 14-3)",,Deutsche Bundesbank Research Data Centre,http://www.bundesbank.de/Redaktion/EN/Standardartikel/Bundesbank/Research_Centre/research_data_micro_data_guv.html,,,Statistics of the banks’ profit and loss accounts,"The statistics of the banks’ profit and loss accounts are compiled using data on the income and expenses of German MFIs. In addition they include the calculation of balance sheet profits and losses, their main components, as well as ratios such as the return on equity. This involves the evaluation of the profits and losses calculated from the annual accounts which the banks must submit to the Bundesbank pursuant to section 26 of the German Banking Act (Kreditwesengesetz).","BalanceSheet,BanksDepositoryInstitutions",Deutsche Bundesbank,"Deutsche Bundesbank, Statistics Department (S), Monetary and financial statistics (S 1), Cross-sectional tasks and secondary statistics (S 14), Secondary statistics (S 14-3)",1,,,,Banks; gvBAID,,,OnSite,,,"MFI,banks,profit,loss,return on equity",Restricted,"Deutsche Bundesbank. 2017. Statistics of the banks’ profit and loss accounts. http://www.bundesbank.de/Redaktion/EN/Standardartikel/Bundesbank/Research_Centre/research_data_micro_data_guv.html, 1 [Version]."
,inexda.4.6,MIDI,"Deutsche Bundesbank, Statistik (S2, S22, S223)",,Deutsche Bundesbank Research Data Centre,https://www.bundesbank.de/Redaktion/EN/Standardartikel/Bundesbank/Research_Centre/research_data_micro_data_midi.html,,,Microdatabase Direct Investment,"The MiDi is a collection of individual (i.e. firm-to-firm or private individuals-to-firms) investment relations originally collected to calculate aggregate measures of German foreign direct investment (FDI). It is based on an annual data collection on foreign direct investment stocks that was established by the Deutsche Bundesbank in 1976 in accordance with the German Foreign Trade and Payments Regulation (""Aussenwirtschaftsverordnung""), with the intention to get a better and more accurate picture of the structure and scope of inward and outward FDI of German enterprises. Since 1996, individual companies can be traced over time, which made it possible to prepare a micro-level panel dataset for research purposes. Due to changes in data protection regulation, the available anonymized research data covers all years from 1999 until the respective last currently processed year.","BalanceSheet,Non-financialCorporations,InternationalBusiness",Deutsche Bundesbank,"Deutsche Bundesbank, Statistik (S2, S22, S223)",1,,,"German States,World (Countries)",Non-financial corporations; CompID,,,OnSite,,,,Restricted,"Deutsche Bundesbank. 2017. Microdatabase Direct Investment. https://www.bundesbank.de/Redaktion/EN/Standardartikel/Bundesbank/Research_Centre/research_data_micro_data_midi.html, 1 [Version]."
,inexda.4.11,SITS,"Deutsche Bundesbank, Statistics Department (S), S21",,Deutsche Bundesbank Research Data Centre,http://www.bundesbank.de/Redaktion/EN/Standardartikel/Bundesbank/Research_Centre/research_data_micro_data_sits.html,,,Statistics on International Trade in Services,"Germany’s Statistics on International Trade in Services are collected by the Deutsche Bundesbank in order to compile Germany’s Balance of Payments Statistics and serve as the basis for the research dataset SITS. It is mandatory to report service transactions between German residents and non-residents that exceed €12,500 or its equivalent in another currency to the Deutsche Bundesbank. The reporting requirement applies to German firms including banks, as well as to individuals and public authorities. The research dataset provides detailed information for service transactions of firms engaged in cross-border service trade, such as the transaction value for services exports and imports, the type of exported and imported services (eg transport, R&D etc), partner country and sector classification of the resident firm. The research data are available from 2001 as a panel dataset at a monthly frequency.","BanksDepositoryInstitutions,Non-financialCorporations,InternationalBusiness",Deutsche Bundesbank,"Deutsche Bundesbank, Statistics Department (S), S21",1,,,"Reporting Agents: Germany,Service Transactions: Worldwide","Non-financial companies, financial companies, individuals, cross-border service transaction; ID of reporting unit",,,OnSite,2001-01,2015-12,"International cross border trade,service exports,service imports,SITS",Restricted,"Deutsche Bundesbank. 2017. Statistics on International Trade in Services. http://www.bundesbank.de/Redaktion/EN/Standardartikel/Bundesbank/Research_Centre/research_data_micro_data_sits.html, 1 [Version]."
,inexda.4.20,ZentK,"Deutsche Bundesbank, Statistics Department (S), Monetary and Financial Statistics (S 1)",,Deutsche Bundesbank Research Data Centre,,,,Zentralkartei Banken (ZentK),"The Zentralkartei Banken (ZentK) is the database where the master data for the institutes with reporting obligations (MFIs, their foreign branches and subsidiaries as well as the multi-office banks) are administered chronologically and therefore their codification in all surveys of the banking statistics.",,Deutsche Bundesbank,"Deutsche Bundesbank, Statistics Department (S), Monetary and Financial Statistics (S 1)",1,,,,,,,NotAvailable,1999-01,2018-06,,Restricted,"Deutsche Bundesbank. 2018. Zentralkartei Banken (ZentK). , 1 [Version]."
,inexda.4.8,BLS,Bank Lending Survey Group in Vo-1,,Deutsche Bundesbank Research Data Centre,https://www.bundesbank.de/Redaktion/DE/Standardartikel/Aufgaben/Geldpolitik/volkswirtschaft_bank_lending_survey.html,,,Bank Lending Survey,"Since January 2003, the Eurosystem has carried out a quarterly bank lending survey (BLS) to expand its knowledge about the role of lending in the monetary transmission mechanism and thus to obtain additional information for monetary policy analysis. The questionnaire comprises 22 qualitative questions on past and expected future lending policies by participating institutions to the private non-financial sector as well as on credit demand. It thus complements existing statistics on loans and bank lending rates with information on supply and demand conditions in the German credit market. Ad hoc questions may be added on specific topics of interest.","BanksDepositoryInstitutions,Loans,BankLendingStandards",Bank Lending Survey Group in Vo-1,Bank Lending Survey Group in Vo-1,1,,,,Banks; BAID,,,OnSite,,,"Bank lending conditions,monetary transmission,credit standards,credit terms and conditions,margins on loans,loans to enterprises,real estate loans,consumer credit,loan supply vs. loan demand factors, euro area wide survey",Restricted,"Deutsche Bundesbank 2017. Bank Lending Survey. https://www.bundesbank.de/Redaktion/DE/Standardartikel/Aufgaben/Geldpolitik/volkswirtschaft_bank_lending_survey.html, 1 [Version]."
,inexda.4.22,MIMIK,Deutsche Bundesbank,,Deutsche Bundesbank Research Data Centre,,,,MIMIK,The credit register maintained by the Deutsche Bundesbank records all loans of 1.5 million Euro or more granted to a single borrower during the previous quarter and then notifies the lenders of the overall indebtedness of their borrowers.,"Non-financialCorporations,OtherMonetaryFinancialInstitutions,Households,Loans,FinancialDerivatives,TradeCreditsAndAdvances,Banks,BanksDepositoryInstitutions,FinancialStability",Deutsche Bundesbank,Deutsche Bundesbank,1,,,Banks: Germany; Borrowers: worldwide,"Banks, loans, non-financial companies",,,NotAvailable,,,,Restricted,"Deutsche Bundesbank 2018. MIMIK. , 1 [Version]."
,inexda.4.19,PaymentSurvey,Deutsche Bundesbank,,Deutsche Bundesbank Research Data Centre,,,,Payment behaviour in Germany,,,Deutsche Bundesbank,Deutsche Bundesbank,1,,,,,,,NotAvailable,,,,Restricted,"Deutsche Bundesbank 2018. Payment behaviour in Germany. , 1 [Version]."
,inexda.4.21,CSDB,N/A,,Deutsche Bundesbank Research Data Centre,,,,Centralised Securities Database (CSDB),"The “Centralised Securities Database” (CSDB) is a security-by-security master database that contains reference data on instruments, issuer and prices for more than 9.6 million debt securities, equity instruments and investment fund shares issued worldwide.","DebtSecurities,EquityAndInvestmentFundSharesOrUnits,FinancialDerivatives,Banks,BanksDepositoryInstitutions,Securities,FinancialMarket",European System of Central Banks (ESCB),European System of Central Banks (ESCB),1,,,"Securities issued by residents of EU Member States, securities likely to be held and transacted by EU residents and securities denominated in euro, regardless of the residency of the issuer or holder.","Reference data on instruments, issuers and prices for debt securities, equity and investment fund shares (securities with ISIN on a security-by-security basis). Each row in the data set corresponds to the reporting of a security.",,,NotAvailable,2009-04,2017-12,,Restricted,"European System of Central Banks (ESCB) 2017. Centralised Securities Database (CSDB). , 1 [Version]."
,target2,TARGET2,European Central Bank (ECB),,European Central Bank (ECB),https://www.ecb.europa.eu/paym/target/target2/html/index.en.html,,,TARGET2,"TARGET2 is the real-time gross settlement (RTGS) system owned and operated by the Eurosystem. Central banks and commercial banks can submit payment orders in euro to TARGET2, where they are processed and settled in central bank money, i.e. money held in an account with a central bank.",,European Central Bank (ECB),European Central Bank (ECB),1,,,Europe,,,,,,,,Restricted,European Central Bank (ECB). TARGET2. https://www.ecb.europa.eu/paym/target/target2/html/index.en.html. 1 [Version]
,srp,SRP,Deutsche Bundesbank,,Deutsche Bundesbank Research Data Centre,,,,Annual Distress Database of the Deutsche Bundesbank,Data on distress events among German banks between 1994 and 2004,,Deutsche Bundesbank,Deutsche Bundesbank,1,,,Germany,,,,,1994,2004,,Restricted,Deutsche Bundesbank. Annual Distress Database of the Deutsche Bundesbank. 1 [Version].
