doi,journal,search_term,title,url,dataset
10.1002/mhw.31136,,Federal RePORTER,New federal report addresses mental health crisis on college campuses,https://www.researchgate.net/publication/318790127_New_federal_report_addresses_mental_health_crisis_on_college_campuses?_sg=tlijffB3m1EbZ46x8hfcP-eyE2JnNw9MXQxctkv1ofYTp7WJuWGfUsDs04rIt6caQZBYFiUom_EaUPc,
10.1166/jnn.2020.17216,Journal of Nanoscience and Nanotechnology,UMETRICS,pH-Responsively Water-Retaining Controlled-Release Fertilizer Using Humic Acid Hydrogel and Nano-Silica Aqueous Dispersion,,
10.1016/j.foodchem.2019.125607,Food Chemistry,UMETRICS,Modification of nutritional values and flavor qualities of muscle of swimming crab (Portunus trituberculatus): Application of a dietary lipid nutrition strategy,,
10.1016/j.foodchem.2019.125556,Food Chemistry,UMETRICS,Profiling versus fingerprinting analysis of sesquiterpene hydrocarbons for the geographical authentication of extra virgin olive oils,,
10.1016/j.foodcont.2019.106925,Food Control,UMETRICS,"Impact of farming type, variety and geographical origin on bananas bacterial community.",,
10.1016/j.foodchem.2019.125584,Food Chemistry,UMETRICS,Nutritional quality and health risks of wheat grains from organic and conventional cropping systems,,
10.1016/j.saa.2019.117619,Spectrochimica Acta Part A Molecular and Biomolecular Spectroscopy,UMETRICS,Origin identification of Panax notoginseng by multi-sensor information fusion strategy of infrared spectra combined with random forest,,
10.1016/j.foodchem.2019.125461,Food Chemistry,UMETRICS,Comparative metabolic expressions of fermented soybeans according to different microbial starters,,
10.1016/j.foodchem.2019.125477,Food Chemistry,UMETRICS,"Effect of different pretreatments followed by hot-air and far-infrared drying on the bioactive compounds, physicochemical property and microstructure of mango slices",,
10.1016/j.saa.2019.117633,Spectrochimica Acta Part A Molecular and Biomolecular Spectroscopy,UMETRICS,Comparison and quantitative analysis of wild and cultivated Macrohyporia cocos using attenuated total refection-Fourier transform infrared spectroscopy combined with ultra-fast liquid chromatography,,
10.1016/j.saa.2019.117632,Spectrochimica Acta Part A Molecular and Biomolecular Spectroscopy,UMETRICS,High accuracy detection of malignant pleural effusion based on label-free surface-enhanced Raman spectroscopy and multivariate statistical analysis,,
10.1016/j.foodchem.2019.125499,Food Chemistry,UMETRICS,Profiling of organosulfur compounds and amino acids in garlic from different regions of China,,
10.1016/j.saa.2019.117589,Spectrochimica Acta Part A Molecular and Biomolecular Spectroscopy,UMETRICS,Combining convolutional neural networks and on-line Raman spectroscopy for monitoring the Cornu Caprae Hircus hydrolysis process,,
10.1016/j.foodchem.2019.125507,Food Chemistry,UMETRICS,Evaluation of astringent taste of green tea through mass spectrometry-based targeted metabolic profiling of polyphenols,,
10.1016/j.lwt.2019.108635,LWT,UMETRICS,Inactivation of Listeria Monocytogenes at various growth temperatures by ultrasound pretreatment and cold plasma,,
10.1016/j.agee.2019.106713,Agriculture Ecosystems & Environment,UMETRICS,Natural and anthropogenic determinants of riverine phosphorus concentration and loading variability in subtropical agricultural catchments,,
10.1016/j.jpba.2019.112851,Journal of Pharmaceutical and Biomedical Analysis,UMETRICS,Simultaneous determination of chiral and achiral impurities of ivabradine on a cellulose tris(3-chloro-4-methylphenylcarbamate) chiral column using polar organic mode,,
10.1016/j.jpba.2019.112812,Journal of Pharmaceutical and Biomedical Analysis,UMETRICS,Targeted amino acid and related amines analysis based on iTRAQ®-LC-MS/MS for discovering potential hepatotoxicity biomarkers,,
10.1016/j.foodchem.2019.125335,Food Chemistry,UMETRICS,Experimentally Modelling Cocoa Bean Fermentation Reveals Key Factors and their Influences,,
10.1016/j.talanta.2019.120223,Talanta,UMETRICS,Application of chemometrics for detection and modeling of adulteration of fresh cow milk with reconstituted skim milk powder using voltammetric fingerpriting on a graphite/ Sio2 hybrid electrode,,
10.1016/j.talanta.2019.120256,Talanta,UMETRICS,A simultaneously quantitative profiling method for 40 endogenous amino acids and derivatives in cell lines using hydrophilic interaction liquid chromatography coupled with tandem mass spectrometry,,
10.1182/blood-2019-129554,,Higher Education Research and Development Survey,Regional Differences in the Beliefs and Practices Among Adults with Sickle Cell Disease Regarding Reproductive Health and Family Planning: A Sub-Analysis,https://www.researchgate.net/publication/337250910_Regional_Differences_in_the_Beliefs_and_Practices_Among_Adults_with_Sickle_Cell_Disease_Regarding_Reproductive_Health_and_Family_Planning_A_Sub-Analysis?_sg=dirPdm_5_7YyTgpk2v7V9DOP3pABuCdigcY4wrUOEdKf7drJMKZLXjUWRySh-VLQRlswt1smJRB4g-U,
10.21834/e-bpj.v4i12.1889,,Higher Education Research and Development Survey,An investigation on the millennials’ use of web technologies in higher education,https://www.researchgate.net/publication/337105923_An_investigation_on_the_millennials%27_use_of_web_technologies_in_higher_education?_sg=Bmz4udTXGse2HTnYRtqAJt4CY9MHmhDNipIG-F2KlPz2mwF6XSPLS9LbWuzHSL3mu3mYBiTUz9zxoCs,
10.1186/s12909-019-1604-0,,Higher Education Research and Development Survey,The impact of an innovative curriculum to introduce patient safety and quality improvement content,https://www.researchgate.net/publication/333258244_The_impact_of_an_innovative_curriculum_to_introduce_patient_safety_and_quality_improvement_content?_sg=Q538JWhkQQFh01dDIUoN9dx8FJ5monA4qk0XTRUw86bpQyd-UVt4eUQeNhixpadg8FFMMZKa9O29ALE,
10.1093/ofid/ofz360.1725,,Higher Education Research and Development Survey,Source,https://www.researchgate.net/publication/336764218_2045_GAIN_Generating_Antimicrobial_Stewardship_Initiatives_in_Chicago_Skilled_Nursing_Facilities_Collaborative_Survey_Results_CDC_Core_Elements_of_Antimicrobial_Stewardship_Compliance_Assessment_in_27?_sg=2f1vfx01K04ICGvSIY6M2HjvH3v1Qz4srdhRCkr4aNJcjc2fCrNMbgRpF2KAzsoV7A39iMXIhcr-P8U,
10.1080/07294360.2019.1676198,,Higher Education Research and Development Survey,Exploring the connection between impostor phenomenon and postgraduate students feeling academically-unprepared,https://www.researchgate.net/publication/336742194_Exploring_the_connection_between_impostor_phenomenon_and_postgraduate_students_feeling_academically-unprepared?_sg=RIv_BRwWHsHYztfGBkvEwmXq38tHb-ip5LVpz6ODEXmzGJDgasywg3--BCwwsLVa36GdS1MgyDLWlMI,
10.1177/0091552119880941,,Higher Education Research and Development Survey,Where to Go From Here? Toward a Model of 2-Year College Students’ Postsecondary Pathway Selection,https://www.researchgate.net/publication/336548659_Where_to_Go_From_Here_Toward_a_Model_of_2-Year_College_Students%27_Postsecondary_Pathway_Selection?_sg=AmGCvmbm3-I7j71UDng7l_IDwNmx4saruMh6It2fbAYj8IwYLwy4lNorO1em072525JxND2Tv1gYyFU,
10.1080/00380237.2019.1668321,,Higher Education Research and Development Survey,Seeking Evidence of Grade Inflation at For-profit Colleges and Universities,https://www.researchgate.net/publication/336932058_Seeking_Evidence_of_Grade_Inflation_at_For-profit_Colleges_and_Universities?_sg=zJL31w8wzlVHPZ3M3FKwErVJupnfGKOGw3TlJK7JG52CBKmLOWm4mpaZcFOXSvUrPdVpgEj-3Oks6mk,
,,Higher Education Research and Development Survey,"Impacts of nutritional education before Ramadan fasting on dietary intake, weight and body composition in diabetic patients",https://www.researchgate.net/publication/337101298_Impacts_of_nutritional_education_before_Ramadan_fasting_on_dietary_intake_weight_and_body_composition_in_diabetic_patients?_sg=Lq0mRoVwSqLfwkL2_JTWTOOjFg4gseXlmiIckWg-JeroUkWw1TgtrZbvA9weqBgq7q1Lbtr0jcJFmY0,
10.1145/3348400.3348413,,Higher Education Research and Development Survey,Improving Learning through Cloud-based Mobile Technologies and Virtual and Augmented Reality for Australian Higher Education,https://www.researchgate.net/publication/336274190_Improving_Learning_through_Cloud-based_Mobile_Technologies_and_Virtual_and_Augmented_Reality_for_Australian_Higher_Education?_sg=2TtZPZ4a-O8K4TSQZ7ew0uGfsrrSq5VMSu5eVysvbaJUsM2jHV6Hw1YoJtmijNj26e6hp-Fp3bwxgy8,
,,Higher Education Research and Development Survey,TURİZMİN ÇEVRESEL ETKİLERİNE YÖNELİK ALGILARIN İNCELENMESİ: TURİZM ÖĞRENCİLERİ ÜZERİNE BİR ARAŞTIRMA,https://www.researchgate.net/publication/335340001_TURIZMIN_CEVRESEL_ETKILERINE_YONELIK_ALGILARIN_INCELENMESI_TURIZM_OGRENCILERI_UZERINE_BIR_ARASTIRMA?_sg=kZuMrHdzoxxau7mICb9jfo-JGjz9OXX5pda9a_Mfu_D6Zd14zXPhrJ80Z9Z675MIDumtvQ9xVzsZ-L0,
10.9785/9783504384821-006,,Federal RePORTER,List of Abbreviations,,
10.1186/s13756-019-0550-2,"{'id': 'jour.1046972', 'title': 'Antimicrobial Resistance & Infection Control'}",Federal RePORTER,"Control of MSSA and MRSA in the United States: protocols, policies, risk adjustment and excuses",,
10.1515/9783110633269-206,,Federal RePORTER,Abkürzungsverzeichnis,,
10.1377/hlthaff.2019.00476,"{'id': 'jour.1093948', 'title': 'Health Affairs'}",Federal RePORTER,Federal Funding For Research On The Leading Causes Of Death Among Children And Adolescents,,
10.5860/crln.31.5.162,"{'id': 'jour.1007405', 'title': 'College & Research Libraries News'}",Federal RePORTER,News from the Sections,,
10.26633/rpsp.2019.68,"{'id': 'jour.1116711', 'title': 'BULL PAN AM HEALTH ORGAN'}",Federal RePORTER,Training opportunities for noncommunicable diseases research in Latin America: A scoping review,,
10.1515/jetl-2019-0108,"{'id': 'jour.1145791', 'title': 'Journal of European Tort Law'}",Federal RePORTER,The Law and Economics of Tort Liability for Human Rights Violations in Global Supply Chains,,
10.3390/su11154120,"{'id': 'jour.1046556', 'title': 'Sustainability'}",Federal RePORTER,National Scientific Funding for Interdisciplinary Research: A Comparison Study of Infectious Diseases in the US and EU,,
10.1016/j.respol.2019.03.001,"{'id': 'jour.1015700', 'title': 'Research Policy'}",Federal RePORTER,Federal funding of doctoral recipients: What can be learned from linked data,,
10.1089/glr2.2019.2362,"{'id': 'jour.1139051', 'title': 'Gaming Law Review'}",Federal RePORTER,"KONAMI GAMING INC. v. HIGH 5 GAMES, LLC Case No. 2018-1723; 756 Fed. Appx. 994 (Mem) (Fed. Cir. Mar. 11, 2019)",,
10.1111/maps.13300,"{'id': 'jour.1294922', 'title': 'Meteoritics and Planetary Science'}",Federal RePORTER,"Geophysical characterization of the Daskop granophyre dyke and surrounding host rocks, Vredefort impact structure, South Africa",,
10.1007/s10461-018-2305-0,"{'id': 'jour.1117239', 'title': 'AIDS and Behavior'}",Federal RePORTER,A Review of Approaches Used to Increase Awareness of Pre-exposure Prophylaxis (PrEP) in the United States,,
10.18356/7d3dacd8-fr,,Federal RePORTER,Expulsion des étrangers,,
10.1080/00908320.2019.1617927,"{'id': 'jour.1139002', 'title': 'Ocean Development & International Law'}",Federal RePORTER,The Doctrine of Constructive Presence and the Arctic Sunrise Award (2015): The Emergence of the “Scheme Theory”,,
10.1515/jetl-2019-0101,"{'id': 'jour.1145791', 'title': 'Journal of European Tort Law'}",Federal RePORTER,Post-Mortal Protection of the Right to Reputation – A Comparative View,,
10.1515/jetl-2019-0103,"{'id': 'jour.1145791', 'title': 'Journal of European Tort Law'}",Federal RePORTER,Punitive Damages: Reorienting the Debate in Civil Law Systems,,
10.1002/9781119226703.ch6,,Federal RePORTER,The future of forensic science: hot leads in contemporary forensic research: Jurisprudence,,
10.1053/j.gastro.2018.12.045,"{'id': 'jour.1017616', 'title': 'Gastroenterology'}",Federal RePORTER,The role of the microbiome in immunologic development and its implication for pancreatic cancer immunotherapy,,
10.1016/j.respol.2018.10.027,"{'id': 'jour.1015700', 'title': 'Research Policy'}",Federal RePORTER,The relation between research priorities and societal demands: The case of rice,,
10.1007/s10551-017-3581-8,"{'id': 'jour.1026464', 'title': 'Journal of Business Ethics'}",Federal RePORTER,Tone-at-the-Top Lessons from Abrahamic Justice,,
,,UMETRICS,博士人材政策から見た米国UMETRICS：UMETRICS と博士人材データベース（JGRAD）の国際比較研究,https://explore.openaire.eu/search/publication?articleId=jairo_______::efd42cd07428b6f1b5197a068b263d0f,
,,UMETRICS,STEM Training and Early Career Outcomes of Female and Male Graduate Students: Evidence from UMETRICS Data linked to the 2010 Census,https://explore.openaire.eu/search/publication?articleId=od_______267::2b1dba33e5a27c1eafa3fb9fcffc7ed1,
,,UMETRICS,"New Linked Data on Research Investments: Scientific Workforce, Productivity, and Public Value",https://explore.openaire.eu/search/publication?articleId=dedup_wf_001::f6073285a6dc44752fcbfeef8e9dd13f,
,,UMETRICS,Development of software package for event driven execution of multivariate models,https://explore.openaire.eu/search/publication?articleId=od_______361::7b8e74c47ade8aec69473667dd08376a,
,,UMETRICS,Wrapping it up in a person: Examining employment and earnings outcomes for PhD recipients1,https://explore.openaire.eu/search/publication?articleId=od_______267::923e15c4d25fb51e773b985ecfeae4da,
,,UMETRICS,Effect of some process parameters on the main properties of activated carbon produced from peat in a lab-scale process,https://explore.openaire.eu/search/publication?articleId=od______2423::63a222291987fa883acd45c4680ccc62,
10.17344/acsi.2014.718,,UMETRICS,Quality by Design Based Optimization of a High Performance Liquid Chromatography Method for Assay Determination of Low Concentration Preservatives in Complex Nasal Formulations,https://explore.openaire.eu/search/publication?articleId=doajarticles::f7d02f8b980bfdba5df08a9ed816595c,
,,UMETRICS,Optimization of UPLC method for simultaneous determination of rosuvastatin and rosuvastatin degradation products,https://explore.openaire.eu/search/publication?articleId=doajarticles::73ad4600e979aac7c3b46a6bcdee3414,
,,UMETRICS,Examination of gravure printed films for polymer light emitting devices:Master's thesis,https://explore.openaire.eu/search/publication?articleId=355e65625b88::19bb1e87f76310e76d3f8e773539b213,
,,UMETRICS,"Avaliação do comportamento de argila ativada na presença de água destilada, soluções salinas e inibidores de hidratação catiônicos",https://explore.openaire.eu/search/publication?articleId=od______3056::69c2836b046e610c2886b49c72fe8ea0,
10.1632/ade.145.73,,Survey of Earned Doctorates,"Report on the Survey of Earned Doctorates, 2006",https://www.researchgate.net/publication/297586141_Report_on_the_Survey_of_Earned_Doctorates_2006?_sg=iKlERIwY4JW3Tak5r39MGCUb2byi9zX3G2pp-yPyf0qKFyVHuHDG0FObSg3FS0HzMq_Lrw7PstNKziw,
10.1632/adfl.38.3.79,,Survey of Earned Doctorates,"Report on the Survey of Earned Doctorates, 2005",https://www.researchgate.net/publication/250062061_Report_on_the_Survey_of_Earned_Doctorates_2005?_sg=WJ3kNB0XzMI3FV4RF79oDyiv5QWjhnCJ11PmUtV-An3-UG_OmRbOFTc_7UP8atZAUkQ_zAjYYei0B5k,
10.1632/ade.140.80,,Survey of Earned Doctorates,"Report on the Survey of Earned Doctorates, 2004",https://www.researchgate.net/publication/297586050_Report_on_the_Survey_of_Earned_Doctorates_2004?_sg=qGqY9ZxD4VaT8Vi4Z0speML5HzKt4hqmDsiaNhg8LuuG8qBlS28hWmosWetb8jUjRNjGaj9t3xZDgGk,
,,Survey of Earned Doctorates,Survey of earned doctorates: a profile of doctoral degree recipients,https://www.researchgate.net/publication/260036694_Survey_of_earned_doctorates_a_profile_of_doctoral_degree_recipients?_sg=kdHJRbwuwomGfA1g0gbEvYr1upjOogR82OkC2M9P8Wck1r5jxmrqIp-9Qsb7WDUrr32ZcpRWOzV2Fro,
10.1145/543812.543841,,Survey of Earned Doctorates,Female computer science doctorates: what does the survey of earned doctorates reveal?,https://www.researchgate.net/publication/220613017_Female_computer_science_doctorates_what_does_the_survey_of_earned_doctorates_reveal?_sg=9jH61EC82Jn_C5HY79KjQikeQ4h9bT08Q2O3H0VC-7vUoYNaQI-IZUDh0-fagqgH_VTBH64Pzjg0hsI,
,,Survey of Earned Doctorates,"Doctorate Education in Canada: Findings from the Survey of Earned Doctorates, 2005/2006",https://www.researchgate.net/publication/242612114_Doctorate_Education_in_Canada_Findings_from_the_Survey_of_Earned_Doctorates_20052006?_sg=H3gaGOFIHHM__5xjtVRw49TnwSBJaqWVWOLFeZKTg90ccd4rHvbfvIju0oQ-7sKm8vPap5NpUYwRt_4,
10.1080/09645292.2019.1623177,,Survey of Earned Doctorates,Are high-quality PhD programs at universities associated with more undergraduate students pursuing PhD study?,https://www.researchgate.net/publication/333730754_Are_high-quality_PhD_programs_at_universities_associated_with_more_undergraduate_students_pursuing_PhD_study?_sg=1k_Lbt72j_VXQWc8zSUqdSgOYk4aU97Z-XQX6jakIwKk_qPvqJLrhKMK1J3WTWAZ5GsuTrXUk-TRiss,
10.1007/s11162-019-09561-z,,Survey of Earned Doctorates,Parenting on the Path to the Professoriate: A Focus on Graduate Student Mothers,https://www.researchgate.net/publication/333367686_Parenting_on_the_Path_to_the_Professoriate_A_Focus_on_Graduate_Student_Mothers?_sg=hdJBgLKqGU8zGQ4yKgEhaehQcIgXj5ET7C-cd7pt5r6PPMXDAEfsTQa2NYnthHNAfmPj9n1RmftLzug,
10.1016/j.respol.2019.03.001,,Survey of Earned Doctorates,Federal funding of doctoral recipients: What can be learned from linked data,https://www.researchgate.net/publication/331738774_Federal_funding_of_doctoral_recipients_What_can_be_learned_from_linked_data?_sg=6OLuypZNwznoQd5ykTn1qatIjkknVEPLFm6rUaIv22brAo7YUwCpCu5-_npznM0olxj7pWJV_38W6iw,
10.1177/0013161X06293716,,Survey of Earned Doctorates,"Exploring the Faculty Pipeline in Educational Administration: Evidence from the Survey of Earned Doctorates, 1999 to 2000",https://www.researchgate.net/publication/249684607_Exploring_the_Faculty_Pipeline_in_Educational_Administration_Evidence_from_the_Survey_of_Earned_Doctorates_1999_to_2000?_sg=FQSaUt8e9RA8SCAqML7AGprrLO2hOsLtrkxl9vIuJ9g_EoyX6rmiY_wE85Mv8dytmfEF_slm3qmSYbo,
10.1016/0003-2670(61)80086-X,,UMETRICS,Umetric determination of persulphate in sulphuric acid solutions by permanganate,https://www.researchgate.net/publication/244096057_Umetric_determination_of_persulphate_in_sulphuric_acid_solutions_by_permanganate?_sg=UxvIEaoh6K2sZUN_aeKhZM_9q5TVunVTacJjjLTyV-as1n4nnSOvVMsLW_povqCj7PCyV3N5-BCuC44,
10.1016/j.respol.2019.03.001,,UMETRICS,Federal funding of doctoral recipients: What can be learned from linked data,https://www.researchgate.net/publication/331738774_Federal_funding_of_doctoral_recipients_What_can_be_learned_from_linked_data?_sg=DZKHcH9RkLlzgYytAKz_T8ybb2Ar7JLk6QC4AZSe4ZmA5hpJpA1sr71V-dCd4OFcp9lEIRUM2mWT9is,
10.1182/blood-2019-124323,,UMETRICS,Metabolomics Profile of Patients with Chronic Myeloid Leukemia and Cardiovascular Adverse Events after Treatment with Tyrosine Kinase Inhibitors,https://www.researchgate.net/publication/337247834_Metabolomics_Profile_of_Patients_with_Chronic_Myeloid_Leukemia_and_Cardiovascular_Adverse_Events_after_Treatment_with_Tyrosine_Kinase_Inhibitors?_sg=QkuSemtgVXk7USYDdFQWNj2uk12pDYBdwMq98fQY-502ucLlr_rBJSgvdee8DmTrGYvwoF32Dyj2Pq0,
,,UMETRICS,"Design of Experiments, principles and application, Umetrics Academy, Ed. Eriksson et al.",https://www.researchgate.net/publication/260226727_Design_of_Experiments_principles_and_application_Umetrics_Academy_Ed_Eriksson_et_al?_sg=QYFj5JqJu66_fMCbHckMl2pPz9Frch7t8bWNjKrG9lX5PyXFpB3yqdv3HVaAfHXAUGJuW63EL0015H4,
10.1007/s10337-019-03815-9,,UMETRICS,Analytical Quality by Design Approach for a Stability-Indicating Method to Determine Apixaban and Its Related Impurities,https://www.researchgate.net/publication/337116128_Analytical_Quality_by_Design_Approach_for_a_Stability-Indicating_Method_to_Determine_Apixaban_and_Its_Related_Impurities?_sg=2Pnq4uCj1X_2WFHnvoc3UySlholouapnzWyKf5ibmlkWQvItb7rVo2z4EjhtunMuszYyKDMNyVvesH4,
10.1257/aer.p20161124,,UMETRICS,STEM Training and Early Career Outcomes of Female and Male Graduate Students: Evidence from UMETRICS Data linked to the 2010 Census,https://www.researchgate.net/publication/302973041_STEM_Training_and_Early_Career_Outcomes_of_Female_and_Male_Graduate_Students_Evidence_from_UMETRICS_Data_linked_to_the_2010_Census?_sg=gFqQq5aGd3fmPRQjCPtGHxL6wGmUN9LPsx-39FrJ2fKXdSYKbUOJJbj3vQyYGBqASX42kY5LvmjYc_c,
,,UMETRICS,A lean approach to examine surface adsorption of the low-abundant peptide bradykinin and to increase its signal intensity in LC-MS/MS: A design of experiments approach,https://www.researchgate.net/publication/335543391_A_lean_approach_to_examine_surface_adsorption_of_the_low-abundant_peptide_bradykinin_and_to_increase_its_signal_intensity_in_LC-MSMS_A_design_of_experiments_approach?_sg=Ml_Jl_C92Vv5hCV_OCkvBoADCGHiZ6v_-FJMHqAOZYJ8CiKepgGtL_TtOn8vHwWHK9XYbXYQ9cTrc30,
,,UMETRICS,Design of experiments as a key element for enabling the mass spectrometric determination of endogenous Substance P and related Hemokinin-1,https://www.researchgate.net/publication/335638803_Design_of_experiments_as_a_key_element_for_enabling_the_mass_spectrometric_determination_of_endogenous_Substance_P_and_related_Hemokinin-1?_sg=epk1DVI23_Vz-TvpmVQzlMdI3VsSo9fpZHXET2eTbGgD7Iz7mBlyLTRwykVtXMGdfVezuj5yym1DZnA,
10.1017/9781316671788.006,,UMETRICS,The structure of research funding,https://www.researchgate.net/publication/325869156_The_structure_of_research_funding?_sg=fMfQrvQIDzJvQlxH05DY4g9OTwJwriVPrk6NxLPpKJD0yjUSRIuSnfI8R6bQjUpBJszSygZP4pSu_m0,
,,UMETRICS,Impact of injection parameters on Gloss properties of grained polypropylene parts,https://www.researchgate.net/publication/332189240_Impact_of_injection_parameters_on_Gloss_properties_of_grained_polypropylene_parts?_sg=FgN_VSCswsqwk7U681ilQSkxTKKe9WVIUNIzMTb3zsSZj68ia11v76jp41NyifRSCy_Je2efIq6uuRI,
10.1257/000282805774670040,,Survey of Earned Doctorates,The Labor-Market Impact of High-Skill Immigration,https://explore.openaire.eu/search/publication?articleId=dedup_wf_001::08d79c41309ccb680be007c3a29af9ef,
,,Survey of Earned Doctorates,Attracting Talent: Location Choices of Foreign-Born PhDs in the US,https://explore.openaire.eu/search/publication?articleId=od_______645::2c6bc0067f889d6e1cad5fd090e13fa4,
,,Survey of Earned Doctorates,Immigration in High-Skill Labor Markets: The Impact of Foreign Students on the Earnings of Doctorates,https://explore.openaire.eu/search/publication?articleId=dedup_wf_001::62958d76e4f9e253caaff838bc4f97ac,
,,Survey of Earned Doctorates,An Evaluation of The Mellon Mays Undergraduate Fellowship's Effect on PhD Production at Non-UNCF Institutions,https://explore.openaire.eu/search/publication?articleId=od_______645::f764c6f471245e3303ac34b39294333f,
,,Survey of Earned Doctorates,Survey of checkpoints along the pathway to diverse biomedical research faculty,https://explore.openaire.eu/search/publication?articleId=dedup_wf_001::1e9bc9db93a3bf57b2a7524417399f61,
,,Survey of Earned Doctorates,"Interdisciplinary Dissertation Research Among Public Health Doctoral Trainees, 2003-2015",https://explore.openaire.eu/search/publication?articleId=od_______267::ccb9920ad9071f9503bc2024b0f13419,
,,Survey of Earned Doctorates,Do Historically Black Institutions of Higher Education Confer Unique Advantages on Black Students: An Initial Analysis,https://explore.openaire.eu/search/publication?articleId=od_______645::de030d96a169a2c8e1d9f5fe8c51bccc,
,,Survey of Earned Doctorates,Doctoral Training In Brazil And Abroad: Imapacts On The Propensity To Migrate [formação De Doutores No Brasil E No Exterior: Impactos Na Propensão A Migrar],https://explore.openaire.eu/search/publication?articleId=od______3056::90f9a7e0c838c6aee1dabcef249dde60,
,,Federal RePORTER,"""Verdict Most Just"": The Modes of Classical Athenian Justice",https://explore.openaire.eu/search/publication?articleId=od______1586::a14ee59c1a80fd69a15b74fe2b121ab8,
10.18356/5abe4faa-en,,Higher Education Research and Development Survey,United States of America,,
10.18356/cdc2d771-en,,Higher Education Research and Development Survey,Hungary,,
10.1016/j.jpubeco.2019.104066,"{'id': 'jour.1027390', 'title': 'Journal of Public Economics'}",Higher Education Research and Development Survey,The impact of money on science: Evidence from unexpected NCAA football outcomes,,
10.1037/mgr0000089,"{'id': 'jour.1142636', 'title': 'The Psychologist-Manager Journal'}",Higher Education Research and Development Survey,Approaching change in a challenging environment: Applying implementation science to academic administration.,,
10.1007/s11192-018-2992-3,"{'id': 'jour.1089056', 'title': 'Scientometrics'}",Higher Education Research and Development Survey,Universities’ structural commitment to interdisciplinary research,,
10.1163/25891715-00201002,"{'id': 'jour.1365460', 'title': 'Public Anthropologist'}",Higher Education Research and Development Survey,Public Anthropology in Changing Times,,
10.2139/ssrn.3421123,"{'id': 'jour.1276748', 'title': 'SSRN Electronic Journal'}",Higher Education Research and Development Survey,Innovating Banks and Local Lending,,
10.1007/978-3-030-02447-5,,Higher Education Research and Development Survey,"Corporate Citizenship and Higher Education, Behavior, Engagement, and Ethics",,
10.1787/9789264307391-5-en,,Higher Education Research and Development Survey,Discovering and selling medicines,,
