dataset_id,dataset_string,dataset_title,doi,journal,title
dataset-370,SESTAT,Survey of Earned Doctorates,10.1073/pnas.1820079116,Proceedings of the National Academy of Sciences,Why foreign STEM PhDs are unlikely to work for US technology startups
dataset-370,SESTAT,Survey of Earned Doctorates,10.1093/scipol/scz039,Science and Public Policy,"Investigating the US biomedical workforce: gender, field of training, and retention"
dataset-370,SESTAT,Survey of Earned Doctorates,10.1080/17421772.2019.1636127,Spatial Economic Analysis,"On the nexus between innovation, productivity and migration of US university graduates"
dataset-370,SESTAT,Survey of Earned Doctorates,10.1002/jee.20284,Journal of Engineering Education,Investigation of an equity ethic in engineering and computing doctoral students
dataset-370,SESTAT,Survey of Earned Doctorates,10.1177/0091552119850321,Community College Review,A National Study of the Influence of the Community College Pathway on Female Students’ STEM Baccalaureate Success
dataset-370,SESTAT,Survey of Earned Doctorates,10.1007/s00181-019-01721-5,Empirical Economics,The impact of the H-1B cap exemption on Ph.D. labor markets
dataset-370,SESTAT,Survey of Earned Doctorates,10.1080/17477778.2019.1620650,Journal of Simulation,Simulation of the leaky pipeline: Gender diversity in U.S. K-graduate education
dataset-370,SESTAT,Survey of Earned Doctorates,10.1016/j.respol.2019.01.005,Research Policy,Does scientist immigration harm US science? An examination of the knowledge spillover channel
dataset-370,SESTAT,Survey of Earned Doctorates,10.1073/pnas.1810862116,Proceedings of the National Academy of Sciences,The changing career trajectories of new parents in STEM
dataset-370,SESTAT,Survey of Earned Doctorates,10.1007/s10956-018-9758-9,Journal of Science Education and Technology,STEM Performance and Supply: Assessing the Evidence for Education Policy
dataset-370,SESTAT,Survey of Earned Doctorates,10.1177/1523422318814550,Advances in Developing Human Resources,The Socialization of STEM Professionals Into STEM Careers: A Study of Newly Hired Engineers
dataset-370,SESTAT,Survey of Earned Doctorates,10.1016/j.respol.2018.08.004,Research Policy,National health innovation systems: Clustering the OECD countries by innovative output in healthcare using a multi indicator approach
dataset-370,SESTAT,Survey of Earned Doctorates,10.1109/tcomm.2018.2869586,IEEE Transactions on Communications,LMMSE Receivers in Uplink Massive MIMO Systems With Correlated Rician Fading
dataset-370,SESTAT,Survey of Earned Doctorates,10.1615/jwomenminorscieneng.2019021205,Journal of Women and Minorities in Science and Engineering,QUITTING SCIENCE: FACTORS THAT INFLUENCE EXIT FROM THE STEM WORKFORCE
dataset-370,SESTAT,Survey of Earned Doctorates,10.2139/ssrn.3343095,SSRN Electronic Journal,People of Color in Community College Stem Majors and Access in Closing the Acheivement Gap
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1080/03075079.2019.1672648,Studies in Higher Education,Does employment during doctoral training reduce the PhD completion rate?
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1111/hea.43_12138,Higher Education Abstracts,Student Subgroups
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1080/09645292.2019.1623177,Education Economics,Are high-quality PhD programs at universities associated with more undergraduate students pursuing PhD study?
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1002/he.20332,New Directions for Higher Education,"Rationale for Cocreating a Community for Underrepresented Minorities in Science, Technology, Engineering, and Math: An Indigenous Paradigm"
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1177/1942775118763336,Journal of Research on Leadership Education,Mentoring for the Educational Leadership Professoriate: Perspectives From Jay D. Scribner Mentoring Award Recipients and Mentees
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1002/he.20337,New Directions for Higher Education,"Designing and Implementing an Indigenous Mentoring Program for Faculty Who Mentor AI/AN Students in STEM Fields: Process, Outcomes, and Lessons Learned"
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1002/he.20331,New Directions for Higher Education,Editors’ Notes
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1080/10437797.2019.1656576,Journal of Social Work Education,BPD Emerging Leaders 2010–2016: Identifying and Responding to the Need for New Academic Leadership
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1007/s11162-019-09573-9,Research in Higher Education,"Tenure and Promotion Outcomes at Four Large Land Grant Universities: Examining the Role of Gender, Race, and Academic Discipline"
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.5860/crln.64.1.70,College & Research Libraries News,Fast Facts
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.5860/crln.63.10.718,College & Research Libraries News,"NEW REALITIES, NEW RELATIONSHIPS: The double life of the college campus: Striking a balance between reality and expectations"
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1111/emip.12284,Educational Measurement Issues and Practice,An Analysis of College Choice Information Provided on Graduate Program Websites: Implications for Improving Applicant Diversity in Educational Measurement
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1007/s12108-019-09421-4,The American Sociologist,"Academic Familism, Spillover Prestige and Gender Segregation in Sociology Subfields: The Trajectory of Economic Sociology"
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1080/07481756.2018.1547619,Measurement and Evaluation in Counseling and Development,Doctoral Student Perfectionism and Emotional Well-Being
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1525/lavc.2019.130006b,Latin American and Latinx Visual Culture,The Hidden Costs of a Life of the Mind
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1111/ecin.12762,Economic Inquiry,YOUNG “STARS” IN ECONOMICS: WHAT THEY DO AND WHERE THEY GO
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1016/j.profnurs.2019.07.003,Journal of Professional Nursing,National Institute of Health (NIH) funding patterns in Schools of Nursing: Who is funding nursing science research and who is conducting research at Schools of Nursing?
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1016/j.respol.2019.03.001,Research Policy,Federal funding of doctoral recipients: What can be learned from linked data
