title,pub_url,dataset,sheet_name,dataset_id
"Prevalence of U.S. Food Insecurity Is Related to Changes in Unemployment, Inflation, and the Price of Food",http://www.ers.usda.gov/publications/pub-details/?pubid=45216,▪FSS,CPS-FSS,dataset-033
Public Disclosure of Tests for Salmonella: The Effects on Food Safety Performance in Chicken Slaughter Establishments,https://www.ers.usda.gov/publications/pub-details/?pubid=83660,"▪FSIS (administrative data from their Public Health Database—data include Salmonella performance, animal slaughter, SSOP and HACCP Performance) ",FDA-FSIS-AMS,dataset-041
School Meals in Transition ,http://www.ers.usda.gov/publications/pub-details/?pubid=44006,▪USDA’s National Data Bank ▪State reports ▪Special Nutrition Program Operation Study Year 1 (SNOPS-I),SCH MEALS DATA,dataset-056
Statistical Supplement to Household Food Security in the United States in 2016,https://www.ers.usda.gov/webdocs/publications/84981/ap-077.pdf?v=0,▪CPS-FSS,CPS-FSS,dataset-033
Statistical Supplement to Household Food Security in the United States in 2017,https://www.ers.usda.gov/publications/pub-details/?pubid=90028,▪Current Population Survey (CPS) Food Security Supplement (December 2017),CPS-FSS,dataset-033
Store Formats and Patterns in Household Grocery Purchases,https://www.ers.usda.gov/publications/pub-details/?pubid=82928,IRI,IRI,"dataset-002, dataset-057"
The Association Between Nutrition Information Use and the Healthfulness of Food Acquisitions,https://www.ers.usda.gov/publications/pub-details/?pubid=88530,▪Healthy Eating Index (2010),ATUS,dataset-025
The Association Between Nutrition Information Use and the Healthfulness of Food Acquisitions,https://www.ers.usda.gov/publications/pub-details/?pubid=88530,FoodAPS,FoodAPS,dataset-025
The Association Between Restaurant Menu Label Use and Caloric Intake,https://www.ers.usda.gov/publications/pub-details/?pubid=90497,"▪NHANES (Flexible Consumer Behavior Survey—2007-08, 2009-10, and 2013-14 cycles)",NHANES,dataset-017
The Cost of Satisfying Fruit and Vegetable Recommendations in the Dietary Guidelines,http://www.ers.usda.gov/publications/pub-details/?pubid=42904,IRI,IRI,"dataset-058, dataset-002, dataset-032"
The Differences in Characteristics Among Households With and Without Obese Children: Findings From USDA’s FoodAPS,https://www.ers.usda.gov/webdocs/publications/85028/eib-179.pdf,FoodAPS,FoodAPS,dataset-025
"The Economic Impacts of Breastfeeding: A Focus on USDA’s Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",https://www.ers.usda.gov/publications/pub-details/?pubid=91272,▪Food and Nutrition Service (FNS) ,FNS,dataset-032
The Effects of Energy Price Shocks on Household Food Security in Low-Income Households,https://www.ers.usda.gov/publications/pub-details/?pubid=84240,▪2001-2014 Current Population Survey Food Security Supplement (CPS-FSS),CPS-FSS,dataset-033
"The Estimated Amount, Value, and Calories of Postharvest Food Losses at the Retail and Consumer Levels in the United States",http://www.ers.usda.gov/publications/pub-details/?pubid=43836,FADS-LAFA,FADS-LAFA,dataset-036
The Food Assistance Landscape: FY 2013 Annual Report,http://www.ers.usda.gov/publications/eib-economic-information-bulletin/eib120.aspx,▪USDA’s Food and Nutrition Service (FNS),FNS,dataset-032
The Food Assistance Landscape: FY 2014 Annual Report,http://www.ers.usda.gov/publications/pub-details/?pubid=43947,▪USDA’s Food and Nutrition Service (FNS),FNS,dataset-032
The Food Assistance Landscape: FY 2016 Annual Report,https://www.ers.usda.gov/publications/pub-details/?pubid=82993,▪Food and Nutrition Service (FNS) administrative data,FNS,dataset-032
The Food Assistance Landscape: FY 2017 Annual Report,https://www.ers.usda.gov/publications/pub-details/?pubid=88073,▪FNS,FNS,dataset-032
The Food Assistance Landscape: FY 2018 Annual Report,https://www.ers.usda.gov/publications/pub-details/?pubid=92895,▪FNS,FNS,dataset-032
The Food Safety Performance of Ground Beef Suppliers to the National School Lunch Program,http://www.ers.usda.gov/publications/pub-details/?pubid=45329,▪FSIS administrative data (SSOP and HACCP compliance data) ▪AMS Web site ▪FSIS Salmonella spp testing data,FDA-FSIS-AMS,"dataset-041,dataset-040"
The Food-Spending Patterns of Households Participating in the Supplemental Nutrition Assistance Program: Findings From USDA's FoodAPS,https://www.ers.usda.gov/publications/pub-details/?pubid=84779,FoodAPS,FoodAPS,dataset-025
The Impacts of Supplemental Nutrition Assistance Program Redemptions on County-Level Employment,https://www.ers.usda.gov/publications/pub-details/?pubid=93168,▪U.S. Census Bureau’s Consolidated Federal Funds Report,Census Surveys,dataset-032
The Impacts of Supplemental Nutrition Assistance Program Redemptions on County-Level Employment,https://www.ers.usda.gov/publications/pub-details/?pubid=93168,▪FNS,FNS,dataset-032
The Influence of Food Store Access on Grocery Shopping and Food Spending,https://www.ers.usda.gov/publications/pub-details/?pubid=85441,FoodAPS,FoodAPS,dataset-025
The Relationship Between Patronizing Direct-to-Consumer Outlets and a Household’s Demand for Fruits and Vegetables,https://www.ers.usda.gov/webdocs/publications/86878/err242_summary.pdf?v=0,FoodAPS,FoodAPS,dataset-025
The Role of Fossil Fuels in the U.S. Food System and the American Diet,https://www.ers.usda.gov/publications/pub-details/?pubid=82193,"▪U.S. Department of Labor, Bureau of Labor Statistics ▪American Community Survey",ATUS,"dataset-059, dataset-017"
The Stimulus Act of 2009 and Its Effect on Food-At-Home Spending by SNAP Participants,http://www.ers.usda.gov/publications/pub-details/?pubid=74689,▪Consumer Expenditure Survey (CE) (administered quarterly by the U.S. Census Bureau),CES,dataset-024
Trends in Food Recalls: 2004-13,https://www.ers.usda.gov/publications/pub-details/?pubid=88496,"▪FSIS Recall Notification Reports ▪FDA Enforcement
Reports",FDA-FSIS-AMS,"dataset-041,dataset-040"
Trends in Infant Formula Rebate Contracts: Implications for the WIC Program,http://www.ers.usda.gov/publications/pub-details/?pubid=43806,▪USDA’s Food and Nutrition Service (FNS),FNS,dataset-032
Trends in Infant Formula Rebate Contracts: Implications for the WIC Program,http://www.ers.usda.gov/publications/pub-details/?pubid=43806,▪2008 proprietary report prepared for ERS by the Nielsen Company,Nielsen,dataset-032
"U.S. Food Commodity Availability by Food Source, 1994-2008",https://www.ers.usda.gov/publications/pub-details/?pubid=81817,FADS-LAFA,FADS-LAFA,dataset-036
"U.S. Food Commodity Availability by Food Source, 1994-2008",https://www.ers.usda.gov/publications/pub-details/?pubid=81817,▪ FICRCD Food Intakes Converted to Retail Commodities Databases,FICRCD-CSFII,dataset-036
U.S. Food Commodity Consumption Broken Down by Demographics,http://www.ers.usda.gov/publications/pub-details/?pubid=45530,FADS-LAFA,FADS-LAFA,dataset-036
U.S. Food Commodity Consumption Broken Down by Demographics,http://www.ers.usda.gov/publications/pub-details/?pubid=45530,"▪CSFII (1994-96 and 1998)  ▪Commodity consumption by demographics 1994-2008 ▪FICRCD: 1994-96 and 1998, 1999-2002, and 2003-2008 ",FICRCD-CSFII,dataset-036
U.S. Food Commodity Consumption Broken Down by Demographics,http://www.ers.usda.gov/publications/pub-details/?pubid=45530,▪WWEIA/NHANES ▪WWEIA/NHANES (1999-2008) ▪WWEIA/NHANES (1999-2008) ,NHANES,dataset-036
U.S. Households’ Demand for Convenience Foods,http://www.ers.usda.gov/publications/pub-details/?pubid=80653,▪Consumer Expenditure Survey of the U.S. Bureau of Labor Statistics ,CES,dataset-024
U.S. Households’ Demand for Convenience Foods,http://www.ers.usda.gov/publications/pub-details/?pubid=80653,,Qtrly FAFH,dataset-024
"U.S. Trends in Food Availability and a Dietary Assessment of Loss-Adjusted Food Availability, 1970-2014",https://www.ers.usda.gov/webdocs/publications/82220/eib-166.pdf?v=42762,FADS-LAFA,FADS-LAFA,dataset-036
Understanding IRI Household-Based and Store-Based Scanner Data,http://www.ers.usda.gov/publications/pub-details/?pubid=47636,IRI,IRI,"dataset-001, dataset-002"
Understanding Low-Income and Low-Access Census Tracts Across the Nation: Subnational and Subpopulation Estimates of Access to Healthy Food,https://www.ers.usda.gov/publications/pub-details/?pubid=93140,▪Census Bureau’s 2010-14 American Community Survey ▪Census Bureau’s 2010 Decennial Census,Census Surveys,"dataset-028, dataset-060"
Updated Supermarket Shrink Estimates for Fresh Foods and Their Implications for ERS Loss-Adjusted Food Availability Data,http://www.ers.usda.gov/publications/pub-details/?pubid=44103,▪Nielsen Perishables Group,Nielsen,dataset-036
"USDA Special Supplemental Nutrition Program for Women, Infants, and Children (WIC): A New Look at Key Questions 10 Years After USDA Added Whole-Grain Bread to WIC Food Packages in 2009",https://www.ers.usda.gov/publications/pub-details/?pubid=93650,FoodAPS,FoodAPS,dataset-025
"USDA Special Supplemental Nutrition Program for Women, Infants, and Children (WIC): A New Look at Key Questions 10 Years After USDA Added Whole-Grain Bread to WIC Food Packages in 2009",https://www.ers.usda.gov/publications/pub-details/?pubid=93650,▪IRI,IRI,dataset-025
USDA's National Household Food Acquisition and Purchase Survey: Methodology for Imputing Missing Quantities To Calculate Healthy Eating Index-2010 Scores and Sort Foods Into ERS Food Groups,https://www.ers.usda.gov/publications/pub-details/?pubid=87012,FoodAPS,FoodAPS,dataset-025
Using a Policy Index To Capture Trends and Differences in State Administration of USDA's Supplemental Nutrition Assistance Program,https://www.ers.usda.gov/webdocs/publications/87096/err-244.pdf?v=0,SNAP,SNAP Admin,dataset-026
Where Do Americans Usually Shop for Food and How Do They Travel To Get There? Initial Findings from the National Household Food Acquisition and Purchase Survey,http://www.ers.usda.gov/publications/pub-details/?pubid=79791,FoodAPS,FoodAPS,dataset-025
Where Households Get Food in a Typical Week: Findings from USDA’s FoodAPS,http://www.ers.usda.gov/publications/pub-details/?pubid=80541,FoodAPS,FoodAPS,dataset-025
WIC Households' Food Purchases Using WIC Benefits and Paying Out of Pocket: A Case Study of Cold Cereal Purchases,http://www.ers.usda.gov/publications/pub-details/?pubid=45536,FoodAPS,FoodAPS,dataset-025
WIC Households' Food Purchases Using WIC Benefits and Paying Out of Pocket: A Case Study of Cold Cereal Purchases,http://www.ers.usda.gov/publications/pub-details/?pubid=45536,IRI,IRI,dataset-025
