datasets,doi,journal,search_term,title,url,pdf
dataset-623,10.1080/13504509.2017.1409821,International Journal of Sustainable Development & World Ecology,C-CAP,The potential implementation of green infrastructure assessment using high-resolution National Agriculture Imagery Program data for sustainable hazard mitigation,https://www.tandfonline.com/doi/full/10.1080/13504509.2017.1409821,
dataset-623,10.1016/j.isprsjprs.2018.03.019,ISPRS Journal of Photogrammetry and Remote Sensing,C-CAP,A remote sensing-based model of tidal marsh aboveground carbon stocks for the conterminous United States,https://doi.org/10.1016/j.isprsjprs.2018.03.019,
dataset-623,10.1371/journal.pone.0189792,PLoS ONE,C-CAP,Advancing the integration of spatial data to map human and natural drivers on coral reefs,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0189792&type=printable,
dataset-623,10.1016/j.coastaleng.2017.11.005,Coastal Engineering,C-CAP,The influence of bed friction variability due to land cover on storm-driven barrier island morphodynamics,https://www.sciencedirect.com/science/article/pii/S0378383917301114?via%3Dihub,https://pdf.sciencedirectassets.com/271917/1-s2.0-S0378383917X00124/1-s2.0-S0378383917301114/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEND%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIHNpbqxsgSynOU5uZp8h6CvRfq5M4IMNngAgyyaZotdlAiEAxx%2BrxXi5sOKC9CytOh397YAQehJD5WMnRv3Cz5okoCsqtAMISRACGgwwNTkwMDM1NDY4NjUiDCJgcNT8T5%2FvimV5CyqRAzcemOECltYgduMkOvv9Cw8qn6HX7Ymz6C%2BIwImwS8Un6L1Hw7bc8%2B6XcRfAyKwWhLqCD1ggJU%2ByNyFgEMIUqYf10QQEutbQ%2B3r2MZ333ORE%2BXiS8nYP3wmd%2B%2BF7V9uZvRbKa0dnd1FrsjxfICBIYfCVNQ%2ByRV%2BOjfM61%2FZEUVJ6SSEEaBOAnuademRPFWjtJnSQ14nXfzNTxCDFKJC7sa5X%2FM%2F7ywqfl2IOjEV3q0e5SwiWV7OmzyM8CvvmTVTPP89bdj65qDEYfFg5e7yYeRVfwitynpDOtmuOotgEnezBYjVqoDRqc2szYat31Drx8kpjDlHMwExvK9XeNWgJ9nelnG8aww%2Fzy00aXapDNifogz8DSvOOtNTNcAeKqxSVanHh8Z5NAFHzFxTbalJA2LAYAeHRrXKtq5bBsMmf4Qj6fOY5sYAjfm%2FalC7Eiv5Cun%2BMiqRuayiM7ZVYj%2FYXY8J0QnnYBZGdhmreCtzHWDE7YnZUDLgsmB0KvM4KE0aBkUY5JKi13bf21rjd5qCLHlhIMPq%2FvfAFOusB2ZeISzaEZNdLa3jWcbyqzOTeFuyFwq8Ku2Nn24exGdzUCbn43YNOcSJ0IA%2BRsZGKLC2ZKEeHbx%2FkhWJ6Zn1H8vAU%2FkKnNGFKRhDMlFjjl9JCEeloG%2BvmAJsmEyAUiRPmw0iy5V5Y90KNrnm%2FYBCTeoseRSe4C16fhaXA4PdbRzjG52cmvzCeRJW1a6OCm1fmbIkQbaH2WmaCeMlLggehfingj%2B5kLkJMddyW6x4v57Il6le5nV6Se4wbQY6Rn3Q9JYN6MtKqmWmwHkrX%2F18fUnXNsBYiMwR5ArYbpLZ4Hlq43vBBT3amsp9VVg%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20200103T171047Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYSXHTPP34%2F20200103%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=0858bb524df0c925cbdc7abf7dc1e189fb56aae9afa23a31e2d7c7155bd668d2&hash=faf63ad7558cc2dfec52b206512b4751638da7b6258d02a14d9fc192bb368db7&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0378383917301114&tid=spdf-e03bdb7d-48b0-4f07-9a8a-756a3f7107f4&sid=513f1e25231076411e3861f92e8089402ed5gxrqa&type=client
dataset-623,10.1080/09640568.2017.1301896,Journal of Environmental Planning and Management,C-CAP,"Flexible, collaborative, and meaningful? The case of the US coastal nonpoint pollution control program",,
dataset-623,10.1080/23312041.2017.1422956,Cogent Geoscience,C-CAP,"Impacts of 40 years of land cover change on water quality in Tampa Bay, Florida",https://doi.org/10.1080/23312041.2017.1422956,https://www.cogentoa.com/article/10.1080/23312041.2017.1422956.pdf
dataset-623,10.1016/j.jenvman.2017.09.063,Journal of Environmental Management,C-CAP,Evaluation of constraints to water quality improvements in the Western Lake Erie Basin,,https://pdf.sciencedirectassets.com/272592/1-s2.0-S0301479717X00248/1-s2.0-S0301479717309325/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjENP%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIDzUjhxSW6K0C%2B9pvQwcpzTi9O3hMQwVo%2BaG1LCaHYhiAiEAxez0HgG3P9GTKqFHeoM70gSmFOZEINLYSTp0d2%2FiNgYqtAMITBACGgwwNTkwMDM1NDY4NjUiDGcOjzM17Bh0bZKtuSqRAzkXUaE2crDwYHOC%2FzNoqf2sKw8RIBP19POrtn426RCD3RwI8tnZ%2Bzu1yOggRuy%2BLzIjrS%2BjXXTDdmnvKufpHYHhSIgTeAF8EtW11ND738Bej8iS7JNI7eGJScOJ3d%2F9%2BVCHQ9Ve6oP%2FgfgdK1MqyylLK6H%2BA5AUXRj2CobGw60aZOw9xF9TP2SIfmBEfma9ciJrd5jEbnWEuBsl8Q1hk1XhlLuQxJ5GWdvV0GGDz0Svimp9QLKZ4wS1VN7kY%2FB1ZGLd8Sgi7gJqc7D5qm9Gvf1y%2BB16foKU2bDEhu9quqgB3I6GkYb6eSPrYbzB6%2B5woLIGLNsahSfI9SlZwijIRrmzjhNbA9ZlhgUZTOp9jYDAbml78V1PcY2BRnbgQZYy7ENeeb73gd8Fay7vl3pG3%2Bxvn5vqsZ2IudhZJOpYUyC232G%2FrwlotOLQ3%2BWt99YZwBs2Vch0WZ%2F4VqcsUcPWFzU9KyU%2FQvlW3UjGLdfNrU0S%2FvXep2B62ccNTiTg88%2B4G8X%2BcnNXBbaaz4T3m%2BYiycqQMICWvvAFOusBu9%2FkwoXLjtUK9ku6VYl2b%2Br3v5ENGISxDO6Bovw9sOVdPDELbqHDHhYfiml8LevrXDobYNHIwQtSgaP6SeTjAq6ieDinTly15mIZ3R4uj7H3qiHT%2F%2Fno3%2FeM7d9fsTrHF4SJFHCRxZbtTqgxCL4Z7hXEWMY%2BJX36F4QrghVhU%2BdWlUFSLhg9KNSiQsg%2BMHDfsg1Fc1YzkBL1%2BryFRTsbTw1h2MCtosFeheqYTlkNjp6X4BQatqSPRhKFiOLXoLsM3x7jgQEEXBLQAW6Qsj8TpKKW8s5TPTkileDnUNyj8vAvjudJQwiW%2BFWflQ%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20200103T194047Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYURFEJDVV%2F20200103%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=ddb7a10842434afb891a73a67896613aedbdf076cdfc4e1ef6e7f9831574a4e4&hash=0eb8f7c06677eadad38b697923bcf5990927a32b0cfcea0aedbbebf3fe7be803&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0301479717309325&tid=spdf-8b8a9b8d-aec6-4fe1-899a-fbeae2893bc8&sid=513f1e25231076411e3861f92e8089402ed5gxrqa&type=client
dataset-623,10.1016/j.landurbplan.2017.09.008,Landscape and Urban Planning,C-CAP,Disamenity to amenity: Spatial and temporal patterns of social response to river restoration progress,https://www.sciencedirect.com/science/article/pii/S0169204617302098?via%3Dihub,https://pdf.sciencedirectassets.com/271853/1-s2.0-S0169204617X0008X/1-s2.0-S0169204617302098/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjENP%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIAPncgQJTjB%2B1%2FwkYErxJVYhQm7H9oq5%2FmWrjxMRzH%2F5AiEAmLOODHa%2BLRNkyWjwbd6OA%2FRYx0bfAFZI2BJaEDPpxRgqtAMITBACGgwwNTkwMDM1NDY4NjUiDPJJuvGyH0CHnlk6pCqRA4aNetrZ9Tmw4cd0K6MCcLeELWX5g%2BNrganEpnrpAGbFRbAs08yObuGeWwsuEtZLbmXNy%2BSbr7QH%2F%2Biz7fzsD4Ebv87G7Jo3R2VnoRxJmnf2AP3AIG8ayBm69IUXxGk1207yfWU2vTWG4VfNWksRMxs4oIoEQSF00ETtZ%2BNCtBaOJwGLvbf1nEk38Dqtnu2yDQUYaFt4SvLk7oeVBF1%2BNktHAPvjOXpT0rkAE19fBgBSXEF%2FZ0UN2RTnPgbpYXsMki2K01TmOCUnk%2F0v1c2bbbQq5NO8xRqc7NlnPjJwP3tyTFBMHgINntMTRlJVgTiOeCps0PqHXuA5hcsYP%2BLZcGb4GBOMtnYGQypmVGXGh4xHb%2F7kmVxg3K57ajaX59Q6UkSrSbMCUHEjE4e8q4OkpB7iNwIeiwfdfoaiBZUqQOg2k5uclh1yW0N01XJ2xT7LrZxLAZNcsrHSbXKRQPLIE2I2Z7cpvlUBJFTNyGkIV3Far2yuqvMHTuZzFj5XcVwheZv%2FguI4bm1qKQx%2FcSuuQ0IAMK6UvvAFOusBHZUIuMgaMQ0S700MS95WQSuYb0w2%2FAB10j0nR6KHkodDG9i6ipAVyOPrmTdVpkbH9nCq4DBdNHrAoeErS3fGXNiNUhTZ8Qcx5PAiFHOTmOu4Emk7A5JUTtqHsxCmiNI%2BGvDmIEmh4UFw43g7GJ%2FMzUytmX0wFJ3NkFTOKE3SmrS0n%2FrXvVHMhSoyHPubE2bn5ZPbcLlflfL64YSJVhR5Ck4aVPWRIediolOX%2BJfzmvzc1MZRU7VOI05%2BPjKBYacSC%2FuRmB5FZxfU0iJpf4JY%2ByrmsVk2fcpkt8iv0zgztJKvDheq3AopH6rOAg%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20200103T194423Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY35VV2QPA%2F20200103%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=7b798b44896eb43baa2abccdf6850a0119714c81794db82f6d13318e742b479b&hash=35817c83415b75b02b7ac9b09c0e5add31f8f0341e3739d08645a9b7ce46a75d&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0169204617302098&tid=spdf-0b2133ed-bfd6-4ebd-be86-60b339f1172d&sid=513f1e25231076411e3861f92e8089402ed5gxrqa&type=client
dataset-623,10.1016/j.apgeog.2017.11.003,Applied Geography,C-CAP,"Land cover, lightning frequency, and turbulent fluxes over Southern Louisiana",https://www.sciencedirect.com/science/article/pii/S0143622817306288?via%3Dihub,https://www.sciencedirect.com/science/article/pii/S0143622817306288/pdfft?md5=6b9985e6fae3097c89d77648bb3fe987&pid=1-s2.0-S0143622817306288-main.pdf
dataset-623,10.1007/978-3-319-48657-4_258-2,Encyclopedia of Coastal Science,C-CAP,Remote Sensing: Wetlands Classification,https://link.springer.com/content/pdf/10.1007%2F978-3-319-48657-4_258-2.pdf,
