datasets,doi,journal,search_term,title,url,valid?,notes,pdf
dataset-623,10.3389/fmars.2019.00511,Frontiers in Marine Science,C-CAP,Voluntary Restoration: Mitigation's Silent Partner in the Quest to Reverse Coastal Wetland Loss in the USA,http://dx.doi.org/10.3389/fmars.2019.00511,Yes,,
dataset-623,10.1080/10409289.2019.1648087,Early Education and Development,C-CAP,Licensed Family Child Care Providers' Participation in the Child and Adult Care Food Program (CACFP): Greater Benefits and Fewer Burdens in Highly Urban Areas?,https://www.tandfonline.com/doi/full/10.1080/10409289.2019.1648087,No,Not found,
dataset-623,10.1371/journal.pone.0218558,PLoS ONE,C-CAP,Insights into estuary habitat loss in the western United States using a new method for mapping maximum extent of tidal wetlands,http://dx.doi.org/10.1371/journal.pone.0218558,Yes,,
dataset-623,10.1016/j.scitotenv.2019.04.287,The Science of The Total Environment,C-CAP,"Flood protection ecosystem services in the coast of Puerto Rico: Associations between extreme weather, flood hazard mitigation and gastrointestinal illness",https://www.sciencedirect.com/science/article/pii/S0048969719318224?via%3Dihub,Yes,,
dataset-623,10.1016/j.jag.2019.03.013,International Journal of Applied Earth Observation and Geoinformation,C-CAP,High-resolution mapping of biomass and distribution of marsh and forested wetlands in southeastern coastal Louisiana,https://www.sciencedirect.com/science/article/pii/S0303243418312285?via%3Dihub,Yes,,
dataset-623,10.1109/igarss.2019.8899779,2012 IEEE International Geoscience and Remote Sensing Symposium,C-CAP,"AI-Based Remote Sensing Oceanography - Image Classification, Data Fusion, Algorithm Development and Phenomenon Forecast",https://ieeexplore.ieee.org/document/8899779,Yes,,
dataset-623,10.3389/fenvs.2019.00068,Frontiers in Environmental Science,C-CAP,Impact of Hurricane Katrina on the Coastal Systems of Southern Louisiana,https://www.frontiersin.org/articles/10.3389/fenvs.2019.00068/pdf,Yes,,
dataset-623,10.1111/pace.13675,Pacing and Clinical Electrophysiology,C-CAP,Quality of life benefits from arrhythmia ablation: A longitudinal study using the C-CAP questionnaire and EQ5D,https://onlinelibrary.wiley.com/doi/pdf/10.1111/pace.13675,No,Unrelated C-CAP acronym,
dataset-623,10.1177/0309133319839922,Progress in Physical Geography Earth and Environment,C-CAP,Advancing barrier island habitat mapping using landscape position information,https://journals.sagepub.com/doi/10.1177/0309133319839922,Yes,,
dataset-623,10.5194/esurf-7-429-2019,Earth Surface Dynamics,C-CAP,Relationships between regional coastal land cover distributions and elevation reveal data uncertainty in a sea-level rise impacts model,https://www.earth-surf-dynam.net/7/429/2019/esurf-7-429-2019.pdf,Yes,,
dataset-623,10.1093/condor/duz007,The Condor,C-CAP,"Large-scale tree mortality from Rapid Ohia Death negatively influences avifauna in lower Puna, Hawaii Island, USA",https://academic.oup.com/condor/article-pdf/121/2/duz007/28981665/duz007.pdf,Yes,,
dataset-623,10.1080/10402381.2019.1606868,Lake and Reservoir Management,C-CAP,Stability of Lake Sammamish phosphorus despite land use changes,https://www.tandfonline.com/doi/full/10.1080/10402381.2019.1606868,Yes,,
dataset-623,10.1007/s10661-019-7330-6,Environmental Monitoring and Assessment,C-CAP,Spatio-temporal simulation and prediction of land-use change using conventional and machine learning models: a review,,No,Used by a reference,
dataset-623,10.1016/j.landusepol.2019.01.029,Land Use Policy,C-CAP,Specialized governance and regional land-use outcomes: A spatial analysis of Florida community development districts,https://www.sciencedirect.com/science/article/pii/S0264837718313437?via%3Dihub,Yes,,
dataset-623,10.1136/jmedgenet-2018-105498,Journal of Medical Genetics,C-CAP,CAP2 mutation leads to impaired actin dynamics and associates with supraventricular tachycardia and dilated cardiomyopathy,,No,Unrelated C-CAP acronym,
dataset-623,10.1001/jamainternmed.2018.6026,JAMA Internal Medicine,C-CAP,Effect of a Biobehavioral Environmental Approach on Disability Among Low-Income Older Adults,,No,,
dataset-623,10.1007/s11033-018-4464-5,Molecular Biology Reports,C-CAP,Identification of expressed R-genes associated with leaf spot diseases in cultivated peanut,https://link.springer.com/content/pdf/10.1007%2Fs11033-018-4464-5.pdf,No,Not found,
dataset-623,10.1016/j.jenvman.2018.11.039,Journal of Environmental Management,C-CAP,Disparities of population exposed to flood hazards in the United States,https://www.sciencedirect.com/science/article/pii/S0301479718313057?via%3Dihub,Yes,,
dataset-623,10.1007/s11069-018-3493-7,Natural Hazards,C-CAP,Population vulnerability to tsunami hazards informed by previous and projected disasters: a case study of American Samoa,https://link.springer.com/content/pdf/10.1007%2Fs11069-018-3493-7.pdf,Yes,,
dataset-623,10.1002/jwmg.21605,Journal of Wildlife Management,C-CAP,Seasonal habitat selection and movements by mottled ducks,https://wildlife.onlinelibrary.wiley.com/doi/full/10.1002/jwmg.21605,Yes,,
dataset-623,10.1080/01431161.2018.1516318,International Journal of Remote Sensing,C-CAP,"Characterizing multi-decadal, annual land cover change dynamics in Houston, TX based on automated classification of Landsat imagery",https://www.tandfonline.com/doi/full/10.1080/01431161.2018.1516318,Yes,,
dataset-623,10.5194/nhess-2018-347,Natural Hazards and Earth System Sciences Discussions,C-CAP,What's streamflow got to do with it? A probabilistic simulation of the competing oceanographic and fluvial processes driving extreme along-river water levels,https://www.nat-hazards-earth-syst-sci-discuss.net/nhess-2018-347/nhess-2018-347.pdf,,,
dataset-623,10.1016/j.landurbplan.2018.09.019,Landscape and Urban Planning,C-CAP,Visibility analysis of oceanic blue space using digital elevation models,https://www.sciencedirect.com/science/article/pii/S0169204618303220?via%3Dihub,Yes,,
dataset-623,10.1007/978-3-319-93806-6_252,,C-CAP,RADARSAT-2,,No,,
dataset-623,10.1007/978-981-13-7450-0,,C-CAP,"Actin Polymerization in Apicomplexan, A Structural, Functional and Evolutionary Analysis",,No,,
dataset-623,10.1007/978-981-13-7450-0_9,,C-CAP,Evolution: The Hallmarks of Gliding Motility in Apicomplexan,,No,Unrelated C-CAP acronym,
dataset-623,10.1007/978-3-319-93806-6_221,,C-CAP,Natural Hazards,,No,,
dataset-623,10.1007/978-981-13-7450-0_6,,C-CAP,CAP (Cyclase-Associated Protein): The Silent Worker,,No,Unrelated C-CAP acronym,
dataset-623,10.1007/978-3-319-78878-4,,C-CAP,"Coastal Scenery, Evaluation and Management",,No,"This is a journal, not a publication",
dataset-623,10.1007/978-3-319-93806-6,,C-CAP,Encyclopedia of Coastal Science,https://link.springer.com/content/pdf/bfm%3A978-3-319-93806-6%2F1.pdf,No,"This is a journal, not a publication",
dataset-623,10.1007/978-3-319-78878-4_7,,C-CAP,The Management of Coastal Landscapes,,,,
dataset-623,10.1101/506196,bioRxiv,C-CAP,Mangrove leaf and root traits and their relation to urbanization,https://www.biorxiv.org/content/biorxiv/early/2019/01/27/506196.full.pdf,,,
dataset-623,10.1101/504928,bioRxiv,C-CAP,Mangrove forest structure and composition along urban gradients in Puerto Rico,https://www.biorxiv.org/content/biorxiv/early/2018/12/21/504928.full.pdf,,,
dataset-623,10.1002/cprt.30239,Corporate Philanthropy Report,C-CAP,Corporate Profiles,,No,Not found,
dataset-623,10.1038/s41598-018-26948-7,Scientific Reports,C-CAP,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States,https://www.nature.com/articles/s41598-018-26948-7.pdf,Yes,,
dataset-623,10.1016/j.sedgeo.2018.09.002,Sedimentary Geology,C-CAP,OSL over-dispersion: A pilot study for the characterisation of extreme events in the shallow marine realm,,No,Unrelated C-CAP acronym,
dataset-623,10.1007/s11273-018-9635-6,Wetlands Ecology and Management,C-CAP,"Analysis of multi-decadal wetland changes, and cumulative impact of multiple storms 1984 to 2017",https://link.springer.com/content/pdf/10.1007%2Fs11273-018-9635-6.pdf,,,
dataset-623,10.3390/rs10121910,Remote Sensing,C-CAP,Developing Land Use Land Cover Maps for the Lower Mekong Basin to Aid Hydrologic Modeling and Basin Planning,https://www.mdpi.com/2072-4292/10/12/1910/pdf,,,
dataset-623,10.1088/1748-9326/aae157,Environmental Research Letters,C-CAP,Uncertainty in United States coastal wetland greenhouse gas inventorying,https://iopscience.iop.org/article/10.1088/1748-9326/aae157/pdf,Yes,,
dataset-623,10.1016/j.ecss.2018.08.007,Estuarine Coastal and Shelf Science,C-CAP,Classification mapping of salt marsh vegetation by flexible monthly NDVI time-series using Landsat imagery,https://www.sciencedirect.com/science/article/pii/S0272771417311642?via%3Dihub,Yes,,
dataset-623,10.1016/j.envsci.2018.06.005,Environmental Science & Policy,C-CAP,Examining the relationship between development patterns and total phosphorus in the Galveston Bay Estuary,https://www.sciencedirect.com/science/article/pii/S1462901117305579?via%3Dihub,Yes,,
dataset-623,10.1007/s00482-018-0327-1,Der Schmerz,C-CAP,Abstracts/Kongresse,https://link.springer.com/content/pdf/10.1007/s00482-018-0327-1.pdf,,In German,
dataset-623,10.1101/423434,bioRxiv,C-CAP,Urbanization plays a minor role in the flooding and surface water chemistry of Puerto Rico's mangroves,https://www.biorxiv.org/content/biorxiv/early/2018/09/20/423434.full.pdf,,,
dataset-623,10.1016/j.landurbplan.2018.04.018,Landscape and Urban Planning,C-CAP,Modeling non-stationary urban growth: The SPRAWL model and the ecological impacts of development,https://doi.org/10.1016/j.landurbplan.2018.04.018,Yes,,
dataset-623,10.1007/s10980-018-0687-z,Landscape Ecology,C-CAP,Landscape genetics of the foundational salt marsh plant species black needlerush (Juncus roemerianus Scheele) across the northeastern Gulf of Mexico,https://link.springer.com/content/pdf/10.1007%2Fs10980-018-0687-z.pdf,Yes,,
dataset-623,10.1002/ece3.4296,Ecology and Evolution,C-CAP,Landscape genetics identifies streams and drainage infrastructure as dispersal corridors for an endangered wetland bird,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.4296,Yes,,
dataset-623,10.3390/jmse6030086,Journal of Marine Science and Engineering,C-CAP,Potential Impacts of Sea Level Rise and Coarse Scale Marsh Migration on Storm Surge Hydrodynamics and Waves on Coastal Protected Areas in the Chesapeake Bay,https://www.mdpi.com/2077-1312/6/3/86/pdf,Yes,,
dataset-623,10.1371/journal.pone.0198876,PLoS ONE,C-CAP,Glyphosate residue concentrations in honey attributed through geospatial analysis to proximity of large-scale agriculture and transfer off-site by bees,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0198876&type=printable,Yes,,
dataset-623,10.1080/07038992.2018.1526065,Canadian Journal of Remote Sensing,C-CAP,"A Unifying Approach to Classifying Wetlands in the Ontonagon River Basin, Michigan, Using Multi-temporal Landsat-8 OLI Imagery",https://www.tandfonline.com/doi/full/10.1080/07038992.2018.1526065,Yes,,
dataset-623,10.1016/j.ecolind.2018.02.040,Ecological Indicators,C-CAP,Hierarchical modeling assessment of the influence of watershed stressors on fish and invertebrate species in Gulf of Mexico estuaries,https://www.sciencedirect.com/science/article/pii/S1470160X18301250?via%3Dihub,Yes,,
dataset-623,10.1097/icu.0000000000000495,Current Opinion in Ophthalmology,C-CAP,"Comparing wavefront-optimized, wavefront-guided and topography-guided laser vision correction",,No,,
dataset-623,10.1016/j.rse.2018.02.064,Remote Sensing of Environment,C-CAP,Improved mapping of forest type using spectral-temporal Landsat features,https://www.sciencedirect.com/science/article/pii/S0034425718300762?via%3Dihub,Yes,,
dataset-623,10.1016/j.marpolbul.2017.03.059,Marine Pollution Bulletin,C-CAP,"Surveying shrimp aquaculture pond activity using multitemporal VHSR satellite images - case study from the Perancak estuary, Bali, Indonesia",https://archimer.ifremer.fr/doc/00392/50343/51081.pdf,No,Used by a reference,
dataset-623,10.1016/j.ijdrr.2018.03.009,International Journal of Disaster Risk Reduction,C-CAP,Pedestrian evacuation modeling to reduce vehicle use for distant tsunami evacuations in Hawai'i,https://www.sciencedirect.com/science/article/pii/S2212420918302863?via%3Dihub,Yes,,
dataset-623,10.1007/s00371-018-1538-2,The Visual Computer,C-CAP,Efficiently consistent affinity propagation for 3D shapes co-segmentation,,No,,
dataset-623,10.1080/13504509.2017.1409821,International Journal of Sustainable Development & World Ecology,C-CAP,The potential implementation of green infrastructure assessment using high-resolution National Agriculture Imagery Program data for sustainable hazard mitigation,https://www.tandfonline.com/doi/full/10.1080/13504509.2017.1409821,Yes,,
dataset-623,10.1016/j.isprsjprs.2018.03.019,ISPRS Journal of Photogrammetry and Remote Sensing,C-CAP,A remote sensing-based model of tidal marsh aboveground carbon stocks for the conterminous United States,https://doi.org/10.1016/j.isprsjprs.2018.03.019,Yes,,
dataset-623,10.1371/journal.pone.0189792,PLoS ONE,C-CAP,Advancing the integration of spatial data to map human and natural drivers on coral reefs,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0189792&type=printable,Yes,,
dataset-623,10.2166/wcc.2017.040,Journal of Water and Climate Change,C-CAP,Finding land cover change impacts on low flow regimes,,,,
dataset-623,10.1097/j.pain.0000000000001119,Pain,C-CAP,NaV1.7 and pain,http://eprints.whiterose.ac.uk/125179/1/draft%23revision.........pdf,No,,
dataset-623,10.1016/j.coastaleng.2017.11.005,Coastal Engineering,C-CAP,The influence of bed friction variability due to land cover on storm-driven barrier island morphodynamics,https://www.sciencedirect.com/science/article/pii/S0378383917301114?via%3Dihub,Yes,,https://pdf.sciencedirectassets.com/271917/1-s2.0-S0378383917X00124/1-s2.0-S0378383917301114/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEND%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIHNpbqxsgSynOU5uZp8h6CvRfq5M4IMNngAgyyaZotdlAiEAxx%2BrxXi5sOKC9CytOh397YAQehJD5WMnRv3Cz5okoCsqtAMISRACGgwwNTkwMDM1NDY4NjUiDCJgcNT8T5%2FvimV5CyqRAzcemOECltYgduMkOvv9Cw8qn6HX7Ymz6C%2BIwImwS8Un6L1Hw7bc8%2B6XcRfAyKwWhLqCD1ggJU%2ByNyFgEMIUqYf10QQEutbQ%2B3r2MZ333ORE%2BXiS8nYP3wmd%2B%2BF7V9uZvRbKa0dnd1FrsjxfICBIYfCVNQ%2ByRV%2BOjfM61%2FZEUVJ6SSEEaBOAnuademRPFWjtJnSQ14nXfzNTxCDFKJC7sa5X%2FM%2F7ywqfl2IOjEV3q0e5SwiWV7OmzyM8CvvmTVTPP89bdj65qDEYfFg5e7yYeRVfwitynpDOtmuOotgEnezBYjVqoDRqc2szYat31Drx8kpjDlHMwExvK9XeNWgJ9nelnG8aww%2Fzy00aXapDNifogz8DSvOOtNTNcAeKqxSVanHh8Z5NAFHzFxTbalJA2LAYAeHRrXKtq5bBsMmf4Qj6fOY5sYAjfm%2FalC7Eiv5Cun%2BMiqRuayiM7ZVYj%2FYXY8J0QnnYBZGdhmreCtzHWDE7YnZUDLgsmB0KvM4KE0aBkUY5JKi13bf21rjd5qCLHlhIMPq%2FvfAFOusB2ZeISzaEZNdLa3jWcbyqzOTeFuyFwq8Ku2Nn24exGdzUCbn43YNOcSJ0IA%2BRsZGKLC2ZKEeHbx%2FkhWJ6Zn1H8vAU%2FkKnNGFKRhDMlFjjl9JCEeloG%2BvmAJsmEyAUiRPmw0iy5V5Y90KNrnm%2FYBCTeoseRSe4C16fhaXA4PdbRzjG52cmvzCeRJW1a6OCm1fmbIkQbaH2WmaCeMlLggehfingj%2B5kLkJMddyW6x4v57Il6le5nV6Se4wbQY6Rn3Q9JYN6MtKqmWmwHkrX%2F18fUnXNsBYiMwR5ArYbpLZ4Hlq43vBBT3amsp9VVg%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20200103T171047Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYSXHTPP34%2F20200103%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=0858bb524df0c925cbdc7abf7dc1e189fb56aae9afa23a31e2d7c7155bd668d2&hash=faf63ad7558cc2dfec52b206512b4751638da7b6258d02a14d9fc192bb368db7&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0378383917301114&tid=spdf-e03bdb7d-48b0-4f07-9a8a-756a3f7107f4&sid=513f1e25231076411e3861f92e8089402ed5gxrqa&type=client
dataset-623,10.1080/09640568.2017.1301896,Journal of Environmental Planning and Management,C-CAP,"Flexible, collaborative, and meaningful? The case of the US coastal nonpoint pollution control program",,Yes,,
dataset-623,10.1080/23312041.2017.1422956,Cogent Geoscience,C-CAP,"Impacts of 40 years of land cover change on water quality in Tampa Bay, Florida",https://doi.org/10.1080/23312041.2017.1422956,Yes,,https://www.cogentoa.com/article/10.1080/23312041.2017.1422956.pdf
dataset-623,10.1080/21645515.2017.1375073,Human Vaccines & Immunotherapeutics,C-CAP,"Burden of hospitalized childhood community-acquired pneumonia: A retrospective cross-sectional study in Vietnam, Malaysia, Indonesia and the Republic of Korea",https://www.tandfonline.com/doi/pdf/10.1080/21645515.2017.1375073?needAccess=true,No,Unrelated C-CAP acronym,
dataset-623,10.1016/j.jenvman.2017.09.063,Journal of Environmental Management,C-CAP,Evaluation of constraints to water quality improvements in the Western Lake Erie Basin,,Yes,,https://pdf.sciencedirectassets.com/272592/1-s2.0-S0301479717X00248/1-s2.0-S0301479717309325/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjENP%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIDzUjhxSW6K0C%2B9pvQwcpzTi9O3hMQwVo%2BaG1LCaHYhiAiEAxez0HgG3P9GTKqFHeoM70gSmFOZEINLYSTp0d2%2FiNgYqtAMITBACGgwwNTkwMDM1NDY4NjUiDGcOjzM17Bh0bZKtuSqRAzkXUaE2crDwYHOC%2FzNoqf2sKw8RIBP19POrtn426RCD3RwI8tnZ%2Bzu1yOggRuy%2BLzIjrS%2BjXXTDdmnvKufpHYHhSIgTeAF8EtW11ND738Bej8iS7JNI7eGJScOJ3d%2F9%2BVCHQ9Ve6oP%2FgfgdK1MqyylLK6H%2BA5AUXRj2CobGw60aZOw9xF9TP2SIfmBEfma9ciJrd5jEbnWEuBsl8Q1hk1XhlLuQxJ5GWdvV0GGDz0Svimp9QLKZ4wS1VN7kY%2FB1ZGLd8Sgi7gJqc7D5qm9Gvf1y%2BB16foKU2bDEhu9quqgB3I6GkYb6eSPrYbzB6%2B5woLIGLNsahSfI9SlZwijIRrmzjhNbA9ZlhgUZTOp9jYDAbml78V1PcY2BRnbgQZYy7ENeeb73gd8Fay7vl3pG3%2Bxvn5vqsZ2IudhZJOpYUyC232G%2FrwlotOLQ3%2BWt99YZwBs2Vch0WZ%2F4VqcsUcPWFzU9KyU%2FQvlW3UjGLdfNrU0S%2FvXep2B62ccNTiTg88%2B4G8X%2BcnNXBbaaz4T3m%2BYiycqQMICWvvAFOusBu9%2FkwoXLjtUK9ku6VYl2b%2Br3v5ENGISxDO6Bovw9sOVdPDELbqHDHhYfiml8LevrXDobYNHIwQtSgaP6SeTjAq6ieDinTly15mIZ3R4uj7H3qiHT%2F%2Fno3%2FeM7d9fsTrHF4SJFHCRxZbtTqgxCL4Z7hXEWMY%2BJX36F4QrghVhU%2BdWlUFSLhg9KNSiQsg%2BMHDfsg1Fc1YzkBL1%2BryFRTsbTw1h2MCtosFeheqYTlkNjp6X4BQatqSPRhKFiOLXoLsM3x7jgQEEXBLQAW6Qsj8TpKKW8s5TPTkileDnUNyj8vAvjudJQwiW%2BFWflQ%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20200103T194047Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYURFEJDVV%2F20200103%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=ddb7a10842434afb891a73a67896613aedbdf076cdfc4e1ef6e7f9831574a4e4&hash=0eb8f7c06677eadad38b697923bcf5990927a32b0cfcea0aedbbebf3fe7be803&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0301479717309325&tid=spdf-8b8a9b8d-aec6-4fe1-899a-fbeae2893bc8&sid=513f1e25231076411e3861f92e8089402ed5gxrqa&type=client
dataset-623,10.1016/j.landurbplan.2017.09.008,Landscape and Urban Planning,C-CAP,Disamenity to amenity: Spatial and temporal patterns of social response to river restoration progress,https://www.sciencedirect.com/science/article/pii/S0169204617302098?via%3Dihub,Yes,,https://pdf.sciencedirectassets.com/271853/1-s2.0-S0169204617X0008X/1-s2.0-S0169204617302098/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjENP%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIAPncgQJTjB%2B1%2FwkYErxJVYhQm7H9oq5%2FmWrjxMRzH%2F5AiEAmLOODHa%2BLRNkyWjwbd6OA%2FRYx0bfAFZI2BJaEDPpxRgqtAMITBACGgwwNTkwMDM1NDY4NjUiDPJJuvGyH0CHnlk6pCqRA4aNetrZ9Tmw4cd0K6MCcLeELWX5g%2BNrganEpnrpAGbFRbAs08yObuGeWwsuEtZLbmXNy%2BSbr7QH%2F%2Biz7fzsD4Ebv87G7Jo3R2VnoRxJmnf2AP3AIG8ayBm69IUXxGk1207yfWU2vTWG4VfNWksRMxs4oIoEQSF00ETtZ%2BNCtBaOJwGLvbf1nEk38Dqtnu2yDQUYaFt4SvLk7oeVBF1%2BNktHAPvjOXpT0rkAE19fBgBSXEF%2FZ0UN2RTnPgbpYXsMki2K01TmOCUnk%2F0v1c2bbbQq5NO8xRqc7NlnPjJwP3tyTFBMHgINntMTRlJVgTiOeCps0PqHXuA5hcsYP%2BLZcGb4GBOMtnYGQypmVGXGh4xHb%2F7kmVxg3K57ajaX59Q6UkSrSbMCUHEjE4e8q4OkpB7iNwIeiwfdfoaiBZUqQOg2k5uclh1yW0N01XJ2xT7LrZxLAZNcsrHSbXKRQPLIE2I2Z7cpvlUBJFTNyGkIV3Far2yuqvMHTuZzFj5XcVwheZv%2FguI4bm1qKQx%2FcSuuQ0IAMK6UvvAFOusBHZUIuMgaMQ0S700MS95WQSuYb0w2%2FAB10j0nR6KHkodDG9i6ipAVyOPrmTdVpkbH9nCq4DBdNHrAoeErS3fGXNiNUhTZ8Qcx5PAiFHOTmOu4Emk7A5JUTtqHsxCmiNI%2BGvDmIEmh4UFw43g7GJ%2FMzUytmX0wFJ3NkFTOKE3SmrS0n%2FrXvVHMhSoyHPubE2bn5ZPbcLlflfL64YSJVhR5Ck4aVPWRIediolOX%2BJfzmvzc1MZRU7VOI05%2BPjKBYacSC%2FuRmB5FZxfU0iJpf4JY%2ByrmsVk2fcpkt8iv0zgztJKvDheq3AopH6rOAg%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20200103T194423Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY35VV2QPA%2F20200103%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=7b798b44896eb43baa2abccdf6850a0119714c81794db82f6d13318e742b479b&hash=35817c83415b75b02b7ac9b09c0e5add31f8f0341e3739d08645a9b7ce46a75d&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0169204617302098&tid=spdf-0b2133ed-bfd6-4ebd-be86-60b339f1172d&sid=513f1e25231076411e3861f92e8089402ed5gxrqa&type=client
dataset-623,10.1002/cprt.30184,Corporate Philanthropy Report,C-CAP,Corporate Profiles,,No,Unrelated C-CAP acronym,
dataset-623,10.1016/j.apgeog.2017.11.003,Applied Geography,C-CAP,"Land cover, lightning frequency, and turbulent fluxes over Southern Louisiana",https://www.sciencedirect.com/science/article/pii/S0143622817306288?via%3Dihub,Yes,,https://www.sciencedirect.com/science/article/pii/S0143622817306288/pdfft?md5=6b9985e6fae3097c89d77648bb3fe987&pid=1-s2.0-S0143622817306288-main.pdf
dataset-623,10.1016/b978-0-12-409548-9.09636-6,,C-CAP,GIS for Mapping Vegetation,https://www.sciencedirect.com/science/article/pii/B9780124095489096366?via%3Dihub,,,
dataset-623,10.1007/978-3-319-60561-6,,C-CAP,Management of Complications in Refractive Surgery,http://scielo.isciii.es/pdf/aseo/v83n10/critica.pdf,No,"This is a journal, not a publication",
dataset-623,10.1007/978-3-319-48657-4_258-2,Encyclopedia of Coastal Science,C-CAP,Remote Sensing: Wetlands Classification,https://link.springer.com/content/pdf/10.1007%2F978-3-319-48657-4_258-2.pdf,Yes,,
dataset-623,10.1007/978-3-319-60561-6_22,,C-CAP,Decentration,,No,Unrelated C-CAP acronym,
dataset-623,10.14358/pers.83.12.795,Photogrammetric Engineering & Remote Sensing,C-CAP,Visual vs Machine Approaches,https://doi.org/10.14358/pers.83.12.795,,,
dataset-623,10.1007/s00267-017-0943-z,Environmental Management,C-CAP,Hurricane Recovery and Ecological Resilience: Measuring the Impacts of Wetland Alteration Post Hurricane Ike on the Upper TX Coast,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6042518,,,
dataset-623,10.1111/gcb.13811,Global Change Biology,C-CAP,The spatial distribution of soil organic carbon in tidal wetland soils of the continental United States,https://doi.org/10.1111/gcb.13811,,,
