doi,journal,pub_id,related_dataset,title
10.1016/j.jand.2017.01.011,Journal of the Academy of Nutrition and Dietetics,pub-5daf260399119f86014f,dataset-f442e418ac191ac60f7f,"No Fat, No Sugar, No Salt . . . No Problem? Prevalence of “Low-Content” Nutrient Claims and Their Associations with the Nutritional Profile of Food and Beverage Purchases in the United States"
10.1093/erae/jbv032,European Review of Agricultural Economics,pub-1bc3aadcf10607672ab3,dataset-114d72893306f1c4e103,Consumers' welfare and off-season produce imports
10.1093/erae/jby026,European Review of Agricultural Economics,pub-029a2ce92fba7d935739,dataset-114d72893306f1c4e103,The relationship between price and retail concentration: evidence from the US food industry
10.1093/aepp/ppy018,Applied Economic Perspectives and Policy,pub-ed52ac6b749fd6b97a9f,dataset-114d72893306f1c4e103,Documenting the Link Between Poor Food Access and Less Healthy Product Assortment Across the U.S.
10.1093/ajae/aay002,American Journal of Agricultural Economics,pub-c6da5611f93b52ea5ab2,dataset-114d72893306f1c4e103,"Spatial and Temporal Variation in the Value of the Women, Infants, and Children Program’s Fruit and Vegetable Voucher"
10.1177/0890117117740935,American Journal of Health Promotion,pub-844cf3925cb51a93b350,dataset-f442e418ac191ac60f7f,"Chronic Disease, Prescription Medications, and Food Purchases"
10.1177/0890117118786871,American Journal of Health Promotion,pub-e080db7607fc650b2c0a,dataset-f442e418ac191ac60f7f,"The Healthfulness of Food-at-Home Expenditures, the Local Food Environment, and Childhood Obesity"
10.1111/agec.12222,Agricultural Economics,pub-840d6abfe1154408ad66,dataset-f442e418ac191ac60f7f,Modeling price transmission between farm and retail prices: a soft switches approach
10.1111/agec.12143,Agricultural Economics,pub-35227d7f407982c2300e,dataset-f442e418ac191ac60f7f,The quantity and variety of households’ meat purchases: A censored demand system approach
10.1002/hec.3883,Health Economics,pub-f5326e721633faa7439d,dataset-114d72893306f1c4e103,Do differences in reported expenditures between household scanner data and expenditure surveys matter in health policy research?
10.1002/agr.21606,Agribusiness,pub-50879c866e4df5631ada,dataset-114d72893306f1c4e103,Market power and farm‐retail price transmission: The case of US fluid milk markets
10.1080/00036846.2018.1486016,Applied Economics,pub-cb64eeb2321573c9d082,dataset-114d72893306f1c4e103,A tale of two Italian cities: brand-level milk demand and price competition
10.1111/agec.12444,Agricultural Economics,pub-62ce131ae88f760c6e14,dataset-114d72893306f1c4e103,Does a nutritious diet cost more in food deserts?
10.1002/jsfa.8633,Journal of the Science of Food and Agriculture,pub-7378cda90ea06c66fa17,dataset-114d72893306f1c4e103,Extra‐virgin olive oil: are consumers provided with the sensory quality they want? A hedonic price model with sensory attributes
10.3168/jds.2015-10410,Journal of Dairy Science,pub-a35ba82eab2f5bc613b0,dataset-114d72893306f1c4e103,The effects of retail concentration on retail dairy product prices in the United States
10.1016/j.aaspro.2016.02.014,Agriculture and Agricultural Science Procedia,pub-cfaf449eb05e0161f3c2,dataset-114d72893306f1c4e103,Consumer Response to Quality Differentiation Strategies in Wine PDOs
10.1016/j.wep.2015.12.001,Wine Economics and Policy,pub-a91301d356a0a5ee4817,dataset-114d72893306f1c4e103,Wine consumption and sales strategies: The evolution of Mass Retail Trading in Italy
10.1162/rest_a_00447,Review of Economics and Statistics,pub-752487772b874e44c8e2,dataset-114d72893306f1c4e103,Variety Pass-Through: An Examination of the Ready-to-Eat Breakfast Cereal Market
10.1162/rest_a_00171,Review of Economics and Statistics,pub-946442b4aae8d2659d7d,dataset-114d72893306f1c4e103,Identification With Imperfect Instruments
10.1515/1935-1682.3088,The B.E. Journal of Economic Analysis & Policy,pub-b98a560fd926122cdcc9,dataset-114d72893306f1c4e103,The Effect of Mandated Exclusive Territories in the US Brewing Industry
10.1002/agr.20288,Agribusiness,pub-3543c749fdd9ecc1e301,dataset-114d72893306f1c4e103,Some Like It Healthy: Demand for Functional and Conventional Yogurts in the Italian Market
10.1111/j.1477-9552.2011.00299.x,Journal of Agricultural Economics,pub-038d8b06abff8bc280aa,dataset-114d72893306f1c4e103,The Elusive Price Premium for Ecolabelled Products: Evidence from Seafood in the UK Market
10.2202/1542-0485.1085,Journal of Agricultural & Food Industrial Organization,pub-e3ede033640992335a2a,dataset-114d72893306f1c4e103,Private Label Expansion and Supermarket Milk Prices
10.1002/agr.20058,Agribusiness,pub-578a45099c000780ee35,dataset-114d72893306f1c4e103,"Retail oligopoly power, dairy compact, and Boston milk prices"
10.2202/1542-0485.1075,Journal of Agricultural & Food Industrial Organization,pub-70516acc308676fe8129,dataset-114d72893306f1c4e103,Market Conduct in the U.S. Ready-to-Eat Cereal Industry
10.1162/003465303765299792,Review of Economics and Statistics,pub-b2f5c214968dd0103c5d,dataset-114d72893306f1c4e103,"New Products, Quality Changes, and Welfare Measures Computed from Estimated Demand Systems"
10.1111/1468-0262.00194,Econometrica,pub-8c675a507bb55626ebc6,dataset-114d72893306f1c4e103,Measuring Market Power in the Ready‐to‐Eat Cereal Industry
10.1002/agr.21537,Agribusiness,pub-a90131087a0814dd889c,dataset-114d72893306f1c4e103,Comparing competitive toughness to benchmark outcomes in retail oligopoly pricing
10.1016/j.foodpol.2017.08.013,Food Policy,pub-806acfbb020f0b529693,dataset-114d72893306f1c4e103,Lessons learned from the national household food acquisition and purchase survey in the United States
10.1080/10454446.2018.1428259,Journal of Food Products Marketing,pub-df7967a07109c5482434,dataset-f442e418ac191ac60f7f,A comparative analysis of hedonic models of nutrition information and health claims on food products: An application to soup products
10.1111/j.1467-9353.2009.01449.x,Review of Agricultural Economics,pub-182e32f3e52721c647d0,dataset-f442e418ac191ac60f7f,Understanding Differences in Self‐Reported Expenditures between Household Scanner Data and Diary Survey Data: A Comparison of Homescan and Consumer Expenditure Survey
10.1093/erae/jbu033,European Review of Agricultural Economics,pub-561c46c92dccdc9e91f3,dataset-114d72893306f1c4e103,Simulating welfare effects of the European nutrition and health claims’ regulation: the Italian yogurt market
10.1080/00036846.2011.568397,Applied Economics,pub-d0249fa49dcde53d1634,dataset-114d72893306f1c4e103,Demand for carbonated soft drinks: implications for obesity policy
10.2202/1542-0485.1353,Journal of Agricultural & Food Industrial Organization,pub-1f9e919e5d9adfc3b8bb,dataset-114d72893306f1c4e103,Tax Incidence When Quality Matters: Evidence from the Beer Market
10.2202/1542-0485.1296,Journal of Agricultural & Food Industrial Organization,pub-980f410c5c2e9f6c6ff9,dataset-114d72893306f1c4e103,The Effect of Proposition 2 on the Demand for Eggs in California
10.1111/j.1467-6451.2008.00330.x,Journal of Industrial Economics,pub-292b00190ece941c0d4b,dataset-114d72893306f1c4e103,PRICE COMPETITION IN U.S. BREWING*
10.1016/j.ijindorg.2006.12.003,International Journal of Industrial Organization,pub-5d7e14da2829d4178e65,dataset-114d72893306f1c4e103,Demand for differentiated products: Price and advertising evidence from the U.S. beer market
10.1017/s1074070800022574,Journal of Agricultural and Applied Economics,pub-16773bff393ad730ad3d,dataset-114d72893306f1c4e103,Firm-Level Competition in Price and Variety
10.1111/j.1467-9353.2006.00317.x,Review of Agricultural Economics,pub-16312c622b91081e443c,dataset-114d72893306f1c4e103,Sales Responses to Recalls for Listeria monocytogenes: Evidence from Branded Ready‐to‐Eat Meats
10.1111/j.1574-0862.2006.00136.x,Agricultural Economics,pub-6605c62ed420dd59a1af,dataset-114d72893306f1c4e103,Strategic pricing in a differentiated product oligopoly model: fluid milk in Boston
10.1016/j.ijresmar.2004.08.002,International Journal of Research in Marketing,pub-6820b0fd98c61b113237,dataset-114d72893306f1c4e103,Modelling and forecasting brand share: A dynamic demand system approach
10.1007/s11745-004-1195-5,Lipids,pub-322dd835a162646e365f,dataset-114d72893306f1c4e103,"Trans, saturated, and unsaturated fat in foods in the united states prior to mandatory trans-fat labeling"
10.1016/j.appet.2017.07.006,Appetite,pub-fafa0e81b6bae9395ebe,dataset-f442e418ac191ac60f7f,Deal or no deal? The prevalence and nutritional quality of price promotions among U.S. food and beverage purchases
10.1016/j.jand.2017.01.011,Journal of the Academy of Nutrition and Dietetics,pub-5daf260399119f86014f,dataset-f442e418ac191ac60f7f,"No Fat, No Sugar, No Salt . . . No Problem? Prevalence of “Low-Content” Nutrient Claims and Their Associations with the Nutritional Profile of Food and Beverage Purchases in the United States"
10.1016/j.foodqual.2011.02.009,Food Quality and Preference,pub-3400717c3058d7363867,dataset-f442e418ac191ac60f7f,External validity of the food values scale
10.1177/0890117117740935,American Journal of Health Promotion,pub-844cf3925cb51a93b350,dataset-f442e418ac191ac60f7f,"Chronic Disease, Prescription Medications, and Food Purchases"
10.1016/j.econlet.2019.05.020,Economics Letters,pub-89d2809337e17b5701ce,dataset-114d72893306f1c4e103,"Competition, business cycles, and price flexibility in grocery stores"
10.1016/j.ijindorg.2018.12.001,International Journal of Industrial Organization,pub-db3ad51b64103ba85fc8,dataset-114d72893306f1c4e103,Impact of Mandated Exclusive Territories in the US Brewing Industry Evidence from scanner level data
10.1162/00335530151144113,The Quarterly Journal of Economics,pub-d4df9083010934c975f5,dataset-70f4f8e984fee6dc2fee,Moving to Opportunity in Boston: Early Results of a Randomized Mobility Experiment
10.1177/0307920107073250,SAGE Race Relations Abstracts,pub-9f5ba243d13c44bd7187,dataset-f5705a632a30d970e9df,"Neighborhoods, Race, and Recidivism: The Community-Reoffending Nexus and its Implications for African Americans"
10.1177/0307920107073250,SAGE Race Relations Abstracts,pub-9f5ba243d13c44bd7187,dataset-7cf4e4a404cd76f34787,"Neighborhoods, Race, and Recidivism: The Community-Reoffending Nexus and its Implications for African Americans"
10.1177/0307920107073250,SAGE Race Relations Abstracts,pub-9f5ba243d13c44bd7187,dataset-b5ed7d0930d447640100,"Neighborhoods, Race, and Recidivism: The Community-Reoffending Nexus and its Implications for African Americans"
10.1177/0307920107073250,SAGE Race Relations Abstracts,pub-9f5ba243d13c44bd7187,dataset-0a082a15c7fef233f003,"Neighborhoods, Race, and Recidivism: The Community-Reoffending Nexus and its Implications for African Americans"
10.1162/0033553053327470,The Quarterly Journal of Economics,pub-fbc4be69b4ac036a0159,dataset-7ec116b476030b5fe477,Neighborhood Effects on Crime for Female and Male Youth: Evidence from a Randomized Housing Voucher Experiment
10.1162/0033553053327470,The Quarterly Journal of Economics,pub-fbc4be69b4ac036a0159,dataset-4fc45ac559f22b6bd5a7,Neighborhood Effects on Crime for Female and Male Youth: Evidence from a Randomized Housing Voucher Experiment
10.1162/00335530151144122,The Quarterly Journal of Economics,pub-66727e7b580bf0372ef2,dataset-7ec116b476030b5fe477,Urban Poverty and Juvenile Crime: Evidence from a Randomized Housing-Mobility Experiment
10.1162/00335530151144122,The Quarterly Journal of Economics,pub-66727e7b580bf0372ef2,dataset-4fc45ac559f22b6bd5a7,Urban Poverty and Juvenile Crime: Evidence from a Randomized Housing-Mobility Experiment
10.2307/4126683,ILR Review,pub-086d214cb564d05afca7,dataset-ede13585b470dddf2a61,Escaping Low Earnings: The Role of Employer Characteristics and Changes
10.1016/j.jeconom.2010.09.008,Journal of Econometrics,pub-b48f06bd57380c643d46,dataset-ede13585b470dddf2a61,National estimates of gross employment and job flows from the Quarterly Workforce Indicators with demographic and industry detail
10.1016/j.jeconom.2010.09.008,Journal of Econometrics,pub-b48f06bd57380c643d46,dataset-70f4f8e984fee6dc2fee,National estimates of gross employment and job flows from the Quarterly Workforce Indicators with demographic and industry detail
