doi,journal,title,dataset_name
,BBk Discussion Paper,Cyclical investment behavior across financial institutions,Securities Holdings Statistics - Base
,BBk Discussion Paper,Fundamentals matter: Idiosyncratic shocks and interbank relations,MiMiK
,BBk Discussion Paper,Fundamentals matter: Idiosyncratic shocks and interbank relations,Monthly balance sheet statistics
,BBk Discussion Paper,Fundamentals matter: Idiosyncratic shocks and interbank relations,BAKIS-M
,BBk Discussion Paper,Arbitraging the Basel securitization framework: Evidence from German ABS investment,Securities Holdings Statistics - Base
,BBk Discussion Paper,The winner's curse: Evidence on the danger of aggressive credit growth in banking,BAKIS-M
,BBk Discussion Paper,Cutting the credit line: Evidence from Germany,MiMiK
,BBk Discussion Paper,Cutting the credit line: Evidence from Germany,Corporate balance sheets
,BBk Discussion Paper,Cutting the credit line: Evidence from Germany,BAKIS-M
,BBk Discussion Paper,Who trades on momentum?,Securities Holdings Statistics - Base
,BBk Discussion Paper,Loan loss provisioning and procyclicality: Evidence from an expected loss model,BAKIS-M
,BBk Discussion Paper,Pro-cyclical capital regulation and lending,MiMiK
,BBk Discussion Paper,Pro-cyclical capital regulation and lending,BAKIS-M
,BBk Discussion Paper,A network analysis of the evolution of the German interbank market,MiMiK
,BBk Discussion Paper,"Interbank lending and distress: Observables, unobservables, and network structure",Monthly balance sheet statistics
,BBk Discussion Paper,"Wealth shocks, credit-supply shocks, and asset allocation: Evidence from household and firm portfolios",Securities Holdings Statistics - Base
,BBk Discussion Paper,"Market timing, maturity mismatch, and risk management: Evidence from the banking industry",BAKIS-M
,BBk Discussion Paper,Changing forces of gravity: How the crisis affected international banking,External Position of Banks
,BBk Discussion Paper,Cash holdings of German open-end equity funds: Does ownership matter?,Investment Funds Statistics - Base
,BBk Discussion Paper,Is proprietary trading detrimental to retail investors?,Securities Holdings Statistics - Base
,BBk Discussion Paper,Testing the O-ring theory for FDI,Microdatabase Direct Investment
,BBk Discussion Paper,Evaluation of minimum capital requirements for bank loans to SMEs,Corporate balance sheets
,BBk Discussion Paper,Does non-interest income make banks more risky? Retail- versus investment-oriented banks,BAKIS-M
,BBk Discussion Paper,The determinants of service imports: The role of cost pressure and financial constraints,Statistics on International Trade in Services
,BBk Discussion Paper,The determinants of service imports: The role of cost pressure and financial constraints,Microdatabase Direct Investment
,BBk Discussion Paper,Tax incentives and capital structure choice: Evidence from Germany,Monthly balance sheet statistics
,BBk Discussion Paper,The PHF: A comprehensive panel survey on household finances and wealth in Germany,Panel on Household Finances
,BBk Discussion Paper,Bank-related loan supply factors during the crisis: An analysis based on the German bank lending survey,Bank Lending Survey
,BBk Discussion Paper,The use of tax havens in exemption regimes,Microdatabase Direct Investment
,BBk Discussion Paper,"Crises, rescues, and policy transmission through international banks",External Position of Banks
,BBk Discussion Paper,Improvements in rating models for the German corporate sector,Corporate balance sheets
,BBk Discussion Paper,"Portfolio holdings in the euro area - home bias and the role of international, domestic and sector-specific factors",Securities Holdings Statistics - Base
,BBk Discussion Paper,Are there disadvantaged clienteles in mutual funds?,Securities Holdings Statistics - Base
,BBk Discussion Paper,Do specialization benefits outweigh concentration risks in credit portfolios of German banks?,Quarterly borrower statistics
,BBk Discussion Paper,Do banks benefit from internationalization? Revisiting the market power-risk nexus,External Position of Banks
,BBk Discussion Paper,What drives portfolio investments of German banks in emerging capital markets?,External Position of Banks
,BBk Discussion Paper,Exports versus FDI revisited: does finance matter?,Microdatabase Direct Investment
,"CESifo Working Paper Series No. 5500, available at SSRN Electronic Journal: https://ssrn.com/abstract=2669368","Tax vs. Regulation Policy and the Location of ,Financial Sector FDI*",Microdatabase Direct Investment
,"CESifo DICE Report 4/2015, pp. 41-47",Environmental Regulation and Foreign Direct Investment: The Role of the Mode of Entry,Microdatabase Direct Investment
,available at SSRN Electronic Journal : https://ssrn.com/abstract=2868283,European climate policy and industrial relocation: Evidence from German multinational firms,Microdatabase Direct Investment
,ZEW Discussion Paper (No. 18-004),Tax Influence on Financial Structures of M&As,Microdatabase Direct Investment
,Working Paper,Corporation Taxes and the Debt Policy of Multinational Firms ‚Äì Evidence from German Multinationals,Microdatabase Direct Investment
,Working Paper,Tax Status and Tax Response Heterogeneity of Multinationals‚Äô Dept Finance,Microdatabase Direct Investment
,Working Paper,"Bilateral Internal Debt Financing, Tax Planning, and the Effectiveness of Anti-Tax Avoidance Rules",Microdatabase Direct Investment
,CESifo Working Paper No. 2517,How Low Business Tax Rates Attract Multinational Headquarters: Municipality-Level Evidence from Germany,Microdatabase Direct Investment
,Working Paper,Intercompany Loans and Profit Shifting ‚Äì Evidence from Company-Level Data,Microdatabase Direct Investment
,Working Paper,Why is the Response of Multinationals‚Äô Capital Structure Choice to Tax Incentives That Low? Some Possible Explanations,Microdatabase Direct Investment
,Working Paper,The Taxation of Passive Foreign Investment: Lessons from German Experience,Microdatabase Direct Investment
,Working Paper,Network and Border Effects: Where Do Foreign Multinationals Locate in Germany?,Microdatabase Direct Investment
,Working Paper,How Can Firms choose their Leverage? ‚Äì Tax Planning for Implementing Tax Induced Debt Finance,Microdatabase Direct Investment
,Working Paper,Thin-capitalization rules and company responses: Experience from German legislation,Microdatabase Direct Investment
,Working Paper,What determines the use of holding companies and ownership chains?,Microdatabase Direct Investment
,Working Paper,"Offshoring and the Onshore Composition of Occupations, Tasks and Skills",Microdatabase Direct Investment
,Working Paper,Who Goes East? The Impact of Enlargement on the Patterns of German FDI,Microdatabase Direct Investment
,Working Paper,Transfer Pricing of Intrafirm Sales as a Profit Shifting Channel - Evidence from German Firm Data,Microdatabase Direct Investment
,Working Paper, Taxes and the financial structure of German outbound FDI,Microdatabase Direct Investment
,DIW Vierteljahreshefte zur Wirtschaftsforschung,Zur Finanziellen Bildung der Privaten Haushalte in Deutschland: Ergebnisse der Studie ‚ÄúPrivate Haushalte und ihre Finanzen (PHF)‚Äú,Panel on Household Finances
,Journal of Banking and Finance,An analysis of the consistency of banks‚Äô internal ratings,MiMiK
,Schmollers Jahrbuch,Combined Firm Data for Germany - Possibilities and Consequences of Merging Firm Data from Different Data Producers,Microdatabase Direct Investment
,Schmollers Jahrbuch,Combined Firm Data for Germany - Possibilities and Consequences of Merging Firm Data from Different Data Producers,Corporate balance sheets
,Schmollers Jahrbuch,KombiFiD: A First Glimpse of the Bundesbank Data,Microdatabase Direct Investment
,Schmollers Jahrbuch,KombiFiD: A First Glimpse of the Bundesbank Data,Corporate balance sheets
,World Economy,Extra Credit: Bank Finance and Firm Export Status in Germany,MiMiK
,World Economy,Extra Credit: Bank Finance and Firm Export Status in Germany,Corporate balance sheets
,Economic Modelling,Why does bank credit not drive money in Germany (any more)?,Monthly balance sheet statistics
,Credit and Capital Markets,The payout behavior of German savings banks,Monthly balance sheet statistics
,The Journal of Financial Perspectives,German Banks in Financial Centers: How Risky is Their Business?,External Position of Banks
,The Journal of Financial Perspectives,German Banks in Financial Centers: How Risky is Their Business?,Monthly balance sheet statistics
,IMF Economic Review,What Determines the Composition of International Bank Flows?,External Position of Banks
,IMF Economic Review,What Determines the Composition of International Bank Flows?,Monthly balance sheet statistics
,IMF Economic Review,International Banking and Liquidity Risk Transmission: Evidence from Germany,External Position of Banks
,IMF Economic Review,International Banking and Liquidity Risk Transmission: Evidence from Germany,Monthly balance sheet statistics
,Journal of the European Economic Association,Price Level Changes and the Redistribution of Nominal Wealth Across the Euro Area,Panel on Household Finances
,Economic Policy (formerly: Economic Policy: A European Forum),You‚Äôre banned! The effect of sanctions on German cross-border financial flows,Statistics on International Trade in Services
,Journal of Banking and Finance,Do all new brooms sweep clean? Evidence for outside bank appointments,BAKIS-M
,GERMAN Economic Review,Banks' Interest Rate Risk and Search for Yield: A Theoretical Rationale and Some Empirical Evidence,Monthly balance sheet statistics
,GERMAN Economic Review,Banks' Interest Rate Risk and Search for Yield: A Theoretical Rationale and Some Empirical Evidence,BAKIS-M
,GERMAN Economic Review,Banks' Interest Rate Risk and Search for Yield: A Theoretical Rationale and Some Empirical Evidence,Statistics of the banks’ profit and loss accounts
,Journal of Official Statistics,The influence of an up-front experiment on respondents' recording behaviour in payment diaries: Evidence from Germany,Payment behaviour in Germany
,Journal of Banking and Finance,Cyclicality of SME lending and government involvement in banks,Monthly balance sheet statistics
,Journal of Banking and Finance,Cyclicality of SME lending and government involvement in banks,Statistics of the banks’ profit and loss accounts
,Journal of Financial Stability,The credit quality channel: Modeling contagion in the interbank market,MiMiK
,Journal of Income Distribution,Bracket creep revisited - with and without r>g: Evidence from Germany,Panel on Household Finances
,Review of Finance (formerly: European Finance Review),"Do exposures to sagging real estate, subprime or conduits abroad lead to contraction and flight to quality in bank lending at home?",BAKIS-M
,Review of Finance (formerly: European Finance Review),"Do exposures to sagging real estate, subprime or conduits abroad lead to contraction and flight to quality in bank lending at home?",Monthly balance sheet statistics
,Review of Finance (formerly: European Finance Review),"Do exposures to sagging real estate, subprime or conduits abroad lead to contraction and flight to quality in bank lending at home?",MiMiK
,Journal of Financial Economics,Securities trading by banks and credit supply: Micro-evidence,Monthly balance sheet statistics
,Journal of Financial Economics,Securities trading by banks and credit supply: Micro-evidence,BAKIS-M
,Journal of Financial Economics,Securities trading by banks and credit supply: Micro-evidence,Monthly balance sheet statistics
,Journal of Financial Economics,Securities trading by banks and credit supply: Micro-evidence,MiMiK
,Journal of Financial Economics,Securities trading by banks and credit supply: Micro-evidence,Securities Holdings Statistics - Base
,Journal of Financial Economics,Securities trading by banks and credit supply: Micro-evidence,MiMiK
,International Journal of Central Banking,Centrality-based capital allocations,BAKIS-M
,International Journal of Central Banking,Centrality-based capital allocations,Monthly balance sheet statistics
,International Journal of Central Banking,Centrality-based capital allocations,Quarterly borrower statistics
,International Journal of Central Banking,Centrality-based capital allocations,MiMiK
,Journal of Banking and Finance,Taxing banks: An evaluation of the German bank levy,Monthly balance sheet statistics
,Journal of Banking and Finance,Taxing banks: An evaluation of the German bank levy,Statistics of the banks’ profit and loss accounts
,Journal of Banking and Finance,Taxing banks: An evaluation of the German bank levy,MFI Interest Rate Statistics
,Financial Markets and Portfolio Management (formerly: Finanzmarkt und Portfolio Management),Quantifying the components of the banks' net interest margin,Monthly balance sheet statistics
,Financial Markets and Portfolio Management (formerly: Finanzmarkt und Portfolio Management),Quantifying the components of the banks' net interest margin,Statistics of the banks’ profit and loss accounts
,Financial Markets and Portfolio Management (formerly: Finanzmarkt und Portfolio Management),Quantifying the components of the banks' net interest margin,BAKIS-M
,International Journal of Central Banking,Consumer cash usage: A cross-country comparison with payment diary survey data,Payment behaviour in Germany
,Journal of Banking and Finance,Earnings baths by bank CEOs during turnovers,BAKIS-M
,Journal of Banking and Finance,The role of interbank relationships and liquidity needs,MiMiK
,Journal of Banking and Finance,The role of interbank relationships and liquidity needs,Monthly balance sheet statistics
,Review of Finance (formerly: European Finance Review),Bank risk taking and competition: Evidence from regional banking markets,Monthly balance sheet statistics
,Journal of Financial Stability,Banks and sovereign risk: A granular view,Monthly balance sheet statistics
,Journal of Financial Stability,Banks and sovereign risk: A granular view,BAKIS-M
,Journal of Financial Stability,Banks and sovereign risk: A granular view,Securities Holdings Statistics - Base
,Journal of Financial Stability,Banks and sovereign risk: A granular view,Statistics of the banks’ profit and loss accounts
,Journal of Banking and Finance,Is local bias a cross-border phenomenon? Evidence from individual investors' international asset allocation,Securities Holdings Statistics - Base
,BBk Discussion Paper,Repo funding and internal capital markets in the financial crisis,Monthly balance sheet statistics
,International Review of Economics and Finance,Diversification and determinants of international credit portfolios: Evidence from German banks,External Position of Banks
,Journal of Banking and Finance,Determinants of bank interest margins: Impact of maturity transformation,Monthly balance sheet statistics
,European Journal of Finance,Home-field advantage or a matter of ambiguity aversion? Local bias among German individual investors,Securities Holdings Statistics - Base
,"Journal of Money, Credit and Banking","Using cash to monitor liquidity: Implications for payments, currency demand and withdrawal behavior",Payment behaviour in Germany
,Journal of Financial Stability,Contagion in the interbank market and its determinants,BAKIS-M
,Financial Markets and Portfolio Management (formerly: Finanzmarkt und Portfolio Management),Bank management of the net interest margin: new measures,Monthly balance sheet statistics
,Financial Markets and Portfolio Management (formerly: Finanzmarkt und Portfolio Management),Bank management of the net interest margin: new measures,BAKIS-M
,Financial Markets and Portfolio Management (formerly: Finanzmarkt und Portfolio Management),Bank management of the net interest margin: new measures,Statistics of the banks’ profit and loss accounts
,Journal of Banking and Finance,Are banks using hidden reserves to beat earnings benchmarks? Evidence from Germany,BAKIS-M
,Journal of Banking and Finance,"Banks' exposure to interest rate risk, their earnings from term transformation, and the dynamics of the term structure",Monthly balance sheet statistics
,Journal of Banking and Finance,"Banks' exposure to interest rate risk, their earnings from term transformation, and the dynamics of the term structure",BAKIS-M
,European Journal of Finance,Purchase and redemption decisions of mutual fund investors and the role of fund families,Investment Funds Statistics - Base
,Empirical Economics,Choosing and using payment instruments: evidence from German microdata,Payment behaviour in Germany
,BBk Discussion Paper,Financial constraints and the margins of FDI,Microdatabase Direct Investment
,BBk Discussion Paper,Export-Supporting FDI,Microdatabase Direct Investment
,BBk Discussion Paper,Does lowering dividend tax rates increase dividends repatriated?: evidence of intra-firm cross-border dividend repatriation policies by German Multinational Enterprises,Microdatabase Direct Investment
,BBk Discussion Paper,Does lowering dividend tax rates increase dividends repatriated?: evidence of intra-firm cross-border dividend repatriation policies by German Multinational Enterprises,Statistics on International Trade in Services
,BBk Discussion Paper,The cross-section of firms over the business cycle: new facts and a DSGE exploration,Corporate balance sheets
,BBk Discussion Paper,What macroeconomic shocks affect the German banking system? Analysis in an integrated micro-macro model,Monthly balance sheet statistics
,BBk Discussion Paper,What macroeconomic shocks affect the German banking system? Analysis in an integrated micro-macro model,Annual Distress Database of the Deutsche Bundesbank
,BBk Discussion Paper,Firm-specific productivity risk over the business cycle: facts and aggregate implications,Corporate balance sheets
,European Financial Management,The dependency of the banks' assets and liabilities: evidence from Germany,Monthly balance sheet statistics
,European Financial Management,The dependency of the banks' assets and liabilities: evidence from Germany,BAKIS-M
,European Financial Management,The dependency of the banks' assets and liabilities: evidence from Germany,Monthly balance sheet statistics
,European Financial Management,The dependency of the banks' assets and liabilities: evidence from Germany,Statistics of the banks’ profit and loss accounts
,BBk Discussion Paper,"Margins of international banking: is there a productivity pecking order in banking, too?",External Position of Banks
,BBk Discussion Paper,"Margins of international banking: is there a productivity pecking order in banking, too?",Monthly balance sheet statistics
,BBk Discussion Paper,"Margins of international banking: is there a productivity pecking order in banking, too?",Statistics of the banks’ profit and loss accounts
,Journal of Business Finance and Accounting,"Visible Reserves in Banks ‚Äì Determinants of Initial Creation, Usage and Contribution to Bank Stability",BAKIS-M
,BBk Discussion Paper,Determinants for using visible reserves in German banks: an empirical study,BAKIS-M
,BBk Discussion Paper,The dark and the bright side of liquidity risks: evidence from open-end real estate funds in Germany,Investment Funds Statistics - Base
,Schmalenbach Business Review,Income Structure and Bank Business Models: Evidence on Performance and Stability from the German Banking Industry,BAKIS-M
,BBk Discussion Paper,Why do savings banks transform sight deposits into illiquid assets less intensively than the regulation allows?,Monthly balance sheet statistics
,BBk Discussion Paper,Shocks at large banks and banking sector distress: the Banking Granular Residual,Annual Distress Database of the Deutsche Bundesbank
,BBk Discussion Paper,The effects of privatization and consolidation on bank productivity: comparative evidence from Italy and Germany,Monthly balance sheet statistics
,BBk Discussion Paper,The effects of privatization and consolidation on bank productivity: comparative evidence from Italy and Germany,Statistics of the banks’ profit and loss accounts
,BBk Discussion Paper,Who is afraid of political risk? Multinational firms and their choice of capital structure,Microdatabase Direct Investment
,BBk Discussion Paper,The price of liquidity: bank characteristics and market conditions,Monthly balance sheet statistics
,BBk Discussion Paper,Sturm und Drang in money market funds: when money market funds cease to be narrow,Investment Funds Statistics - Base
,BBk Discussion Paper,Real estate markets and bank distress,Monthly balance sheet statistics
,BBk Discussion Paper,Real estate markets and bank distress,Statistics of the banks’ profit and loss accounts
,BBk Discussion Paper,Real estate markets and bank distress,MiMiK
,BBk Discussion Paper,Stress testing of real credit portfolios,MiMiK
,BBk Discussion Paper,The implications of latent technology regimes for competition and efficiency in banking,Monthly balance sheet statistics
,BBk Discussion Paper,Foreign (in)direct investment and corporate taxation,Microdatabase Direct Investment
,BBk Discussion Paper,Great moderation at the firm level? Unconditional versus conditional output volatility,Corporate balance sheets
,International Journal of Banking Account and Finance,Which interest rate scenario is the worst one for a bank? Evidence from a tracking bank approach for German savings and cooperative banks,Monthly balance sheet statistics
,BBk Discussion Paper,The success of bank mergers revisited: an assessment based on a matching strategy,Monthly balance sheet statistics
,BBk Discussion Paper,The success of bank mergers revisited: an assessment based on a matching strategy,Statistics of the banks’ profit and loss accounts
,BBk Discussion Paper,The success of bank mergers revisited: an assessment based on a matching strategy,Zentralkartei Banken (ZentK)
,Journal of Financial Stability,Monetary policy and financial (in)stability: An integrated micro‚Äìmacro approach,Monthly balance sheet statistics
,Journal of Financial Stability,Monetary policy and financial (in)stability: An integrated micro‚Äìmacro approach,Statistics of the banks’ profit and loss accounts
,Journal of Financial Stability,Monetary policy and financial (in)stability: An integrated micro‚Äìmacro approach,Zentralkartei Banken (ZentK)
,BBk Discussion Paper,The impact of thin-capitalization rules on multinationals' financing and investment decisions,Microdatabase Direct Investment
,BBk Discussion Paper,Analyzing the interest rate risk of banks using time series of accounting-based data: evidence from Germany,Monthly balance sheet statistics
,BBk Discussion Paper,Volatile multinationals? Evidence from the labor demand of German firms,Microdatabase Direct Investment
,BBk Discussion Paper,"Corporate marginal tax rate, tax loss carryforwards and investment functions: empirical analysis using a large German panel data set",Corporate balance sheets
,BBk Discussion Paper,Creditor concentration: an empirical investigation,Corporate balance sheets
,BBk Discussion Paper,Creditor concentration: an empirical investigation,BAKIS-M
,BBk Discussion Paper,Creditor concentration: an empirical investigation,MiMiK
,BBk Discussion Paper,Relationship lending: empirical evidence for Germany,Corporate balance sheets
,BBk Discussion Paper,Relationship lending: empirical evidence for Germany,BAKIS-M
,BBk Discussion Paper,Relationship lending: empirical evidence for Germany,MiMiK
,BBk Discussion Paper,Banking consolidation and small businessfinance: empirical evidence for Germany,Corporate balance sheets
,BBk Discussion Paper,Banking consolidation and small businessfinance: empirical evidence for Germany,BAKIS-M
,BBk Discussion Paper,Banking consolidation and small businessfinance: empirical evidence for Germany,MiMiK
,Journal of Financial Intermediation,How do banks adjust their capital ratios? Evidence from Germany,BAKIS-M
,BBk Discussion Paper,Diversification and the banks' risk-return-characteristics: evidence from loan portfolios of German banks,BAKIS-M
,Journal of Financial Stability,Slippery slopes of stress: ordered failure events in German banking,Monthly balance sheet statistics
,Journal of Financial Stability,Slippery slopes of stress: ordered failure events in German banking,Statistics of the banks’ profit and loss accounts
,Journal of Financial Stability,Slippery slopes of stress: ordered failure events in German banking,Zentralkartei Banken (ZentK)
,BBk Discussion Paper,"Efficient, profitable and safe banking: an oxymoron? Evidence from a panel VAR approach",Monthly balance sheet statistics
,BBk Discussion Paper,"Efficient, profitable and safe banking: an oxymoron? Evidence from a panel VAR approach",Statistics of the banks’ profit and loss accounts
,BBk Discussion Paper,Granularity adjustment for Basel II,MiMiK
,BBk Discussion Paper,Industries and the bank lending effects of bank credit demand and monetary policy in Germany,Monthly balance sheet statistics
,BBk Discussion Paper,Industries and the bank lending effects of bank credit demand and monetary policy in Germany,MiMiK
,BBk Discussion Paper,Does trade openness increase firm-level volatility?,Corporate balance sheets
,BBk Discussion Paper,The within-distribution business cycle dynamics of German firms,Corporate balance sheets
,BBk Discussion Paper,Margins of multinational labor substitution,Microdatabase Direct Investment
,BBk Discussion Paper,Margins of multinational labor substitution,Corporate balance sheets
,BBk Discussion Paper,How would formula apportionment in the EU affect the distribution and the size of the corporate tax base? An analysis based on German multinationals,Microdatabase Direct Investment
,BBk Discussion Paper,Internalization and internationalization under copeting real options,Microdatabase Direct Investment
,BBk Discussion Paper,Foreign direct investment in the enlarged EU: do taxes matter and to what extent?,Microdatabase Direct Investment
,BBk Discussion Paper,The cost efficiency of German banks: a comparison of SFA and DEA,Monthly balance sheet statistics
,BBk Discussion Paper,The cost efficiency of German banks: a comparison of SFA and DEA,Statistics of the banks’ profit and loss accounts
,BBk Discussion Paper,Sector concentration in loan portfolios and economic capital,MiMiK
,BBk Discussion Paper,The stability of efficiency rankings when risk-preferences and objectives are different,Monthly balance sheet statistics
,BBk Discussion Paper,The stability of efficiency rankings when risk-preferences and objectives are different,Statistics of the banks’ profit and loss accounts
,BBk Discussion Paper,"Banks' regulatory buffers, liquidity networks and monetary policy transmission",BAKIS-M
,BBk Discussion Paper,Does diversification improve the performance of German banks? Evidence from individual bank loan portfolios,BAKIS-M
,BBk Discussion Paper,Does diversification improve the performance of German banks? Evidence from individual bank loan portfolios,MiMiK
,BBk Discussion Paper,Heterogeneity in lending and sectoral growth: evidence from German bank-level data,BAKIS-M
,BBk Discussion Paper,Heterogeneity in lending and sectoral growth: evidence from German bank-level data,MiMiK
,BBk Discussion Paper,Heterogeneity in lending and sectoral growth: evidence from German bank-level data,Monthly balance sheet statistics
,BBk Discussion Paper,Exports versus FDI in German manufacturing: firm performance and participation in international markets,Microdatabase Direct Investment
,BBk Discussion Paper,Going multinational: What are the effects on home market performance?,Corporate balance sheets
,BBk Discussion Paper,Going multinational: What are the effects on home market performance?,Microdatabase Direct Investment
,BBk Discussion Paper,Finance and growth in a bank-based economy: is it quantity or quality that matters?,MiMiK
,BBk Discussion Paper,Trade balances of the central and east European EU member states and the role of foreign direct investment,Microdatabase Direct Investment
,BBk Discussion Paper,The cross-sectional dynamics of German business cycles: a bird's eye view,Corporate balance sheets
,BBk Discussion Paper,Inefficient or just different? Effects of heterogeneity on bank efficiency scores,Monthly balance sheet statistics
,BBk Discussion Paper,Inefficient or just different? Effects of heterogeneity on bank efficiency scores,Statistics of the banks’ profit and loss accounts
,BBk Discussion Paper,Time series properties of a rating system based on financial ratios,Corporate balance sheets
,BBk Discussion Paper,Evaluating the German bank merger wave,Monthly balance sheet statistics
,BBk Discussion Paper,Evaluating the German bank merger wave,Statistics of the banks’ profit and loss accounts
,BBk Discussion Paper,Evaluating the German bank merger wave,Zentralkartei Banken (ZentK)
,BBk Discussion Paper,The eurosystem money market auctions: a banking perspective,Monthly balance sheet statistics
,BBk Discussion Paper,Accounting for distress in bank mergers,Monthly balance sheet statistics
,BBk Discussion Paper,Accounting for distress in bank mergers,Statistics of the banks’ profit and loss accounts
,BBk Discussion Paper,Accounting for distress in bank mergers,Zentralkartei Banken (ZentK)
,BBk Discussion Paper,Business cycles and FDI: evidence from German sectoral data,Microdatabase Direct Investment
,BBk Discussion Paper,German bank lending to industrial and non-industrial countries: driven by fundamentals or different treatment?,MiMiK
, Review of World Economics (Weltwirtschaftliches Archiv) ,Taxes and the financial structure of German inward FDI,Microdatabase Direct Investment
,BBk Discussion Paper,Do banks diversify loan portfolios? A tentative answer based on individual bank loan portfolios,Quarterly borrower statistics
,BBk Discussion Paper,Measurement matters: Input price proxies and bank efficiency in Germany,Monthly balance sheet statistics
,BBk Discussion Paper,Measurement matters: Input price proxies and bank efficiency in Germany,Statistics of the banks’ profit and loss accounts
,BBk Discussion Paper,Clustering or competition? The foreign investment behaviour of German banks,Microdatabase Direct Investment
,BBk Discussion Paper,Clustering or competition? The foreign investment behaviour of German banks,Monthly balance sheet statistics
,BBk Discussion Paper,Clustering or competition? The foreign investment behaviour of German banks,Statistics of the banks’ profit and loss accounts
,BBk Discussion Paper,How will Basel II affect bank lending to emerging markets? An analysis based on German bank level data,MiMiK
,BBk Discussion Paper,FDI versus cross-border financial services: The globalisation of German banks,Microdatabase Direct Investment
