access_requirements,source_url,data_classification,data_provider,data_steward,adrf_id,geographical_coverage,geographical_unit,category,temporal_coverage_end,dataset_citation,external_id,data_usage_policy,filenames,access_actions_required,reference_url,data_steward_org,keywords,temporal_coverage_start,title,dataset_version,alias,dataset_documentation,dataset_header_desc,description,related_articles,source_archive
OnSite,,Restricted,"Deutsche Bundesbank, Statistics Department (S), Monetary and financial statistics (S 1), Cross-sectional tasks and secondary statistics (S 14), Secondary statistics (S 14-3)",Deutsche Bundesbank,,,,"BalanceSheet,BanksDepositoryInstitutions",,"Deutsche Bundesbank. 2017. Statistics of the banks’ profit and loss accounts. http://www.bundesbank.de/Redaktion/EN/Standardartikel/Bundesbank/Research_Centre/research_data_micro_data_guv.html, 1 [Version].",inexda.4.4,,,,http://www.bundesbank.de/Redaktion/EN/Standardartikel/Bundesbank/Research_Centre/research_data_micro_data_guv.html,"Deutsche Bundesbank, Statistics Department (S), Monetary and financial statistics (S 1), Cross-sectional tasks and secondary statistics (S 14), Secondary statistics (S 14-3)","MFI,banks,profit,loss,return on equity",,Statistics of the banks’ profit and loss accounts,1,GUV,,,"The statistics of the banks’ profit and loss accounts are compiled using data on the income and expenses of German MFIs. In addition they include the calculation of balance sheet profits and losses, their main components, as well as ratios such as the return on equity. This involves the evaluation of the profits and losses calculated from the annual accounts which the banks must submit to the Bundesbank pursuant to section 26 of the German Banking Act (Kreditwesengesetz).",,Deutsche Bundesbank Research Data Centre
OnSite,,Restricted,"Deutsche Bundesbank, Statistik (S2, S22, S223)",Deutsche Bundesbank,,"German States,World (Countries)",,"BalanceSheet,Non-financialCorporations,InternationalBusiness",,"Deutsche Bundesbank. 2017. Microdatabase Direct Investment. https://www.bundesbank.de/Redaktion/EN/Standardartikel/Bundesbank/Research_Centre/research_data_micro_data_midi.html, 1 [Version].",inexda.4.6,,,,https://www.bundesbank.de/Redaktion/EN/Standardartikel/Bundesbank/Research_Centre/research_data_micro_data_midi.html,"Deutsche Bundesbank, Statistik (S2, S22, S223)",,,Microdatabase Direct Investment,1,MIDI,,,"The MiDi is a collection of individual (i.e. firm-to-firm or private individuals-to-firms) investment relations originally collected to calculate aggregate measures of German foreign direct investment (FDI). It is based on an annual data collection on foreign direct investment stocks that was established by the Deutsche Bundesbank in 1976 in accordance with the German Foreign Trade and Payments Regulation (""Aussenwirtschaftsverordnung""), with the intention to get a better and more accurate picture of the structure and scope of inward and outward FDI of German enterprises. Since 1996, individual companies can be traced over time, which made it possible to prepare a micro-level panel dataset for research purposes. Due to changes in data protection regulation, the available anonymized research data covers all years from 1999 until the respective last currently processed year.",,Deutsche Bundesbank Research Data Centre
OnSite,,Restricted,"Deutsche Bundesbank, Statistics Department (S), S21",Deutsche Bundesbank,,"Reporting Agents: Germany,Service Transactions: Worldwide",,"BanksDepositoryInstitutions,Non-financialCorporations,InternationalBusiness",2015-12,"Deutsche Bundesbank. 2017. Statistics on International Trade in Services. http://www.bundesbank.de/Redaktion/EN/Standardartikel/Bundesbank/Research_Centre/research_data_micro_data_sits.html, 1 [Version].",inexda.4.11,,,,http://www.bundesbank.de/Redaktion/EN/Standardartikel/Bundesbank/Research_Centre/research_data_micro_data_sits.html,"Deutsche Bundesbank, Statistics Department (S), S21","International cross border trade,service exports,service imports,SITS",2001-01,Statistics on International Trade in Services,1,SITS,,,"Germany’s Statistics on International Trade in Services are collected by the Deutsche Bundesbank in order to compile Germany’s Balance of Payments Statistics and serve as the basis for the research dataset SITS. It is mandatory to report service transactions between German residents and non-residents that exceed €12,500 or its equivalent in another currency to the Deutsche Bundesbank. The reporting requirement applies to German firms including banks, as well as to individuals and public authorities. The research dataset provides detailed information for service transactions of firms engaged in cross-border service trade, such as the transaction value for services exports and imports, the type of exported and imported services (eg transport, R&D etc), partner country and sector classification of the resident firm. The research data are available from 2001 as a panel dataset at a monthly frequency.",,Deutsche Bundesbank Research Data Centre
NotAvailable,,Restricted,"Deutsche Bundesbank, Statistics Department (S), Monetary and Financial Statistics (S 1)",Deutsche Bundesbank,,,,,2018-06,"Deutsche Bundesbank. 2018. Zentralkartei Banken (ZentK). , 1 [Version].",inexda.4.20,,,,,"Deutsche Bundesbank, Statistics Department (S), Monetary and Financial Statistics (S 1)",,1999-01,Zentralkartei Banken,1,ZentK,,,"The Zentralkartei Banken (ZentK) is the database where the master data for the institutes with reporting obligations (MFIs, their foreign branches and subsidiaries as well as the multi-office banks) are administered chronologically and therefore their codification in all surveys of the banking statistics.",,Deutsche Bundesbank Research Data Centre
OnSite,,Restricted,Bank Lending Survey Group in Vo-1,Bank Lending Survey Group in Vo-1,,,,"BanksDepositoryInstitutions,Loans,BankLendingStandards",,"Deutsche Bundesbank 2017. Bank Lending Survey. https://www.bundesbank.de/Redaktion/DE/Standardartikel/Aufgaben/Geldpolitik/volkswirtschaft_bank_lending_survey.html, 1 [Version].",inexda.4.8,,,,https://www.bundesbank.de/Redaktion/DE/Standardartikel/Aufgaben/Geldpolitik/volkswirtschaft_bank_lending_survey.html,Bank Lending Survey Group in Vo-1,"Bank lending conditions,monetary transmission,credit standards,credit terms and conditions,margins on loans,loans to enterprises,real estate loans,consumer credit,loan supply vs. loan demand factors, euro area wide survey",,Bank Lending Survey,1,BLS,,,"Since January 2003, the Eurosystem has carried out a quarterly bank lending survey (BLS) to expand its knowledge about the role of lending in the monetary transmission mechanism and thus to obtain additional information for monetary policy analysis. The questionnaire comprises 22 qualitative questions on past and expected future lending policies by participating institutions to the private non-financial sector as well as on credit demand. It thus complements existing statistics on loans and bank lending rates with information on supply and demand conditions in the German credit market. Ad hoc questions may be added on specific topics of interest.",,Deutsche Bundesbank Research Data Centre
NotAvailable,,Restricted,Deutsche Bundesbank,Deutsche Bundesbank,,Banks: Germany; Borrowers: worldwide,,"Non-financialCorporations,OtherMonetaryFinancialInstitutions,Households,Loans,FinancialDerivatives,TradeCreditsAndAdvances,Banks,BanksDepositoryInstitutions,FinancialStability",,"Deutsche Bundesbank 2018. MiMiK. , 1 [Version].",inexda.4.22,,,,,Deutsche Bundesbank,,,MiMiK,1,MIMIK,,,The credit register maintained by the Deutsche Bundesbank records all loans of 1.5 million Euro or more granted to a single borrower during the previous quarter and then notifies the lenders of the overall indebtedness of their borrowers.,,Deutsche Bundesbank Research Data Centre
NotAvailable,,Restricted,Deutsche Bundesbank,Deutsche Bundesbank,,,,,,"Deutsche Bundesbank 2018. Payment behaviour in Germany. , 1 [Version].",inexda.4.19,,,,,Deutsche Bundesbank,,,Payment behaviour in Germany,1,PaymentSurvey,,,,,Deutsche Bundesbank Research Data Centre
NotAvailable,,Restricted,,European System of Central Banks (ESCB),,"Securities issued by residents of EU Member States, securities likely to be held and transacted by EU residents and securities denominated in euro, regardless of the residency of the issuer or holder.",,"DebtSecurities,EquityAndInvestmentFundSharesOrUnits,FinancialDerivatives,Banks,BanksDepositoryInstitutions,Securities,FinancialMarket",2017-12,"European System of Central Banks (ESCB) 2017. Centralised Securities Database (CSDB). , 1 [Version].",inexda.4.21,,,,,European System of Central Banks (ESCB),,2009-04,Centralised Securities Database,1,CSDB,,,"The “Centralised Securities Database” (CSDB) is a security-by-security master database that contains reference data on instruments, issuer and prices for more than 9.6 million debt securities, equity instruments and investment fund shares issued worldwide.",,Deutsche Bundesbank Research Data Centre
NotAvailable,,Restricted,European Central Bank (ECB),European Central Bank (ECB),,Europe,,,,European Central Bank (ECB). TARGET2.  https://www.ecb.europa.eu/paym/target/target2/html/index.en.html. 1 [Version],target2,,,,https://www.ecb.europa.eu/paym/target/target2/html/index.en.html,European Central Bank (ECB),,,TARGET2,1,TARGET2,,,"TARGET2 is the real-time gross settlement (RTGS) system owned and operated by the Eurosystem. Central banks and commercial banks can submit payment orders in euro to TARGET2, where they are processed and settled in central bank money, i.e. money held in an account with a central bank.",,European Central Bank (ECB)
NotAvailable,,Restricted,Deutsche Bundesbank,Deutsche Bundesbank,,Germany,,,2004,Deutsche Bundesbank.  Annual Distress Database of the Deutsche Bundesbank. 1 [Version]. ,srp,,,,,Deutsche Bundesbank,,1994,Annual Distress Database of the Deutsche Bundesbank,1,SRP,,,Data on distress events among German banks between 1994 and 2004 ,,Deutsche Bundesbank Research Data Centre
You must be enrolled in an ADRF class to access these data.,,Restricted,Illinois Department of Corrections,Julia Lane,adrf-000001,Illinois,"State, Zip Code",Inmate Populations,2015,"Illinois Department of Corrections, 2016, ""Illinois Department of Corrections (DOC) Inmate Admissions 1990-2015"", Applied Data Analytics Course [Distributor], 1 [Version]",,This dataset is restricted to ADRF course participants who have approval and have agreed to the terms of use provided by the Illinois Department of Corrections (IDOC). The user shall not attempt to re-identify individuals represented in the data and agree to not disclose any data contained here to any unauthorized parties. Any analyses and data products derived from the data must be reviewed by IDOC before export from this system.,adrf-000001-ildoc_admit.csv,"This is ADRF course data. In order to access, you must have signed the appropriate NDA and agreed to the ADRF terms of usage. These data are located in the course database. Field specific metadata are a sample only.",https://www.illinois.gov/idoc/Pages/default.aspx,"Center for Urban Science and Progress (CUSP), NYU","criminal justice system,inmates,jail,correctional facilities,health,employment,demographics,offenses",1990,Illinois Department of Corrections (DOC) Inmate Admissions 1990-2015,1,Illinois Department of Corrections DOC Inmate Admissions,"idoc_admissions_data_dictionary.pdf,Notes_on_HCLASS_and_EDUCLVL.pdf,Offenses_and_SPSS_codes.csv,Offenses_and_SPSS_codes_dd.csv,birthpl_state_country_codes.csv",adrf-000001-ildoc_admit.csv:adrf-000001-ildoc_admit_dd.csv,"Detailed transactional data of each time a person was admitted to an Illinois Department of Corrections (DOC) facility from 1990 to 2015. Variables include demographic, charges, sentencing, conduct, security level, health and mental health status, gang affiliation. Data are collected using correctional facility data and court records. See data dictionary documentation for detailed description of all fields.


Please access the full dataset in course database table: ildoc.ildoc_admit","1,3,5,9,10",
You must be enrolled in an ADRF class to access these data.,,Restricted,Illinois Department of Corrections,Julia Lane,adrf-000002,Illinois,"State, Zip Code",Inmate Populations,2015,"Illinois Department of Corrections, 2016, ""Illinois Department of Corrections (DOC) Inmate Exits - 1990-2015"", Applied Data Analytics Course [Distributor], 1 [Version]",,This dataset is restricted to ADRF course participants who have approval and have agreed to the terms of use provided by the Illinois Department of Corrections (IDOC). The user shall not attempt to re-identify individuals represented in the data and agree to not disclose any data contained here to any unauthorized parties. Any analyses and data products derived from the data must be reviewed by IDOC before export from this system.,adrf-000002-ildoc_exit.csv,"This is ADRF course data. In order to access, you must have signed the appropriate NDA and agreed to the ADRF terms of usage. These data are located in the course database. Field specific metadata are a sample only.",https://www.illinois.gov/idoc/Pages/default.aspx,"Center for Urban Science and Progress (CUSP), NYU","criminal justice system,inmates,jail,correctional facilities,health,employment,demographics,offenses",1990,Illinois Department of Corrections (DOC) Inmate Exits - 1990-2015,1,Illinois Department of Corrections DOC Inmate Exits,"idoc_exits_data_dictionary.pdf,Notes_on_HCLASS_and_EDUCLVL.pdf,Offenses_and_SPSS_codes.csv,Offenses_and_SPSS_codes_dd.csv,ildoc_primary_assignment_codes.csv,birthpl_state_country_codes.csv",adrf-000002-ildoc_exit.csv:adrf-000002-ildoc_exit_dd.csv,"Detailed transactional data of each time an inmate was released from an Illinois Department of Corrections (DOC) facility from 1990 to 2015. Variables include demographic, residence, charges, sentencing, conduct, security level, health and mental health status, gang affiliation. Data are collected using correctional facility data and court records. See data dictionary documentation for detailed description of all fields.

Please access the full dataset in course database table: ildoc.ildoc_exit","1,3,5,9,10",
You must be enrolled in an ADRF class to access these data.,,Restricted,"Illinois Department of Employment Security, US Census Bureau",Julia Lane,adrf-000003,Illinois,State,Economic Characteristics,2015,"Illinois Department of Economic Security, US Census Bureau, 2016, ""Illinois Department of Employment Security (IDES) Unemployment Insurance (UI) wage records - 2005-2015"", Applied Data Analytics Course [Distributor], 1 [Version]",,"This dataset is restricted to ADRF course participants who have approval and have agreed to the terms of use provided by the Illinois Department of Economic Security (IDES). All data provided here are protected under the provisions of Title 13, U.S. Code and users accessing them are subject to the provisions of 820 ILCS 405/1900. The user shall not attempt to re-identify individuals represented in the data and agree not to disclose any data contained here to any unauthorized parties. Any analyses and data products derived from the data must be reviewed by IDES before export from this system.",adrf-000003-il_wage.csv,"This is ADRF course data. In order to access, you must have signed the appropriate NDA and agreed to the ADRF terms of usage. These data are located in the course database. Field specific metadata are a sample only.",http://www.ides.illinois.gov/Pages/Unemployment%20Insurance.aspx,"Center for Urban Science and Progress (CUSP), NYU","income,welfare,socioeconomics",2005,Illinois Department of Employment Security (IDES) Unemployment Insurance (UI) wage records - 2005-2015,1,Illinois Department of Employment Security IDES Unemployment Insurance UI wage records,ides_wage_data_dictionary.pdf,adrf-000003-il_wage.csv:adrf-000003-il_wage_dd.csv,"Quarterly records of wages for every job held by each person in the state of Illinois from 2005 to 2015. This data is derived from the Illinois Dept. of Employment Security (IDES) Unemployment Insurance (UI) wage file that the Local Employment Dynamics (LED) state partners supply to the Census department for use in producing Quarterly Workforce Indicators (QWI). See attached data dictionary for field details.


The summary of this dataset’s fields is a sample of records only. Please access the full dataset in the partitioned course database table: ides.il_wage. There is also an unpartitoned version of the table in the database at ides.il_des_wage","1,2,64,65,66,67,68",
You must be enrolled in an ADRF class to access these data.,,Restricted,US Department of Housing and Urban Development,Julia Lane,adrf-000004,Illinois,"State, Census Block",Socioeconomic Characteristics,2016,"US Department of Housing and Urban Development, 2016, ""US Department of Housing and Urban Development Program Microdata 2004-2016 - Individuals: Illinois"", Applied Data Analytics Course [Distributor], 1 [Version]",,This dataset is restricted to ADRF course participants who have approval and have agreed to the terms of use provided by the US Department of Housing and Urban Development. The user shall not attempt to re-identify individuals represented in the data and agree not to disclose any data contained here to any unauthorized parties. Any analyses and data products derived from the data must be reviewed by a data steward before export from this system. Export of whole or partial records from the data is not permitted.,adrf-000004-hud_individual_block_data_il.csv,"This is ADRF course data. In order to access, you must have signed the appropriate NDA and agreed to the ADRF terms of usage. These data are located in the course database.",https://www.huduser.gov/portal/pumd/index.html,"Center for Urban Science and Progress (CUSP), NYU","income,welfare,public housing,households,demographics,socioeconomics",2004,US Department of Housing and Urban Development Program Microdata 2004-2016 - Individuals: Illinois,1,US Department of Housing and Urban Development Program Microdata Individuals Illinois,"HUD-50058.pdf,HUD-50059.pdf",adrf-000004-hud_individual_block_data_il.csv:adrf-000004-hud_individual_block_data_il_dd.csv,"Detailed transactional data consisting of tenant-level data for individuals in the US Department of Housing and Urban Development's (HUD) largest rental assistance programs: the Housing Choice Voucher Program, Public Housing, Project-based Section 8, and the Section 202/811 Programs. The dataset includes information on individuals aggregated at the Census block level, including rent, years in program, and income; and individual race and gender. Data originate from two sources within HUD: The Public and Indian Housing (PIH) Information Center and Tenant Rental Assistance Certification System (TRACS).


Please access the full dataset in course database table: hud.hud_individual_block_data_il","7,8",
You must be enrolled in an ADRF class to access these data.,,Restricted,"Illinois Department of Employment Security, US Census Bureau",Julia Lane,adrf-000034,Illinois,"State,Point,Census Tract,Census Block",Economic Characteristics,2015,"Illinois Department of Economic Security, US Census Bureau, 2016, ""Illinois Department of Employment Security (IDES) Employer records - 2005-2015"", Applied Data Analytics Course [Distributor], 1 [Version]",,"This dataset is restricted to ADRF course participants who have approval and have agreed to the terms of use provided by the Illinois Department of Economic Security (IDES). All data provided here are protected under the provisions of Title 13, U.S. Code and users accessing them are subject to the provisions of 820 ILCS 405/1900. The user shall not attempt to re-identify individuals represented in the data and agree not to disclose any data contained here to any unauthorized parties. Any analyses and data products derived from the data must be reviewed by IDES before export from this system.",adrf-000034-il_qcew_employers.csv,"This is ADRF course data. In order to access, you must have signed the appropriate NDA and agreed to the ADRF terms of usage. These data are located in the course database. Field specific metadata are a sample only.",http://www.ides.illinois.gov/Pages/Unemployment%20Insurance.aspx,"Center for Urban Science and Progress (CUSP), NYU","income,welfare,socioeconomics,employment",2005,Illinois Department of Employment Security (IDES) Employer records - 2005-2015,1,Illinois Department of Employment Security IDES Employer records,ides_qcew_data_dictionary.pdf,adrf-000034-il_qcew_employers.csv:adrf-000034-il_qcew_employers_dd.csv,"Detailed quarterly information on all of the employers who are present in Illinois’ wage files.  Employer information includes address information, key dates in the quarter, and information on wages and employees per business per quarter. See attached data dictionary for field details.


The summary of this dataset’s fields is a sample of records only. Please access the full dataset in course database table: il_qcew_employers","4,65,66",
