title,journal,url,authors,doi,search_term,dataset_id
ANALYSIS OF WEAKNESSES OF COASTAL COMMUNITY ECONOMY EMPOWERMENT PROGRAM (PEMP) AND NATIONAL PROGRAM OF COMMUNITY EMPOWERMENT OF INDEPENDENT MARINE AND FISHERIES (PNPM-MKP) ON TRADITIONAL FISHERMEN IN INDONESIA,Junior Scientific Researcher,https://www.jsrpublishing.com/userfiles/files/archive_pages/32/Ginting_B._Arif_Nasution_M._Subhilhar_Hamdani_Harahap_R._JSR_Journal._Vol._IV._No.1._2018.pdf,"Bengkel Ginting, M. Arif Nasution, Subhilhar, Hamdani Harahap",,Total Economy of Coastal Areas,dataset-641
Diagnostic Radiology in Liberia: A Country Report,Journal of Global Radiology,http://escholarship.umassmed.edu/jgr/vol1/iss2/6,"Farah S. Ali, Samantha G. Harrington, Stephen B. Kennedy, Sarwat Hussain",10.7191/jgr.2015.1020,Total Economy of Coastal Areas,dataset-641
Application of Chemometric Methods for Assessment and Modelling of Microbiological Quality Data Concerning Coastal Bathing Water in Greece,Journal of Public Health Research,https://doaj.org/toc/2279-9036,"Agelos Papaioannou, George Rigas, Panagiotis Papastergiou, Christos Hadjichristodoulou",10.4081/jphr.2014.357,Total Economy of Coastal Areas,dataset-641
Attitudes and intentional reactions towards mariculture development - local residents' perspective,,https://hdl.handle.net/10037/15281,"Armbrecht, John, Skallerud, Kåre",10.1016/j.ocecoaman.2019.03.017,Total Economy of Coastal Areas,dataset-641
Energy Efficiency and Its Driving Factors in China’s Three Economic Regions,Sustainability,https://www.mdpi.com/2071-1050/9/11/2059,"Sheng-An Shi, Long Xia, Ming Meng",10.3390/su9112059,Total Economy of Coastal Areas,dataset-641
"Large-scale assessment of landslide hazard, vulnerability and risk in China",Geomatics,http://dx.doi.org/10.1080/19475705.2018.1502690,"Xilin Liu, Cheng Miao",10.1080/19475705.2018.1502690,Total Economy of Coastal Areas,dataset-641
"Zona Ekowisata Kawasan Konservasi Pesisir di Kecamatan Katingan Kuala, Kabupaten Katingan, Provinsi Kalimantan Tengah Melalui Pendekatan Ekologi Bentang Lahan",Jurnal Ilmu Kehutanan,https://journal.ugm.ac.id/jikfkt/article/view/12628,"Cakra Birawa, Raden Mas Sukarna",10.22146/jik.12628,Total Economy of Coastal Areas,dataset-641
Patterns of recruitment of the sand smelt (Atherina presbyter) on rocky intertidal habitats,Frontiers in Marine Science,http://journal.frontiersin.org/Journal/10.3389/conf.FMARS.2015.03.00147/full,"Frederico Almada, Frederico Almada",10.3389/conf.FMARS.2015.03.00147/full,Total Economy of Coastal Areas,dataset-641
Regularities of the Development of Coastal Processes on Water Reservoirs of Hydroelectric Power Plants of Belarus,Izvestiâ Vysših Učebnyh Zavedenij i Ènergetičeskih ob Edinennij SNG. Ènergetika,https://energy.bntu.by/jour/article/view/1401,V. E. Levkevich,10.21122/1029-7448-2018-61-5-463-478,Total Economy of Coastal Areas,dataset-641
Mode selection for log transportation on the coastal water of B.C. : a transport-inventory cost model approach,,http://dx.doi.org/10.14288/1.0062967,"Sarkar, Ashoke K.",10.14288/1.0062967,Total Economy of Coastal Areas,dataset-641
Morphological and economic impacts of rising sea levels on cliff-backed platform beaches in Southern Portugal,,http://dx.doi.org/10.1016/j.apgeog.2018.07.023,"Bon de Sousa, L., Loureiro, C., Ferreira, O.",10.1016/j.apgeog.2018.07.023,Total Economy of Coastal Areas,dataset-641
An integrated method for assessing drought prone areas - Water efficiency practices for a climate resilient Mediterranean agriculture,,http://purl.tuc.gr/dl/dias/7468B7CA-7988-4915-86DF-957FF43E1621,"Κουργιαλας Νεκταριος(http://users.isc.tuc.gr/~nkourgialas), Kourgialas Nektarios(http://users.isc.tuc.gr/~nkourgialas), Ανυφαντη Ιωαννα(http://users.isc.tuc.gr/~ianyfanti), Anyfanti Ioanna(http://users.isc.tuc.gr/~ianyfanti), Καρατζας Γεωργιος(http://users.isc.tuc.gr/~gkaratzas), Karatzas Georgios(http://users.isc.tuc.gr/~gkaratzas), Δοκου Ζωη(http://users.isc.tuc.gr/~zdokou), Dokou Zoi(http://users.isc.tuc.gr/~zdokou)",10.1016/j.scitotenv.2018.01.051,Total Economy of Coastal Areas,dataset-641
Spatial Variation and Distribution of Urban Energy Consumptions from Cities in China,Energies,http://www.mdpi.com/1996-1073/4/1/26/pdf,"Lixiao Zhang, Zhifeng Yang, Jing Liang, Yanpeng Cai",,Total Economy of Coastal Areas,dataset-641
URBAN LANDSCAPE SPATIAL PATTERN ESTIMATION OF CITIES IN SHANDONG PROVINCE USING NIGHTTIME LUMINOSITY DATA,,https://doaj.org/toc/2194-9034,"J. Fan, J. Fan, H. He, T. Hu, G. Li, H. Gao, X. Zhao",10.5194/isprs-archives-XLII-2-W7-1113-2017,Total Economy of Coastal Areas,dataset-641
A Study of Regional Power Generation Efficiency in China: Based on a Non-Radial Directional Distance Function Model,Sustainability,http://dx.doi.org/10.3390/su11030659,"Jin Zhu, Dequn Zhou, Zhengning Pu, Huaping Sun",10.3390/su11030659,Total Economy of Coastal Areas,dataset-641
"Regional well-being in tropical Queensland, Australia: developing a dissatisfaction index to inform government policy",Environment and Planning A,http://www.envplan.com/abstract.cgi?id=a43193,Silva Larson,,Total Economy of Coastal Areas,dataset-641
Energy density of zooplankton and fish larvae in the southern Catalan Sea (NW Mediterranean),Journal of Sea Research 124: 1-9 (2017),http://hdl.handle.net/10261/154008,"Barroeta Legarreta, Ziortza, Olivar, M. Pilar, Palomera, Isabel",10.1016/j.seares.2017.04.008,Total Economy of Coastal Areas,dataset-641
"Assessment of tropical shrimp aquaculture impact on the environment in tropical countries, using hydrobiology, ecology and remote sensing as helping tools for diagnosis",,http://archimer.ifremer.fr/doc/00132/24357/,"Fuchs, Jacques, Martin, Jean-louis M., Populus, Jacques",,Total Economy of Coastal Areas,dataset-641
Spatial Characteristics and Driving Factors of Provincial Wastewater Discharge in China,International Journal of Environmental Research and Public Health,http://europepmc.org/articles/PMC5201362,"Kunlun Chen, Xiaoqiong Liu, Lei Ding, Gengzhi Huang, Zhigang Li",10.3390/ijerph13121221,Total Economy of Coastal Areas,dataset-641
Water economy of three Cinclodes (Furnariidae) species inhabiting marine and freshwater ecosystems Economía hídrica en tres especies de Cinclodes (Furnariidae) que habitan ecosistemas marinos y de agua dulce,Revista Chilena de Historia Natural,https://doaj.org/toc/0717-6317,"SABAT, PABLO, NESPOLO, ROBERTO F, BOZINOVIC, FRANCISCO",10.4067/S0716-078X2004000200001 ,Total Economy of Coastal Areas,dataset-641
"Living on fishing, caught in the market : the Maltese fishing communities,1860s-1920",,https://www.um.edu.mt/library/oar//handle/123456789/17973,"Chircop, John",,Total Economy of Coastal Areas,dataset-641
Spatial Variation and Distribution of Urban Energy Consumptions from Cities in China,Energies,http://www.mdpi.com/1996-1073/4/1/26/,"Zhang, Lixiao, Yang, Zhifeng, Liang, Jing, Cai, Yanpeng",10.3390/en4010026,Total Economy of Coastal Areas,dataset-641
Census of roosting Indian house crows <i>Corvus splendens</i> on Mombasa island,,http://www.vliz.be/imisdocs/publications/242175.pdf,"Erftemeijer, P.L.A., Seys, J.",,Total Economy of Coastal Areas,dataset-641
Introduction,,http://dx.doi.org/10.7480/abe.2017.4.3646,"Gong, Yunlong",10.7480/abe.2017.4.3646,Total Economy of Coastal Areas,dataset-641
"Exploring Urban Expansion and Socioeconomic Vitality Using NPP-VIIRS Data in Xia-Zhang-Quan, China",Sustainability,http://dx.doi.org/10.3390/su11061739,"Yuantong Jiang, Shoukai Sun, Shuanning Zheng",10.3390/su11061739,Total Economy of Coastal Areas,dataset-641
Physico-chemical characteristics of the improved extensive shrimp farming system in the Mekong Delta of Vietnam,,http://www.vliz.be/nl/open-marien-archief?module=ref&refid=239274,"Tho, N., Ut, V.N., Merckx, R.",,Total Economy of Coastal Areas,dataset-641
"Composición por especies y tallas de los peces en la laguna Barra de Navidad, Jalisco.",,https://revistas.ucr.ac.cr/index.php/rbt/article/view/10001,"González-Sansón, Gaspar",10.15517/rbt.v62i1.10001,Total Economy of Coastal Areas,dataset-641
"Composición por especies y tallas de los peces en la laguna Barra de Navidad, Pacífico central mexicano",,http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442014000200012&lng=en&tlng=en,"González-Sansón, Gaspar, Aguilar-Betancourt, Consuelo, Kosonoy-Aceves, Daniel, Lucano-Ramírez, Gabriela, Ruiz-Ramírez, Salvador, Flores-Ortega, Juan Ramón, Hinojosa-Larios, Ángel, Silva-Bátiz, Francisco de Asís",10.15517/rbt.v62i1.10001,Total Economy of Coastal Areas,dataset-641
Canadian shipping in the British Columbia coastal trade,,http://dx.doi.org/10.14288/1.0106747,"Schuthe, George Macdonald",10.14288/1.0106747,Total Economy of Coastal Areas,dataset-641
Assessing the Distribution of Heavy Industrial Heat Sources in India between 2012 and 2018,ISPRS International Journal of Geo-Information,http://dx.doi.org/10.3390/ijgi8120568,"Ma, Caihong, Niu, Zheng, Ma, Yan, Chen, Fu, Yang, Jin, Liu, Jianbo",10.3390/ijgi8120568,Total Economy of Coastal Areas,dataset-641
"Twenty metres deep! The Mesolithic period at the site Yangtze Harbour in the Rotterdam Maasvlakte, the Netherlands. Early Holocene landscape development and habitation.",,http://dspace.library.uu.nl/handle/1874/297728,"Sier, M.M., Cohen, K.M., Kooistra, L., Kubiak-Martens, L., Moree, J.M., Niekus, M., Peeters, J.H.M., Schiltmans, D.E.A., Verbaas, A., Verbruggen, F., Vos, P.C., Zeiler, J.T.",,Total Economy of Coastal Areas,dataset-641
Clam focal and systemic immune responses to QPX infection revealed by RNA-seq technology,BMC Genomics,http://dx.doi.org/10.1371/journal.ppat.1002319,"Wang, Kailai, del Castillo, Carmelo, Corre, Erwan, Pales Espinosa, Emmanuelle, Allam, Bassem",10.1186/s12864-016-2493-9,Total Economy of Coastal Areas,dataset-641
Caractéristiques des petites pêches côtières et estuariennes de la côte atlantique du sud de l'Europe - Rapport final - Synthèse. (24 mars 2000 - 23 avril 2002),,http://archimer.ifremer.fr/doc/00327/43795/,"Leaute, Jean-pierre",,Total Economy of Coastal Areas,dataset-641
"Mining companies in the West Kootenay and Boundary regions of British Columbia, 1890-1900 : capital formation and financial operations",,http://dx.doi.org/10.14288/1.0105898,"Church, John Spencer",10.14288/1.0105898,Total Economy of Coastal Areas,dataset-641
"Prince Rupert, B.C., the study of a port and its hinterland",,http://dx.doi.org/10.14288/1.0053503,"Crerar, Alistair Donald",10.14288/1.0053503,Total Economy of Coastal Areas,dataset-641
Oder Basin - Baltic Sea Interactions (OBBSI) : Endbericht - Final Report,,http://dx.doi.org/10.12754/msr-2000-0041,"Humborg, Christoph, Schernewski, Gerald, Bodungen, Bodo Von, Dannowski, Ralf, Steidl, Jörg, Quast, Joachim, Wallbaum, Volker, Rudolph, Karl-Ulrich, Müller, Chris, Mahlburg, Stefan, Erbguth, Wilfried",10.12754/msr-2000-0041,Total Economy of Coastal Areas,dataset-641
Circulación y territorio: globalización y reestructuración de la red de transporte aeronáutico en Argentina (1990-2009),,http://hdl.handle.net/11336/1166,"Gomez Lende, Sebastian",,Total Economy of Coastal Areas,dataset-641
"On the ecology of Coenobita clypeatus in Curaçao with reference to reproduction, water economy and osmoregulation in terrestrial hermit crabs",,http://www.repository.naturalis.nl/record/506107,"Wilde, de, P.A.W.J.",10.1098/rspb.2012.0596,Total Economy of Coastal Areas,dataset-641
Hoard of Venetian Coinage of Doge Pietro Gradenigo from Suvi Doci in Kijevo near Knin,Starohrvatska prosvjeta,https://hrcak.srce.hr/81499,"Šeparović, Tomislav",,Total Economy of Coastal Areas,dataset-641
Impact of service quality on competitiveness and profitability: the hotel industry in the Catalan coast,,http://www.intangiblecapital.org/index.php/ic/article/view/693,"Juan Pedro Aznar, Llorenc Bagur, Alba Rocafort",10.3926/ic.693,Total Economy of Coastal Areas,dataset-641
Studies of variation in hemlock Tsuga populations and individuals from southern British Columbia,,http://dx.doi.org/10.14288/1.0075420,"Meagher, M. D.",10.14288/1.0075420,Total Economy of Coastal Areas,dataset-641
Agriculture in Developing Countries and the Role of Government: Economic Perspectives,,http://dx.doi.org/10.22004/ag.econ.205362,"Kanza, Patrick, Vitale, Jeffrey, Kanza, Patrick, Vitale, Jeffrey",10.22004/ag.econ.205362,Total Economy of Coastal Areas,dataset-641
Estimation Evaluation Land Use Efficiency by DEA Model-Case Study in Vietnam,,https://zenodo.org/record/3265401,"Tam Nguyen Thi Minh, Hassan Bashir",10.5281/zenodo.3265400,Total Economy of Coastal Areas,dataset-641
