metadata_folder,dataset,doi,journal,search_term,title,URL ,Validation,If appears as a reference,Reference,Punctuation Error,Notes
20191119_BusinessEmploymentDynamicsData,dataset-341,10.1007/s42822-019-00005-y,Behavior and Social Issues,Business Employment Dynamics Data,Learning from Experimental Communities Using Behavioral Systems Analysis,https://link.springer.com/article/10.1007/s42822-019-00005-y,No,Yes,"Knaup, A. E., & Piazza, M. C. (2007). Business employment dynamics data: Survival and longevity, II.?Monthly Labor Review, 130(9), 3.",,
20191119_BusinessEmploymentDynamicsData,dataset-341,10.2139/ssrn.3244088,SSRN Electronic Journal,Business Employment Dynamics Data,Output Hysteresis and Optimal Monetary Policy,https://editorialexpress.com/cgi-bin/conference/download.cgi?db_name=NASM2017&paper_id=231,No,,,,
20191119_BusinessEmploymentDynamicsData,dataset-341,10.2139/ssrn.3228400,SSRN Electronic Journal,Business Employment Dynamics Data,Unicorn Stock Options - Golden Goose or Trojan Horse?,https://poseidon01.ssrn.com/delivery.php?ID=428101121103107019085077094073090111015069058086095042085120127113111093124093119108004117037031126012054127126123120117065065102029022089006113125098095112092096121049050055085101109021000097080079013106122121115117102080087077084091089069119127086101&EXT=pdf,No,Yes,"See also Amy E. Knaup, Bureau of Labor Statistics, Survival and Longevity in the Business Employment Dynamics Data,",,
20191119_BusinessEmploymentDynamicsData,dataset-341,10.1111/ehr.12481,The Economic History Review,Business Employment Dynamics Data,"Risk, success, and failure: female entrepreneurship in late Victorian and Edwardian England",https://onlinelibrary.wiley.com/doi/full/10.1111/ehr.12481,No,Yes,"Knaup, A.?and?Piazza, M.,?°ÆBusiness employment dynamics data: survival and longevity°Ø,?Monthly Labor Review,?130?(2007), pp.?3®C?10.",,
20191119_BusinessEmploymentDynamicsData,dataset-341,10.1002/job.2184,Journal of Organizational Behavior,Business Employment Dynamics Data,Little things that count: A call for organizational research on micro businesses,https://onlinelibrary.wiley.com/doi/full/10.1002/job.2184,No,Yes,Bureau of Labor Statistics. (2015).?National business employment dynamics data by firm size class.,,
20191119_BusinessEmploymentDynamicsData,dataset-341,10.1186/s40497-016-0047-x,Journal of Global Entrepreneurship Research,Business Employment Dynamics Data,Entrepreneurial intention: antecedents to entrepreneurial behavior in the U.S.A. and Turkey,https://journal-jger.springeropen.com/articles/10.1186/s40497-016-0047-x,No,Yes,"Knaup, A. (2005). Survival and longevity in the business employment dynamics data.?Monthly Labour Review, May, 50.",,
,dataset-427,10.1186/s13756-019-0550-2,Antimicrobial Resistance and Infection Control,,"Control of MSSA and MRSA in the United States: protocols, policies, risk adjustment and excuses",https://doi.org/10.1186/s13756-019-0550-2,No,Yes,Federal RePORTER Project Number R01HS019388 https://federalreporter. nih.gov/projects/switchQueryForm?mode=Advanced. Accessed on 22 May 2019.,,
,dataset-427,10.1053/j.gastro.2018.12.045,Gastroenterology,,The role of the microbiome in immunologic development and its implication for pancreatic cancer immunotherapy,https://doi.org/10.1053/j.gastro.2018.12.045,No,Yes,"Federal RePORTER. Visualization, 2018. Available from:https://federalreporter.nih.gov/Projects/visualize/?searchId=f759f5e7932042e29c97c8a8fd64bbda&searchMode=Smart&resultType=projects",,
20191119_CaliforniaUnemploymentInsurance,dataset-097,10.1080/14743892.2019.1677125,American Communist History,California Unemployment Insurance,"Building a Movement: American Communist Activism in the Communities, 1929-1945",https://www.doi.org/10.1080/14743892.2019.1677125,No,No,,,
20191119_CaliforniaUnemploymentInsurance,dataset-097,10.2139/ssrn.3467127,SSRN Electronic Journal,California Unemployment Insurance,Paid Family Leave: A Fork in the Road of the American Welfare State,https://www.doi.org/10.2139/ssrn.3467127,No,No,,,
20191119_CaliforniaUnemploymentInsurance,dataset-097,10.5565/rev/aiet.69,Anuario IET de Trabajo y Relaciones Laborales,California Unemployment Insurance,Crowdsourcing: una modalitat jur√≠dicament inviable d'externalitzaci√≥ productiva en el nou entorn digital,https://www.doi.org/10.5565/rev/aiet.69,No,No,,,
20191119_CaliforniaUnemploymentInsurance,dataset-097,10.5278/ojs.njcl.v0i1.2485,Nordic Journal of Commercial Law,California Unemployment Insurance,Intermediary Platforms ‚Äì The Contractual Legal Framework,https://www.doi.org/10.5278/ojs.njcl.v0i1.2485,No,No,,,
20191119_CaliforniaUnemploymentInsurance,dataset-097,10.1080/21565503.2017.1318759,Politics Groups and Identities,California Unemployment Insurance,Beyond disenfranchisement: collateral consequences and equal citizenship,https://www.doi.org/10.1080/21565503.2017.1318759,No,,,,
20191119_CaliforniaUnemploymentInsurance,dataset-097,10.2139/ssrn.3115688,SSRN Electronic Journal,California Unemployment Insurance,The California Employment Training Panel: Program Concepts 2002-2016,https://www.doi.org/10.2139/ssrn.3115688,No,No,,,
20191119_CaliforniaUnemploymentInsurance,dataset-097,10.2139/ssrn.3272618,SSRN Electronic Journal,California Unemployment Insurance,"Affirmative Action, Percent Plans, and the Return to Postsecondary Selectivity",https://www.doi.org/10.2139/ssrn.3272618,No,No,,,
20191119_CaliforniaUnemploymentInsurance,dataset-097,10.1007/s12027-016-0439-y,ERA Forum,California Unemployment Insurance,The ‚ÄòUberization‚Äô of the labour market: some thoughts from an employment law perspective on the collaborative economy,https://www.doi.org/10.1007/s12027-016-0439-y,No,No,,,
20191119_CaliforniaUnemploymentInsurance,dataset-097,10.1016/j.jue.2015.11.003,Journal of Urban Economics,California Unemployment Insurance,Workforce location and equilibrium unemployment in a duocentric economy with matching frictions,https://www.doi.org/10.1016/j.jue.2015.11.003,No,No,,,
20191119_CaliforniaUnemploymentInsurance,dataset-097,10.2139/ssrn.3380027,SSRN Electronic Journal,California Unemployment Insurance,Cruel Summer: Economic Impacts of Extending Unemployment Benefits to Public K-12 Classified Workers in the State of California,https://www.doi.org/10.2139/ssrn.3380027,No,No,,,
20191119_CaliforniaUnemploymentInsurance,dataset-097,10.1080/07329113.2014.882102,The Journal of Legal Pluralism and Unofficial Law,California Unemployment Insurance,"Time's up, timed out: reflections on social time and legal pluralism",https://www.doi.org/10.1080/07329113.2014.882102,No,No,,,
20191119_CaliforniaUnemploymentInsurance,dataset-097,10.4324/9780203536810,,California Unemployment Insurance,Work-Life Balance,https://www.doi.org/10.4324/9780203536810,No,No,,,
20191119_CaliforniaUnemploymentInsurance,dataset-097,10.4324/9780203145463,,California Unemployment Insurance,Symbols (Routledge Revivals),https://www.doi.org/10.4324/9780203145463,,,,,
20191119_CaliforniaUnemploymentInsurance,dataset-097,10.2139/ssrn.2340678,SSRN Electronic Journal,California Unemployment Insurance,Unemployment Benefits and Unemployment in the Great Recession: The Role of Equilibrium Effects,https://www.doi.org/10.2139/ssrn.2340678,No,No,,,
20191119_CaliforniaUnemploymentInsurance,dataset-097,10.1377/hlthaff.2010.0961,Health Affairs,California Unemployment Insurance,Projecting The Impact Of The Affordable Care Act On California,https://www.doi.org/10.1377/hlthaff.2010.0961,No,No,,,
20191119_CaliforniaUnemploymentInsurance,dataset-097,10.2139/ssrn.2165017,SSRN Electronic Journal,California Unemployment Insurance,The Hobbit Adventure in a Globalized World: A Brief History of Runaway Productions,https://www.doi.org/10.2139/ssrn.2165017,No,No,,,
20191119_CaliforniaUnemploymentInsurance,dataset-097,10.2139/ssrn.1655022,SSRN Electronic Journal,California Unemployment Insurance,Care/Work: Law Reform to Support Family Caregivers to Balance Paid Work and Unpaid Caregiving: A Study Paper Prepared by the British Columbia Law Institute & Canadian Centre for Elder Law,https://www.doi.org/10.2139/ssrn.1655022,No,Yes,"6 California Unemployment Insurance Code, §3300, online: .",,
20191119_CaliforniaUnemploymentInsurance,dataset-097,10.2139/ssrn.1539165,SSRN Electronic Journal,California Unemployment Insurance,"Program Take-Up Among CalWORKs Leavers: Medi-Cal, Food Stamps, and the EITC: An Evaluation of Participation in Work-Support Programs by CalWORKs Leavers",https://www.doi.org/10.2139/ssrn.1539165,No,No,,,
20191223_dimensions_Coastal_Topographic_Lidar,dataset-622,10.1016/j.coastaleng.2017.11.005,Coastal Engineering,Coastal Topographic Lidar,The influence of bed friction variability due to land cover on storm-driven barrier island morphodynamics,https://doi.org/10.1016/j.coastaleng.2017.11.005,No,No,,,
20191223_dimensions_Coastal_Topographic_Lidar,dataset-622,10.1002/2015jc011400,Journal of Geophysical Research Oceans,Coastal Topographic Lidar,"Data and numerical analysis of astronomic tides, wind‚Äêwaves, and hurricane storm surge along the northern Gulf of Mexico",https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2015JC011400,No,No,,,
20191223_dimensions_GDP_by_state,dataset-622,10.1016/j.econedurev.2019.04.007,Economics of Education Review,GDP by state,Why Brazil Fell Behind in College Education?,https://doi.org/10.1016/j.econedurev.2019.04.007,No,No,,,
20191223_dimensions_GDP_by_state,dataset-622,10.1016/j.jedc.2019.103726,Journal of Economic Dynamics and Control,GDP by state,The Quantitative Effects of Tax Foresight: Not All States Are Equal,https://doi.org/10.1016/j.jedc.2019.103726,No,No,,,
20191223_dimensions_GDP_by_state,dataset-622,10.1017/s1474747218000422,Journal of Pension Economics and Finance,GDP by state,Social security and retirement timing: evidence from a national sample of teachers,https://doi.org/10.1017/s1474747218000422,No,No,,,
20191223_dimensions_GDP_by_state,dataset-622,10.1111/infi.12357,International Finance,GDP by state,Effects of unconventional monetary policy across U.S. industries,https://doi.org/10.1111/infi.12357,No,No,,,
20191223_dimensions_GDP_by_state,dataset-622,10.1007/s11205-018-1976-2,Social Indicators Research,GDP by state,The Underemployment-Job Satisfaction Nexus: A Study of Part-Time Employment in Australia,https://doi.org/10.1007/s11205-018-1976-2,No,No,,,
20191223_dimensions_GDP_by_state,dataset-622,10.1162/rest_a_00830,Review of Economics and Statistics,GDP by state,Heterogeneous Government Spending Multipliers in the Era Surrounding the Great Recession,http://wps-feb.ugent.be/Papers/wp_17_941.pdf,No,No,,,
20191223_dimensions_GDP_by_state,dataset-622,10.1007/s10640-018-0239-7,Environmental and Resource Economics,GDP by state,Natural Disasters and Macroeconomic Performance,https://link.springer.com/content/pdf/10.1007%2Fs10640-018-0239-7.pdf,No,No,,,
20191223_dimensions_GDP_by_state,dataset-622,10.1111/jmcb.12574,Journal of money credit and banking,GDP by state,Temperature and Growth: A Panel Analysis of the United States,https://onlinelibrary.wiley.com/doi/pdf/10.1111/jmcb.12574,No,No,,,
20191223_dimensions_GDP_by_state,dataset-622,10.1016/j.regsciurbeco.2018.11.008,Regional Science and Urban Economics,GDP by state,The effects of government spending shocks: Evidence from U.S. states,https://www.sciencedirect.com/science/article/pii/S0166046217303915,No,No,,,
20191223_dimensions_GDP_by_state,dataset-622,10.1016/j.econmod.2018.08.008,Economic Modelling,GDP by state,Convergence of labor productivity across the US states,https://www.sciencedirect.com/science/article/pii/S0264999317312191,No,No,,,
20191223_dimensions_GDP_by_state,dataset-622,10.1111/grow.12277,Growth and Change,GDP by state,"Economic liberalization and external shocks. The hypothesis of convergence revisited for the Mexican states, 1994‚Äì2015",https://onlinelibrary.wiley.com/doi/pdf/10.1111/grow.12277,No,No,,,
20191223_dimensions_GDP_by_state,dataset-622,10.1057/s41267-018-0150-z,Journal of International Business Studies,GDP by state,Individualism and stock price crash risk,http://eprints.gla.ac.uk/160978/7/160978.pdf,No,No,,,
20191223_dimensions_GDP_by_state,dataset-622,10.1016/j.jeoa.2018.03.006,The Journal of the Economics of Ageing,GDP by state,Long-Term Care Partnerships: Are They Fit for Purpose?,http://eprints.lse.ac.uk/60757/1/Bergquist_CostaFont_Swartz_Long-term-care-partnerships_2015.pdf,No,No,,,
20191223_dimensions_GDP_by_state,dataset-622,10.1080/0163660x.2018.1557491,The Washington Quarterly,GDP by state,Should the United States Fear China's Rise?,https://www.bu.edu/pardeeschool/files/2019/01/Winter-2019_Shifrinson_0.pdf,No,No,,,
20191223_dimensions_GDP_by_state,dataset-622,10.1080/00213624.2018.1483151,Journal of Economic Issues,GDP by state,"An American-Style Transfer Union in Europe, A First Glance at How Much It Might Cost",https://www.tandfonline.com/doi/full/10.1080/00213624.2018.1483151,No,No,,,
20191223_dimensions_GDP_by_state,dataset-622,10.1016/j.jebo.2019.04.012,Journal of Economic Behavior & Organization,GDP by state,From broken windows to broken bonds: Militarized police and social fragmentation,http://www.usna.edu/EconDept/RePEc/usn/wp/usnawp53.pdf,No,No,,,
20191223_dimensions_National_Land_Cover_Database,dataset-624,10.1016/j.jag.2019.101985,International Journal of Applied Earth Observation and Geoinformation,National Land Cover Database,Estimating tree canopy cover using harmonic regression coefficients derived from multitemporal Landsat data,https://www.sciencedirect.com/science/article/pii/S0303243419302119,No,No,,,
20191223_dimensions_National_Land_Cover_Database,dataset-624,10.1016/j.ecolind.2019.105966,Ecological Indicators,National Land Cover Database,Identifying candidate reference reaches to assess the physical and biological integrity of wadeable streams in different ecoregions and among stream sizes,https://www.sciencedirect.com/science/article/pii/S1470160X19309616,No,No,,,
